,ticker,name,market,active
0,1INCHUSD,1inch,crypto,True
1,AAVEUSD,Aave,crypto,True
2,ACATUSD,Alphacat,crypto,True
3,ACHUSD,Alchemy Pay,crypto,True
4,ACTUSD,Achain,crypto,True
5,ADAUSD,Cardano,crypto,True
6,AEUSD,Aeternity,crypto,True
7,AIDUSD,AidCoin,crypto,True
8,AIOUSD,All In One Coins,crypto,True
9,ALBTUSD,AllianceBlock,crypto,True
10,ALCXUSD,Alchemix,crypto,True
11,ALGOUSD,Algorand,crypto,True
12,AMMUSD,MicroMoney,crypto,True
13,AMPUSD,Amp,crypto,True
14,ANKRUSD,Ankr,crypto,True
15,ANTUSD,Aragon,crypto,True
16,APEUSD,ApeCoin,crypto,True
17,API3USD,API3,crypto,True
18,ARDRUSD,Ardor,crypto,True
19,ARPAUSD,ARPA Chain,crypto,True
20,ASMUSD,Assemble Protocol,crypto,True
21,ATMUSD,Bitcoin ATM,crypto,True
22,ATOMUSD,Cosmos,crypto,True
23,AUCTIONUSD,Bounce Token,crypto,True
24,AUCUSD,Auctus,crypto,True
25,AVAXUSD,Avalanche,crypto,True
26,AVTUSD,Aventus,crypto,True
27,AXSUSD,Axie Infinity,crypto,True
28,B2XUSD,SegWit2x,crypto,True
29,BABUSD,Babel,crypto,True
30,BADGERUSD,Badger Dao,crypto,True
31,BALUSD,Balancer,crypto,True
32,BANCAUSD,Banca,crypto,True
33,BANDUSD,Band Protocol,crypto,True
34,BATUSD,Basic Attention Token,crypto,True
35,BBNUSD,Banyan Network,crypto,True
36,BCDUSD,Bitcoin Diamond,crypto,True
37,BCHABCUSD,Bitcoin Cash ABC,crypto,True
41,BCHSVUSD,Bitcoin SV,crypto,True
42,BCHUSD,Bitcoin Cash,crypto,True
43,BCIUSD,Bitcoin Interest,crypto,True
44,BCNUSD,Bytecoin,crypto,True
45,BERRYUSD,Rentberr,crypto,True
46,BFTUSD,BnkToTheFuture,crypto,True
47,BITSUSD,Bitstar,crypto,True
48,BIXUSD,Bibox Token,crypto,True
49,BMCUSD,Blackmoon,crypto,True
50,BNBUSD,Binance Coin,crypto,True
51,BNKUSD,Bankera,crypto,True
52,BNTUSD,Bancor,crypto,True
53,BOBAUSD,Boba Network,crypto,True
54,BONDUSD,BarnBridge,crypto,True
55,BOSONUSD,Boson Protocol,crypto,True
56,BQXUSD,Ethos,crypto,True
57,BSVUSD,Bitcoin SV,crypto,True
63,BTCPUSD,Bitcoin Private,crypto,True
64,BTCUSD,Bitcoin,crypto,True
65,BTGUSD,Bitcoin Gold,crypto,True
66,BTMUSD,Bytom,crypto,True
67,BTRSTUSD,Braintrust,crypto,True
68,BTSEUSD,BTSE,crypto,True
69,BTSUSD,BitShares,crypto,True
70,BTTUSD,BitTorrent,crypto,True
71,BTXUSD,Bitcore,crypto,True
72,CCLUSD,Cyclean,crypto,True
73,CDCCUSD,CDCC,crypto,True
74,CELUSD,Celsius,crypto,True
75,CGLDUSD,Celo,crypto,True
76,CHSBUSD,SwissBorg,crypto,True
77,CHZUSD,Chiliz,crypto,True
78,CLOUSD,Callisto,crypto,True
79,CLVUSD,Clover Finance,crypto,True
80,CMCTUSD,Crowd Machine,crypto,True
81,CMTUSD,CyberMiles,crypto,True
82,CNDUSD,Cindicator,crypto,True
83,CNNUSD,CNN Crypto,crypto,True
84,COMPUSD,Compound,crypto,True
85,COTIUSD,Coti,crypto,True
86,COVALUSD,Circuits of Value,crypto,True
87,CROUSD,Crypto.com,crypto,True
88,CRPTUSD,Crypterium,crypto,True
89,CRVUSD,Curve DAO Token,crypto,True
90,CSMUSD,Consentium,crypto,True
91,CTKUSD,CertiK,crypto,True
92,CTSIUSD,Cartesi,crypto,True
93,CTXCUSD,CarTaxi Token,crypto,True
94,CVCUSD,Civic,crypto,True
95,CVHUSD,Curriculum Vitae,crypto,True
96,DADIUSD,DADI,crypto,True
97,DAIUSD,Dai,crypto,True
98,DASHUSD,Dash,crypto,True
