,date,open,high,low,close,volume
0,2021-04-09,6.476,6.497,6.001,6.119,2242223.4899999923
1,2021-04-10,6.122,6.167,5.529,5.74,2889290.830000035
2,2021-04-11,5.734,5.906,5.55,5.678,1092039.620000002
3,2021-04-12,5.679,5.84,5.26,5.491,1319641.5900000038
4,2021-04-13,5.49,5.801,5.417,5.611,1449090.009999988
5,2021-04-14,5.634,6.029,5.436,5.876,1664661.8600000087
6,2021-04-15,5.885,6.4,5.773,6.094,2162340.0399999903
7,2021-04-16,6.101,6.16,5.601,5.825,2176457.860000003
8,2021-04-17,5.824,6.559,5.824,6.481,1928694.340000002
9,2021-04-18,6.485,6.663,4.579,5.313,4088523.5500000184
10,2021-04-19,5.289,5.489,4.717,4.845,1640693.6700000123
11,2021-04-20,4.859,5.197,4.429,5.025,1582163.9100000013
12,2021-04-21,5.025,5.31,4.835,5.016,1916964.1200000185
13,2021-04-22,5.015,5.336,4.534,4.597,2357208.0400000387
14,2021-04-23,4.59,4.7,3.76,4.284,2922267.140000019
15,2021-04-24,4.286,4.29,3.925,3.955,1374910.0500000208
16,2021-04-25,3.956,4.249,3.792,4.0,924861.9700000001
17,2021-04-26,4.002,4.577,3.949,4.544,1554797.990000009
18,2021-04-27,4.543,5.159,4.468,5.12,2278198.4700000365
19,2021-04-28,5.114,5.772,4.712,5.55,3854465.2500000144
20,2021-04-29,5.575,5.919,5.223,5.476,3352357.4299999704
21,2021-04-30,5.477,5.759,5.342,5.651,1605290.0800000178
22,2021-05-01,5.65,5.753,5.378,5.522,983108.250000004
23,2021-05-02,5.525,5.533,5.144,5.366,653126.1000000054
24,2021-05-03,5.367,5.953,5.36,5.877,1280069.3700000101
25,2021-05-04,5.88,5.916,5.216,5.236,1885745.7800000224
26,2021-05-05,5.249,6.293,5.189,6.0,2084738.4000000365
27,2021-05-06,5.993,7.571,5.891,6.613,8602255.479999544
28,2021-05-07,6.609,7.129,6.3,6.603,3103471.2299999837
29,2021-05-08,6.588,7.889,6.474,7.507,3857047.1900002193
30,2021-05-09,7.507,7.544,6.724,7.084,2950828.1099999924
31,2021-05-10,7.084,7.19,5.56,6.174,2612972.5700000534
32,2021-05-11,6.191,6.545,5.814,6.541,1797562.168402246
33,2021-05-12,6.552,6.928,5.433,5.6004,2786305.252456275
34,2021-05-13,5.6032,6.081,5.1896,5.579,2681313.144186687
35,2021-05-14,5.575,5.946,5.472,5.745,1707170.9627701002
36,2021-05-15,5.751,6.062,5.246,5.257,1916799.197619323
37,2021-05-16,5.256,5.6418,4.65,5.129,2636381.447479619
38,2021-05-17,5.133,5.16,4.438,4.707,2728086.116236609
39,2021-05-18,4.707,5.412,4.651,5.267,2430773.728305125
40,2021-05-19,5.267,5.425,2.7323,3.213,7010565.173193983
41,2021-05-20,3.22,3.986,2.745,3.5999,5137491.745585602
42,2021-05-21,3.6008,3.817,2.651,3.12,3654542.7755866796
43,2021-05-22,3.125,3.156,2.637,2.727,1925220.5428481689
44,2021-05-23,2.727,2.8861,1.78,2.335,3766508.1025042837
45,2021-05-24,2.336,3.023,2.295,2.951,3429358.9110999634
46,2021-05-25,2.949,3.105,2.536,2.891,3169276.2071634224
47,2021-05-26,2.895,3.468,2.839,3.43,4798679.653610339
48,2021-05-27,3.429,3.441,2.963,3.285,2642137.1658694064
49,2021-05-28,3.282,3.375,2.612,2.768,2742273.898998055
50,2021-05-29,2.763,2.987,2.442,2.567,2072337.4392180596
51,2021-05-30,2.569,2.991,2.406,2.884,1600059.970867661
52,2021-05-31,2.882,3.298,2.7549,3.217,2273271.4440567372
53,2021-06-01,3.201,3.273,2.981,3.122,1211232.4542362515
54,2021-06-02,3.1219,3.575,3.039,3.373,1939909.014732137
55,2021-06-03,3.376,3.595,3.329,3.495,1392478.1921175087
56,2021-06-04,3.494,3.707,3.103,3.377,2355457.4041851116
57,2021-06-05,3.388,4.016,3.342,3.687,3118818.2761462172
58,2021-06-06,3.685,4.141,3.641,3.902,2526299.4497266086
59,2021-06-07,3.911,3.912,3.345,3.403,1500113.053726092
60,2021-06-08,3.4,3.457,2.847,3.103,1916866.8253209172
61,2021-06-09,3.1,3.237,2.879,3.192,1878552.7891955266
62,2021-06-10,3.191,3.259,2.847,3.0103,1193347.3281585346
63,2021-06-11,3.0163,3.072,2.664,2.74,780425.4057154336
64,2021-06-12,2.739,2.829,2.525,2.729,675792.9155830509
65,2021-06-13,2.731,3.046,2.618,3.004,1174212.6653574307
66,2021-06-14,3.01,3.84,2.921,3.681,3291518.481254262
67,2021-06-15,3.686,3.797,3.523,3.745,890125.6957958698
68,2021-06-16,3.743,3.945,3.545,3.595,1066497.2584385956
69,2021-06-17,3.588,3.738,3.288,3.41,1150062.683312571
70,2021-06-18,3.411,3.422,3.034,3.166,637824.9101901327
71,2021-06-19,3.167,3.2095,3.005,3.017,357357.4254078644
72,2021-06-20,3.018,3.496,2.813,3.395,1047435.7576497437
73,2021-06-21,3.395,3.502,2.586,2.671,3257788.710438814
74,2021-06-22,2.669,2.9556,2.071,2.402,3999117.4272444667
75,2021-06-23,2.407,2.832,2.27,2.614,1503672.7941206465
76,2021-06-24,2.614,2.783,2.444,2.724,987928.2136666392
77,2021-06-25,2.724,2.789,2.323,2.3425,1378028.6150213415
78,2021-06-26,2.347,2.448,2.201,2.35,1068768.2205700018
79,2021-06-27,2.355,2.518,2.291,2.506,905970.6220523757
80,2021-06-28,2.511,2.6167,2.335,2.475,1570259.0356958262
81,2021-06-29,2.476,2.703,2.455,2.545,1233648.3871107746
82,2021-06-30,2.541,2.573,2.339,2.534,897306.530160936
83,2021-07-01,2.537,2.537,2.315,2.367,796013.8559948176
84,2021-07-02,2.366,2.4107,2.263,2.397,436772.3059784582
85,2021-07-03,2.397,2.496,2.334,2.4834,391878.8877387645
86,2021-07-04,2.487,2.669,2.412,2.531,714131.1685180508
87,2021-07-05,2.531,2.543,2.345,2.488,694122.3470977596
88,2021-07-06,2.489,2.93,2.487,2.841,2177321.52947582
89,2021-07-07,2.838,2.9651,2.7455,2.765,908878.2158436121
90,2021-07-08,2.749,2.776,2.458,2.512,1114578.8344782493
91,2021-07-09,2.508,2.633,2.409,2.577,621915.5369206987
