,date,open,high,low,close,volume
0,2020-11-06,28.11,28.11,28.11,28.11,0.0
1,2020-12-15,90.0,90.4,84.575,87.514,26279.173999999985
2,2020-12-16,87.999,90.0,80.705,87.696,94598.16000000012
3,2020-12-17,87.509,90.5,83.0,85.174,51752.98399999976
4,2020-12-18,85.173,90.915,80.895,90.858,42878.058999999696
5,2020-12-19,90.861,99.285,88.0,88.93,103786.99799999972
6,2020-12-20,88.777,90.34,83.92,85.765,55487.03600000009
7,2020-12-21,85.46,88.5,77.351,80.82,44514.759999999944
8,2020-12-22,80.917,88.0,75.715,84.357,57471.1259999998
9,2020-12-23,84.357,84.551,63.25,75.608,97740.49699999957
10,2020-12-24,75.536,82.112,71.146,80.633,89334.63400000021
11,2020-12-25,80.775,82.359,75.605,79.77,38711.082999999984
12,2020-12-26,79.771,79.986,73.763,75.033,38567.27800000013
13,2020-12-27,75.033,82.606,72.55,76.611,55518.3679999997
14,2020-12-28,76.857,85.889,75.991,81.798,47753.25200000004
15,2020-12-29,81.834,82.872,74.872,78.076,47995.37099999989
16,2020-12-30,78.076,85.952,77.208,80.913,50723.95599999952
17,2020-12-31,81.041,88.794,78.158,88.571,65585.69300000003
18,2021-01-01,88.614,91.127,84.92,91.119,55762.48899999991
19,2021-01-02,91.074,92.443,82.68,85.765,53502.185000000245
20,2021-01-03,85.859,95.13,81.596,93.86,85067.81099999975
21,2021-01-04,94.044,116.131,84.488,114.333,193199.61999999988
22,2021-01-05,114.343,124.22,98.0,119.923,187295.3199999994
23,2021-01-06,119.724,120.949,108.255,115.473,112892.71399999975
24,2021-01-07,115.6,129.431,107.211,115.202,142083.7729999993
25,2021-01-08,115.202,119.321,100.205,110.817,147775.51099999857
26,2021-01-09,110.8,119.82,106.049,118.144,88014.86099999983
27,2021-01-10,118.264,144.7,110.183,127.139,210357.0630000005
28,2021-01-12,114.278,137.5,109.335,127.558,183873.76399999962
29,2021-01-13,127.411,148.742,119.384,147.23,145125.71500000026
30,2021-01-14,147.477,154.9,137.358,147.412,91775.66399999082
31,2021-01-15,147.35,167.999,139.317,166.506,126022.00899999648
32,2021-01-16,166.31,204.065,166.31,181.002,257803.50499997556
33,2021-01-17,181.035,198.6,174.251,186.876,127678.20800000566
34,2021-01-18,186.5,201.494,179.106,200.41,97579.28100000045
35,2021-01-19,200.41,210.096,184.133,186.294,124259.00300000409
36,2021-01-20,186.064,199.697,171.294,196.936,125942.46100000218
37,2021-01-21,197.086,199.369,153.921,160.352,169979.384000001
38,2021-01-22,159.991,200.0,146.385,189.8,147684.29600000102
39,2021-01-23,189.723,220.717,185.6,213.919,136465.58500000287
40,2021-01-24,213.434,348.548,212.401,264.223,403365.3820000031
41,2021-01-25,264.539,283.011,238.109,248.076,271455.7879999888
42,2021-01-26,248.076,295.0,240.503,277.808,244667.41099999569
43,2021-01-27,277.674,298.0,256.0,286.685,226071.23599999852
44,2021-01-28,286.826,310.0,275.614,298.246,128131.86499998567
45,2021-01-29,298.544,309.901,270.62,288.095,185454.19899999868
46,2021-01-30,288.419,323.81,282.0,315.493,128029.96099999385
