,date,open,high,low,close,volume
0,2022-01-03,0.71224,0.75425,0.69475,0.707,68129.85257117002
1,2022-01-04,0.70875,0.7175,0.6755,0.6755,44823.11293177998
2,2022-01-05,0.6755,0.68245,0.61425,0.62982,40171.104354210016
3,2022-01-06,0.6265,0.6265,0.56,0.57894,71930.06624353
4,2022-01-07,0.57894,0.58245,0.55732,0.5614,8313.078236829999
5,2022-01-08,0.56,0.56491,0.51563,0.52795,31426.437628459997
6,2022-01-09,0.52932,0.53483,0.50325,0.52381,27607.898237079997
7,2022-01-10,0.52113,0.52113,0.44657,0.49225,57955.53561925999
8,2022-01-11,0.49088,0.52519,0.48675,0.52519,17013.038079300004
9,2022-01-12,0.52113,0.56238,0.51838,0.54038,48532.42014719
10,2022-01-13,0.54038,0.54038,0.50738,0.50738,22339.274283150007
11,2022-01-14,0.50738,0.51002,0.49225,0.50313,9097.368384910003
12,2022-01-15,0.50188,0.50188,0.48538,0.48797,7497.495598050003
13,2022-01-16,0.48675,0.48675,0.46613,0.47418,10386.801480989998
14,2022-01-17,0.47163,0.47163,0.45238,0.4604,14073.127019669999
15,2022-01-18,0.46178,0.48384,0.45238,0.47988,33914.099630389996
16,2022-01-19,0.47988,0.47988,0.45238,0.45789,12122.048828090003
17,2022-01-20,0.4604,0.50038,0.45926,0.46591,52996.02778748997
18,2022-01-21,0.46338,0.46454,0.38436,0.40999,43210.36789881999
19,2022-01-22,0.38,0.40339,0.32091,0.32091,22047.24510386
20,2022-01-23,0.37411,0.3865,0.37411,0.3819,3125.18959048
21,2022-01-24,0.3865,0.3865,0.31182,0.31636,6756.143602730001
22,2022-01-25,0.36454,0.36641,0.36454,0.36641,969.30134951
23,2022-01-26,0.32034,0.39183,0.32034,0.39183,3907.9947024800017
24,2022-01-27,0.3945,0.4025,0.34125,0.34298,7091.284773060001
25,2022-01-28,0.34298,0.36488,0.34037,0.36488,19246.31483964
26,2022-01-29,0.36488,0.38587,0.36484,0.38055,22734.21697779
27,2022-01-30,0.38238,0.392,0.38238,0.38762,9147.86150466
28,2022-01-31,0.38713,0.38713,0.36833,0.3819,18321.870481230002
29,2022-02-01,0.38142,0.38412,0.37706,0.37706,3992.4686962800006
30,2022-02-02,0.37706,0.37706,0.36134,0.36221,11996.69253981
31,2022-02-03,0.36312,0.36312,0.34737,0.35175,12394.739642289996
32,2022-02-04,0.35262,0.37362,0.35262,0.36658,20777.476403409997
33,2022-02-05,0.3657,0.3745,0.35872,0.37012,15544.935136779999
34,2022-02-06,0.36833,0.38325,0.36397,0.37531,24553.787851220004
35,2022-02-07,0.37356,0.4,0.37356,0.38229,43835.69503000999
36,2022-02-08,0.385,0.4,0.37095,0.37538,47165.43921800998
37,2022-02-09,0.37444,0.385,0.36919,0.37444,16101.210630839998
38,2022-02-10,0.37444,0.37444,0.34999,0.35962,34178.01313602
39,2022-02-11,0.35785,0.35785,0.3465,0.35437,18840.262987380007
40,2022-02-12,0.35437,0.36225,0.3465,0.34737,21572.883727670003
41,2022-02-13,0.34824,0.34912,0.33862,0.3395,5866.299120169999
42,2022-02-14,0.33862,0.33947,0.32375,0.32894,10722.38154807
43,2022-02-15,0.32894,0.34122,0.32894,0.3395,24025.726695130004
44,2022-02-16,0.3395,0.34648,0.32987,0.33245,22490.256315700008
45,2022-02-17,0.33158,0.33684,0.31587,0.31754,15400.441799870001
46,2022-02-18,0.31754,0.32105,0.29364,0.29649,24915.682599459993
47,2022-02-19,0.29473,0.29736,0.28437,0.28437,27100.690289230006
48,2022-02-20,0.28596,0.28596,0.21494,0.21494,13601.768896699998
49,2022-02-21,0.26664,0.26664,0.2169,0.25496,2914.84809974
50,2022-02-22,0.25717,0.25728,0.25717,0.25728,119.05583629
51,2022-02-23,0.23559,0.25615,0.23559,0.2391,32499.57687711
52,2022-02-24,0.2391,0.2391,0.20328,0.23559,83620.23246793004
53,2022-02-25,0.23559,0.24264,0.22795,0.24264,23839.840017340004
54,2022-02-26,0.24264,0.25674,0.24203,0.2444,25717.194441960004
55,2022-02-27,0.24499,0.25145,0.2303,0.23089,21042.52247287
56,2022-02-28,0.23147,0.26907,0.23147,0.26907,33910.66909995001
57,2022-03-01,0.26907,0.30233,0.26313,0.30233,31943.254037420003
