,date,open,high,low,close,volume
0,2021-11-23,353.95,385.33,350.38,374.46,4512.847300000028
1,2021-12-14,198.65,203.63,192.8,200.81,4813.663899999992
2,2021-12-15,200.58,213.92,190.06,207.96,3592.9399999999664
3,2021-12-16,207.96,213.75,203.45,203.45,1276.5148999999892
4,2021-12-17,203.41,206.51,188.81,191.62,2387.5591000000045
5,2021-12-18,191.62,198.22,184.97,193.35,3761.062900000002
6,2021-12-19,193.01,196.78,184.02,187.91,2364.3554
7,2021-12-20,187.72,189.57,175.96,185.22,3041.0226000000107
8,2021-12-21,184.9,190.81,182.57,185.84,2716.0456000000067
9,2021-12-22,186.06,201.13,185.84,199.14,4183.902699999985
10,2021-12-23,198.71,212.94,193.35,212.31,3159.2842000000014
11,2021-12-24,212.69,215.01,200.31,202.05,1938.3597000000061
12,2021-12-25,202.16,207.66,198.92,204.06,1347.6241000000032
13,2021-12-26,203.8,205.28,196.61,202.59,1156.494299999999
14,2021-12-27,202.9,232.73,201.22,223.18,9624.081600000038
15,2021-12-28,223.53,296.62,220.37,250.67,68089.51139999524
16,2021-12-29,249.82,284.07,234.92,236.3,34645.094600001226
17,2021-12-30,236.44,245.21,228.89,236.87,11908.53949999999
18,2021-12-31,236.1,288.14,232.48,274.55,15737.72949999934
19,2022-01-01,274.41,331.83,268.1,315.9,21945.572900000094
20,2022-01-02,316.0,329.1,298.32,318.31,10840.680499999915
21,2022-01-03,317.59,364.11,317.59,323.75,17131.30849999944
22,2022-01-04,324.83,330.25,295.16,296.05,9023.72770000013
23,2022-01-05,294.85,391.81,294.85,364.59,30705.021600003063
24,2022-01-06,365.04,418.91,342.92,355.57,51764.33569999204
25,2022-01-07,355.22,355.67,296.76,309.19,18105.033699999247
26,2022-01-08,309.19,314.04,270.52,284.91,8239.75720000011
27,2022-01-09,285.19,302.23,277.85,285.39,5083.241800000035
28,2022-01-10,284.9,297.76,253.76,271.1,6306.758100000096
29,2022-01-11,270.64,304.61,264.17,304.32,11313.52759999998
30,2022-01-12,304.11,337.47,286.16,311.0,14697.730699999876
31,2022-01-13,311.27,331.65,299.3,302.37,8348.897800000173
32,2022-01-14,302.46,329.88,297.62,314.77,8880.66920000011
33,2022-01-15,315.12,316.58,301.5,311.67,4281.260199999975
34,2022-01-16,311.91,311.91,289.77,296.88,2354.942200000007
35,2022-01-17,296.58,298.16,260.0,264.98,3795.4682999999736
36,2022-01-18,265.24,272.88,239.6,248.83,6847.262700000048
37,2022-01-19,248.72,249.66,226.81,227.58,2643.7398000000067
38,2022-01-20,226.86,257.19,221.34,221.76,6092.250200000037
39,2022-01-21,221.83,234.15,171.19,175.87,14896.508299999625
40,2022-01-22,176.22,182.97,149.53,159.35,13011.40229999978
41,2022-01-23,159.49,170.73,156.88,168.35,5559.69520000003
42,2022-01-24,167.84,168.1,141.98,156.79,6378.671000000048
43,2022-01-25,156.55,157.97,145.0,149.9,4807.167900000025
44,2022-01-26,149.53,163.58,144.46,147.13,11220.708199999808
45,2022-01-27,147.29,149.48,135.02,142.01,5365.346500000007
46,2022-01-28,142.42,175.25,139.3,169.99,12837.53659999984
47,2022-01-29,170.56,179.11,166.18,173.28,6920.536600000088
48,2022-01-30,172.76,176.76,164.02,167.32,3757.818400000006
49,2022-01-31,167.45,175.61,158.98,171.65,2747.254100000001
50,2022-02-01,171.48,189.0,169.92,178.57,6650.104900000068
51,2022-02-02,179.27,184.55,159.16,160.16,3660.240199999995
52,2022-02-03,160.22,160.96,150.82,154.88,3550.2098999999885
53,2022-02-04,154.99,181.98,154.43,179.45,7513.861999999983
54,2022-02-05,180.56,182.57,174.25,176.97,2825.46429999998
55,2022-02-06,177.7,179.99,171.14,177.22,3131.8263999999926
56,2022-02-07,177.28,188.76,173.36,183.65,4194.281699999967
57,2022-02-08,184.2,190.1,171.0,177.45,4036.26939999999
58,2022-02-09,177.27,187.35,171.74,183.09,3670.083899999983
59,2022-02-10,183.59,191.18,171.55,174.02,6579.6240000000025
60,2022-02-11,178.74,181.72,159.87,161.97,2833.2204000000024
61,2022-02-12,160.97,165.55,153.63,161.33,3279.024799999987
62,2022-02-13,160.83,164.68,153.64,156.98,1676.7403999999988
63,2022-02-14,156.06,160.24,152.99,157.38,1914.4697000000024
64,2022-02-15,157.4,174.07,155.69,173.84,1854.2717000000107
65,2022-02-16,173.5,173.87,165.0,170.28,2332.6786999999977
66,2022-02-17,170.44,171.33,150.01,151.45,3474.737699999977
67,2022-02-18,151.91,156.58,142.88,146.02,3004.811300000008
68,2022-02-19,145.82,148.09,140.0,142.76,1864.289900000006
69,2022-02-20,142.97,143.32,135.12,136.12,4143.083699999981
70,2022-02-21,136.01,144.49,131.42,131.65,3017.525799999985
71,2022-02-22,131.91,136.09,128.42,133.8,2304.6101000000153
72,2022-02-23,133.71,143.73,129.78,130.78,2514.037399999996
73,2022-02-24,130.24,130.82,109.29,123.28,5796.5238000000445
74,2022-02-25,123.16,131.62,122.03,128.5,1911.4341000000068
75,2022-02-26,128.27,137.0,128.27,130.4,1690.1416000000024
76,2022-02-27,130.59,131.52,119.6,121.01,1546.874700000002
77,2022-02-28,120.44,140.44,118.68,135.92,2012.1338999999925
78,2022-03-01,136.26,146.53,135.73,141.91,4219.338899999976
79,2022-03-02,141.9,143.09,124.06,127.1,10306.393100000114
80,2022-03-03,127.39,129.0,114.51,117.69,6556.671500000007
81,2022-03-04,117.5,117.67,106.94,108.05,8382.1525
82,2022-03-05,108.56,124.86,107.84,115.5,8217.4958
83,2022-03-06,115.23,128.67,107.0,110.29,7342.913400000097
84,2022-03-07,110.26,114.19,104.53,106.83,4479.1017999999995
85,2022-03-08,106.83,115.13,106.32,108.8,1656.265000000017
86,2022-03-09,109.16,117.37,108.71,112.73,2227.193000000011
87,2022-03-10,112.72,113.03,97.62,101.16,14254.099000000031
88,2022-03-11,101.0,101.02,93.61,94.2,8353.817300000033
89,2022-03-12,93.77,96.8,92.21,92.68,4099.541000000003
90,2022-03-13,92.7,109.14,90.58,95.56,15446.989399999999
91,2022-03-14,95.38,108.0,92.0,94.22,33556.60449999994
92,2022-03-15,94.37,104.62,91.52,94.15,23778.113400000053
93,2022-03-16,93.73,98.0,91.32,93.62,15042.416399999967
94,2022-03-17,93.63,99.57,93.16,96.48,13839.529899999758
95,2022-03-18,96.48,99.06,93.3,96.99,10353.275300000098
96,2022-03-19,96.99,106.37,95.65,102.91,16226.882599999497
97,2022-03-20,102.95,116.69,99.48,105.13,22587.02950000128
98,2022-03-21,105.9,107.11,100.12,102.78,10397.187899999766
99,2022-03-22,103.12,106.96,100.51,100.56,9008.717199999957
100,2022-03-23,100.59,105.2,98.17,102.46,15769.557699999383
101,2022-03-24,102.66,110.77,98.59,105.94,17191.550399999425
102,2022-03-25,105.98,121.48,105.36,106.39,39383.75999999671
103,2022-03-26,106.29,120.0,105.21,118.08,25163.826299999644
104,2022-03-27,118.55,126.95,114.26,123.43,23414.2862999996
105,2022-03-28,123.61,127.25,115.49,115.75,13020.406099999795
106,2022-03-29,115.71,125.11,113.01,118.51,14177.008899999568
107,2022-03-30,118.52,126.88,114.0,124.8,20130.937500000135
108,2022-03-31,124.58,133.81,113.99,115.11,16371.64209999941
109,2022-04-01,115.11,133.3,112.92,127.52,12963.162599999467
110,2022-04-02,127.59,134.67,124.41,125.06,6852.680699999947
