,date,open,high,low,close,volume
0,2020-10-17,0.00502548,0.00502548,0.00487201,0.00487201,20000
1,2020-10-21,0.00995174,0.00995174,0.00995174,0.00995174,100
2,2020-10-22,0.00995162,0.00995162,0.00994277,0.00994277,9310
3,2020-10-29,0.00991458,0.00991458,0.00991458,0.00991458,10
4,2020-11-04,0.0079899,0.011,0.00744399,0.01011197,61010
5,2020-11-05,0.01199999,0.01199999,0.01199999,0.01199999,20
6,2020-11-06,0.012,0.012,0.012,0.012,10
7,2020-11-11,0.012,0.012,0.012,0.012,10
8,2020-11-15,0.00781853,0.01198084,0.00781853,0.01198084,140
9,2020-11-17,0.009,0.009,0.009,0.009,110
10,2020-11-19,0.01106975,0.01189998,0.01106857,0.01189998,4850
11,2020-11-20,0.01189998,0.01189998,0.01189998,0.01189998,120
12,2020-11-21,0.00779906,0.01189998,0.00779906,0.01189998,420
13,2020-11-22,0.00806834,0.01169999,0.00806834,0.01169999,20
14,2020-11-23,0.01169999,0.01169999,0.00828038,0.01169999,60
15,2020-11-24,0.00853755,0.00853755,0.00853755,0.00853755,80
16,2020-11-25,0.0085435,0.00999918,0.00777108,0.00999604,2550
17,2020-11-26,0.00777108,0.00777108,0.0065006,0.0065006,3930
18,2020-11-27,0.00999066,0.00999066,0.00999066,0.00999066,100
19,2020-11-28,0.00650076,0.00942354,0.00650076,0.00942354,1790
20,2020-11-29,0.00650077,0.00650077,0.00650076,0.00650076,230
21,2020-12-04,0.00957656,0.00999999,0.00957656,0.00999999,690
22,2020-12-05,0.00665599,0.00665599,0.00665599,0.00665599,10
23,2020-12-06,0.0099999,0.0099999,0.0099999,0.0099999,40
24,2020-12-07,0.00681118,0.00681118,0.00681062,0.00681062,8390
25,2020-12-13,0.0078091,0.04999999,0.0053413,0.005975,246300
26,2020-12-14,0.0076,0.0076,0.0076,0.0076,170
27,2020-12-15,0.01148899,0.01148899,0.01148899,0.01148899,10
28,2020-12-16,0.01148899,0.01148899,0.00521462,0.01148428,520
29,2020-12-17,0.01053871,0.01053871,0.01053871,0.01053871,1900
30,2020-12-20,0.00649637,0.01148438,0.00520202,0.00520202,4050
31,2020-12-21,0.01144632,0.01144632,0.01025646,0.01025647,500
32,2020-12-22,0.01025486,0.01025486,0.00520207,0.00520207,1970
33,2020-12-23,0.0102378,0.0102378,0.00520208,0.00620208,190
34,2020-12-24,0.00520208,0.00520208,0.00520208,0.00520208,150
35,2020-12-25,0.00992728,0.00992728,0.00520212,0.00520212,60
36,2020-12-26,0.00989995,0.0099,0.00989995,0.0099,20
37,2020-12-27,0.008,0.00987569,0.0054956,0.00987569,50
38,2020-12-31,0.00549719,0.00549719,0.00549719,0.00549719,2370
39,2021-01-02,0.00549719,0.02197833,0.00549719,0.0058005,43270
40,2021-01-03,0.01988841,0.01988841,0.007,0.0070005,70
41,2021-01-04,0.0070005,0.0159,0.00541644,0.00541644,6090
42,2021-01-05,0.005203,0.005203,0.005073,0.005073,3490
43,2021-01-06,0.00508,0.01089947,0.00508,0.0108994,5990
44,2021-01-07,0.01089937,0.01089937,0.0055,0.0055,5870
45,2021-01-08,0.00794999,0.00794999,0.0056,0.0056,350
46,2021-01-09,0.0056,0.00787048,0.0056,0.00787048,1190
47,2021-01-10,0.00787049,0.00999999,0.00787049,0.00999999,120
48,2021-01-11,0.00560001,0.00999998,0.0056,0.00999998,3260
49,2021-01-12,0.00560001,0.00560001,0.00508201,0.00508201,850
50,2021-01-13,0.00659999,0.0066,0.00659999,0.0066,2160
51,2021-01-14,0.00780591,0.00780591,0.00780591,0.00780591,10
52,2021-01-15,0.00780591,0.00780594,0.00635739,0.00635739,6550
53,2021-01-18,0.00634474,0.00634474,0.00634474,0.00634474,10
54,2021-01-19,0.00634474,0.00634474,0.00634474,0.00634474,110
55,2021-01-21,0.00562228,0.00562228,0.00562228,0.00562228,40
56,2021-01-22,0.00999997,0.0104,0.00999997,0.0104,350
57,2021-01-23,0.0103999,0.0104,0.00568265,0.0104,2530
58,2021-01-24,0.01039997,0.01039997,0.00508201,0.006,2190
59,2021-01-25,0.007,0.008,0.007,0.008,20
60,2021-01-28,0.00899994,0.00899994,0.00511094,0.00899994,40
61,2021-01-31,0.00521197,0.00899981,0.00521197,0.00899981,660
62,2021-02-01,0.00549158,0.00549158,0.00549158,0.00549158,50
63,2021-02-02,0.00845053,0.00845053,0.00845053,0.00845053,9520
64,2021-02-03,0.00899992,0.00899994,0.00898688,0.00899994,12840
65,2021-02-05,0.00580198,0.00899994,0.00580198,0.00899994,510
66,2021-02-06,0.00582147,0.00620464,0.00582147,0.00620464,1240
67,2021-02-07,0.00812433,0.00898987,0.00812433,0.00898987,3640
68,2021-02-09,0.00898988,0.00899994,0.00898988,0.00899994,220
69,2021-02-10,0.00656253,0.00656253,0.00656253,0.00656253,150
70,2021-02-11,0.00654475,0.00688001,0.00654475,0.00688,540
