,date,open,high,low,close,volume
0,2020-10-12,0.84366,0.8718,0.7919,0.82023,261422.69789078977
1,2020-10-13,0.81933,0.8372,0.79,0.79026,57000.575116149994
2,2020-10-14,0.79,0.97,0.78662,0.89596,150457.23534638
3,2020-10-15,0.89545,1.01,0.88974,0.89643,70908.06385667995
4,2020-10-16,0.89464,0.957,0.87001,0.94208,21512.835114430003
5,2020-10-17,0.93573,1.328,0.93554,1.2801,173548.8675794299
6,2020-10-18,1.2855,1.42,1.02,1.0627,402585.8221326895
7,2020-10-19,1.0639,1.09,0.89425,1.0221,238730.7020799097
8,2020-10-20,1.0243,1.0243,0.88132,0.88187,199599.25906050007
9,2020-10-21,0.8849,1.1383,0.88,1.0015,342528.3005622198
10,2020-10-22,1.0036,1.1987,0.99617,1.1943,433707.75943343964
11,2020-10-23,1.1964,1.2,1.0719,1.1125,111524.79138326981
12,2020-10-24,1.112,1.24,1.0831,1.24,153522.47455854024
13,2020-10-25,1.2399,1.347,1.1655,1.2805,142236.0638371301
14,2020-10-26,1.3169,1.3609,1.005,1.1396,368159.8119546999
15,2020-10-27,1.1425,1.2679,1.1224,1.16,126075.24742122996
16,2020-10-28,1.1667,1.2353,1.02,1.1082,226094.33132888988
17,2020-10-29,1.1083,1.146,1.0356,1.04,118262.38476850002
18,2020-10-30,1.04,1.0606,0.83391,0.86165,353664.8300156799
19,2020-10-31,0.86141,1.0679,0.85142,1.02,275343.1162073498
20,2020-11-01,1.0359,1.06,0.9718,1.0598,85107.70826676999
21,2020-11-02,1.0498,1.18,1.0497,1.1151,158722.3570815999
22,2020-11-03,1.11,1.2389,1.0374,1.2337,318066.1979181195
23,2020-11-04,1.2333,1.2687,1.1501,1.244,117275.86318079993
24,2020-11-05,1.2495,1.3,1.178,1.2539,153487.05481652988
25,2020-11-06,1.2588,1.446,1.1824,1.3378,236209.35744108
26,2020-11-07,1.3353,1.3834,1.205,1.2323,128132.16235474017
27,2020-11-08,1.2323,1.3805,1.2192,1.3499,132185.38503479987
28,2020-11-09,1.3499,1.3642,1.1713,1.2487,189737.9098886199
29,2020-11-10,1.2446,1.28,1.19,1.2742,126291.75857792005
30,2020-11-11,1.262,1.3249,1.1373,1.2136,160771.3068226101
31,2020-11-12,1.2141,1.2289,1.0616,1.0822,96366.43073031021
32,2020-11-13,1.0708,1.1672,1.0553,1.1626,116788.3846270299
33,2020-11-14,1.158,1.1755,1.083,1.0955,92319.82499006993
34,2020-11-15,1.1,1.1417,1.0194,1.0296,142687.8993189098
35,2020-11-16,1.0252,1.0464,1.0,1.0274,96280.34287297986
36,2020-11-17,1.0263,1.0722,1.0123,1.0722,100895.7150774801
37,2020-11-18,1.0707,1.0722,0.948,0.95377,117694.03665944985
38,2020-11-19,0.95395,0.98,0.90357,0.94756,75576.25266896996
39,2020-11-20,0.94822,1.112,0.93959,1.1,93135.37670212012
40,2020-11-21,1.1021,1.23,1.011,1.1835,179244.59704087066
41,2020-11-22,1.1799,1.2799,1.0911,1.2124,134189.56199829985
42,2020-11-23,1.2151,1.2204,1.1151,1.1379,79087.59872563997
43,2020-11-24,1.1514,1.2995,1.147,1.28,106206.27846621956
44,2020-11-25,1.28,1.3305,1.19,1.255,209386.8951082398
45,2020-11-26,1.2195,1.28,1.1016,1.2364,169845.67967531885
46,2020-11-27,1.25,1.3184,1.15,1.1695,95957.45314885998
47,2020-11-28,1.1534,1.3,1.142,1.2886,50779.48077646002
48,2020-11-29,1.2891,1.4198,1.2125,1.4,105747.81194623995
49,2020-11-30,1.4171,1.5411,1.3507,1.4649,88672.17232774996
50,2020-12-01,1.4473,1.667,1.397,1.5147,99419.34049044999
51,2020-12-02,1.5728,1.701,1.4499,1.701,208870.82538399973
52,2020-12-03,1.7,1.7173,1.5,1.6701,205283.12382959027
53,2020-12-04,1.6904,1.6964,1.1656,1.194,224572.32182083995
54,2020-12-05,1.1896,1.4356,1.1821,1.3533,90199.31596887004
55,2020-12-06,1.37,1.4087,1.1881,1.3,111702.45364167001
56,2020-12-07,1.3056,1.3263,1.2066,1.2931,62627.36620777008
57,2020-12-08,1.3093,1.33,1.0638,1.0809,227872.2531877899
58,2020-12-09,1.0827,1.0961,0.86962,1.064,406751.33781754
59,2020-12-10,1.0654,1.0666,0.9073,0.91798,114056.50824693993
60,2020-12-11,0.91871,0.91991,0.82715,0.83592,228339.1601065204
61,2020-12-12,0.83653,0.93569,0.82001,0.93569,193925.98752026053
62,2020-12-13,0.9393,1.15,0.937,1.0875,231374.79053721
63,2020-12-14,1.0862,1.0995,0.9925,1.06,63759.37744945997
64,2020-12-15,1.06,1.0721,0.9813,0.98131,66970.09728198999
65,2020-12-16,0.99347,1.127,0.94714,1.0049,162089.1589218388
