,date,open,high,low,close,volume
0,2021-03-25,0.11,0.1788,0.09233,0.12194,998578888.0
1,2021-03-26,0.12195,0.1527,0.1111,0.13311,1331484660.0
2,2021-03-27,0.13311,0.1975,0.1274,0.19135,1491890698.0
3,2021-03-28,0.1913,0.21764,0.16207,0.16646,1350096271.0
4,2021-03-29,0.16613,0.187,0.1575,0.165,733841054.0
5,2021-03-30,0.16524,0.175,0.161,0.16526,498898836.0
6,2021-03-31,0.16518,0.16533,0.14717,0.15743,387232234.0
7,2021-04-01,0.15744,0.172,0.15444,0.16181,405620855.0
8,2021-04-02,0.16181,0.186,0.16001,0.1693,557284873.0
9,2021-04-03,0.16948,0.1759,0.15232,0.1528,285715256.0
10,2021-04-04,0.1526,0.16344,0.1501,0.16126,184334591.0
11,2021-04-05,0.16146,0.16573,0.1522,0.15713,243421124.0
12,2021-04-06,0.15712,0.15956,0.13914,0.14963,362268676.0
13,2021-04-07,0.14932,0.1506,0.1202,0.13735,563331403.0
14,2021-04-08,0.13688,0.15599,0.13558,0.15446,366111128.0
15,2021-04-09,0.15447,0.165,0.1469,0.15746,364351514.0
16,2021-04-10,0.15717,0.161,0.14532,0.14977,229956908.0
17,2021-04-11,0.14948,0.15033,0.1428,0.14668,154869485.0
18,2021-04-12,0.14667,0.16195,0.14626,0.15915,276952683.0
19,2021-04-13,0.15886,0.1648,0.15113,0.16356,239281250.0
20,2021-04-14,0.1634,0.1645,0.15,0.15587,212271984.0
21,2021-04-15,0.15587,0.172,0.15378,0.17183,275789849.0
22,2021-04-16,0.17183,0.2065,0.161,0.18401,952938412.0
23,2021-04-17,0.18426,0.205,0.17734,0.18591,471596716.0
24,2021-04-18,0.18631,0.19234,0.1515,0.1663,427996965.0
25,2021-04-19,0.16608,0.17,0.15,0.15061,251449491.0
26,2021-04-20,0.15095,0.15469,0.13756,0.15393,296382973.0
27,2021-04-21,0.15356,0.15956,0.14612,0.14706,216537197.0
28,2021-04-22,0.14705,0.15424,0.13,0.13423,295174568.0
29,2021-04-23,0.13423,0.13899,0.10012,0.13729,476578382.0
30,2021-04-24,0.13729,0.13855,0.1234,0.12462,222253272.0
31,2021-04-25,0.12461,0.13398,0.11757,0.12616,185096715.0
32,2021-04-26,0.12616,0.1475,0.12404,0.14623,303034818.0
33,2021-04-27,0.14624,0.1599,0.142,0.15376,254967075.0
34,2021-04-28,0.15358,0.18199,0.15357,0.17321,698483303.0
35,2021-04-29,0.1732,0.17327,0.15601,0.16436,307865613.0
36,2021-04-30,0.16436,0.1777,0.1603,0.17715,225738277.0
37,2021-05-01,0.17715,0.1898,0.17179,0.17832,330583553.0
38,2021-05-02,0.17832,0.17866,0.166,0.17124,172691456.0
39,2021-05-03,0.17136,0.17827,0.17,0.17021,231487298.0
40,2021-05-04,0.17021,0.1735,0.15112,0.15407,317707601.0
41,2021-05-05,0.15407,0.167,0.15258,0.16379,319290111.0
42,2021-05-06,0.16394,0.168,0.1552,0.15923,335918713.0
43,2021-05-07,0.15923,0.17056,0.1565,0.16267,255819904.0
44,2021-05-08,0.16273,0.16777,0.159,0.16087,209106519.0
45,2021-05-09,0.16068,0.16245,0.15261,0.1581,219987734.0
46,2021-05-10,0.15823,0.163,0.13572,0.143,336587061.0
47,2021-05-11,0.14307,0.16,0.14049,0.15875,235905527.0
48,2021-05-12,0.15878,0.16276,0.135,0.13697,309281252.0
49,2021-05-13,0.13703,0.15025,0.12641,0.13528,361255831.0
50,2021-05-14,0.13549,0.14766,0.13465,0.14395,240197363.0
51,2021-05-15,0.14384,0.1457,0.13279,0.13433,246176677.0
52,2021-05-16,0.13414,0.15338,0.13096,0.1412,365954483.0
53,2021-05-17,0.14096,0.142,0.1244,0.1323,269209738.0
54,2021-05-18,0.1321,0.165,0.13127,0.15527,662322476.0
55,2021-05-19,0.15543,0.1641,0.08,0.11023,790679508.0
56,2021-05-20,0.1102,0.13384,0.1,0.12539,484511824.0
57,2021-05-21,0.12546,0.145,0.102,0.12198,515707387.0
58,2021-05-22,0.12177,0.1268,0.1055,0.11143,229654376.0
59,2021-05-23,0.11152,0.11405,0.079,0.10123,420522343.0
60,2021-05-24,0.10137,0.11383,0.09705,0.1128,346487674.0
61,2021-05-25,0.11295,0.116,0.0996,0.10587,304073404.0
62,2021-05-26,0.10597,0.11565,0.10404,0.11449,347222588.0
63,2021-05-27,0.11493,0.11651,0.105,0.10926,253355830.0
64,2021-05-28,0.10932,0.11114,0.09455,0.10016,207134271.0
65,2021-05-29,0.10023,0.10461,0.08933,0.09467,185789558.0
66,2021-05-30,0.09476,0.10399,0.08861,0.10005,154060240.0
67,2021-05-31,0.09994,0.11,0.09583,0.10638,183105747.0
68,2021-06-01,0.1063,0.11047,0.10379,0.107,122633153.0
