,date,open,high,low,close,volume
0,2020-10-12,3.8382,3.8447,3.6182,3.7873,1438.3280972699997
1,2020-10-13,3.7044,3.7044,3.55,3.599,1108.34124349
2,2020-10-14,3.5999,3.5999,3.4122,3.4224,5863.621200730007
3,2020-10-15,3.395,3.482,3.2127,3.2751,22312.27455494001
4,2020-10-16,3.286,3.3952,3.1576,3.2294,14244.420054670005
5,2020-10-18,3.2512,3.2983,3.2512,3.2983,251.51637427999998
6,2020-10-19,3.2731,3.2891,3.25,3.25,570.95224201
7,2020-10-20,3.2219,3.2219,2.8997,2.8997,2057.00299857
8,2020-10-21,2.8758,3.0704,2.839,3.063,4692.14462318
9,2020-10-22,3.0347,3.1666,2.9564,3.1666,1162.32300306
10,2020-10-23,3.1231,3.3998,3.1231,3.3255,1525.65580195
11,2020-10-24,3.3591,3.3591,3.2767,3.2767,1645.8010251700002
12,2020-10-25,3.2859,3.2859,3.1668,3.1669,1663.0921388099998
13,2020-10-26,3.1898,3.1898,3.0023,3.0023,543.5561177300001
14,2020-10-27,3.0203,3.5901,3.0203,3.3364,13374.7119124
15,2020-10-28,3.4336,3.848,3.0278,3.082,20023.868275689998
16,2020-10-29,3.1208,3.5057,3.0038,3.0706,10996.377364209997
17,2020-10-30,3.0383,3.0506,2.9121,3.0118,6522.50609079
18,2020-10-31,3.0856,3.1581,3.023,3.1208,5848.837440100003
19,2020-11-02,3.0897,3.1073,3.0236,3.0236,1602.07709698
20,2020-11-03,2.981,2.981,2.8018,2.8301,1337.6515023000002
21,2020-11-04,2.8303,2.8303,2.6959,2.7903,3726.0805855100007
22,2020-11-05,2.7975,2.9028,2.7098,2.8648,6457.05448732
23,2020-11-06,2.9322,3.1508,2.9175,3.1185,4839.682308160001
24,2020-11-07,3.0516,3.29,2.8152,2.9021,10892.342954870004
25,2020-11-08,2.8969,3.09,2.8969,3.09,2210.7020679800003
26,2020-11-09,3.1019,3.1234,3.0216,3.0723,3761.1397815299997
27,2020-11-10,3.0816,3.4682,3.0681,3.2476,5981.64004121
28,2020-11-11,3.2589,3.5951,3.2589,3.5428,7150.4240766699995
29,2020-11-12,3.5426,3.5426,3.2368,3.2368,5888.978845099997
30,2020-11-13,3.2129,3.5873,3.2129,3.4852,3964.88095384
31,2020-11-14,3.471,3.471,3.2217,3.3052,1858.32714129
32,2020-11-15,3.2763,3.3529,3.2285,3.2285,1285.7906427900002
33,2020-11-16,3.1954,3.3204,3.1954,3.3022,1901.1452245699998
34,2020-11-17,3.2164,3.3793,3.1633,3.3112,4710.8377731
35,2020-11-18,3.3421,3.5278,3.0122,3.1182,50763.16157045001
36,2020-11-19,3.172,3.172,3.0211,3.0695,9586.539825170006
37,2020-11-20,3.0784,3.2218,3.0784,3.1097,6175.20376412
38,2020-11-21,3.151,3.4824,3.148,3.482,8511.171063399997
39,2020-11-22,3.49,4.2649,3.49,3.9004,42588.181289359985
40,2020-11-23,3.9548,4.4071,3.9163,4.1387,10130.692123489996
41,2020-11-24,4.1185,4.328,3.9661,4.0085,11757.671990259996
42,2020-11-25,4.0,4.0569,3.604,3.7211,22183.28861687
43,2020-11-26,3.721,3.7495,3.0092,3.2714,107998.51557493022
44,2020-11-27,3.2771,3.3878,3.0346,3.1494,41084.851294610016
45,2020-11-28,3.1433,3.3673,3.118,3.2738,30777.485927279984
46,2020-11-29,3.2404,3.3178,3.1644,3.2642,19125.10145022001
47,2020-11-30,3.2979,3.4565,3.2233,3.4212,29091.784692790017
48,2020-12-01,3.4336,3.6463,3.1803,3.3999,149942.28821380012
49,2020-12-02,3.3395,3.49,3.2589,3.4347,34678.66442460999
50,2020-12-03,3.4246,3.4767,3.3283,3.365,29890.735819760015
51,2020-12-04,3.39,3.452,3.156,3.2098,32820.56907385
52,2020-12-05,3.2099,3.2861,3.153,3.2787,28593.04608056
53,2020-12-06,3.2906,3.59,3.2144,3.4495,41547.95215007997
54,2020-12-07,3.4625,3.5024,3.309,3.3942,39421.671193160015
55,2020-12-08,3.3799,3.4076,3.0761,3.0983,35764.69717244003
56,2020-12-09,3.099,3.1731,3.0238,3.0692,23665.435454090002
57,2020-12-10,3.0469,3.0992,2.9518,3.0456,35773.25282193002
58,2020-12-11,3.0121,3.026,2.8368,2.9001,28937.315573819997
59,2020-12-12,2.9233,3.012,2.9209,2.9656,35326.749342479976
60,2020-12-13,2.9641,3.1029,2.9641,3.0045,37369.937101119984
61,2020-12-14,3.001,3.021,2.9089,2.9742,37981.42085488996
62,2020-12-15,2.9717,3.1508,2.9398,3.0607,37749.87221257999
63,2020-12-16,3.0593,3.1478,3.039,3.1271,38715.011113800036
64,2020-12-17,3.1194,3.2281,3.0291,3.0989,130274.65155898016
65,2020-12-18,3.1126,3.199,3.0803,3.1565,35677.169396829995
66,2020-12-19,3.1333,3.275,3.1262,3.19,37644.40824919997
67,2020-12-20,3.19,3.2008,3.0345,3.0964,22995.852195969986
68,2020-12-21,3.0931,3.1033,2.8147,2.8617,214237.44503708003
69,2020-12-22,2.868,2.9747,2.8129,2.9405,41214.72251352
70,2020-12-23,2.9167,2.9516,2.6024,2.6734,27641.85250596999
71,2020-12-24,2.651,2.7766,2.65,2.7752,2198.27303425
72,2020-12-25,2.7895,2.8834,2.7889,2.8694,720.9454633600001
73,2020-12-26,2.86,2.8898,2.8301,2.8574,1715.7863989299997
74,2020-12-27,2.859,2.9883,2.7802,2.8988,18726.869661819987
75,2020-12-28,2.8808,3.064,2.8808,3.0137,949.1001298799998
76,2020-12-29,2.9413,2.9814,2.9164,2.9164,143.71902666
77,2020-12-30,2.9806,3.09,2.9536,3.0122,2755.7299776
78,2020-12-31,3.0291,3.0471,3.0161,3.0306,937.1905475200001
79,2021-01-01,3.1227,3.2258,3.0664,3.211,441.25362439
80,2021-01-02,3.1835,3.1858,3.0205,3.0995,55549.76136976
81,2021-01-03,3.1357,3.2059,3.0111,3.0504,14834.717596609995
82,2021-01-04,3.0538,3.4145,3.0538,3.2913,31380.706447750003
83,2021-01-05,3.3487,3.3812,3.224,3.2568,8750.975677530003
84,2021-01-06,3.327,3.5734,3.2645,3.4558,138750.9231955799
85,2021-01-07,3.4514,3.818,3.3398,3.4427,46223.09714253
86,2021-01-08,3.3893,3.5478,3.0581,3.2333,14065.016220709997
87,2021-01-09,3.3071,3.6,3.1996,3.4855,6398.325908659998
88,2021-01-10,3.6535,3.9143,3.3721,3.8018,3110.6682216500017
89,2021-01-11,3.7985,3.7985,3.0443,3.2363,200589.6985790702
90,2021-01-12,3.3389,3.3389,3.0315,3.2203,5648.1390430599995
91,2021-01-13,3.1159,3.3397,3.0961,3.2889,5788.323710160001
92,2021-01-14,3.2899,3.4679,3.1795,3.3375,11717.203407849998
93,2021-01-15,3.2532,3.5525,3.2206,3.3781,8283.63978771
94,2021-01-16,3.3661,3.6177,3.3661,3.5407,6787.124433920002
95,2021-01-17,3.52,5.2236,3.4369,4.8365,17813.923346249998
96,2021-01-18,4.9282,5.1403,4.1757,4.337,8598.400300139998
97,2021-01-19,4.2911,4.3888,3.9941,4.003,9657.52048385
98,2021-01-20,3.9968,4.1596,3.7092,3.8819,9723.755687140003
99,2021-01-21,4.0612,4.0612,3.4152,3.4193,6052.211113560002
100,2021-01-22,3.4172,3.4819,3.0207,3.412,33625.78689158998
101,2021-01-23,3.3062,3.8782,3.2746,3.7108,9069.047442719997
102,2021-01-24,3.6833,4.4,3.6783,4.255,25070.202379079998
103,2021-01-25,4.2427,4.3484,3.903,3.903,17837.194490790007
104,2021-01-26,3.9528,4.1361,3.5969,4.0223,3159.37051052
105,2021-01-27,3.924,3.924,3.4455,3.4671,5122.292492599999
106,2021-01-28,3.4937,4.0644,3.4823,3.8618,11010.640998289993
107,2021-01-29,3.8966,3.9468,3.5776,3.7589,18912.191146770132
108,2021-01-30,3.7462,4.0862,3.7462,3.9832,7318.135770400001
109,2021-01-31,3.9629,4.3171,3.8827,4.1915,7136.930348670007
110,2021-02-01,4.1501,4.4594,4.066,4.2808,10747.28165394
111,2021-02-02,4.2688,4.2688,4.1083,4.1784,7235.342597979999
112,2021-02-03,4.1241,4.2743,4.0671,4.2419,3269.4400210900035
113,2021-02-04,4.2652,4.7658,4.168,4.5802,4967.667582879997
114,2021-02-05,4.5007,6.7062,4.5007,5.957,15683.192740370014
115,2021-02-06,5.9907,5.9907,5.1825,5.4145,10321.903180480003
116,2021-02-07,5.5697,5.5697,4.6569,5.2037,2262.4461298700003
117,2021-02-08,5.1987,5.7543,5.1087,5.5814,11050.934750749995
118,2021-02-09,5.602,5.8054,5.3736,5.7224,14342.41151166
119,2021-02-10,5.7572,5.9479,5.1081,5.5362,9434.227208370003
120,2021-02-11,5.5057,6.4901,5.5057,6.2112,11361.622632379995
121,2021-02-12,6.416,7.009,6.3635,6.7949,4527.9652221999995
122,2021-02-13,6.9736,7.2852,6.2362,7.1228,7468.614318010001
123,2021-02-14,7.2011,7.509,6.2649,6.4956,4269.072511389996
