,date,open,high,low,close,volume
0,2022-03-24,13.327,14.473,12.743,12.914,8506683.56361493
1,2022-03-25,12.9,13.7,12.245,12.393,5305064.687830498
2,2022-03-26,12.395,14.259,12.363,13.846,4155560.5385134043
3,2022-03-27,13.838,14.358,13.25,14.276,3245666.4337900286
4,2022-03-28,14.278,15.585,13.894,14.023,5995406.826401413
5,2022-03-29,14.02,14.574,13.352,13.604,4417762.43231324
6,2022-03-30,13.603,14.58,13.042,14.219,4604171.734186772
7,2022-03-31,14.206,14.387,12.52,12.702,4521235.611792945
8,2022-04-01,12.711,13.624,12.242,12.817,3675827.270639191
9,2022-04-02,12.82,13.818,12.37,12.433,2642040.7492799973
10,2022-04-03,12.435,12.917,11.9,12.389,2224548.3016426763
11,2022-04-04,12.389,12.427,11.144,11.935,2914276.2373292306
12,2022-04-05,11.931,12.798,11.519,11.631,3183410.484778611
13,2022-04-06,11.637,12.045,10.542,10.656,4245670.038209627
14,2022-04-07,10.659,11.295,10.617,11.175,3211074.54492703
15,2022-04-08,11.18,11.619,10.676,10.786,2322050.265846127
16,2022-04-09,10.779,11.049,10.6,10.976,761953.5657427894
17,2022-04-10,10.976,12.392,10.832,12.058,3007688.2053919593
18,2022-04-11,12.071,12.22,10.665,10.952,4354666.2166067725
19,2022-04-12,10.952,12.113,10.699,11.589,2718344.4441805216
20,2022-04-13,11.589,13.487,11.456,13.258,4002604.8706029626
21,2022-04-14,13.249,13.571,11.932,12.269,3536231.2864094367
22,2022-04-15,12.274,12.613,11.991,12.229,1599742.4070262953
23,2022-04-16,12.233,12.289,11.303,11.666,1755837.1226572793
24,2022-04-17,11.67,12.105,11.469,11.695,1494506.0786409918
25,2022-04-18,11.693,11.915,10.905,11.874,2236907.998170114
26,2022-04-19,11.869,13.538,11.67,13.39,3890942.416057242
27,2022-04-20,13.379,17.511,12.968,16.726,9623486.559254646
28,2022-04-21,16.725,16.79,14.076,14.295,6081538.511451773
29,2022-04-22,14.295,15.46,13.724,15.348,5393270.318618505
30,2022-04-23,15.374,18.441,15.171,16.683,8036202.487642544
31,2022-04-24,16.68,17.884,15.926,16.813,4636289.033559279
32,2022-04-25,16.81,19.649,16.173,19.357,6745965.4315573005
33,2022-04-26,19.338,19.567,17.405,18.092,6768805.0910288235
34,2022-04-27,18.096,19.956,17.856,19.424,3946979.189386859
35,2022-04-28,19.408,27.786,19.124,23.714,12468910.291390697
36,2022-04-29,23.702,24.5,18.4,19.141,19471437.392006394
37,2022-04-30,19.133,25.601,19.133,19.987,18508690.919352945
38,2022-05-01,19.998,20.367,15.513,15.865,16332968.155879969
39,2022-05-02,15.865,17.344,14.205,15.057,8691958.566114817
40,2022-05-03,15.056,15.786,13.877,14.152,5430485.953029623
41,2022-05-04,14.148,17.642,13.986,15.557,9942257.170473479
42,2022-05-05,15.546,16.739,12.9,13.688,8746826.458401842
43,2022-05-06,13.689,13.894,12.382,13.259,4276597.45553027
44,2022-05-07,13.254,13.326,12.101,12.352,3924987.5991695975
45,2022-05-08,12.352,12.509,11.077,11.224,3360695.4486439577
46,2022-05-09,11.239,11.643,7.928,8.008,9900485.592660392
47,2022-05-10,8.004,10.212,7.6214,9.03,15674682.347004568
48,2022-05-11,9.024,9.467,5.162,5.715,18617436.65946003
49,2022-05-12,5.707,9.0,5.178,7.793,25847387.470137388
50,2022-05-13,7.794,9.7838,7.649,8.53,12697628.165329298
51,2022-05-14,8.532,9.1396,7.2,8.646,6484787.168100933
52,2022-05-15,8.645,9.184,8.053,9.129,4150583.553127813
53,2022-05-16,9.118,9.119,7.818,8.069,3791446.642498719
54,2022-05-17,8.07,9.2651,8.052,8.877,5363828.922552403
55,2022-05-18,8.871,9.073,7.61,7.969,4444774.998537386
56,2022-05-19,7.967,8.2844,7.416,8.055,3765796.6563300225
57,2022-05-20,8.061,8.365,7.517,7.748,3380494.298252313
58,2022-05-21,7.748,8.226,7.558,8.019,1701601.3292945384
59,2022-05-22,8.017,8.22,7.753,8.019,1597282.543919753
60,2022-05-23,8.015,8.494,7.587,7.749,2504652.517652719
61,2022-05-24,7.755,7.8855,6.984,7.505,2790373.7234410415
62,2022-05-25,7.505,7.7293,7.243,7.3322,1648975.3059203627
63,2022-05-26,7.329,7.4429,6.206,6.371,4428147.42015577
64,2022-05-27,6.367,6.4668,5.79,6.076,5414914.843628849
65,2022-05-28,6.077,6.396,6.035,6.2405,1931417.96827089
66,2022-05-29,6.227,6.355,5.965,6.232,2197025.309913412
67,2022-05-30,6.235,7.472,6.151,7.215,3787237.0060886075
68,2022-05-31,7.215,7.338,6.526,6.773,2754613.9145601443
69,2022-06-01,6.776,7.0298,5.937,6.104,2580172.3865238014
70,2022-06-02,6.103,6.49,5.968,6.396,2043871.3206744366
71,2022-06-03,6.396,6.489,5.991,6.123,1819991.8603927335
72,2022-06-04,6.123,6.226,6.002,6.195,994906.8536019475
73,2022-06-05,6.195,6.258,6.044,6.092,1089056.1903055473
74,2022-06-06,6.091,6.437,6.075,6.382,1497518.885713519
75,2022-06-07,6.386,6.395,5.839,6.028,2097989.1854684525
76,2022-06-08,6.0379,6.121,5.664,5.7,1639787.3718882105
77,2022-06-09,5.704,5.9261,5.648,5.717,1080438.3563378546
78,2022-06-10,5.72,5.7427,5.118,5.168,2075056.4722924689
79,2022-06-11,5.169,5.589,4.674,4.736,4103483.5148068224
80,2022-06-12,4.742,4.79,3.871,3.885,5686325.294931869
81,2022-06-13,3.883,3.9929,3.207,3.485,13538747.912892766
82,2022-06-14,3.482,3.944,3.246,3.612,7354424.064463506
83,2022-06-15,3.611,4.278,3.05,4.161,8677822.165083556
84,2022-06-16,4.159,4.299,3.29,3.372,6674142.207060335
85,2022-06-17,3.372,3.839,3.342,3.741,4351796.254998581
86,2022-06-18,3.741,3.863,3.112,3.615,7129406.373987458
87,2022-06-19,3.615,4.521,3.401,4.125,7007324.366969285
