,date,open,high,low,close,volume
0,2022-02-14,4.57,4.86,4.15,4.35,490689.3999999894
1,2022-02-15,4.34,4.87,4.32,4.65,349146.8199999999
2,2022-02-16,4.66,4.87,4.39,4.58,218764.21999999997
3,2022-02-17,4.6,5.57,4.54,5.0,1344376.3500000362
4,2022-02-18,5.02,6.56,4.84,6.01,2661679.180000144
5,2022-02-19,6.02,9.71,5.99,7.47,7086204.109999195
6,2022-02-20,7.43,9.2,6.5,6.97,3333019.3700000807
7,2022-02-21,6.96,7.6,5.64,5.72,1623393.4400000188
8,2022-02-22,5.72,6.09,5.18,5.979,1292373.0699999956
9,2022-02-23,5.979,7.89,5.93,6.357,4147903.689999833
10,2022-02-24,6.331,7.527,5.35,7.001,4266348.290000161
11,2022-02-25,7.005,7.428,6.666,7.09,1628542.3700000755
12,2022-02-26,7.1,7.2,6.358,6.528,731843.7200000016
13,2022-02-27,6.528,7.14,6.098,6.6,1161426.050000009
14,2022-02-28,6.613,7.753,6.295,7.529,1734617.5400000568
15,2022-03-01,7.524,8.566,7.4,8.094,2100537.930000169
16,2022-03-02,8.099,8.108,7.209,7.3,1041235.6699999911
17,2022-03-03,7.305,7.833,7.02,7.315,992808.160000004
18,2022-03-04,7.297,7.369,6.111,6.31,1385016.8000000252
19,2022-03-05,6.317,6.674,6.12,6.513,733639.2900000019
20,2022-03-06,6.5,6.518,5.5,5.559,1204146.830000008
21,2022-03-07,5.545,5.969,5.19,5.302,887813.809999991
22,2022-03-08,5.3,5.74,5.1,5.243,927198.0499999995
23,2022-03-09,5.246,5.79,5.227,5.441,998210.5599999976
24,2022-03-10,5.443,5.45,4.809,5.223,1130639.8000000087
25,2022-03-11,5.216,5.224,4.708,4.776,828570.1600000018
26,2022-03-12,4.777,5.242,4.775,5.01,787305.2800000046
27,2022-03-13,5.002,5.408,4.823,4.84,1964322.520000031
28,2022-03-14,4.835,5.042,4.6,4.765,585794.3500000046
29,2022-03-15,4.759,4.768,4.571,4.675,368462.73000000085
30,2022-03-16,4.689,4.819,4.43,4.743,616225.580000002
31,2022-03-17,4.741,4.9,4.566,4.595,793537.2000000033
32,2022-03-18,4.596,4.845,4.466,4.609,817084.9900000019
33,2022-03-19,4.614,5.534,4.606,5.02,2240513.080000058
34,2022-03-20,5.021,5.536,4.693,4.773,1566464.7400000254
35,2022-03-21,4.79,5.073,4.629,4.917,697207.4200000039
36,2022-03-22,4.917,5.371,4.825,4.907,935376.5899999987
37,2022-03-23,4.907,5.201,4.847,5.084,476746.179999999
38,2022-03-24,5.091,5.349,4.979,5.14,637101.6599999989
39,2022-03-25,5.137,5.656,5.08,5.388,854802.1799999917
40,2022-03-26,5.392,6.48,5.105,6.055,1682975.190000076
41,2022-03-27,6.05,6.468,5.589,5.854,782895.8799999881
42,2022-03-28,5.865,6.164,5.43,5.55,431647.84999999416
43,2022-03-29,5.539,5.968,5.502,5.701,285033.8800000047
44,2022-03-30,5.702,5.939,5.259,5.642,399899.14999999135
45,2022-03-31,5.66,5.911,5.099,5.195,435247.97999999544
46,2022-04-01,5.195,5.362,4.897,5.239,368155.11999999813
47,2022-04-02,5.23,5.631,5.137,5.156,363888.79000000143
48,2022-04-03,5.185,5.579,5.025,5.42,327385.48000000336
49,2022-04-04,5.429,5.764,5.19,5.581,880598.0999999951
50,2022-04-05,5.587,6.075,5.315,5.631,1116819.6099999943
