,date,open,high,low,close,volume
0,2022-04-12,0.0648,0.0694,0.0639,0.0676,3349312.8
1,2022-04-13,0.0675,0.07,0.0659,0.0694,2178360.8000000035
2,2022-04-14,0.0693,0.0705,0.0659,0.0667,3957683.5999999978
3,2022-04-15,0.0666,0.0695,0.0664,0.0683,2594116.399999999
4,2022-04-16,0.0683,0.069,0.067,0.0682,2085986.7000000018
5,2022-04-17,0.0682,0.069,0.0661,0.0664,1996933.900000002
6,2022-04-18,0.0662,0.0673,0.0627,0.0672,1443294.7000000011
7,2022-04-19,0.0673,0.0704,0.0667,0.0695,3518788.1999999923
8,2022-04-20,0.0694,0.0723,0.0682,0.0706,4159361.5999999815
9,2022-04-21,0.0706,0.0728,0.0643,0.066,2258408.399999999
10,2022-04-22,0.066,0.0688,0.0658,0.0665,1921858.4000000001
11,2022-04-23,0.0665,0.0704,0.065,0.0671,4848302.399999979
12,2022-04-24,0.0671,0.0683,0.0652,0.0661,2440046.1999999965
13,2022-04-25,0.0663,0.0664,0.0607,0.0651,4585996.099999979
14,2022-04-26,0.0649,0.0672,0.0592,0.0599,3013150.899999997
15,2022-04-27,0.0601,0.0633,0.0599,0.0624,1798380.800000002
16,2022-04-28,0.0624,0.0635,0.0606,0.0618,2725226.3999999915
17,2022-04-29,0.0619,0.0622,0.0561,0.0576,1743079.7000000004
18,2022-04-30,0.0575,0.0591,0.0485,0.0513,8510445.799999977
19,2022-05-01,0.0513,0.0546,0.0503,0.0535,2816269.299999992
20,2022-05-02,0.0534,0.0541,0.0508,0.053,1556736.0000000035
21,2022-05-03,0.0531,0.0668,0.0522,0.057,37162227.400000356
22,2022-05-04,0.0569,0.0602,0.0556,0.0598,11068741.000000011
23,2022-05-05,0.06,0.0605,0.0515,0.0533,6062824.099999989
24,2022-05-06,0.0531,0.0543,0.0508,0.0524,7165975.199999994
25,2022-05-07,0.0524,0.0528,0.0484,0.0494,3311893.0
26,2022-05-08,0.0494,0.0505,0.0473,0.0484,2750479.6999999858
27,2022-05-09,0.0487,0.0494,0.0375,0.0381,5166454.89999996
28,2022-05-10,0.0379,0.0462,0.0369,0.041,8198607.899999849
29,2022-05-11,0.041,0.0428,0.028,0.0314,33953183.10000024
30,2022-05-12,0.0314,0.0337,0.0228,0.0302,16847328.000000104
31,2022-05-13,0.0302,0.0371,0.0295,0.0329,10110766.300000045
32,2022-05-14,0.0329,0.036,0.03,0.0338,3912981.699999997
33,2022-05-15,0.0339,0.0358,0.0322,0.0357,3283402.199999993
34,2022-05-16,0.0353,0.0354,0.0312,0.0317,4681360.199999988
35,2022-05-17,0.0318,0.0357,0.0318,0.0353,7100674.899999999
36,2022-05-18,0.0352,0.0358,0.0312,0.0313,8907145.00000001
37,2022-05-19,0.0316,0.0355,0.0295,0.0343,5778115.299999994
38,2022-05-20,0.0345,0.0352,0.0314,0.0326,3349379.799999995
39,2022-05-21,0.0328,0.0362,0.0318,0.0336,7864870.999999991
40,2022-05-22,0.0336,0.0352,0.0329,0.0348,3492383.0999999978
41,2022-05-23,0.0347,0.0366,0.0324,0.0329,4428003.499999988
42,2022-05-24,0.0329,0.0396,0.0323,0.0377,31876337.69999994
43,2022-05-25,0.0376,0.038,0.0338,0.0346,11396559.200000025
44,2022-05-26,0.0346,0.0351,0.0306,0.0312,8744701.500000006
45,2022-05-27,0.0312,0.0315,0.0287,0.0294,11518045.700000104
46,2022-05-28,0.0295,0.0308,0.0291,0.0305,3086204.799999995
47,2022-05-29,0.0303,0.0424,0.0303,0.0377,59281513.40000006
48,2022-05-30,0.0378,0.041,0.0364,0.0387,35740150.59999973
49,2022-05-31,0.0387,0.0423,0.0375,0.0381,22618782.00000043
50,2022-06-01,0.0381,0.0383,0.0331,0.0342,15252895.3000002
51,2022-06-02,0.0342,0.0355,0.0334,0.0353,5524386.599999993
52,2022-06-03,0.0353,0.0353,0.0328,0.0341,2873310.5999999996
53,2022-06-04,0.0341,0.0354,0.0334,0.0347,2904226.299999999
54,2022-06-05,0.0346,0.0348,0.0337,0.0341,3064320.0000000005
55,2022-06-06,0.0341,0.0367,0.0341,0.035,4131952.1999999816
56,2022-06-07,0.035,0.0452,0.0323,0.0391,48606647.69999955
57,2022-06-08,0.0391,0.0422,0.0366,0.0381,49293316.399999455
58,2022-06-09,0.0381,0.0423,0.0373,0.0382,20483905.000000164
59,2022-06-10,0.0382,0.0384,0.0347,0.0355,6862480.499999987
60,2022-06-11,0.0353,0.0366,0.0316,0.0329,5474004.599999973
61,2022-06-12,0.0331,0.0339,0.03,0.03,6354925.299999963
62,2022-06-13,0.0302,0.0302,0.0256,0.0291,8906690.299999971
63,2022-06-14,0.0289,0.0305,0.026,0.0291,6656506.999999963
64,2022-06-15,0.029,0.0307,0.0265,0.0305,3235632.799999988
65,2022-06-16,0.0307,0.031,0.0269,0.0275,2862158.2999999975
66,2022-06-17,0.0275,0.029,0.0272,0.0282,1607941.2000000018
67,2022-06-18,0.0282,0.0284,0.0245,0.0267,8117679.299999971
68,2022-06-19,0.0267,0.0286,0.0254,0.0281,4014846.199999994
69,2022-06-20,0.0281,0.0293,0.0268,0.029,3269537.4999999884
70,2022-06-21,0.029,0.0313,0.0285,0.03,3310964.700000001
71,2022-06-22,0.0301,0.0303,0.0276,0.0277,2523951.7000000062
72,2022-06-23,0.0277,0.0324,0.0276,0.0312,2496558.0000000075
73,2022-06-24,0.0311,0.0549,0.0311,0.0404,66850491.5999992
74,2022-06-25,0.0404,0.0422,0.0385,0.0411,11733748.400000019
75,2022-06-26,0.0412,0.0419,0.0387,0.0398,3921954.6999999885
76,2022-06-27,0.0402,0.044,0.0401,0.0409,5714128.499999979
77,2022-06-28,0.0409,0.0462,0.0408,0.0423,7652035.099999922
78,2022-06-29,0.0423,0.0484,0.0418,0.0449,11144101.700000105
79,2022-06-30,0.0449,0.046,0.0389,0.0407,4878408.899999994
80,2022-07-01,0.0404,0.0426,0.0381,0.0387,2544966.9999999986
81,2022-07-02,0.0386,0.039,0.0374,0.0374,1519318.0999999966
82,2022-07-03,0.0375,0.038,0.0367,0.0376,999180.5999999981
83,2022-07-04,0.0374,0.0384,0.0362,0.0381,1407740.7999999973
84,2022-07-05,0.0381,0.0387,0.0358,0.0364,1850551.1999999958
85,2022-07-06,0.0365,0.0376,0.0362,0.0371,1492916.4999999965
86,2022-07-07,0.0371,0.0421,0.0371,0.0395,5753375.400000013
87,2022-07-08,0.0396,0.0405,0.0382,0.0392,1137674.0999999992
88,2022-07-09,0.0393,0.0435,0.0386,0.0415,4120703.500000009
89,2022-07-10,0.0413,0.0422,0.0386,0.0395,2811644.4000000157
90,2022-07-11,0.0395,0.0399,0.0355,0.0357,878501.9999999993
91,2022-07-12,0.0357,0.0366,0.0348,0.0349,2979910.6
92,2022-07-13,0.0349,0.036,0.0333,0.036,1290049.7000000002
93,2022-07-14,0.0359,0.037,0.0347,0.0362,813563.3999999992
94,2022-07-15,0.0362,0.0375,0.0356,0.036,1397571.1000000003
95,2022-07-16,0.036,0.0372,0.0355,0.0368,1776436.9000000057
96,2022-07-17,0.0367,0.0379,0.0362,0.0363,898146.9000000007
97,2022-07-18,0.0363,0.0398,0.0362,0.0392,3186801.9000000046
98,2022-07-19,0.0388,0.0406,0.0382,0.0399,2576853.400000007
99,2022-07-20,0.04,0.0412,0.0368,0.0372,2470179.3000000063
100,2022-07-21,0.0372,0.0379,0.035,0.0369,2040031.6000000015
101,2022-07-22,0.037,0.0378,0.0354,0.0359,2121804.3000000063
102,2022-07-23,0.0359,0.0369,0.0352,0.0362,1907492.199999998
103,2022-07-24,0.036,0.0368,0.0358,0.0359,1142847.4000000004
104,2022-07-25,0.0359,0.038,0.0337,0.0337,1996978.0000000002
105,2022-07-26,0.0336,0.0336,0.0316,0.0331,1929691.2000000002
106,2022-07-27,0.0332,0.0357,0.0328,0.0357,2165520.200000004
107,2022-07-28,0.0357,0.0415,0.035,0.0387,5632998.600000032
108,2022-07-29,0.0386,0.0403,0.0377,0.0388,4040555.6
109,2022-07-30,0.0389,0.0413,0.0381,0.0385,6325052.600000005
110,2022-07-31,0.0386,0.041,0.0383,0.0386,1884171.2999999977
111,2022-08-01,0.0386,0.0437,0.0385,0.0413,7611652.599999997
112,2022-08-02,0.0412,0.0416,0.0383,0.0396,2194954.800000004
113,2022-08-03,0.0397,0.0447,0.0386,0.0413,5764767.800000007
114,2022-08-04,0.0411,0.0434,0.0411,0.0421,1651122.7999999986
115,2022-08-05,0.0422,0.0464,0.0421,0.0451,2477486.899999977
116,2022-08-06,0.0452,0.0452,0.044,0.0444,880444.6000000039
117,2022-08-07,0.0444,0.045,0.0428,0.0441,2072520.4000000118
118,2022-08-08,0.0439,0.0478,0.0439,0.0454,3580946.8000000003
119,2022-08-09,0.0453,0.0478,0.0413,0.0428,2002104.8000000021
120,2022-08-10,0.0426,0.045,0.0418,0.0441,1334790.2999999998
121,2022-08-11,0.0442,0.0449,0.0436,0.0439,1228281.3000000115
122,2022-08-12,0.044,0.0446,0.0429,0.0445,698711.499999999
123,2022-08-13,0.0444,0.0452,0.044,0.0442,551174.6
124,2022-08-14,0.0445,0.0456,0.0426,0.0428,1204164.6000000022
125,2022-08-15,0.0428,0.0438,0.0416,0.0425,723416.9000000003
126,2022-08-16,0.0425,0.0432,0.0417,0.0426,749910.0999999951
127,2022-08-17,0.0426,0.0554,0.0405,0.0439,27906907.8
128,2022-08-18,0.0439,0.0442,0.0385,0.0388,5595786.200000009
129,2022-08-19,0.0387,0.0388,0.0342,0.0347,5533287.6000000015
130,2022-08-20,0.0348,0.0511,0.0348,0.0394,27998469.400000073
131,2022-08-21,0.0393,0.0396,0.0368,0.0377,15208606.700000064
132,2022-08-22,0.0377,0.0387,0.0358,0.0372,1945719.9000000008
133,2022-08-23,0.0373,0.0389,0.0367,0.0382,1040977.4999999997
134,2022-08-24,0.0383,0.039,0.0373,0.0377,691879.4
135,2022-08-25,0.0378,0.0406,0.0378,0.0389,2285824.0
