,date,open,high,low,close,volume
0,2020-10-12,6.074,6.255,5.784,5.967,740977.400000015
1,2020-10-13,5.976,6.191,5.814,6.011,452529.5000000037
2,2020-10-14,6.026,6.142,5.633,5.735,382601.2000000026
3,2020-10-15,5.737,5.913,5.492,5.765,478163.99999999686
4,2020-10-16,5.771,5.843,5.308,5.409,379469.9999999916
5,2020-10-17,5.417,5.527,5.291,5.462,287757.0999999996
6,2020-10-18,5.461,5.796,5.415,5.769,259615.99999999907
7,2020-10-19,5.77,5.786,5.462,5.503,320121.5999999995
8,2020-10-20,5.5,5.523,5.0,5.03,434535.9999999978
9,2020-10-21,5.025,5.496,5.001,5.241,377439.3000000056
10,2020-10-22,5.233,5.587,5.233,5.449,272449.9999999974
11,2020-10-23,5.445,5.5,5.168,5.367,343992.2999999948
12,2020-10-24,5.373,5.6,5.236,5.548,355115.7999999931
13,2020-10-25,5.553,5.661,5.247,5.297,206028.80000000392
14,2020-10-26,5.296,5.371,4.991,5.156,458398.69999999955
15,2020-10-27,5.153,5.329,5.069,5.114,197702.80000000208
16,2020-10-28,5.115,5.152,4.723,4.809,485605.9000000004
17,2020-10-29,4.805,4.872,4.527,4.642,298896.3000000004
18,2020-10-30,4.636,4.719,4.345,4.627,421938.59999999404
19,2020-10-31,4.627,4.808,4.593,4.619,291679.2
20,2020-11-01,4.618,5.08,4.547,4.748,749423.3999999816
21,2020-11-02,4.749,4.877,4.56,4.61,293848.20000000007
22,2020-11-03,4.606,4.609,4.309,4.477,259611.20000000263
23,2020-11-04,4.482,4.482,4.215,4.393,389994.4999999988
24,2020-11-05,4.395,4.596,4.285,4.507,365794.1999999957
25,2020-11-06,4.505,4.954,4.466,4.88,1202815.3999999815
26,2020-11-07,4.885,5.168,4.496,4.621,768132.1999999682
27,2020-11-08,4.62,4.948,4.565,4.816,518311.59999999334
28,2020-11-09,4.811,5.205,4.676,5.155,708876.7999999796
29,2020-11-10,5.164,5.284,4.918,5.092,607097.2999999856
30,2020-11-11,5.088,5.3,5.015,5.041,394207.7000000048
31,2020-11-12,5.042,5.321,4.943,5.035,970241.6999999634
32,2020-11-13,5.035,5.265,5.024,5.222,564694.4000000057
33,2020-11-14,5.222,5.25,4.997,5.053,403881.9999999997
34,2020-11-15,5.059,5.128,4.865,4.979,338723.00000000664
35,2020-11-16,4.978,5.185,4.933,5.089,358861.2000000005
36,2020-11-17,5.086,5.45,5.075,5.296,628034.8999999956
37,2020-11-18,5.297,5.336,4.94,5.119,726913.3999999784
38,2020-11-19,5.111,5.218,4.995,5.101,367156.100000004
39,2020-11-20,5.101,5.46,5.081,5.281,605204.6000000034
40,2020-11-21,5.281,5.958,5.269,5.937,798523.3000000191
41,2020-11-22,5.932,5.98,5.243,5.49,819599.6999999932
42,2020-11-23,5.493,5.922,5.436,5.814,936045.7000000066
43,2020-11-24,5.814,6.418,5.664,5.979,1721407.4999999132
44,2020-11-25,5.979,6.485,5.717,5.909,1294260.1000000015
45,2020-11-26,5.91,6.324,5.0,5.344,1139287.8000000364
46,2020-11-27,5.34,5.454,5.088,5.366,562053.2999999907
47,2020-11-28,5.366,5.543,5.229,5.448,360650.299999998
48,2020-11-29,5.448,5.546,5.316,5.436,317575.4000000002
49,2020-11-30,5.442,5.676,5.348,5.578,390572.7999999988
50,2020-12-01,5.582,5.71,5.123,5.266,565721.5000000002
51,2020-12-02,5.266,5.551,5.197,5.515,395287.9999999961
52,2020-12-03,5.518,5.657,5.365,5.502,305243.19999999995
53,2020-12-04,5.506,5.54,5.001,5.058,470834.29999999027
54,2020-12-05,5.05,5.306,4.975,5.264,316110.79999999655
55,2020-12-06,5.264,5.29,5.09,5.217,201604.80000000104
56,2020-12-07,5.217,5.227,5.08,5.097,204084.4999999992
57,2020-12-08,5.102,5.139,4.644,4.742,380453.40000000765
58,2020-12-09,4.73,4.887,4.572,4.804,503311.20000000665
59,2020-12-10,4.803,4.824,4.654,4.657,244203.50000000247
60,2020-12-11,4.664,4.868,4.484,4.709,710454.6999999832
61,2020-12-12,4.709,5.11,4.701,5.07,572295.2000000002
62,2020-12-13,5.066,5.387,5.058,5.2,759047.8999999876
63,2020-12-14,5.192,5.321,5.032,5.228,468705.39999999164
64,2020-12-15,5.234,5.361,5.063,5.289,389409.39999999845
65,2020-12-16,5.287,5.514,5.157,5.493,675146.6999999919
66,2020-12-17,5.496,5.737,5.271,5.362,583627.7000000005
67,2020-12-18,5.358,5.449,5.211,5.331,403969.1999999926
68,2020-12-19,5.332,5.442,5.256,5.292,480478.5000000005
69,2020-12-20,5.292,5.351,4.911,5.034,477296.2999999911
70,2020-12-21,5.036,5.154,4.802,5.036,535996.1999999982
71,2020-12-22,5.041,5.105,4.73,4.945,505742.1000000084
72,2020-12-23,4.942,5.0,4.236,4.398,840997.5999999851
73,2020-12-24,4.391,5.0,4.226,4.958,644502.4999999773
74,2020-12-25,4.958,5.053,4.751,4.905,392516.30000000395
75,2020-12-26,4.912,4.964,4.728,4.806,332375.200000005
76,2020-12-27,4.812,5.024,4.549,4.832,551195.8999999958
77,2020-12-28,4.841,5.569,4.788,5.384,897992.8999999985
78,2020-12-29,5.378,5.695,5.029,5.62,1688758.1999999825
79,2020-12-30,5.621,5.775,5.386,5.432,1343012.89999995
80,2020-12-31,5.43,6.515,5.247,6.485,2092805.3000001514
81,2021-01-01,6.485,6.521,5.657,5.881,1793968.5000001334
82,2021-01-02,5.878,5.897,5.25,5.414,1658363.9000000893
83,2021-01-03,5.425,5.917,5.282,5.842,1393168.8000000007
84,2021-01-04,5.845,6.29,5.268,6.042,2536775.300000265
85,2021-01-05,6.061,6.397,5.646,6.212,1743770.3999999822
86,2021-01-06,6.212,6.978,5.88,6.697,1862670.2000001566
87,2021-01-07,6.711,6.868,5.982,6.262,1826538.2000000025
88,2021-01-08,6.279,6.351,5.673,5.942,1573560.0999999929
89,2021-01-09,5.94,6.739,5.823,6.576,1708840.9999998996
90,2021-01-10,6.571,7.168,5.9,6.417,2141427.700000015
91,2021-01-12,5.723,6.148,5.501,5.707,1376508.5000000554
92,2021-01-13,5.713,6.25,5.529,6.245,673036.7999999736
93,2021-01-14,6.246,6.588,6.131,6.473,908901.3999999025
94,2021-01-15,6.468,8.472,6.437,7.907,6847509.499998141
95,2021-01-16,7.911,9.607,7.549,9.043,3461049.300000262
96,2021-01-17,9.022,9.206,7.987,8.536,2184228.100000486
97,2021-01-18,8.531,9.836,8.52,9.551,2318659.3000006503
98,2021-01-19,9.551,10.183,8.831,8.901,2249579.2000005348
99,2021-01-20,8.908,9.517,7.98,8.911,1829271.4000004316
100,2021-01-21,8.915,8.957,7.067,7.165,1521531.8999999643
