,date,open,high,low,close,volume
0,2021-11-23,30.94,32.3,30.49,31.97,59979.14799999748
1,2021-12-14,24.13,25.18,22.55,23.94,62594.267999999196
2,2021-12-15,23.94,24.38,21.63,23.59,54895.02500000028
3,2021-12-16,23.56,29.84,23.56,24.98,110795.77000000382
4,2021-12-17,25.01,26.69,23.04,24.31,62458.75399999992
5,2021-12-18,24.3,25.82,23.84,25.34,25801.640999999694
6,2021-12-19,25.33,25.66,24.05,24.73,23452.281999999886
7,2021-12-20,24.78,24.78,22.77,23.75,31549.893999999756
8,2021-12-21,23.75,25.62,23.6,24.74,42064.416999999456
9,2021-12-22,24.73,25.23,24.25,24.51,26300.682000000066
10,2021-12-23,24.48,26.42,24.23,25.85,43552.125999999815
11,2021-12-24,25.86,26.26,25.27,25.34,25759.735999999786
12,2021-12-25,25.34,26.37,25.1,25.62,28754.72900000013
13,2021-12-26,25.65,26.24,24.8,25.82,39317.281999999905
14,2021-12-27,25.82,27.58,25.63,26.71,38419.463999999694
15,2021-12-28,26.71,28.83,24.3,25.42,107621.33300000243
16,2021-12-29,25.38,26.21,23.75,23.93,33904.67299999984
17,2021-12-30,23.93,25.01,23.56,24.01,24770.28899999977
18,2021-12-31,24.01,26.5,23.12,24.41,112036.87100000231
19,2022-01-01,24.42,25.39,24.05,24.52,36757.74799999958
20,2022-01-02,24.52,25.33,24.05,24.4,32934.75299999956
21,2022-01-03,24.45,25.67,23.55,24.7,50288.81400000009
22,2022-01-04,24.65,24.87,23.68,24.02,36232.3509999996
23,2022-01-05,24.06,24.83,22.07,22.63,54495.64900000055
24,2022-01-06,22.61,22.88,21.48,22.55,62029.139000000476
25,2022-01-07,22.51,22.67,20.35,20.9,69392.93300000117
26,2022-01-08,20.9,22.71,19.54,20.95,83405.18500000132
27,2022-01-09,20.94,21.59,20.38,20.9,59438.47399999979
28,2022-01-10,20.9,21.08,18.94,20.08,50554.03800000052
29,2022-01-11,20.08,20.74,19.71,20.39,29269.521999999397
