,date,open,high,low,close,volume
0,2021-11-10,88.95,94.5,78.0,85.93,1213777.1374578804
1,2021-11-11,85.92,89.97,83.9,88.61,705241.2271729299
2,2021-11-12,88.59,90.5,81.247,84.97,727710.6463607929
3,2021-11-13,84.98,98.65,84.87,97.77,930873.7956143278
4,2021-11-14,97.73,100.0,91.649,95.85,915799.8200032227
5,2021-11-15,95.78,101.94,92.0,93.9,1155981.1791240997
6,2021-11-16,93.92,102.71,83.335,97.71,1738833.2872728559
7,2021-11-17,97.69,110.49,91.62,107.98,1928941.7228903729
8,2021-11-18,108.0,111.0,92.01,100.7,1908578.6654604038
9,2021-11-19,100.81,112.65,96.0,112.31,1288984.271201532
10,2021-11-20,112.3,130.55,111.82,126.03,1953076.777489718
11,2021-11-21,126.08,147.5,123.16,128.67,2636559.27673442
12,2021-11-22,128.76,145.25,126.23,135.29,2545728.214696462
13,2021-11-23,135.21,136.83,122.02,123.86,1698114.7319461321
14,2021-11-24,123.86,124.84,112.55,115.25,1838485.6159048171
15,2021-11-25,115.18,130.26,114.38,119.3,1747294.359272332
16,2021-11-26,119.33,119.95,101.33,104.48,1698429.5022046543
17,2021-11-27,104.38,119.0,103.28,113.66,1084887.0144902125
18,2021-11-28,113.73,113.99,101.0,110.63,1130035.3460078528
19,2021-11-29,110.63,120.99,109.33,120.84,1000462.8047191065
20,2021-11-30,120.8,124.98,114.16,121.22,1554858.9784714165
21,2021-12-01,121.28,127.59,117.36,119.76,1436406.437522302
22,2021-12-02,119.76,119.89,107.01,107.83,1266258.224658843
23,2021-12-03,107.9,113.25,99.16,108.5,1717447.755884178
24,2021-12-04,108.41,108.87,76.478,93.08,2946244.347707548
25,2021-12-05,93.07,95.58,82.52,86.52,1791700.8153753493
26,2021-12-06,86.46,95.0,77.0,93.1,2272736.2725240416
27,2021-12-07,93.04,96.78,88.02,89.693,1306849.8949447793
28,2021-12-08,89.6,93.35,86.5,93.31,958802.6225128992
29,2021-12-09,93.35,94.65,83.3,85.47,1451304.8757833748
30,2021-12-10,85.46,91.742,80.37,80.78,1272901.4039971859
31,2021-12-11,80.65,87.32,78.85,86.55,975078.7749310893
32,2021-12-12,86.59,88.99,83.02,88.101,647465.9165714969
33,2021-12-13,88.07,90.15,75.63,79.14,1632535.348626
34,2021-12-14,79.11,87.5,76.5,87.26,1504160.323800485
35,2021-12-15,87.26,105.78,86.1,101.3,2975542.3500837213
36,2021-12-16,101.3,110.0,98.0,98.29,2114049.1270535514
37,2021-12-17,98.32,116.41,98.2,110.79,2238910.1078212317
38,2021-12-18,110.75,117.41,105.56,115.94,1510332.3867614837
39,2021-12-19,115.97,116.8,106.82,107.6,934698.1304990996
40,2021-12-20,107.57,116.23,101.0,113.55,1810340.795758539
41,2021-12-21,113.68,124.1,110.27,123.27,1573704.0635438676
42,2021-12-22,123.27,127.44,115.57,116.66,1372139.1232743817
43,2021-12-23,116.74,125.06,116.17,121.37,1194250.7127633314
44,2021-12-24,121.48,124.7,113.36,114.93,1015787.2273530143
45,2021-12-25,115.01,116.99,112.15,114.86,962191.2509909412
46,2021-12-26,114.82,118.0,109.41,115.07,1016847.7627595408
47,2021-12-27,115.1,121.04,113.29,113.96,740244.8073780859
48,2021-12-28,113.96,116.76,104.39,107.05,1534971.681441257
49,2021-12-29,107.09,110.76,102.42,103.11,1070660.4612488078
50,2021-12-30,103.18,105.57,98.2,101.73,1221740.8278545572
51,2021-12-31,101.8,112.06,100.26,109.4,1427176.642455485
52,2022-01-01,109.43,115.42,108.22,114.25,612971.4294245281
53,2022-01-02,114.27,117.53,112.0,113.21,640264.6350083519
54,2022-01-03,113.13,114.18,105.98,108.09,793069.0016528007
55,2022-01-04,108.09,109.28,102.84,103.31,874388.3048656246
56,2022-01-05,103.27,106.61,90.5,97.36,1327003.6874628682
57,2022-01-06,97.37,98.01,91.01,95.14,1063265.2513836175
58,2022-01-07,95.11,95.46,85.02,86.83,1679170.3093120789
59,2022-01-08,86.85,89.58,79.2,83.91,1339919.617383395
60,2022-01-09,83.95,91.93,82.44,89.34,975994.1766205714
61,2022-01-10,89.31,90.99,80.25,84.471,1332888.7109776805
62,2022-01-11,84.47,91.04,83.23,89.66,845103.0977226755
63,2022-01-12,89.66,96.99,88.84,96.02,972598.5686647447
64,2022-01-13,95.99,97.29,89.14,89.76,835137.3238984254
65,2022-01-14,89.7,91.77,87.25,90.41,749786.1678186619
66,2022-01-15,90.39,94.449,89.53,93.08,519872.434170643
67,2022-01-16,93.08,94.96,91.86,92.34,449683.7492237809
68,2022-01-17,92.34,92.64,85.37,86.68,732244.1411146049
69,2022-01-18,86.74,87.45,83.63,86.02,627387.3145405487
70,2022-01-19,86.03,86.45,81.12,82.64,597346.0087241118
