,date,open,high,low,close,volume
0,2020-10-12,0.37436,0.37436,0.30272,0.3629,624.655283
1,2020-10-13,0.308,0.308,0.308,0.308,470.0
2,2020-10-15,0.308,0.308,0.26978,0.26978,3516.25654948
3,2020-10-16,0.265,0.26978,0.15,0.16005,42343.707182520004
4,2020-10-17,0.19044,0.199,0.19,0.19,2371.5981930999997
5,2020-10-19,0.19,0.24999,0.1695,0.24999,2930.40906107
6,2020-10-20,0.16807,0.22877,0.16807,0.22877,116.47764
7,2020-10-21,0.17456,0.22796,0.172,0.17703,2343.442252
8,2020-10-22,0.20876,0.20876,0.18,0.1816,864.2349999999999
9,2020-10-23,0.18,0.20989,0.176,0.176,2404.02535112
10,2020-10-26,0.175,0.175,0.17201,0.17201,1985.0333671300002
11,2020-10-27,0.188,0.19001,0.172,0.172,4063.50425
12,2020-10-28,0.172,0.215,0.172,0.215,3449.16599357
13,2020-10-31,0.17679,0.18,0.17679,0.18,474.27251423
14,2020-11-02,0.18,0.215,0.18,0.21495,1002.48
15,2020-11-03,0.17705,0.17705,0.17705,0.17705,13.986044
16,2020-11-04,0.17616,0.17616,0.17356,0.17356,800.0
17,2020-11-05,0.17356,0.17369,0.17356,0.17369,296.55658775999996
18,2020-11-06,0.17421,0.20949,0.17421,0.17457,538.3333
19,2020-11-07,0.17471,0.215,0.17471,0.17609,3261.7600917299997
20,2020-11-08,0.18457,0.18457,0.18457,0.18457,49.95390073
21,2020-11-09,0.17355,0.17617,0.17305,0.17417,4908.382147
22,2020-11-10,0.17417,0.17417,0.17417,0.17417,175.83284774999998
23,2020-11-11,0.17305,0.20602,0.17305,0.20602,9705.522578369999
24,2020-11-12,0.20602,0.20602,0.20602,0.20602,192.0829
25,2020-11-15,0.17634,0.17634,0.17634,0.17634,90.0
26,2020-11-16,0.17794,0.17826,0.17794,0.17826,68.78450000000001
27,2020-11-17,0.1805,0.1805,0.1805,0.1805,20.0
28,2020-11-18,0.17353,0.18143,0.17353,0.17507,429.421108
29,2020-11-19,0.20682,0.20682,0.20682,0.20682,6.0
30,2020-11-20,0.17925,0.17939,0.17307,0.17937,707.0814420199999
31,2020-11-21,0.17436,0.20654,0.17305,0.20654,3899.77868934
32,2020-11-22,0.1777,0.1777,0.161,0.161,2296.17834148
33,2020-11-23,0.1777,0.1777,0.161,0.172,1717.92254044
34,2020-11-24,0.175,0.245,0.172,0.1779,10420.179632049996
35,2020-11-25,0.17877,0.24321,0.17877,0.194,2947.62071592
36,2020-11-26,0.194,0.2003,0.194,0.2003,4823.063511
37,2020-11-27,0.2,0.2,0.2,0.2,50.0
38,2020-11-28,0.2,0.2,0.2,0.2,50.0
39,2020-11-29,0.1933,0.22165,0.1933,0.22165,344.871868
40,2020-11-30,0.22573,0.22573,0.1933,0.21497,1193.82776478
41,2020-12-01,0.21497,0.21497,0.1957,0.1957,1488.05940983
42,2020-12-02,0.1957,0.1957,0.19206,0.19206,4487.45862122
43,2020-12-03,0.19186,0.19187,0.19184,0.19184,126.06175000000002
44,2020-12-04,0.19184,0.19184,0.1643,0.16431,3540.44968933
45,2020-12-05,0.16543,0.16543,0.16432,0.16432,1978.0
46,2020-12-06,0.1643,0.1645,0.161,0.161,7064.69278126
47,2020-12-07,0.17701,0.17718,0.16101,0.16101,4555.185236939999
48,2020-12-08,0.16101,0.16101,0.161,0.161,2765.0555243
49,2020-12-09,0.161,0.161,0.161,0.161,1091.8
50,2020-12-10,0.161,0.161,0.1492,0.1492,10843.310639309999
51,2020-12-11,0.14403,0.18945,0.13697,0.14056,3733.9779625300002
52,2020-12-12,0.14067,0.14116,0.13603,0.1371,2297.0
53,2020-12-13,0.13765,0.13831,0.13765,0.13831,131.76753089
54,2020-12-14,0.13876,0.14085,0.13766,0.14085,1747.1879999999999
55,2020-12-15,0.152,0.155,0.141,0.141,5791.6682407
56,2020-12-16,0.141,0.15498,0.141,0.14123,1673.9458907
57,2020-12-17,0.15468,0.155,0.14123,0.14235,2104.5728622599995
58,2020-12-18,0.14123,0.16543,0.141,0.141,5651.2474602
59,2020-12-19,0.141,0.16496,0.141,0.14111,813.26129696
60,2020-12-20,0.14111,0.16462,0.14111,0.14135,314.61296509
61,2020-12-21,0.14136,0.14136,0.14136,0.14136,6.813021
62,2020-12-22,0.14136,0.14201,0.14136,0.14201,621.7296360600001
63,2020-12-23,0.1625,0.16275,0.1415,0.15,1377.92970067
64,2020-12-24,0.1415,0.1415,0.14137,0.14137,863.42273022
65,2020-12-25,0.1577,0.16308,0.14138,0.16308,2288.04281
66,2020-12-26,0.14138,0.14722,0.14136,0.1472,1663.0707555700003
67,2020-12-27,0.1472,0.1472,0.141,0.141,4716.27036295
68,2020-12-28,0.13851,0.14,0.13718,0.13718,258.10801972999997
69,2020-12-29,0.13795,0.14,0.13126,0.13128,10022.8671997
70,2020-12-30,0.13129,0.15,0.13129,0.13539,8726.497269559999
71,2020-12-31,0.15814,0.15814,0.13559,0.13614,160.00239857
72,2021-01-01,0.13579,0.15,0.13258,0.13258,5203.20655931
73,2021-01-02,0.13102,0.132,0.13,0.13,7339.524656570001
74,2021-01-03,0.13,0.132,0.1283,0.1285,21197.87162835
75,2021-01-04,0.132,0.132,0.12345,0.125,17751.32245372
76,2021-01-05,0.125,0.12525,0.125,0.12525,1120.45696001
77,2021-01-06,0.12531,0.15137,0.12013,0.12621,34162.96972134
78,2021-01-07,0.12804,0.15999,0.12804,0.13749,3025.74310972
79,2021-01-08,0.15,0.15,0.13651,0.13662,2479.7172415500004
80,2021-01-09,0.15993,0.15999,0.12398,0.13901,8276.228312750001
81,2021-01-10,0.14006,0.1505,0.126,0.126,7394.54434774
82,2021-01-11,0.126,0.14384,0.12,0.12013,5026.25541392
83,2021-01-12,0.15098,0.15098,0.12009,0.125,3743.606915
84,2021-01-13,0.12153,0.22,0.12153,0.19583,45354.954023089995
85,2021-01-14,0.15276,0.1954,0.15239,0.19077,3691.72489014
86,2021-01-15,0.15492,0.18492,0.142,0.14584,1291.59585663
87,2021-01-16,0.18127,0.18127,0.13969,0.16846,4996.718471
88,2021-01-17,0.141,0.17,0.13921,0.14,681.78592547
89,2021-01-18,0.16203,0.177,0.144,0.169,8943.825204609999
90,2021-01-19,0.17558,0.2689,0.155,0.24,23183.594240200015
91,2021-01-20,0.24,0.32,0.24,0.3053,9792.80689067
92,2021-01-21,0.25941,0.321,0.2575,0.29,1735.3080032100002
93,2021-01-22,0.275,0.38384,0.275,0.35,29888.001865010006
94,2021-01-23,0.35,0.4,0.3,0.35,12124.502002439998
95,2021-01-24,0.399,0.5,0.36737,0.4,33192.69963090001
96,2021-01-25,0.405,0.54,0.4,0.4,3976.7268509200003
97,2021-01-26,0.53506,0.53653,0.4,0.4,380.258503
98,2021-01-27,0.505,0.54632,0.35,0.35298,18196.69481331
99,2021-01-28,0.35298,0.49882,0.35,0.4976,823.55
100,2021-01-29,0.35,0.6437,0.35,0.38111,9308.262293589998
101,2021-01-30,0.36,0.54429,0.30011,0.36,40221.276345429986
102,2021-01-31,0.30374,0.42932,0.30012,0.35,2579.1372763
103,2021-02-01,0.37,0.8,0.32,0.36207,86233.28424739002
104,2021-02-02,0.36,0.41235,0.356,0.36,3850.37775847
105,2021-02-03,0.36,0.489,0.36,0.45,5536.82265537
106,2021-02-04,0.479,0.4871,0.38313,0.4871,1396.1041927899998
107,2021-02-05,0.39,0.48375,0.3722,0.48375,3500.6208546200005
108,2021-02-06,0.42285,0.49863,0.38,0.457,2609.80338727
109,2021-02-07,0.39267,0.468,0.38203,0.40128,1410.20732843
110,2021-02-08,0.44952,0.49,0.4,0.45167,3673.9587451200005
111,2021-02-09,0.42209,0.52,0.42209,0.4354,7385.978107219999
112,2021-02-10,0.43586,0.53581,0.42336,0.5,4027.1895958499995
113,2021-02-11,0.5,0.53251,0.43103,0.44444,3342.26165234
114,2021-02-12,0.44156,0.51234,0.42209,0.496,12877.209231869998
115,2021-02-13,0.44938,0.517,0.434,0.435,11017.662017320003
116,2021-02-14,0.47302,0.47308,0.435,0.43612,2445.939952
117,2021-02-15,0.4357,0.46784,0.43048,0.4382,4829.1731263
118,2021-02-16,0.43913,0.46453,0.43803,0.46453,1583.9584595000001
119,2021-02-17,0.4641,0.49492,0.35725,0.41212,8933.647675899998
120,2021-02-18,0.495,0.495,0.42001,0.42173,3156.6719177
121,2021-02-19,0.42045,0.5,0.42,0.49671,16424.091472300002
122,2021-02-20,0.49671,0.521,0.44115,0.45032,6546.9710037
123,2021-02-21,0.45123,0.52139,0.45123,0.45171,1088.69070572
124,2021-02-22,0.45001,0.47636,0.33301,0.46499,8220.445491139999
