,date,open,high,low,close,volume
0,2021-08-12,73.5,73.73,64.55,66.08,50393.74800000002
1,2021-08-13,66.08,73.95,65.78,70.61,304735.38000000454
2,2021-08-14,70.75,70.83,65.17,67.79,94196.59799999943
3,2021-08-15,67.83,68.0,63.25,68.0,69937.24899999979
4,2021-08-16,67.99,71.09,65.78,66.36,91904.4299999991
5,2021-08-17,66.36,82.67,65.22,72.01,350608.61800000194
6,2021-08-18,71.75,74.89,65.66,69.31,215949.0169999978
7,2021-08-19,69.52,73.09,67.26,71.79,131893.13199999926
8,2021-08-20,71.81,74.43,71.4,73.73,104477.84099999956
9,2021-08-21,73.79,83.54,73.79,76.9,232566.31199999535
10,2021-08-22,76.93,79.55,73.08,77.19,107161.46700000016
11,2021-08-23,77.24,78.95,75.03,77.44,85283.79199999964
12,2021-08-24,77.41,77.56,67.19,69.87,179980.96000000046
13,2021-08-25,70.05,75.28,68.53,72.56,168216.61999999938
14,2021-08-26,72.55,73.93,67.1,69.62,139646.84499999936
15,2021-08-27,69.7,73.74,68.13,73.71,95043.1779999996
16,2021-08-28,73.74,79.89,72.49,74.89,109715.11699999904
17,2021-08-29,74.84,79.1,71.43,78.48,61316.27699999992
18,2021-08-30,78.46,78.46,72.42,72.75,80488.41799999935
19,2021-08-31,72.9,75.83,71.25,72.14,79404.36699999815
20,2021-09-01,71.99,74.66,69.5,74.05,79521.01499999994
21,2021-09-02,73.97,74.8,71.5,72.64,65309.301000000014
22,2021-09-03,72.77,76.53,71.52,73.97,116673.46600000003
23,2021-09-04,73.99,94.84,72.44,82.52,480768.29299999727
24,2021-09-05,82.45,88.96,79.93,82.35,207099.75000000367
25,2021-09-06,82.25,85.22,73.0,79.1,186053.17000000272
26,2021-09-07,79.15,80.52,55.0,64.34,281355.33200000774
27,2021-09-08,64.43,70.92,60.11,67.94,317864.9290000064
28,2021-09-09,68.07,72.26,66.74,69.04,99099.98000000039
29,2021-09-10,68.97,71.28,62.56,65.43,76776.10700000034
30,2021-09-11,65.45,72.09,64.87,68.86,82520.2679999997
31,2021-09-12,68.72,74.99,66.1,69.81,162010.1770000002
32,2021-09-13,69.87,71.49,61.37,65.03,99697.45599999806
33,2021-09-14,64.94,67.63,64.14,66.66,136222.7619999921
34,2021-09-15,66.75,69.79,65.46,68.7,57677.78700000062
35,2021-09-16,68.7,71.02,65.68,67.29,66557.3894198523
36,2021-09-17,67.29,68.16,64.41,65.9,49438.03900000138
37,2021-09-18,65.91,67.74,64.75,66.1,31026.440999999235
38,2021-09-19,66.16,66.51,63.01,63.73,31022.039999998342
39,2021-09-20,63.77,63.8,52.16,55.12,97613.02499998968
40,2021-09-21,55.14,111.12,48.12,50.5,78676.46540530551
41,2021-09-22,50.65,63.95,49.4,61.64,270304.6337351551
42,2021-09-23,61.54,69.23,61.06,67.34,145131.16692569276
43,2021-09-24,67.37,71.29,63.41,68.23,196287.57610220494
44,2021-09-25,68.29,69.07,64.48,65.45,38088.66935342
45,2021-09-26,65.26,65.49,58.00781,63.66,45170.61524656
46,2021-09-27,63.54,67.50026,62.81,63.78,76830.41960055633
47,2021-09-28,63.84,72.81,62.97039,69.08,145605.99648985473
48,2021-09-29,69.09,75.64732,67.77,69.43,205691.24396006783
49,2021-09-30,69.239,79.28822,49.0,74.36,224457.05267096
50,2021-10-01,74.69,118.23,74.08,110.5,718481.487524074
51,2021-10-02,110.4,120.8,106.066,107.92,595501.1883509202
52,2021-10-03,107.97,139.25,103.41,137.71,528369.9165077085
53,2021-10-04,137.55,155.52418,125.0,134.83,857898.677190559
54,2021-10-05,134.67,145.78,127.35,128.69,518062.6631179297
55,2021-10-06,128.67,140.92,119.72,126.32,671864.9544878145
56,2021-10-07,126.31,131.24,120.0,124.26,278463.83941959956
57,2021-10-08,124.49,139.0,119.66,126.39,318704.85261199827
58,2021-10-09,126.39,132.58,123.71,126.62,232471.99554931888
59,2021-10-10,126.58,126.63,113.827,116.06,149532.22442873
60,2021-10-11,116.14,122.01,111.91,116.51,203620.10268239077
61,2021-10-12,116.55,126.94,113.82,122.14,393512.64966243773
62,2021-10-13,122.04,124.9,117.41,121.7,146349.1439595419
63,2021-10-14,121.69,143.93,120.44,136.47,426442.8391495671
64,2021-10-15,136.29,145.77,124.12218,125.62,416136.1977127453
65,2021-10-16,125.64,129.97,121.62,125.07,110813.427374611
66,2021-10-17,125.06,129.53,121.55,124.53,126384.49956883934
67,2021-10-18,124.65,125.36,119.05,122.41,106465.74715167939
68,2021-10-19,122.35,123.52,120.13,122.16,66408.07029264017
69,2021-10-20,122.26,130.12,120.52,127.75,127167.55905505925
70,2021-10-21,127.84,134.06,115.44,119.7,263483.9508902345
71,2021-10-22,119.64,133.42,117.7,130.19,504630.80964765785
72,2021-10-23,130.2,133.72,123.26,125.57,182688.92254563142
73,2021-10-24,125.59,127.65,119.66,122.4,316826.6488333178
74,2021-10-25,122.43,141.53,121.89,131.67,276395.68164885667
75,2021-10-26,131.82,138.17,126.56,128.89,195882.48899195078
76,2021-10-27,128.95,132.45,120.12,121.49,209883.67310664154
77,2021-10-28,121.61,129.65,121.3,126.56,184245.0827756819
78,2021-10-29,126.6,164.22,125.73,143.14,877000.4025660037
79,2021-10-30,143.15,157.07,139.71,146.97,559240.6603192333
80,2021-10-31,146.82,150.31,132.44,138.22,364180.9014317032
