,date,open,high,low,close,volume
0,2022-04-12,8.67,9.43,8.65,9.03,72528.32299999995
1,2022-04-13,9.03,9.25,8.75,8.93,49694.95499999964
2,2022-04-14,8.94,9.54,8.9,9.25,83280.32300000047
3,2022-04-15,9.25,9.34,9.01,9.1,48889.88699999976
4,2022-04-16,9.1,9.22,8.86,8.98,21371.553999999946
5,2022-04-17,9.0,9.02,8.66,8.68,11952.757000000003
6,2022-04-18,8.66,9.07,8.3,8.99,38042.2289999998
7,2022-04-19,9.02,9.35,8.88,9.25,31283.091999999942
8,2022-04-20,9.24,9.55,8.93,9.08,53604.37499999981
9,2022-04-21,9.09,9.27,8.54,8.86,67737.39199999999
10,2022-04-22,8.87,8.95,8.49,8.66,44271.90999999985
11,2022-04-23,8.64,9.2,8.48,8.74,48206.64399999979
12,2022-04-24,8.74,9.01,8.48,8.55,50620.52599999982
13,2022-04-25,8.57,10.6,8.09,9.17,350912.62099999934
14,2022-04-26,9.19,9.74,8.38,8.44,140720.35400000203
15,2022-04-27,8.44,8.89,8.33,8.69,80385.14200000034
16,2022-04-28,8.66,8.87,8.44,8.59,35955.93099999989
17,2022-04-29,8.6,8.75,7.87,7.92,98826.34100000103
18,2022-04-30,7.91,8.2,7.3,7.43,36462.87999999979
19,2022-05-01,7.42,7.82,7.27,7.75,21576.56199999995
20,2022-05-02,7.75,7.91,7.47,7.72,24262.759999999955
21,2022-05-03,7.74,7.93,7.6,7.71,46685.41799999989
22,2022-05-04,7.72,8.39,7.7,8.3,48741.30799999983
23,2022-05-05,8.3,8.34,7.14,7.33,60977.435999999565
24,2022-05-06,7.32,7.39,6.96,7.32,43262.95499999957
25,2022-05-07,7.33,7.34,6.76,6.94,23316.25799999991
26,2022-05-08,6.96,6.98,6.59,6.69,38547.66899999978
27,2022-05-09,6.68,6.82,5.56,5.59,137808.68600000237
28,2022-05-10,5.61,6.52,5.38,6.12,165882.51700000142
29,2022-05-11,6.13,6.32,4.66,4.94,232594.6950000014
30,2022-05-12,4.97,5.24,3.86,4.11,135434.30200000238
31,2022-05-13,4.1,4.77,4.08,4.27,99251.33000000055
32,2022-05-14,4.29,4.61,4.15,4.59,21959.522999999976
33,2022-05-15,4.59,6.28,4.38,4.94,80153.85899999994
34,2022-05-16,4.95,5.16,4.44,5.04,95374.30200000036
35,2022-05-17,5.04,5.55,5.04,5.29,58151.96699999975
36,2022-05-18,5.29,5.32,4.71,5.01,51253.827999999754
37,2022-05-19,5.01,6.01,5.01,5.63,146275.59000000157
38,2022-05-20,5.62,5.79,5.38,5.47,35916.61699999987
39,2022-05-21,5.47,5.86,5.35,5.76,23237.082999999915
40,2022-05-22,5.78,6.46,5.66,5.96,44386.02499999981
41,2022-05-23,5.95,6.1,5.61,5.63,31171.477999999926
42,2022-05-24,5.63,6.03,5.62,5.98,39036.173999999846
43,2022-05-25,5.98,7.18,5.9,5.97,58258.57099999986
44,2022-05-26,5.98,6.05,5.52,5.82,38771.610999999444
45,2022-05-27,5.83,6.07,5.48,5.52,67477.73399999947
46,2022-05-28,5.55,5.91,5.46,5.79,26113.422999999697
47,2022-05-29,5.78,5.95,5.7,5.77,49744.15399999981
48,2022-05-30,5.79,6.37,5.73,6.26,36935.505999999776
49,2022-05-31,6.26,6.32,5.97,6.07,41445.321999999855
50,2022-06-01,6.06,6.13,5.71,5.72,37990.06699999982
51,2022-06-02,5.73,5.99,5.68,5.96,23099.032999999952
52,2022-06-03,5.96,6.0,5.73,5.77,18160.125999999986
53,2022-06-04,5.78,5.87,5.7,5.85,12459.847000000009
54,2022-06-05,5.85,5.87,5.7,5.76,10032.968000000004
55,2022-06-06,5.75,6.09,5.75,5.96,32080.454999999958
56,2022-06-07,5.96,5.96,5.52,5.8,54141.334999999875
57,2022-06-08,5.79,5.86,5.51,5.51,30543.98899999992
58,2022-06-09,5.51,5.51,5.02,5.06,82511.40500000014
59,2022-06-10,5.06,5.09,4.58,4.62,88264.34600000018
60,2022-06-11,4.64,4.77,4.37,4.38,54534.909999999836
61,2022-06-12,4.4,4.5,4.1,4.14,59442.53799999985
62,2022-06-13,4.15,4.19,3.31,3.42,150978.45500000153
63,2022-06-14,3.41,3.53,3.12,3.44,99295.13900000053
64,2022-06-15,3.43,3.83,2.99,3.48,216621.46200000204
65,2022-06-16,3.47,3.55,3.07,3.15,105482.79700000038
66,2022-06-17,3.15,3.27,3.07,3.15,52878.30599999971
67,2022-06-18,3.16,3.2,2.61,2.88,88480.65200000034
68,2022-06-19,2.88,3.12,2.75,3.06,58495.56399999976
69,2022-06-20,3.08,4.68,2.9,3.26,328038.7069999995
70,2022-06-21,3.25,3.71,3.2,3.39,142056.90900000188
