,date,open,high,low,close,volume
0,2020-10-12,6.9446,7.5463,6.687,7.0546,657437.9986271826
1,2020-10-13,7.03,7.5039,6.5116,6.7046,525299.7658343603
2,2020-10-14,6.8107,6.8619,6.2159,6.423,374339.63788220106
3,2020-10-15,6.4224,6.4814,5.9,6.1698,426222.5809014883
4,2020-10-16,6.1717,6.2963,5.7934,6.0201,518930.58930272894
5,2020-10-17,6.0268,6.2564,5.8836,6.1406,93541.53128849903
6,2020-10-18,6.1286,6.6093,6.1141,6.4924,183735.5908684064
7,2020-10-19,6.497,6.5896,6.032,6.1297,181080.07217432006
8,2020-10-20,6.1294,6.1384,5.3323,5.6704,416907.63071754726
9,2020-10-21,5.6093,6.1414,5.5936,5.8047,306792.44377905887
10,2020-10-22,5.7969,6.5371,5.7817,6.2623,362815.14900312456
11,2020-10-23,6.2694,6.3018,5.6658,5.9871,418290.79382367176
12,2020-10-24,5.9844,6.1263,5.8057,6.036,302741.9836934211
13,2020-10-25,6.0181,6.1391,5.6901,5.7425,234756.94533103053
14,2020-10-26,5.7416,5.9339,5.2895,5.4781,304346.8851723177
15,2020-10-27,5.4784,5.8086,5.3289,5.4185,343448.88378954335
16,2020-10-28,5.4017,5.5733,4.775,4.9074,679124.0555972533
17,2020-10-29,4.9074,5.1877,4.608,4.6263,502721.21773915505
18,2020-10-30,4.6279,4.6789,4.1283,4.4148,922639.7062613295
19,2020-10-31,4.4141,4.627,4.25,4.3446,352698.7094495011
20,2020-11-01,4.3451,4.6655,4.2446,4.5013,296736.5832690517
21,2020-11-02,4.5085,4.7007,4.1934,4.2271,288284.95590551966
22,2020-11-03,4.219,4.2847,3.9174,4.2027,434085.06446872937
23,2020-11-04,4.1977,4.3246,3.83,4.0717,426079.64036428306
24,2020-11-05,4.0757,4.5535,3.8265,4.2026,877019.5992591555
25,2020-11-06,4.201,5.8088,4.1619,5.6621,1540088.3074756013
26,2020-11-07,5.6854,6.2712,4.85,5.2133,1948237.1681983175
27,2020-11-08,5.216,6.0338,5.0706,5.6607,759907.5775947433
28,2020-11-09,5.6545,6.3,5.543,5.9811,643565.2790709075
29,2020-11-10,5.9882,6.4899,5.8616,6.2872,753586.0425150932
30,2020-11-11,6.286,6.5,5.8856,5.9312,431830.0605972452
31,2020-11-12,5.9381,5.959,5.3244,5.545,414797.06081527186
32,2020-11-13,5.5455,6.1744,5.5192,5.927,414123.744363819
33,2020-11-14,5.9347,6.0999,5.46,5.705,324274.1999575456
34,2020-11-15,5.7112,5.9126,5.315,5.5269,412494.83846230834
35,2020-11-16,5.5348,5.9662,5.3801,5.6943,341630.40522824955
36,2020-11-17,5.6917,6.05,5.6691,6.0141,521904.68868538376
37,2020-11-18,6.0181,6.8417,5.5501,5.958,1155745.3852823374
