,date,open,high,low,close,volume
0,2020-10-12,239.1,244.12,231.93,239.96,142686.72719043968
1,2020-10-13,239.443,255.304,237.437,253.419,154061.40340567878
2,2020-10-14,253.59,260.74,249.569,259.13,137894.9658007301
3,2020-10-15,259.13,265.367,255.437,262.39,105169.40671083226
4,2020-10-16,262.39,266.88,243.07,250.39,155185.7758166186
5,2020-10-17,250.4,252.56,240.443,245.2,144631.1935575792
6,2020-10-18,244.744,251.15,243.8,249.58,143125.39297949843
7,2020-10-19,249.257,252.75,244.984,249.773,161859.89985490905
8,2020-10-20,249.773,250.25,237.281,240.98,127461.27619928881
9,2020-10-21,240.98,264.6,240.051,258.231,203127.42447768716
10,2020-10-22,258.126,274.82,258.126,268.2,155254.17654481716
11,2020-10-23,268.32,276.21,264.013,270.5,126109.79857878848
12,2020-10-24,270.61,278.83,267.599,275.712,99827.74345934577
13,2020-10-25,275.92,276.33,267.504,271.48,133985.8103433306
14,2020-10-26,270.951,273.51,252.583,259.436,148820.69540282633
15,2020-10-27,259.424,268.37,256.752,264.034,147645.30780272922
16,2020-10-28,264.062,280.83,258.989,268.29,178410.47558083988
17,2020-10-29,268.143,271.687,256.7,267.72,86041.7651146213
18,2020-10-30,267.62,270.8,255.13,262.17,108732.58919760997
19,2020-10-31,261.53,266.33,259.303,262.28,139515.00503522978
20,2020-11-01,262.1,270.76,259.874,268.21,137848.66301412001
21,2020-11-02,268.29,271.85,254.241,257.344,103380.06327541913
22,2020-11-03,257.52,259.04,232.041,244.46,147198.93630073074
23,2020-11-04,244.53,244.74,230.766,241.47,166411.1052384965
24,2020-11-05,241.56,252.43,239.8,249.93,212574.89390336195
25,2020-11-06,249.602,260.13,247.793,258.09,210935.12750471197
26,2020-11-07,258.09,277.21,245.0,253.791,229882.71734748952
27,2020-11-08,254.22,278.29,250.762,270.809,177718.94532617892
28,2020-11-09,270.71,274.35,257.02,264.014,93938.0977297632
29,2020-11-10,264.49,266.63,254.606,257.49,126815.93720121971
30,2020-11-11,256.662,262.58,255.325,257.28,123119.21394819258
31,2020-11-12,257.26,265.37,251.399,260.23,125682.0856939815
32,2020-11-13,260.32,268.0,247.052,259.51,191285.41343379332
33,2020-11-14,259.24,262.38,250.0,255.218,170460.50033337786
34,2020-11-15,255.55,270.0,235.357,239.534,155190.59523456686
35,2020-11-16,239.584,260.51,232.716,252.73,137803.2892046377
36,2020-11-17,247.806,260.61,247.548,253.249,151664.97247263204
37,2020-11-18,253.234,259.46,239.336,244.869,130123.5253760399
