,date,open,high,low,close,volume
0,2020-10-12,28.75349,31.1063,28.75349,30.65744,323.7399999999999
1,2020-10-13,31.1063,31.75,30.39269,30.70546,427.67999999999995
2,2020-10-14,30.77245,31.00661,30.48278,30.87,344.78
3,2020-10-15,31.00431,31.61523,30.48202,31.08563,22.18000000000001
4,2020-10-16,31.4625,32.0,29.61656,29.99682,358.3500000000002
5,2020-10-17,30.02849,30.50363,29.71748,30.21918,211.64000000000001
6,2020-10-18,30.2819,31.00683,30.2819,30.59106,115.41000000000003
7,2020-10-19,30.61966,30.61966,29.82396,29.86424,119.32999999999996
8,2020-10-20,29.8438,30.06017,28.51741,28.82839,269.4099999999999
9,2020-10-21,28.68432,30.41813,28.67532,29.6308,1725.3199999999938
10,2020-10-22,29.74341,31.26384,29.74341,30.65132,362.31999999999965
11,2020-10-23,30.53858,31.13714,30.09645,30.6,180.4699999999999
12,2020-10-24,30.47542,30.82038,30.45381,30.63033,84.27000000000001
13,2020-10-25,30.70961,30.91541,29.90697,30.09184,85.2099999999999
14,2020-10-26,30.12352,31.35887,30.12352,31.02893,1112.339999999994
15,2020-10-27,31.04387,32.34482,30.94913,31.49899,634.3899999999954
16,2020-10-28,31.46685,31.88377,29.85976,30.42911,138.85000000000022
17,2020-10-29,30.31168,30.36856,29.47006,29.92581,343.63999999999993
18,2020-10-30,29.79547,30.23961,27.54554,28.56321,547.9599999999992
19,2020-10-31,28.47766,28.85336,28.13972,28.49874,4354.019999999996
20,2020-11-01,28.41337,28.62769,28.0633,28.49874,2337.1400000000012
21,2020-11-02,28.53098,29.15866,27.8,27.80268,2586.2100000000096
22,2020-11-03,27.8,27.8,25.84203,26.79562,4549.850000000002
23,2020-11-04,26.77414,26.95129,25.97059,26.91906,4309.660000000003
24,2020-11-05,26.95129,27.98056,26.76428,27.70651,4095.0600000000077
25,2020-11-06,27.72502,29.43365,27.72502,29.01455,8606.190000000017
26,2020-11-07,29.04679,29.82051,26.95,27.6926,2622.5100000000393
27,2020-11-08,27.6578,28.692,27.50237,28.33754,92.71999999999983
28,2020-11-09,28.36978,28.91784,27.40794,28.0474,1978.8599999999985
29,2020-11-10,27.92103,28.4665,27.69505,28.30531,1684.9199999999971
30,2020-11-11,28.33754,28.55519,27.99553,28.0,84.47
