,date,open,high,low,close,volume
0,2020-10-12,1.107949,1.426505,1.100606,1.387082,1087276.4726421162
1,2020-10-13,1.385132,1.387801,1.280329,1.315561,803233.8621050183
2,2020-10-14,1.315597,1.342931,1.273075,1.276784,684678.8999999987
3,2020-10-15,1.277401,1.287729,1.155854,1.231344,437694.70329708944
4,2020-10-16,1.231311,1.234632,1.069272,1.118649,435168.9434510589
5,2020-10-17,1.118649,1.126204,0.843577,1.115788,375399.78955993033
6,2020-10-18,1.10524,1.198789,1.10524,1.128685,242138.00000000081
7,2020-10-19,1.128184,1.130362,1.065059,1.072825,573206.1802940783
8,2020-10-20,1.067622,1.09597,0.83945,0.896665,579447.2891538688
9,2020-10-21,0.895988,1.4569,0.893769,0.961552,784785.1031101475
10,2020-10-22,0.960638,1.015246,0.948083,0.962298,910991.470605314
11,2020-10-23,0.962678,0.986947,0.81149,0.932365,578363.3806013193
12,2020-10-24,0.932352,0.950113,0.921258,0.935053,593047.2043007795
13,2020-10-25,0.935425,0.948723,0.899983,0.902122,773041.2828719508
14,2020-10-26,0.901817,0.933,0.831066,0.863639,901523.6880570044
15,2020-10-27,0.864282,0.879448,0.845707,0.847004,891055.1703514858
16,2020-10-28,0.847825,0.92341,0.688937,0.70361,1270192.6432972972
17,2020-10-29,0.7029,0.820543,0.609968,0.627646,1112470.3202319806
18,2020-10-30,0.628889,0.635076,0.548886,0.593148,1361893.6635813848
19,2020-10-31,0.591761,0.614745,0.583631,0.590638,1355471.7676862972
20,2020-11-01,0.587143,0.618282,0.578793,0.609285,2224500.0999999996
21,2020-11-02,0.609778,0.643678,0.577536,0.599119,1393474.0999999996
22,2020-11-03,0.599212,0.601,0.557351,0.558067,976219.2261440612
23,2020-11-04,0.560843,0.560843,0.511882,0.536933,1902831.6999999979
24,2020-11-05,0.537434,0.609953,0.535718,0.573437,1847695.05797221
25,2020-11-06,0.572514,0.74193,0.559637,0.691185,1312733.5335056775
26,2020-11-07,0.691973,0.762704,0.50416,0.640532,1494796.5611709733
27,2020-11-08,0.640634,0.685125,0.62634,0.666661,1213652.593779468
28,2020-11-09,0.665874,0.687,0.639367,0.673464,675062.9776421376
29,2020-11-10,0.672767,0.75037,0.50416,0.742648,1597597.6761485566
30,2020-11-11,0.742853,0.769276,0.71068,0.719768,1387487.5047112277
31,2020-11-12,0.72085,0.72085,0.638471,0.671696,1564833.16345309
32,2020-11-13,0.670641,0.723477,0.668101,0.711106,1197655.2999999998
33,2020-11-14,0.71111,0.724053,0.661292,0.675698,3124649.3860000153
34,2020-11-15,0.674603,0.809999,0.67214,0.741885,1034941.921157211
35,2020-11-16,0.742847,0.769995,0.7157,0.759715,1238697.289098266
36,2020-11-17,0.756996,0.97627,0.52436,0.953574,1237660.1341935282
37,2020-11-18,0.952462,1.030922,0.857738,0.954655,1823889.5962826703
