,date,open,high,low,close,volume
0,2022-01-03,3.0955,3.1497,2.9862,3.0098,11959.524141259997
1,2022-01-04,2.9933,3.2124,2.9565,2.9565,81065.95304586974
2,2022-01-05,2.9555,3.051,2.5824,2.6915,117049.77677964025
3,2022-01-06,2.6732,2.8044,2.6561,2.7443,34913.651125169934
4,2022-01-07,2.7443,2.9568,2.5452,2.766,133420.51368056916
5,2022-01-08,2.7782,2.8362,2.6639,2.7497,42741.41969773019
6,2022-01-09,2.7223,2.7531,2.6063,2.6542,29463.60385087003
7,2022-01-10,2.6452,2.6472,2.217,2.3935,76014.41018958975
8,2022-01-11,2.4033,2.7511,2.3331,2.714,150055.95157333085
9,2022-01-12,2.7181,2.8681,2.7137,2.8081,56758.68300794016
10,2022-01-13,2.8033,2.8371,2.6057,2.6081,15547.884212009996
11,2022-01-14,2.6172,2.9242,2.6107,2.8215,91021.06494742997
12,2022-01-15,2.7874,2.9986,2.7836,2.985,42906.3978739701
13,2022-01-16,2.9753,2.9754,2.8285,2.9668,29441.680291180037
14,2022-01-17,2.9691,2.9847,2.625,2.6812,47028.521162099976
15,2022-01-18,2.6794,2.6797,2.5573,2.5849,17153.09680962004
16,2022-01-19,2.592,2.7425,2.4421,2.5844,82254.61263664003
17,2022-01-20,2.5744,2.9098,2.5744,2.6403,75744.2026920202
18,2022-01-21,2.6372,2.74,2.1833,2.2043,78243.91825791988
19,2022-01-22,2.2228,2.2348,1.7957,1.8257,103939.25137475002
20,2022-01-23,1.8265,1.9791,1.7603,1.8746,129183.51400851955
21,2022-01-24,1.88,1.95,1.53,1.6821,294436.36050313007
22,2022-01-25,1.6735,1.7198,1.6123,1.7198,100060.93639508009
23,2022-01-26,1.7155,1.8061,1.6366,1.6474,121178.98168088966
24,2022-01-27,1.6534,1.6545,1.5499,1.6052,111216.57067207881
25,2022-01-28,1.6031,1.6564,1.581,1.6437,97893.02154693982
26,2022-01-29,1.6549,1.7044,1.6549,1.7022,38981.77253766002
27,2022-01-30,1.7079,1.7357,1.6325,1.6519,39785.625506189994
28,2022-01-31,1.6541,1.6541,1.4049,1.5955,116602.05888150954
29,2022-02-01,1.5939,1.6721,1.5894,1.6471,16152.886170679998
30,2022-02-02,1.6452,1.6452,1.47,1.5568,85820.66710286996
31,2022-02-03,1.5529,1.5565,1.5107,1.5217,54522.740905660045
32,2022-02-04,1.5308,1.6478,1.5299,1.6462,21017.440520080003
33,2022-02-05,1.6503,1.7499,1.6503,1.7193,25236.942907369987
34,2022-02-06,1.7239,1.7339,1.6736,1.7067,12290.44655338
35,2022-02-07,1.7071,1.915,1.6943,1.8791,60598.73037325994
36,2022-02-08,1.8838,1.891,1.6677,1.7299,56149.55461282004
37,2022-02-09,1.7336,1.7892,1.6601,1.7301,41914.440680140026
38,2022-02-10,1.7289,1.7532,1.5896,1.6084,42968.738052940025
39,2022-02-11,1.6055,1.616,1.5064,1.5135,32368.49745942001
40,2022-02-12,1.5097,1.5204,1.4833,1.497,12161.564145369997
41,2022-02-13,1.5006,1.5258,1.449,1.4738,15590.51557196
42,2022-02-14,1.471,1.4872,1.4268,1.4702,14123.497022050002
43,2022-02-15,1.4739,1.5436,1.4699,1.5213,21157.420324399987
44,2022-02-16,1.5163,1.7559,1.4902,1.7333,68662.79315965997
45,2022-02-17,1.7381,1.7381,1.5184,1.5292,53595.22775945006
46,2022-02-18,1.5206,1.5636,1.4841,1.5024,23866.579807229995
47,2022-02-19,1.5,1.5239,1.4683,1.4697,13612.037054389999
48,2022-02-20,1.4654,1.4677,1.4267,1.4368,11651.053544509998
49,2022-02-21,1.438,1.4681,1.3588,1.3588,42720.64221284002
50,2022-02-22,1.3544,1.364,1.32,1.3571,11910.005359229994
51,2022-02-23,1.3585,1.4025,1.3451,1.3506,40008.19586357001
52,2022-02-24,1.349,1.3514,1.1795,1.2651,51132.711780849975
53,2022-02-25,1.2691,1.3368,1.2681,1.3123,80949.93729457996
54,2022-02-26,1.3124,1.3927,1.3124,1.3927,42152.29701021001
55,2022-02-27,1.3929,1.434,1.3295,1.3342,46743.94372182002
56,2022-02-28,1.3373,1.3589,1.2899,1.316,30355.003662229996
57,2022-03-01,1.3179,1.3576,1.2251,1.2992,98751.99829759996
58,2022-03-02,1.2987,1.309,1.2602,1.271,49962.70323713002
59,2022-03-03,1.2706,1.2838,1.197,1.2152,14542.613996359994
60,2022-03-04,1.2133,1.3146,1.1744,1.2327,46837.612370319985
61,2022-03-05,1.2296,1.2296,1.206,1.2194,8950.23848033
62,2022-03-06,1.2232,1.2434,1.1291,1.1291,14651.958431460003
63,2022-03-07,1.1282,1.1282,1.008,1.0142,23798.850606650012
64,2022-03-08,1.0145,1.1,1.0145,1.0678,37414.43112590001
65,2022-03-09,1.0727,1.1581,1.0727,1.1044,10993.199293129997
66,2022-03-10,1.1036,1.1302,1.068,1.1053,14712.465508749998
67,2022-03-11,1.1056,1.1056,1.0421,1.0799,25246.680787020006
68,2022-03-12,1.0818,1.092,1.0805,1.0882,2247.40358468
69,2022-03-13,1.0873,1.0943,1.0266,1.0266,7121.553043980001
70,2022-03-14,1.0265,1.2193,1.0224,1.1677,64973.09146812996
71,2022-03-15,1.1623,1.1796,1.0839,1.1291,47268.219357330025
72,2022-03-16,1.1239,1.2357,1.1232,1.2207,31454.534818450007
73,2022-03-17,1.2088,1.3235,1.1965,1.2935,63340.16591100998
74,2022-03-18,1.2798,1.2798,1.2176,1.2519,115159.32629836995
75,2022-03-19,1.2511,1.2927,1.2497,1.259,23532.624604039982
76,2022-03-20,1.2566,1.4943,1.2559,1.3411,41747.91119671999
77,2022-03-21,1.3409,1.3558,1.2808,1.2809,15239.952004299997
