,date,open,high,low,close,volume
0,2021-06-24,34.15,42.0,31.97,34.91,157900.0179999997
1,2021-06-25,34.91,39.11,29.35,30.6,193381.6869999814
2,2021-06-26,30.6,31.1,26.77,27.86,77952.82499994618
3,2021-06-27,27.86,34.24,27.45,29.19,132877.33400000836
4,2021-06-28,29.19,31.55,27.37,30.36,97659.90500001327
5,2021-06-29,30.38,33.99,30.25,30.91,110464.59399997076
6,2021-06-30,30.91,38.0,30.38,34.43,197375.0700000001
7,2021-07-01,34.43,43.95,33.35,37.81,249238.22599999313
8,2021-07-02,37.81,38.82,30.41,34.13,142673.36700000594
9,2021-07-03,34.13,35.21,33.44,33.92,40309.08400000306
10,2021-07-04,33.88,38.5,33.59,37.72,60218.6070000005
11,2021-07-05,37.72,39.95,33.6,34.3,108718.45400001327
12,2021-07-06,34.3,38.05,33.0,33.94,81425.35000000599
13,2021-07-07,33.95,35.0,33.0,33.48,48583.53600000301
14,2021-07-08,33.48,33.93,30.01,30.3,65900.03300000187
15,2021-07-09,30.3,32.5,29.55,30.68,54882.77999999927
16,2021-07-10,30.68,31.44,30.0,30.0,30760.18599999832
17,2021-07-11,30.0,30.56,29.58,30.0,26042.058999997782
18,2021-07-12,30.0,30.5,27.54,28.21,46851.37700000233
19,2021-07-13,28.16,29.65,26.64,26.72,38569.77900000092
20,2021-07-14,26.72,27.4,26.0,26.91,33008.923000002294
21,2021-07-15,26.88,29.36,22.91,24.88,103474.63799999996
22,2021-07-16,24.97,25.62,23.87,24.09,54338.99500000549
23,2021-07-17,24.09,24.16,21.99,22.79,41582.62700000222
24,2021-07-18,22.75,25.3,22.52,23.41,56529.34200000258
25,2021-07-19,23.34,25.22,19.86,20.15,175717.57099999505
26,2021-07-20,20.15,21.75,19.0,19.82,102306.11199999864
27,2021-07-21,19.82,21.33,19.7,20.31,92326.20900000155
28,2021-07-22,20.32,21.69,19.98,21.04,59656.47399999625
29,2021-07-23,21.03,23.69,20.74,22.6,105873.86899999868
30,2021-07-24,22.69,24.13,21.52,22.08,87716.477999999
31,2021-07-25,22.08,23.5,21.8,22.56,66650.34800000339
32,2021-07-26,22.47,23.71,21.47,21.78,124839.82899998796
33,2021-07-27,21.78,22.0,21.19,21.85,34121.215999994
34,2021-07-28,21.85,21.92,20.58,20.91,53984.5019999972
35,2021-07-29,20.91,21.51,20.34,20.84,98265.44699999852
36,2021-07-30,20.84,22.12,19.13,21.22,109362.60100000167
37,2021-07-31,21.29,23.0,21.0,22.5,106122.78700000526
38,2021-08-01,22.5,27.0,21.2,22.46,138027.6349999994
39,2021-08-02,22.36,23.47,21.6,21.97,80150.73500000115
40,2021-08-03,21.97,22.03,20.71,20.72,89568.36000000375
41,2021-08-04,20.72,22.1,20.5,21.74,63279.47100000187
42,2021-08-05,21.71,23.5,21.27,21.51,76905.89100000152
43,2021-08-06,21.51,22.92,21.39,22.28,80786.84099999975
44,2021-08-07,22.28,23.96,21.85,23.27,82966.62899999954
45,2021-08-08,23.25,33.0,23.17,27.42,433300.6340000261
46,2021-08-09,27.42,37.0,25.26,27.11,355722.94800001197
47,2021-08-10,27.11,27.5,25.59,26.11,159330.6219999984
48,2021-08-11,26.11,29.4,26.08,27.11,137061.59100000162
49,2021-08-12,27.11,28.33,24.9,25.67,133997.87500000067
