,date,open,high,low,close,volume
0,2020-10-12,171.77,172.93,165.3349,169.5241,98361.0365714405
1,2020-10-13,169.2729,173.7801,166.6353,170.5885,112664.66637064061
2,2020-10-14,170.6611,172.62,165.5,168.4089,97018.81616221144
3,2020-10-15,168.44,172.67,166.6437,169.47,101578.48182495072
4,2020-10-16,169.53,170.55,152.54,159.9699,127477.56145731203
5,2020-10-17,160.0221,161.0,156.7001,159.2092,80347.98783347975
6,2020-10-18,159.207,160.64,158.3488,160.39,41554.94655843959
7,2020-10-19,160.52,161.38,157.8554,159.9,52524.52202596937
8,2020-10-20,159.7216,160.68,155.0778,157.5338,56386.15333811927
9,2020-10-21,157.5725,168.54,157.2812,164.3058,94148.10269084369
10,2020-10-22,164.329,172.66,164.329,169.0805,89041.45737175203
11,2020-10-23,169.01,170.83,162.0623,166.67,79891.63527534019
12,2020-10-24,166.379,176.65,166.1499,175.8913,77875.02224751972
13,2020-10-25,175.8976,185.2163,170.0,180.6418,140329.99166224123
14,2020-10-26,180.701,185.2364,167.5709,173.6791,140475.73823327394
15,2020-10-27,173.77,178.5061,172.1768,174.9129,116636.24377764201
16,2020-10-28,174.8072,177.16,166.87,170.0502,96958.51995389117
17,2020-10-29,169.8674,171.37,162.8865,166.8958,77815.85880921071
18,2020-10-30,166.7811,168.8652,157.8153,163.9,84190.89335669074
19,2020-10-31,163.7515,168.24,161.93,164.9699,73703.88715070958
20,2020-11-01,164.9332,166.713,162.0028,164.8505,56816.788621289605
21,2020-11-02,164.9032,167.24,156.1136,158.3846,73460.96193563979
22,2020-11-03,158.3677,158.3677,144.4633,153.3673,124149.1281286632
23,2020-11-04,153.06,153.4,145.9271,151.3047,95006.1498051206
24,2020-11-05,151.499,165.08,150.48,160.2013,110770.99732665154
25,2020-11-06,160.0,169.86,158.13,168.28,120689.39798482227
26,2020-11-07,168.24,173.7843,157.6482,161.8737,124652.3926508943
27,2020-11-08,161.8959,168.3637,160.2699,166.8003,96750.54944580038
28,2020-11-09,166.7716,167.25,156.32,160.08,89035.34964238993
29,2020-11-10,160.16,162.16,154.66,157.1328,99013.47805439029
30,2020-11-11,157.1357,162.42,156.5857,159.0017,84754.41160061053
31,2020-11-12,158.9962,161.0757,155.39,158.2502,80556.32670682904
32,2020-11-13,158.2224,162.5601,156.1621,161.1208,85884.25860028996
33,2020-11-14,161.1357,161.6584,154.87,157.6958,80479.4381598196
34,2020-11-15,157.88,158.48,152.659,154.2665,75338.85063156979
35,2020-11-16,154.28,161.1042,153.028,157.8606,84602.79020927074
36,2020-11-17,157.8719,170.2925,157.7984,167.0608,135979.639002505
37,2020-11-18,167.056,171.2973,153.77,161.94,170482.10745773785
38,2020-11-19,162.266,167.1423,157.41,161.39,153061.4859808522
39,2020-11-20,161.4704,168.45,161.099,166.273,151669.29036955885
40,2020-11-21,166.3121,194.8568,166.2989,194.4853,350367.4813742965
41,2020-11-22,194.47,196.5207,168.8685,178.4962,347238.3792496432
42,2020-11-23,178.4572,198.2594,174.99,196.8011,346651.2575777994
43,2020-11-24,196.6631,217.6212,192.44,209.1728,481601.59025101253
44,2020-11-25,209.0642,212.8087,185.26,191.5,368858.2441769592
45,2020-11-26,191.0947,194.54,150.0,165.8885,386131.44516064494
46,2020-11-27,165.8789,170.12,155.5135,162.0297,352313.49417221756
47,2020-11-28,162.0539,172.41,159.2961,166.5548,162832.80659334906
48,2020-11-29,166.5586,170.76,163.3891,168.0825,141841.5007421705
49,2020-11-30,168.1317,186.31,168.1317,182.8993,225143.46585469204
50,2020-12-01,182.9181,185.16,167.1979,169.2075,267265.6654013444
51,2020-12-02,169.2173,172.76,165.4092,171.0306,175537.12538311406
52,2020-12-03,171.2925,174.56,167.8178,170.8416,115677.90781724002
53,2020-12-04,170.89,197.99,167.8973,177.1717,436312.505268011
54,2020-12-05,177.0809,184.78,172.5744,182.2331,287646.5863782866
55,2020-12-06,182.22,183.54,173.6429,179.07,167748.33659442895
56,2020-12-07,179.0176,188.13,175.5644,179.5991,159663.40529633925
57,2020-12-08,179.5968,181.73,169.5177,173.25,185217.58842984756
58,2020-12-09,173.1714,174.32,160.5562,170.4635,146560.74144471047
59,2020-12-10,170.428,171.39,164.0749,166.3769,141221.5537961298
60,2020-12-11,166.82,167.31,159.0698,161.2214,119497.85678602968
61,2020-12-12,161.0782,166.66,161.0217,164.79,115994.89544805889
62,2020-12-13,165.12,172.2525,164.3964,168.95,85928.58322908958
63,2020-12-14,168.77,169.66,163.89,166.86,84791.63116239978
64,2020-12-15,166.874,173.09,164.4082,168.8409,107807.79065860977
65,2020-12-16,168.939,180.9,166.7622,180.1115,157700.09180376117
66,2020-12-17,179.9,191.18,176.01,178.94,226978.25304247384
67,2020-12-18,179.2004,183.5502,173.0354,178.7699,175668.33385590973
68,2020-12-19,178.7386,180.54,174.51,176.8732,140313.45898564943
69,2020-12-20,176.82,194.2647,173.0804,183.0572,213895.06738551392
70,2020-12-21,182.951,192.8845,170.0,171.45,316214.1846661907
71,2020-12-22,171.21,173.7515,164.32,171.26,201538.70307075034
72,2020-12-23,171.12,172.5035,150.0,154.2532,226848.29917802554
73,2020-12-24,154.2307,162.5,150.97,162.16,249779.32224187022
74,2020-12-25,162.43,169.02,159.34,165.5688,198397.44361648898
75,2020-12-26,165.6195,167.5675,160.94,164.45,173058.05867398067
76,2020-12-27,164.9258,176.0,156.69,167.0458,212794.97830751076
77,2020-12-28,166.9975,173.9851,165.7,168.01,194298.59456417145
78,2020-12-29,168.0744,169.4102,155.0,164.4,154595.2525242904
79,2020-12-30,164.5994,170.04,161.402,166.9924,197190.93933942332
80,2020-12-31,166.8883,167.008,157.8,163.2577,126994.50242526825
81,2021-01-01,163.3341,165.71,161.15,162.6791,121738.67316270918
82,2021-01-02,162.7588,167.48,159.1742,163.1219,127512.66600618845
83,2021-01-03,163.1392,173.83,161.9559,171.2359,236722.1484233168
84,2021-01-04,171.25,185.33,157.9745,167.622,356115.27475865674
85,2021-01-05,167.5979,171.3,161.7025,167.9187,259778.38248970418
86,2021-01-06,168.1582,185.25,166.2845,179.6613,267026.8759455564
87,2021-01-07,179.69,188.38,158.13,175.2279,464492.21111335803
88,2021-01-08,175.0204,184.87,165.22,179.5696,317718.5882998296
89,2021-01-09,180.1501,325.1,174.0233,284.66,733992.9279233305
90,2021-01-10,284.76,295.34,228.02,250.4772,900684.8721449263
91,2021-01-11,250.6497,251.581,162.0,190.2067,891313.0078555171
92,2021-01-12,190.1342,205.0,180.26,188.724,713523.6976362582
93,2021-01-13,188.8552,221.8767,187.2131,212.8155,429482.58123628655
94,2021-01-14,212.7727,236.3109,203.4061,221.3352,554212.2306516377
95,2021-01-15,221.117,223.1522,188.8507,208.4967,399423.06762873934
96,2021-01-16,209.22,216.21,200.54,205.9561,340699.7766296497
97,2021-01-17,206.0048,207.6996,193.5,199.6483,253454.38320305993
98,2021-01-18,200.36,210.17,196.5635,205.8853,239229.90121579924
99,2021-01-19,206.5263,216.23,203.1832,203.9324,264940.076972517
100,2021-01-20,203.6865,206.2498,184.08,200.32,294688.9042092393
101,2021-01-21,200.66,201.3793,175.0522,178.4807,358875.4307380625
102,2021-01-22,178.1,182.1653,169.4953,177.8523,317718.2469260395
103,2021-01-23,177.8191,178.02,170.0,174.2898,303323.3564889576
104,2021-01-24,174.3343,177.28,170.7426,174.3029,203189.98267168927
105,2021-01-25,174.24,185.82,173.0498,181.51,213692.36109853623
106,2021-01-26,180.87,181.36,171.4424,173.8231,199450.1000063792
107,2021-01-27,173.826,174.1,157.8452,161.4727,254127.20454507542
108,2021-01-28,161.487,174.5,160.9478,170.5214,229914.85695981758
109,2021-01-29,170.6807,186.91,166.0451,172.84,276130.76597572595
110,2021-01-30,172.6717,194.83,167.6081,178.94,391079.8678727089
111,2021-01-31,179.07,181.89,170.5,173.7241,287127.7866143761
112,2021-02-01,173.6943,187.0947,172.335,178.94,243032.07967474684
113,2021-02-02,178.8,182.74,177.3267,180.5488,228388.09935608157
114,2021-02-03,180.5121,189.0,179.58,183.5624,180672.4532777394
115,2021-02-04,183.3806,188.24,175.29,177.0525,190704.67572471962
116,2021-02-05,177.0857,188.8207,175.9,187.9169,195492.34394818862
117,2021-02-06,187.9381,199.6,181.0209,184.9,279752.922932709
118,2021-02-07,184.68,190.0,178.4206,182.7569,284763.64945519733
119,2021-02-08,182.8408,196.0,181.41,195.3,248618.45978805525
120,2021-02-09,194.4121,240.0825,193.8252,225.7821,581928.3607000044
