,date,open,high,low,close,volume
0,2020-10-12,8.27365,8.3239,8.0001,8.2082,41207.49196435006
1,2020-10-13,8.19744,8.2783,7.9383,8.08175,40578.10306941001
2,2020-10-14,8.07401,8.1184,7.55001,7.73909,27366.868932320118
3,2020-10-15,7.73753,7.93044,7.59969,7.82422,34428.58954544996
4,2020-10-16,7.83421,7.83421,7.55,7.64008,33301.88535397002
5,2020-10-17,7.6997,7.7135,7.61283,7.66162,21261.898864219962
6,2020-10-18,7.64013,7.74993,7.6198,7.71455,23786.33563162002
7,2020-10-19,7.71663,8.111,7.6248,7.72913,31827.37241304009
8,2020-10-20,7.72952,7.864,7.3538,7.48728,41008.40467792968
9,2020-10-21,7.49735,8.1176,7.3894,7.85001,37058.720947139984
10,2020-10-22,7.8401,8.144,7.8004,7.8778,24790.067776390097
11,2020-10-23,7.87639,7.9851,7.6725,7.85998,32675.440003340038
12,2020-10-24,7.87112,8.0,7.8122,7.89474,22367.076566100022
13,2020-10-25,7.9,8.0091,7.7992,7.89603,39010.747220249985
14,2020-10-26,7.91702,7.99584,7.3981,7.51119,22282.434523860073
15,2020-10-27,7.50636,7.67,7.39448,7.53613,38224.97086936006
16,2020-10-28,7.53569,7.60949,7.0151,7.36403,35123.823642530035
17,2020-10-29,7.36056,7.4049,7.07,7.13479,25348.255076530037
18,2020-10-30,7.13948,7.24411,7.0148,7.09913,44650.76165762998
19,2020-10-31,7.09115,7.24999,7.04311,7.06907,26655.027670849984
20,2020-11-01,7.0627,7.3177,7.057,7.20921,37299.01727566
21,2020-11-02,7.22433,7.27644,6.88709,6.96009,43347.061406189976
22,2020-11-03,6.96318,7.01263,6.7401,6.9877,48719.63312693001
23,2020-11-04,6.98224,7.3432,6.87055,7.08451,37845.34597730001
24,2020-11-05,7.07537,7.39057,6.94471,7.27126,46504.73943732991
25,2020-11-06,7.27985,7.7926,7.20491,7.62251,32143.346670600018
26,2020-11-07,7.63345,7.88736,7.15718,7.2843,70635.24954359981
27,2020-11-08,7.26581,7.5957,7.2434,7.50679,36775.114032099984
28,2020-11-09,7.49869,7.6522,7.1558,7.32929,49107.43633246993
29,2020-11-10,7.3004,7.45638,7.2101,7.33853,41731.66983183986
30,2020-11-11,7.34481,7.5559,7.19319,7.44368,54105.54185206982
31,2020-11-12,7.45795,7.8,7.36107,7.57323,41229.76654904998
32,2020-11-13,7.55627,7.67226,7.48149,7.56213,41187.58280182009
33,2020-11-14,7.6127,7.85355,7.34,7.68791,42250.363982289884
34,2020-11-15,7.71427,7.83137,7.3399,7.4178,35041.37321893002
35,2020-11-16,7.40189,8.0129,7.37395,7.89522,46594.72303195992
36,2020-11-17,7.89261,8.1441,7.7007,8.05989,66741.40386515982
37,2020-11-18,8.0727,10.418,8.03794,9.3945,124178.54183788008
38,2020-11-19,9.396,9.7271,8.49555,8.82006,52674.49593021
39,2020-11-20,8.82665,9.6669,8.7981,9.45071,43640.81391847982
40,2020-11-21,9.45844,9.9031,9.27925,9.8605,56268.26004868962
41,2020-11-22,9.87546,10.17862,8.89916,9.43284,55076.50404571988
42,2020-11-23,9.43027,9.8018,9.11743,9.6449,42191.05233283002
