,date,open,high,low,close,volume
0,2021-11-23,4.992,5.134,4.829,4.925,318870.99000000104
1,2021-12-14,4.29,4.32,4.12,4.14,108716.2799999998
2,2021-12-15,4.14,4.45,4.08,4.29,248574.61000000042
3,2021-12-16,4.27,4.34,4.2,4.24,97285.18000000008
4,2021-12-17,4.22,4.25,4.03,4.08,56265.67000000002
5,2021-12-18,4.11,4.22,4.02,4.17,92589.8899999998
6,2021-12-19,4.18,4.59,3.94,4.03,356544.4500000002
7,2021-12-20,4.04,4.05,3.32,3.5,997422.3700000098
8,2021-12-21,3.48,3.71,3.46,3.59,538841.8299999986
9,2021-12-22,3.59,3.71,3.39,3.55,337014.79000000074
10,2021-12-23,3.55,3.69,3.4,3.66,301008.32000000356
11,2021-12-24,3.65,4.0,3.5,3.51,456441.22999999986
12,2021-12-25,3.49,3.87,3.47,3.63,224338.77000000144
13,2021-12-26,3.64,3.68,3.55,3.63,110090.95999999973
14,2021-12-27,3.65,3.98,3.62,3.81,372612.4900000004
15,2021-12-28,3.81,3.82,3.52,3.54,247316.18000000078
16,2021-12-29,3.54,3.66,3.53,3.56,185683.0800000008
17,2021-12-30,3.56,3.61,3.5,3.58,73957.76999999981
18,2021-12-31,3.58,3.71,3.41,3.41,314928.8100000016
19,2022-01-01,3.44,3.7,3.36,3.64,296197.52000000223
20,2022-01-02,3.64,3.67,3.36,3.46,183172.40000000087
21,2022-01-03,3.45,3.52,3.38,3.4,98560.47999999998
22,2022-01-04,3.41,3.52,3.3,3.45,211316.11000000098
23,2022-01-05,3.44,3.61,3.23,3.25,251036.85000000018
24,2022-01-06,3.24,3.35,3.2,3.24,118197.87999999987
25,2022-01-07,3.23,3.24,3.08,3.14,108462.82999999974
26,2022-01-08,3.14,3.36,3.04,3.16,362591.4199999999
27,2022-01-09,3.17,3.28,3.11,3.2,104462.92999999986
28,2022-01-10,3.21,3.22,2.61,2.86,559584.5099999948
29,2022-01-11,2.86,2.96,2.83,2.85,169520.1200000008
30,2022-01-12,2.85,2.92,2.73,2.91,190332.24000000174
31,2022-01-13,2.91,3.11,2.84,2.84,274169.5000000015
32,2022-01-14,2.85,2.91,2.73,2.77,154746.8899999999
33,2022-01-15,2.77,2.94,2.75,2.87,113373.64999999964
34,2022-01-16,2.86,2.95,2.77,2.86,109480.02999999984
35,2022-01-17,2.87,2.88,2.74,2.76,91160.06999999989
36,2022-01-18,2.77,2.8,2.5,2.69,154285.8800000002
37,2022-01-19,2.69,2.71,2.52,2.53,57754.99999999992
38,2022-01-20,2.54,2.55,2.33,2.34,315100.84000000055
39,2022-01-21,2.35,3.65,2.19,2.64,3795869.7499999492
40,2022-01-22,2.62,3.21,2.03,2.31,3122226.9099999033
41,2022-01-23,2.31,3.0,2.28,2.74,1207871.2300000342
42,2022-01-24,2.74,3.21,2.41,3.07,1282932.9100001066
43,2022-01-25,3.07,3.82,2.98,3.71,1608890.030000045
44,2022-01-26,3.73,3.77,3.41,3.57,623699.6800000174
45,2022-01-27,3.57,3.95,3.3,3.38,600925.6500000173
46,2022-01-28,3.38,3.96,3.36,3.76,517874.7599999912
47,2022-01-29,3.74,3.76,3.43,3.47,142670.35999999984
48,2022-01-30,3.45,3.48,3.15,3.18,129965.94999999978
49,2022-01-31,3.18,4.4,3.1,4.15,817642.3200000058
50,2022-02-01,4.12,5.09,3.96,5.0,1352528.760000046
51,2022-02-02,5.0,5.15,4.02,4.14,465718.37999999477
52,2022-02-03,4.14,4.19,3.78,3.91,146056.69999999984
53,2022-02-04,3.89,4.09,3.72,3.96,189449.9800000002
54,2022-02-05,3.94,3.97,3.6,3.77,143975.17000000013
55,2022-02-06,3.76,3.78,3.63,3.65,60491.85999999979
56,2022-02-07,3.64,3.76,3.62,3.71,81271.48999999985
57,2022-02-08,3.64,3.77,3.64,3.71,68065.87999999995
