,date,open,high,low,close,volume
0,2022-01-03,6.7024,6.7024,6.1982,6.3857,3094.082652810003
1,2022-01-04,6.1982,6.636,6.1723,6.3645,685.7289435900004
2,2022-01-05,6.3645,6.5845,6.0686,6.3191,2973.708168420001
3,2022-01-06,6.0686,6.8239,6.0686,6.8109,993.526747299999
4,2022-01-07,6.7836,6.8251,6.1525,6.415,1296.5688197200013
5,2022-01-08,6.1801,6.9403,6.1525,6.7758,8421.730651640011
6,2022-01-09,6.7273,6.9693,6.545,6.8175,1757.4733790699993
7,2022-01-10,6.8114,7.0,6.6705,6.8272,4060.3968906999967
8,2022-01-11,6.7185,6.9401,6.6705,6.7392,673.5697099200003
9,2022-01-12,6.7477,6.9911,6.6705,6.7898,3358.5898364999985
10,2022-01-13,6.7892,7.3436,6.7189,6.8031,6726.5744054999595
11,2022-01-14,6.8031,7.3436,6.758,7.1471,2379.459675900011
12,2022-01-15,7.1076,7.3432,6.8357,6.8682,1679.4706876799946
13,2022-01-16,6.8694,7.1058,6.833,7.068,788.2029935500007
14,2022-01-17,6.9655,6.9904,6.4807,6.4807,3842.942847939995
15,2022-01-18,6.5644,7.151,6.5548,7.1005,3464.9486432200183
16,2022-01-19,7.0435,8.4921,6.9001,8.0574,4825.716782060007
17,2022-01-20,8.0662,8.1702,7.6074,7.6916,3987.990952790007
18,2022-01-21,7.6894,7.9231,7.324,7.324,9835.299022140012
19,2022-01-22,7.429,7.6331,6.9251,6.9251,3230.337384400002
20,2022-01-23,6.9251,8.234,6.9251,7.5382,6740.777186340001
21,2022-01-24,7.5465,8.0375,7.1804,7.9589,6713.344199769998
22,2022-01-25,7.9607,7.9607,7.4741,7.5767,5128.555770050005
23,2022-01-26,7.5661,7.88,7.4448,7.5189,3768.482403629995
24,2022-01-27,7.5014,7.7434,7.4615,7.5543,3242.1614019099975
25,2022-01-28,7.5494,7.6659,7.5494,7.6333,101.61665601000001
26,2022-01-29,7.6309,7.9342,7.6309,7.7783,1595.2030940999998
27,2022-01-30,7.8135,7.8619,7.6257,7.7126,1219.72309117
28,2022-01-31,7.7501,7.9055,7.7125,7.9055,142.03070746
29,2022-02-01,7.9244,8.0297,7.8651,7.9992,2054.3607610900103
30,2022-02-02,7.9992,8.0278,7.6857,7.6941,871.6331729100008
31,2022-02-03,7.7154,7.8559,7.6427,7.6635,948.3021247700003
32,2022-02-04,7.6592,7.9785,7.6515,7.8849,1102.7162311599996
33,2022-02-05,7.8929,7.9882,7.586,7.7336,4506.555039019998
34,2022-02-06,7.7378,7.8239,7.6112,7.7743,236.38947479
35,2022-02-07,7.7776,7.9297,7.6721,7.9297,688.2248789600004
36,2022-02-08,7.9297,7.9297,7.4562,7.5385,5962.945745869996
37,2022-02-09,7.5255,8.0083,7.5139,7.8039,10369.031038670037
38,2022-02-10,7.7988,7.88,7.545,7.7295,5157.786811239992
39,2022-02-11,7.7338,7.849,7.4938,7.6453,7177.304644459997
40,2022-02-12,7.6026,8.0531,7.0289,7.7872,11883.465308549989
41,2022-02-13,7.8073,7.8073,7.6869,7.7456,65.50846810000004
42,2022-02-14,7.741,7.803,7.423,7.72,1560.76692737
43,2022-02-15,7.7199,7.8531,7.5832,7.6604,7805.324259189992
44,2022-02-16,7.6857,7.7056,7.4854,7.5431,1233.9633124200016
45,2022-02-17,7.5838,7.5998,6.7459,6.7481,3468.702996420001
46,2022-02-18,6.7459,7.1352,6.7101,6.7437,4436.803468540002
47,2022-02-19,6.746,6.81,6.5107,6.5754,1476.96925239
48,2022-02-20,6.573,6.573,5.3807,5.9152,4289.6401967699985
49,2022-02-21,5.9109,6.2143,5.8884,5.9512,2521.466785149999
50,2022-02-22,5.9442,6.2373,5.8542,6.2373,1520.0903850900004
51,2022-02-23,6.2428,6.7163,6.1241,6.3849,1825.4037269100006
52,2022-02-24,6.3699,6.7017,5.8508,6.5034,2220.4986231999983
53,2022-02-25,6.492,7.0699,6.3601,6.974,1049.8965706299994
54,2022-02-26,6.97,7.5822,6.84,7.4184,1988.1805197000012
55,2022-02-27,7.4183,7.4293,6.5009,6.6248,7601.257125039958
56,2022-02-28,6.6227,6.8103,5.751,6.645,9169.808848349978
57,2022-03-01,6.6411,6.7566,6.18,6.3617,2967.4786302799985
58,2022-03-02,6.3985,6.6935,5.506,6.6544,14934.561094169994
59,2022-03-03,6.6995,7.133,6.6995,7.133,542.6910190499999
60,2022-03-04,7.1763,7.471,7.1763,7.3293,408.1125628799999
61,2022-03-05,7.31,7.31,7.23,7.23,29.35166893
62,2022-03-06,7.29,7.29,7.27,7.27,0.8
63,2022-03-07,7.25,7.25,7.18,7.24,1.8677231
64,2022-03-08,7.2399,7.52,7.2399,7.46,185.36922603000002
65,2022-03-09,7.46,7.9774,7.46,7.7524,2922.5465039000014
66,2022-03-10,7.83,8.2433,6.7388,7.6086,57432.27100839006
67,2022-03-11,7.69,8.7545,7.28,8.5002,30382.88692769002
68,2022-03-12,8.3855,8.8754,8.003,8.2901,13667.900504039997
69,2022-03-13,8.34,8.7873,8.0064,8.43,5891.76924084
70,2022-03-14,8.4292,8.903,7.6311,8.0891,14780.225295970007
71,2022-03-15,8.0895,8.301,7.6634,8.1947,1409.42301907
72,2022-03-16,8.1901,8.6123,7.8268,8.3525,2371.9446267899975
73,2022-03-17,8.3523,8.5899,8.2886,8.42,869.494550629999
74,2022-03-18,8.4202,8.5914,8.2242,8.3837,911.1522090599999
75,2022-03-19,8.4209,8.5211,8.2971,8.4335,280.8723567399999
76,2022-03-20,8.4501,8.5551,8.24,8.3798,1288.8944321100003
77,2022-03-21,8.3819,8.5183,7.8459,8.0453,4556.426697209999
78,2022-03-22,8.0426,8.25,7.6269,7.665,2801.5967174199986
79,2022-03-23,7.65,9.212,7.646,8.5333,16872.22048255004
80,2022-03-24,8.563,8.5751,8.3012,8.4906,1828.461897920003
81,2022-03-25,8.5477,8.5477,8.084,8.084,1910.8568125800025
82,2022-03-26,8.0963,8.1208,7.6031,7.718,1899.428673370002
83,2022-03-27,7.7296,7.7852,7.5039,7.75,2733.475577829999
84,2022-03-28,7.75,7.8613,7.569,7.6775,2239.8122908200035
85,2022-03-29,7.666,8.1208,7.5477,7.9643,2710.209258800002
86,2022-03-30,7.97,8.0506,7.9139,8.0112,223.2890216099999
87,2022-03-31,8.0032,8.06,7.7288,7.7384,459.7878752099999
88,2022-04-01,7.7408,8.1865,7.6605,8.0967,614.9826827099994
89,2022-04-02,8.0966,8.26,8.0293,8.04,744.2862806399991
90,2022-04-03,8.0595,8.27,8.0438,8.1233,521.1425895699998
91,2022-04-04,8.1107,8.1138,7.4106,7.5848,6138.043171370007
92,2022-04-05,7.6111,7.6252,6.807,7.5106,20199.213416640006
93,2022-04-06,7.5762,7.9899,5.9633,7.4933,32425.099348929933
94,2022-04-07,7.3674,7.7804,7.33,7.7035,2419.0596998699993
95,2022-04-08,7.5862,8.5298,7.5862,8.1211,10467.940534280007
96,2022-04-09,8.1267,8.43,7.99,8.31,3287.133971769994
97,2022-04-10,8.3019,8.4788,7.9445,8.145,1081.8631477600002
98,2022-04-11,8.147,8.1628,7.5096,7.5096,1354.5660803199996
99,2022-04-12,7.5382,7.721,7.44,7.6431,599.6683894400003
100,2022-04-13,7.66,7.7788,7.5201,7.7415,233.55391172000003
101,2022-04-14,7.7344,7.7436,7.5625,7.6501,292.7811204799999
102,2022-04-15,7.7,7.7264,7.62,7.7086,201.21547991000003
103,2022-04-16,7.7264,8.1174,7.4538,8.0982,1522.9542414100022
104,2022-04-17,8.0962,8.42,7.9759,8.0125,5656.97507868
105,2022-04-18,8.01,8.0291,7.4026,7.7922,4637.486134859997
106,2022-04-19,7.83,7.83,7.1003,7.5353,1398.7098576000005
107,2022-04-20,7.5327,7.545,7.2767,7.398,2883.480839709996
108,2022-04-21,7.4077,7.6511,7.35,7.5463,1335.6927851299993
109,2022-04-22,7.4994,7.9029,7.4519,7.5646,1624.0505609900001
110,2022-04-23,7.5501,7.6763,7.4658,7.6099,774.7207271000004
111,2022-04-24,7.5475,7.7912,7.4701,7.5018,2148.7075700199966
112,2022-04-25,7.4891,7.5499,7.4091,7.5178,1981.2157004899998
113,2022-04-26,7.53,7.7482,7.1748,7.2112,2490.3008227100017
114,2022-04-27,7.2174,7.5633,7.2105,7.4576,413.2294389200001
115,2022-04-28,7.44,7.5425,7.229,7.4254,1183.9635758100019
116,2022-04-29,7.421,7.53,7.247,7.2848,258.05218338000003
117,2022-04-30,7.2869,7.3497,7.1279,7.1525,368.89456629999995
118,2022-05-01,7.1201,7.17,6.74,6.9598,894.0582113200006
119,2022-05-02,6.9592,7.137,6.8932,7.1052,258.5660452800001
120,2022-05-03,7.1178,7.12,6.6917,6.7483,2552.5998110900046
121,2022-05-04,6.7499,7.0696,6.6654,6.7479,1658.8046541099998
122,2022-05-05,6.7289,6.94,6.2188,6.6903,5042.312744829999
123,2022-05-06,6.6936,6.6936,6.4521,6.5513,1478.7665317099995
124,2022-05-07,6.5549,6.6653,6.4722,6.6582,838.5093765000004
125,2022-05-08,6.6404,6.7441,6.4363,6.4805,4896.075948250001
126,2022-05-09,6.4942,6.5279,6.0586,6.1706,2957.4692220599977
127,2022-05-10,6.1838,6.7329,6.084,6.2945,1577.088429809999
128,2022-05-11,6.3739,6.4918,5.8332,6.15,13267.92734913001
129,2022-05-12,6.15,6.2821,3.97,4.03,41142.68297806999
130,2022-05-13,4.03,5.82,3.9496,4.9369,43960.48522255999
131,2022-05-14,4.96,6.8278,4.5873,6.2985,9973.527827459993
132,2022-05-16,6.2329,6.35,6.1254,6.35,175.20426087
133,2022-05-17,6.37,6.37,6.36,6.36,9.84144427
134,2022-05-18,6.38,6.39,6.15,6.29,5896.773181430002
135,2022-05-19,6.271,6.6799,6.2155,6.6193,3581.054958480001
136,2022-05-20,6.63,6.6698,6.5026,6.5959,478.0721273700001
137,2022-05-21,6.5901,6.6882,6.5555,6.6341,409.07686471999995
138,2022-05-22,6.6164,6.71,6.6,6.6578,424.8292389800001
139,2022-05-23,6.6693,6.9507,6.6632,6.8624,229.38976123999987
140,2022-05-24,6.878,6.908,6.6501,6.7975,1166.9754141399999
141,2022-05-25,6.8,6.81,6.6875,6.7407,296.5244376900001
142,2022-05-26,6.7378,6.8499,6.5689,6.8142,14709.317741290013
143,2022-05-27,6.82,6.86,6.4901,6.58,6475.928906889994
144,2022-05-28,6.58,6.76,6.472,6.54,3345.6475313799965
145,2022-05-29,6.5428,6.6299,6.4611,6.5719,1657.8080589599992
146,2022-05-30,6.5347,6.807,6.4801,6.7013,3874.1190376499994
147,2022-05-31,6.696,6.8599,6.5808,6.6974,2213.0069859599976
148,2022-06-01,6.69,6.7399,6.5,6.582,1753.7636079200006
149,2022-06-02,6.5601,6.582,6.4522,6.4905,495.48918658999975
150,2022-06-03,6.4901,6.4991,6.42,6.46,368.01293619000023
151,2022-06-04,6.46,6.4956,6.4377,6.4815,365.42760192000003
152,2022-06-05,6.4866,6.5023,4.0,6.2,17123.52457649
153,2022-06-06,6.4031,6.4639,6.3086,6.3091,830.38658972
154,2022-06-07,6.2311,6.3342,6.0817,6.3342,248.97356227
155,2022-06-08,6.1509,6.2673,6.1509,6.2673,32.211674650000006
156,2022-06-09,6.2,6.2,6.0701,6.0701,223.66825778000003
157,2022-06-10,6.0701,6.3713,6.0701,6.3086,3574.67521146
158,2022-06-11,5.7334,5.7334,5.0006,5.2146,373.5525809399999
