,date,open,high,low,close,volume
0,2022-01-03,0.0028052,0.0028546,0.0027052,0.0027563,1660786288.6188986
1,2022-01-04,0.0027599,0.0030435,0.0026501,0.0029028,1429478704.5339062
2,2022-01-05,0.0029352,0.0032,0.0026569,0.0027671,1187334498.3285735
3,2022-01-06,0.0027667,0.002842,0.0026788,0.0027777,932703074.8357973
4,2022-01-07,0.0027822,0.0028136,0.0025,0.0025771,1563860085.8737636
5,2022-01-08,0.0025822,0.002626,0.0023593,0.0024158,1618543884.62441
6,2022-01-09,0.0024158,0.0025319,0.0023976,0.0024673,1840659336.1971517
7,2022-01-10,0.0024658,0.0027,0.0023509,0.002435,1613958996.9711611
8,2022-01-11,0.0024295,0.0025675,0.0023948,0.0025043,1116671930.1125255
9,2022-01-12,0.0025099,0.0026288,0.0024415,0.0025883,1162049132.829342
10,2022-01-13,0.0026076,0.00268,0.002488,0.002495,1215296799.1029086
11,2022-01-14,0.002501,0.002853,0.0023001,0.0025268,1536892499.886095
12,2022-01-15,0.0025218,0.0025606,0.0024868,0.0025273,1485839821.3361497
13,2022-01-16,0.0025284,0.0026756,0.002521,0.0026702,1572082845.057172
14,2022-01-17,0.0026759,0.0029089,0.0024671,0.0025612,1422896462.0969448
15,2022-01-18,0.00256,0.0028753,0.0025053,0.002647,497239107.27002615
16,2022-01-19,0.0026177,0.0027922,0.002581,0.0026694,1162846577.3148308
17,2022-01-20,0.002645,0.0027928,0.002621,0.002718,19972122.63666389
18,2022-01-21,0.002718,0.0027779,0.0022833,0.0022838,30164095.721952785
19,2022-01-22,0.0022835,0.0023455,0.0020001,0.0021405,23313068.677790765
20,2022-01-23,0.0021404,0.0022879,0.0020877,0.0021939,22712377.58206687
21,2022-01-24,0.0021961,0.0022996,0.002,0.0020739,33731265.839187175
22,2022-01-25,0.002072,0.0022652,0.002,0.0022297,63521773.72900754
23,2022-01-26,0.0022347,0.0023651,0.0021,0.00216,43860049.89311135
24,2022-01-27,0.0021656,0.0023466,0.00204,0.0022162,20070052.53312101
25,2022-01-28,0.0022162,0.0022427,2.2e-07,2.16e-06,23029213704.926197
26,2022-01-29,2.16e-06,3.1e-06,2.06e-06,2.69e-06,12137189036.999279
27,2022-01-30,2.69e-06,3.02e-06,2.1e-06,2.28e-06,6719498199.842432
28,2022-01-31,2.12e-06,2.44e-06,2.07e-06,2.17e-06,6531404479.313355
29,2022-02-01,2.17e-06,2.38e-06,2.13e-06,2.18e-06,2625068334.1110244
30,2022-02-02,2.19e-06,2.25e-06,2.07e-06,2.11e-06,3511293417.5530095
31,2022-02-03,2.14e-06,2.16e-06,2.06e-06,2.09e-06,4052049979.790726
32,2022-02-04,2.1e-06,2.26e-06,2.1e-06,2.22e-06,20595594624.454376
33,2022-02-05,2.25e-06,2.54e-06,2.23e-06,2.26e-06,24902702719.724617
34,2022-02-06,2.26e-06,2.35e-06,2.22e-06,2.29e-06,13851796437.655943
35,2022-02-07,2.28e-06,2.65e-06,2.28e-06,2.43e-06,5443390848.630097
36,2022-02-08,2.42e-06,2.63e-06,2.2e-06,2.28e-06,12250769101.093634
37,2022-02-09,2.28e-06,2.6e-06,2.25e-06,2.34e-06,10881504670.782835
38,2022-02-10,2.33e-06,2.44e-06,2.24e-06,2.25e-06,10857449018.772953
39,2022-02-11,2.24e-06,2.27e-06,2.11e-06,2.12e-06,2238810413.423275
40,2022-02-12,2.12e-06,2.19e-06,2.11e-06,2.19e-06,2805620393.8053703
41,2022-02-13,2.19e-06,2.2e-06,2.14e-06,2.17e-06,2541175052.6627097
