,date,open,high,low,close,volume
0,2020-10-15,0.215,0.220732,0.215,0.220731,102.10000000000001
1,2020-10-16,0.201866,0.201866,0.201866,0.201866,45.3
2,2020-10-18,0.200002,0.200002,0.2,0.2,16.0
3,2020-10-19,0.220728,0.220728,0.220728,0.220728,0.5
4,2020-10-21,0.220728,0.24,0.205693,0.24,1930.5999999999997
5,2020-10-22,0.21911,0.21911,0.205771,0.205771,4000.0
6,2020-10-23,0.206096,0.238253,0.206092,0.210281,239.09999999999997
7,2020-10-24,0.211365,0.211571,0.211365,0.211571,992.0
8,2020-10-25,0.211901,0.211911,0.211901,0.211911,1000.0
9,2020-10-26,0.211901,0.211901,0.197322,0.197322,2627.2
10,2020-10-27,0.225,0.226813,0.198975,0.199318,1743.3000000000002
11,2020-10-28,0.229999,0.23,0.229999,0.23,0.5
12,2020-10-29,0.229823,0.229823,0.229823,0.229823,1.0
13,2020-10-30,0.198979,0.198979,0.197321,0.197321,16.700000000000003
14,2020-10-31,0.21,0.21,0.21,0.21,1.0
15,2020-11-01,0.195002,0.195002,0.195002,0.195002,100.0
16,2020-11-02,0.219977,0.219977,0.2,0.2,7.6
17,2020-11-03,0.2,0.2,0.195001,0.195001,10.5
18,2020-11-04,0.195,0.209996,0.183001,0.183001,200.79999999999998
19,2020-11-05,0.209997,0.209998,0.199999,0.209998,1599.8999999999992
20,2020-11-06,0.209997,0.215,0.209997,0.215,29.900000000000002
21,2020-11-07,0.215,0.219999,0.215,0.219999,3.5000000000000004
22,2020-11-08,0.205,0.205,0.19,0.19,47.8
23,2020-11-10,0.194871,0.201276,0.185,0.201276,907.1000000000001
24,2020-11-11,0.204288,0.204288,0.204286,0.204286,0.30000000000000004
25,2020-11-12,0.20498,0.20498,0.182001,0.202909,2778.6999999999994
26,2020-11-13,0.203743,0.203753,0.203743,0.203753,97.80000000000001
27,2020-11-14,0.187413,0.202991,0.175015,0.202989,299.0000000000001
28,2020-11-16,0.18764,0.18764,0.18764,0.18764,5.9
29,2020-11-17,0.2,0.208,0.2,0.208,49.9
30,2020-11-18,0.209,0.217,0.209,0.217,19.0
31,2020-11-20,0.194,0.194,0.176001,0.176001,54.599999999999994
32,2020-11-21,0.181142,0.216,0.181142,0.215,79.6
33,2020-11-22,0.215,0.239,0.215,0.229785,63.50000000000001
34,2020-11-23,0.245507,0.245507,0.245507,0.245507,78.89999999999993
35,2020-11-24,0.210652,0.245507,0.210651,0.221581,118.5
36,2020-11-25,0.210822,0.219984,0.155,0.155,1183.3999999999996
37,2020-11-26,0.218156,0.218156,0.139,0.15,202.29999999999995
