,date,open,high,low,close,volume
0,2022-01-03,4.2468,4.2498,4.00676,4.096,5738.3287422899975
1,2022-01-04,4.0977,4.14358,4.0015,4.0071,4889.833966429998
2,2022-01-05,4.0016,4.0871,3.6213,3.6213,27412.99230954999
3,2022-01-06,3.6081,3.6539,3.0,3.5384,112309.12591424977
4,2022-01-07,3.5363,3.5421,3.054,3.3197,39543.437009280016
5,2022-01-08,3.3205,3.4527,3.0514,3.2077,9139.247716999998
6,2022-01-09,3.2033,3.2837,3.1052,3.2028,11908.648217679987
7,2022-01-10,3.2009,3.23649,3.036,3.0801,11373.429462199976
8,2022-01-11,3.0806,3.2212,3.0264,3.1596,4998.3350631
9,2022-01-12,3.1613,3.3726,3.111,3.2824,12270.602166120001
10,2022-01-13,3.2788,3.4701,3.1815,3.3837,7349.262247620001
11,2022-01-14,3.3788,3.4462,3.0565,3.1759,36579.69630607003
12,2022-01-15,3.1767,3.2237,3.1562,3.2114,2928.112866360002
13,2022-01-16,3.2103,3.2529,3.1244,3.2125,6786.9175098999995
14,2022-01-17,3.2069,3.2109,3.0878,3.1046,5904.798620880007
15,2022-01-18,3.1042,3.205,3.0153,3.0673,52802.53819363996
16,2022-01-19,3.0685,3.1794,3.0413,3.0486,15635.254369360027
17,2022-01-20,3.0504,3.187,2.8248,3.0684,28877.839329539973
18,2022-01-21,3.0656,3.164,2.61826,2.6234,52366.51402509989
19,2022-01-22,2.6188,2.7234,2.3622,2.5875,61983.45113045017
20,2022-01-23,2.5888,2.65966,2.3847,2.4834,23604.60266997999
21,2022-01-24,2.4809,2.4868,2.0021,2.341,77424.89372219985
22,2022-01-25,2.3453,2.346,2.1679,2.2042,14566.831328939996
23,2022-01-26,2.2089,2.4512,2.1763,2.2454,36687.081666549995
24,2022-01-27,2.2422,2.2713,2.0091,2.0546,17886.953739660024
25,2022-01-28,2.0549,2.3431,2.0444,2.3304,15519.656634420002
26,2022-01-29,2.33,2.424,2.2974,2.4137,14848.566003499995
27,2022-01-30,2.4103,2.6391,2.3954,2.5659,14640.842686189984
28,2022-01-31,2.5626,2.682,2.5422,2.5539,9363.549926059995
29,2022-02-01,2.5503,2.6765,2.5373,2.6046,4410.91314087
30,2022-02-02,2.6097,2.6164,2.4001,2.4195,18735.228817820003
31,2022-02-03,2.4172,2.4734,2.3531,2.459,2456.2321863399998
32,2022-02-04,2.464,2.7493,2.4471,2.7275,2834.0565775800014
33,2022-02-05,2.7481,2.7892,2.6763,2.6863,2575.0054230399955
34,2022-02-06,2.6845,3.0072,2.6821,2.986,4239.32547756
35,2022-02-07,2.9981,3.152,2.9452,3.1396,4795.35327746
36,2022-02-08,3.1352,3.145,2.9903,3.0731,1816.929099309999
37,2022-02-09,3.0765,3.3278,3.0367,3.2943,2959.316026119997
38,2022-02-10,3.3001,3.5686,3.2093,3.4647,4461.797713759997
39,2022-02-11,3.4656,3.4771,3.1703,3.172,769.5389738800002
40,2022-02-12,3.1704,3.2101,3.1232,3.1683,450.0368790799997
41,2022-02-13,3.1731,3.2085,3.0854,3.0923,215.79355793
42,2022-02-14,3.0969,3.2,3.0836,3.1592,28266.801064559997
43,2022-02-15,3.1611,3.6509,3.1514,3.6125,5033.753052990006
44,2022-02-16,3.6159,3.6159,3.4273,3.5182,3087.454241340001
45,2022-02-17,3.5184,3.5184,3.2614,3.2854,6353.870479870003
46,2022-02-18,3.2815,3.3525,3.1064,3.138,6743.448880399994
47,2022-02-19,3.1344,3.1857,3.0855,3.1478,565.6610061700002
48,2022-02-20,3.1496,3.1972,3.0745,3.13,1293.8990643500006
49,2022-02-21,3.131,3.2867,3.0503,3.055,2513.0196026
50,2022-02-22,3.0571,3.1254,3.008,3.1001,928.2032960299996
51,2022-02-23,3.0945,3.328,3.0751,3.0765,2694.1165761999982
52,2022-02-24,3.0836,3.0836,2.6865,2.9314,4035.288647880002
53,2022-02-25,2.9354,3.1764,2.9297,3.0916,1001.2754951700001
54,2022-02-26,3.0957,3.1779,3.0702,3.1411,1267.21052266
55,2022-02-27,3.145,3.1681,2.882,2.8873,595.1256053800003
56,2022-02-28,2.8867,3.2133,2.8654,3.1827,1621.8126347900027
57,2022-03-01,3.1873,3.2552,3.0361,3.2085,2606.983569130001
58,2022-03-02,3.2001,3.2794,3.1219,3.1572,685.4204690799996
59,2022-03-03,3.1551,3.1743,3.0823,3.0997,2709.16432812
60,2022-03-04,3.0988,3.205,2.9465,3.0618,6273.993541939991
61,2022-03-05,3.0627,3.0938,2.973,3.0432,713.1576516499997
62,2022-03-06,3.0451,3.0688,2.9003,2.9084,752.8004365900002
63,2022-03-07,2.9046,2.9532,2.8215,2.8454,1613.3677886100008
64,2022-03-08,2.8412,2.949,2.8277,2.9037,640.8165834899996
65,2022-03-09,2.903,3.1134,2.8918,3.0998,1863.76785728
66,2022-03-10,3.0974,3.1446,3.0545,3.1027,132.32708014999994
67,2022-03-11,3.1007,3.2615,3.0779,3.1398,1438.5827302699993
68,2022-03-12,3.14,3.1856,3.0542,3.0649,178.5414310799999
69,2022-03-13,3.074,3.1019,2.9954,3.0181,265.2785220000001
70,2022-03-14,3.0134,3.0391,2.997,3.0305,167.60574760999998
71,2022-03-15,3.0273,3.0916,2.9975,3.0452,244.90460435999987
72,2022-03-16,3.0435,3.1964,3.0177,3.1685,467.8201930700002
73,2022-03-17,3.1731,3.3209,3.1521,3.2736,215.03105087
74,2022-03-18,3.2733,3.3826,3.2147,3.3647,4078.6567424199993
75,2022-03-19,3.3639,3.392,3.2857,3.3049,870.56845231
76,2022-03-20,3.3092,3.3092,3.2337,3.2522,1086.1290262
77,2022-03-21,3.2509,3.3262,3.1873,3.2028,2088.72002796
78,2022-03-22,3.2024,3.2979,3.2024,3.2228,1980.75957054
79,2022-03-23,3.2162,3.2222,3.1618,3.2028,870.1039774499998
80,2022-03-24,3.2052,3.3955,3.1828,3.2802,7507.867135919995
81,2022-03-25,3.284,3.3697,3.2455,3.3201,1317.8894056799998
82,2022-03-26,3.3182,3.3182,3.274,3.2848,40.32268685
83,2022-03-27,3.2818,3.3479,3.2573,3.3168,442.01191621
84,2022-03-28,3.3204,3.4541,3.297,3.326,2605.473078309998
85,2022-03-29,3.324,3.4635,3.3189,3.3711,413.89713236
86,2022-03-30,3.3671,3.3688,3.2823,3.2881,956.3830842400002
87,2022-03-31,3.2865,3.4265,3.282,3.3336,3378.63621224
88,2022-04-01,3.3372,3.3386,3.245,3.259,1361.5896675899987
89,2022-04-02,3.2547,3.2967,3.1479,3.152,1340.7024644100004
90,2022-04-03,3.152,3.1672,3.1299,3.1469,1595.07498554
91,2022-04-04,3.1509,3.1917,3.1255,3.1643,192.31037448000004
92,2022-04-05,3.1605,3.1862,3.1098,3.1144,928.2463457299998
93,2022-04-06,3.1105,3.1418,3.0077,3.0103,1933.07371145
94,2022-04-07,3.0062,3.0578,2.993,3.0358,497.48042581000016
95,2022-04-08,3.0304,3.0769,2.9818,2.9818,99.28826392000005
96,2022-04-09,2.9854,3.0123,2.9414,2.9751,378.9535283899998
97,2022-04-10,2.9794,2.9818,2.9106,2.938,509.98084939999995
98,2022-04-11,2.9401,2.9401,2.611,2.6174,7004.480301099998
99,2022-04-12,2.6205,2.758,2.4393,2.445,2209.5538121700015
100,2022-04-13,2.4404,2.5225,2.1352,2.2067,5335.452983819995
101,2022-04-14,2.2027,2.252,2.1269,2.1604,2699.562207549998
102,2022-04-15,2.1593,2.3494,2.1126,2.2879,15606.999821049998
103,2022-04-16,2.2874,2.312,2.1184,2.1323,1928.1751414299986
104,2022-04-17,2.1345,2.2277,2.0741,2.166,1153.5997499699988
105,2022-04-18,2.1582,2.2249,1.9845,2.114,5489.66758814
106,2022-04-19,2.1176,2.345,2.068,2.2391,11832.322021219998
107,2022-04-20,2.2302,2.3756,2.1863,2.2143,11987.457463529989
108,2022-04-21,2.2168,2.23,2.0976,2.1029,3226.488119440002
109,2022-04-22,2.1045,2.1866,2.0625,2.111,11895.89708757998
110,2022-04-23,2.1137,2.1386,2.084,2.1298,3050.0234623800006
111,2022-04-24,2.1305,2.1501,2.0821,2.1227,4396.485651090001
112,2022-04-25,2.1208,2.1665,2.0467,2.1536,6575.445794210002
113,2022-04-26,2.1528,2.2018,2.049,2.0634,6665.94430089001
114,2022-04-27,2.0597,2.1294,2.0597,2.1105,6425.5064630100005
115,2022-04-28,2.1137,2.1775,2.0619,2.1125,8480.744115490003
116,2022-04-29,2.1126,2.1838,2.0576,2.065,7558.080268510001
117,2022-04-30,2.0632,2.0692,1.9891,2.0142,1812.5057292300005
118,2022-05-01,2.0161,2.0926,2.0119,2.0926,2530.03707
119,2022-05-02,2.0922,2.1387,2.0688,2.0769,8228.723242879998
120,2022-05-03,2.0742,2.1487,2.0719,2.0962,6697.0127392199975
121,2022-05-04,2.0957,2.1806,2.0871,2.1765,5090.446205820003
122,2022-05-05,2.1791,2.1803,2.0066,2.0318,9848.438793420011
123,2022-05-06,2.0311,2.071,2.0023,2.0048,1257.2959060499993
124,2022-05-07,2.0032,2.0162,1.9377,1.9678,510.11899578
125,2022-05-08,1.9645,2.0302,1.8822,1.9309,3209.792168600001
126,2022-05-09,1.9365,1.9399,1.6043,1.612,11124.539005419994
127,2022-05-10,1.608,1.6438,1.5157,1.5638,14109.254288510008
128,2022-05-11,1.5623,1.5775,0.98233,1.041,29330.97290357999
129,2022-05-12,1.0422,1.1847,0.49446,0.98359,63286.66960688999
130,2022-05-13,0.99162,1.0207,0.77045,0.7864,26669.223447250013
131,2022-05-14,0.7868,0.83863,0.75337,0.76584,12212.720168529999
132,2022-05-15,0.75308,0.99505,0.66223,0.93243,1907.4201553899998
133,2022-05-16,0.95499,0.95499,0.80055,0.84805,32786.28366001996
134,2022-05-17,0.84805,0.86862,0.80848,0.84392,4946.417594430003
135,2022-05-18,0.84401,0.86305,0.75204,0.75857,5380.641182990002
136,2022-05-19,0.75797,0.84852,0.73297,0.83158,32205.162970669935
137,2022-05-20,0.82158,0.84346,0.7564,0.7821,3215.969478439999
138,2022-05-21,0.7799,0.7892,0.7153,0.7191,3221.0418422500006
139,2022-05-22,0.7202,0.76973,0.71523,0.75641,1312.5748754499991
140,2022-05-23,0.7514,0.80976,0.72915,0.7374,3544.5165770000012
141,2022-05-24,0.7389,0.78522,0.72957,0.77567,1769.6629506299982
142,2022-05-25,0.77581,0.78253,0.73672,0.75468,415.7998854200002
143,2022-05-26,0.7541,0.75544,0.6479,0.66185,2155.4619401400005
144,2022-05-27,0.65662,0.66323,0.49608,0.54172,52740.28156343009
145,2022-05-28,0.54331,0.55669,0.51818,0.52852,5622.027421579993
146,2022-05-29,0.53346,0.58964,0.51764,0.55048,2285.9969963199974
147,2022-05-30,0.5558,0.81621,0.54056,0.7989,6785.871205919996
148,2022-05-31,0.79177,0.86703,0.75018,0.82951,6675.9166227699925
149,2022-06-01,0.83068,0.8414,0.70396,0.71743,1197.299956029997
150,2022-06-02,0.71027,0.84213,0.69895,0.81312,4531.000231359993
151,2022-06-03,0.81432,0.8456,0.75954,0.81508,1823.43812827
152,2022-06-04,0.814,0.82762,0.79251,0.79794,2773.689892210002
153,2022-06-05,0.808,0.8087,0.74087,0.74096,1910.1698408
154,2022-06-06,0.73703,0.80141,0.66422,0.6829,5120.888424669995
155,2022-06-07,0.68,0.69779,0.63218,0.6788,5197.05971034
156,2022-06-08,0.6778,0.70329,0.66211,0.66923,2577.75688767
157,2022-06-09,0.665,0.68311,0.62182,0.62878,2464.004074120002
158,2022-06-10,0.62989,0.64084,0.37308,0.38469,18781.98964253
159,2022-06-11,0.38671,0.44302,0.25189,0.39495,50164.05559675998
160,2022-06-12,0.41531,0.5,0.33702,0.35126,43959.37424684002
161,2022-06-13,0.35881,0.43853,0.13889,0.27536,225659.79905286993
162,2022-06-14,0.28423,1.5657,0.093568,0.71157,101265.72247510009
163,2022-06-15,0.70412,0.71037,0.45129,0.61484,58245.77645041
164,2022-06-16,0.61652,0.61666,0.48057,0.59034,11281.315238040002
165,2022-06-17,0.58481,0.71288,0.53334,0.59416,7045.407716310007
166,2022-06-18,0.60332,0.61487,0.45211,0.57,6855.376737289997
