,date,open,high,low,close,volume
0,2021-08-24,3.0437,3.0605,3.0112,3.0211,38865.64
1,2021-08-25,3.0213,3.0957,2.9199,3.0903,639928.6100000782
2,2021-08-26,3.0899,3.6121,2.9632,3.5268,5707177.559999701
3,2021-08-27,3.5317,4.3981,3.167,4.17,8469475.469999278
4,2021-08-28,4.1621,5.2249,4.1305,4.5978,8617597.38999702
5,2021-08-29,4.6049,4.6152,4.2268,4.2702,2430622.740000179
6,2021-08-30,4.2702,10.998,4.0499,7.09,20622022.219997644
7,2021-08-31,7.0771,7.4983,5.383,5.5277,17671513.06999659
8,2021-09-01,5.5312,6.647,5.3616,5.8054,12227675.619994592
9,2021-09-02,5.8044,5.978,5.5352,5.6147,4847994.270000206
10,2021-09-03,5.6146,5.6969,5.2809,5.3098,3614163.6400002535
11,2021-09-04,5.3099,5.62,5.1201,5.1275,2858465.0400002263
12,2021-09-05,5.1229,6.69,5.0625,5.4645,9619869.529998485
13,2021-09-06,5.4701,5.56,5.1002,5.1555,6811075.799999518
14,2021-09-07,5.1557,5.1797,3.8086,4.1361,10183557.919999128
15,2021-09-08,4.1374,4.74,3.8865,4.2972,8006617.349999058
16,2021-09-09,4.2423,5.3489,4.0925,5.0084,12173864.499994183
17,2021-09-10,5.0097,5.71,4.7,5.0358,11114597.609997729
18,2021-09-11,5.0362,5.4724,4.8457,5.0318,5789566.879999226
19,2021-09-12,5.0304,5.3354,4.8574,4.9551,2476090.3900002353
20,2021-09-13,4.9512,5.3497,4.2415,5.1921,7407483.039998711
21,2021-09-14,5.1921,5.6608,4.984,5.0288,5504402.589999719
22,2021-09-15,5.0315,5.4439,4.8471,5.0428,2954665.4000002933
23,2021-09-16,5.0462,5.4991,4.9194,5.3576,5946427.289999099
24,2021-09-17,5.3577,5.358,4.9979,5.1115,3044452.5300002876
25,2021-09-18,5.1115,5.5537,5.0118,5.2397,3127169.7300002826
26,2021-09-19,5.2371,6.2209,5.1092,5.9421,9948954.099996002
27,2021-09-20,5.9418,6.5464,5.1413,5.902,17526842.37999348
28,2021-09-21,5.899,7.5209,5.4923,6.2245,16898335.109992616
29,2021-09-22,6.2363,6.8595,5.68,6.5508,9327216.239997042
30,2021-09-23,6.5466,7.8799,6.2564,7.132,9714022.00999579
31,2021-09-24,7.132,8.2696,6.2061,7.6083,16536629.979994312
32,2021-09-25,7.6091,7.7935,6.75,6.817,6986038.979998422
33,2021-09-26,6.8286,6.8342,5.75,6.2715,7623870.699997778
34,2021-09-27,6.256,7.0,6.1,6.1317,4137856.050000326
35,2021-09-28,6.1277,6.2686,5.8002,5.8188,3585052.3100002115
36,2021-09-29,5.8153,6.1704,5.5051,5.6863,3326517.3400002858
37,2021-09-30,5.6879,5.8773,5.5736,5.6388,2776266.6800003136
38,2021-10-01,5.6468,6.3204,5.6059,6.1503,3368501.2600005902
39,2021-10-02,6.1553,6.6281,6.0207,6.31,2979429.1300004674
40,2021-10-03,6.2909,6.6438,6.0819,6.312,3138854.880000293
41,2021-10-04,6.322,6.3424,5.94,6.0028,3058161.9300003806
42,2021-10-05,6.0077,6.184,5.71,5.9236,2850599.1000003074
43,2021-10-06,5.9234,5.9955,5.5121,5.7393,2810203.5000015693
44,2021-10-07,5.7373,6.0373,5.6031,5.9043,2282759.7700009863
45,2021-10-08,5.9034,6.0704,5.78,5.877,1911624.7300001632
46,2021-10-09,5.8813,6.3288,5.8062,5.9371,2416828.270000279
47,2021-10-10,5.9437,5.9813,5.63,5.6776,1113957.5400002426
48,2021-10-11,5.6537,5.8545,5.4116,5.5789,1695767.8800000865
49,2021-10-12,5.5789,5.686,5.1049,5.5688,1884148.6800001215
50,2021-10-13,5.5681,5.8446,5.3,5.6746,2203809.1199999694
51,2021-10-14,5.6763,6.2383,5.621,5.9154,2132290.569999986
52,2021-10-15,5.9155,5.9708,5.6044,5.8744,1771744.579999982
53,2021-10-16,5.8745,6.1113,5.7837,5.8748,1002994.970000014
54,2021-10-17,5.8761,6.6058,5.8188,6.1435,3269351.189999971
55,2021-10-18,6.142,6.4868,5.9114,6.1428,1578262.1799999846
56,2021-10-19,6.1399,6.2602,6.0123,6.0893,990619.7999999904
57,2021-10-20,6.0859,6.8427,6.0264,6.5494,1749558.1299999405
58,2021-10-21,6.55,7.0529,6.45,6.9756,2314358.4399999534
59,2021-10-22,6.9809,6.9916,6.4065,6.636,960479.8399999915
60,2021-10-23,6.637,6.7474,6.3961,6.5022,666195.2300000074
61,2021-10-24,6.5008,6.8697,6.4591,6.6924,1062865.4499999888
62,2021-10-25,6.6904,7.4123,6.6694,7.2333,2324172.269999598
63,2021-10-26,7.2337,7.8883,7.06,7.2551,3445915.129999985
64,2021-10-27,7.2567,7.3494,6.0638,6.2249,2551453.799999929
65,2021-10-28,6.2255,6.6901,6.1536,6.4375,1722531.769999992
66,2021-10-29,6.433,6.8495,6.3898,6.7791,1561283.4300000083
67,2021-10-30,6.7828,6.8326,6.2022,6.2867,1077459.5800000043
68,2021-10-31,6.2862,6.4063,6.0269,6.2413,1243109.7300000088
69,2021-11-01,6.2388,6.5387,6.1822,6.2899,1220282.5100000084
70,2021-11-02,6.2854,6.45,6.201,6.287,936300.9199999972
71,2021-11-03,6.2868,6.6248,6.2267,6.4624,1440630.8099999845
72,2021-11-04,6.4631,6.7458,6.25,6.3473,1254221.460000009
73,2021-11-05,6.3481,6.4485,6.2521,6.2901,790846.8599999986
74,2021-11-06,6.2884,6.5,6.0806,6.3398,767517.6900000023
75,2021-11-07,6.3322,6.4546,6.2084,6.3391,444967.409999996
76,2021-11-08,6.3415,6.4915,6.2252,6.4365,727176.6800000118
77,2021-11-09,6.4335,6.7713,6.3722,6.6201,1348071.1100000502
78,2021-11-10,6.6196,6.7293,5.5,6.1142,1808402.5199999101
79,2021-11-11,6.108,6.2344,6.0006,6.0724,772842.0400000043
80,2021-11-12,6.071,6.142,5.7154,5.8836,932015.460000041
81,2021-11-13,5.8818,5.9225,5.7472,5.8396,510890.61999999767
82,2021-11-14,5.8377,5.9363,5.7112,5.8169,486544.6399999999
83,2021-11-15,5.8249,5.8794,5.5548,5.6283,839736.0800000007
84,2021-11-16,5.6283,5.6283,4.9438,5.1689,1874431.139999934
85,2021-11-17,5.1659,5.2448,4.9769,5.1415,743654.2200000021
86,2021-11-18,5.1461,5.4702,4.8198,4.9985,2074689.0599999987
87,2021-11-19,4.9977,5.4542,4.9724,5.2826,1085287.6600000192
88,2021-11-20,5.2815,5.4884,5.1909,5.4056,665974.7600000016
89,2021-11-21,5.4061,6.2389,5.3793,5.7958,2080975.839999906
90,2021-11-22,5.7984,6.2098,5.4589,5.4589,2154173.119999833
91,2021-11-23,5.458,5.5644,5.2193,5.4061,1446986.5600000147
92,2021-11-24,5.41,5.4124,5.0455,5.2329,984864.7300000073
93,2021-11-25,5.2307,5.4681,5.1954,5.28,721962.050000009
94,2021-11-26,5.2816,5.6805,4.661,4.7145,3357080.930000006
95,2021-11-27,4.7147,5.0471,4.6931,4.8488,739675.2600000028
96,2021-11-28,4.8384,4.89,4.5026,4.8849,1149700.8200000161
97,2021-11-29,4.8888,5.1043,4.843,5.0313,882453.2200000262
98,2021-11-30,5.0326,5.2727,4.879,5.1591,1440507.3699999456
99,2021-12-01,5.1588,5.2645,4.8676,4.9187,645619.9000000001
100,2021-12-02,4.9145,5.112,4.7509,4.9181,944432.6200000162
101,2021-12-03,4.9161,5.1167,4.5663,4.7337,1369028.3999999606
102,2021-12-04,4.7267,4.7434,3.2158,4.0635,2900943.7399998424
103,2021-12-05,4.06,4.2238,3.6101,3.7438,1340345.9799999364
104,2021-12-06,3.7404,3.7971,3.3883,3.7448,2003483.5199998757
105,2021-12-07,3.7438,3.8915,3.6002,3.6491,1051261.15999999
106,2021-12-08,3.6563,4.7645,3.4918,4.263,2651529.7099999557
107,2021-12-09,4.2664,4.4434,3.7379,3.7399,2355439.089999992
108,2021-12-10,3.74,4.07,3.5732,3.59,1212324.9299999971
109,2021-12-11,3.58,3.84,3.528,3.75,692258.8300000004
110,2021-12-12,3.75,4.04,3.7,3.85,786445.8600000021
111,2021-12-13,3.84,3.93,3.3981,3.47,1081284.2000000107
112,2021-12-14,3.47,3.52,3.28,3.43,849579.610000005
113,2021-12-15,3.43,3.58,3.22,3.46,1222878.6700000053
114,2021-12-16,3.48,4.02,3.42,3.86,1693615.6199999838
115,2021-12-17,3.86,4.07,3.63,3.81,1638560.5299999907
116,2021-12-18,3.82,4.24,3.77,4.02,1077588.5699999933
117,2021-12-19,4.02,4.25,3.97,4.09,1132764.579999996
118,2021-12-20,4.08,4.41,3.84,4.06,1853725.6699999708
119,2021-12-21,4.06,4.41,4.04,4.25,929486.4799999977
120,2021-12-22,4.25,4.88,4.22,4.73,2154294.109999992
121,2021-12-23,4.74,5.19,4.61,4.84,2619580.169999983
122,2021-12-24,4.84,5.11,4.69,4.98,893641.1000000039
123,2021-12-25,4.98,5.07,4.81,4.89,495225.12000000017
124,2021-12-26,4.9,5.18,4.69,5.12,993114.4799999942
125,2021-12-27,5.12,5.33,5.02,5.05,1175384.8799999931
126,2021-12-28,5.05,5.06,4.54,4.59,655880.6000000023
127,2021-12-29,4.59,4.77,4.38,4.49,392067.27999999915
128,2021-12-30,4.48,4.94,4.36,4.77,692318.2299999994
129,2021-12-31,4.77,5.25,4.67,4.87,858645.580000007
130,2022-01-01,4.87,5.25,4.87,5.12,743720.4700000011
131,2022-01-02,5.14,5.39,5.04,5.08,1123448.0099999951
132,2022-01-03,5.08,5.12,4.82,5.0,827168.5700000038
133,2022-01-04,5.01,5.75,4.98,5.28,2974638.5599999586
134,2022-01-05,5.27,6.04,4.77,5.08,3806890.7900000303
135,2022-01-06,5.09,5.25,4.82,4.93,1755048.8599999733
136,2022-01-07,4.92,4.95,4.38,4.64,2325539.589999993
137,2022-01-08,4.65,4.95,4.39,4.52,1054407.300000019
138,2022-01-09,4.52,4.79,4.45,4.67,643261.000000001
139,2022-01-10,4.65,4.77,4.15,4.4,1368301.399999978
140,2022-01-11,4.43,4.58,4.21,4.53,380278.7999999976
141,2022-01-12,4.54,5.11,4.44,4.97,790095.2700000098
142,2022-01-13,4.97,5.36,4.87,4.97,1003342.3100000228
143,2022-01-14,4.98,5.21,4.79,5.04,805210.9800000045
144,2022-01-15,5.05,5.17,4.92,5.02,265709.6800000017
145,2022-01-16,5.01,5.07,4.83,4.99,326100.609999999
146,2022-01-17,4.98,5.02,4.48,4.55,546585.1599999904
147,2022-01-18,4.57,4.65,4.27,4.44,462056.38999999507
148,2022-01-19,4.42,4.5,4.13,4.13,496144.51999999397
149,2022-01-20,4.13,4.45,4.02,4.03,511529.79999999603
150,2022-01-21,4.04,4.16,3.45,3.61,1642648.2599999926
151,2022-01-22,3.6,3.78,3.02,3.2,1446720.179999942
152,2022-01-23,3.21,3.55,3.12,3.34,539686.0499999858
153,2022-01-24,3.33,3.33,2.89,3.08,1255492.490000017
154,2022-01-25,3.08,3.22,2.93,3.08,1172559.6600000104
155,2022-01-26,3.09,3.33,2.99,3.06,2102045.469999954
156,2022-01-27,3.05,3.17,2.96,3.07,1060673.0400000105
157,2022-01-28,3.07,3.16,3.01,3.15,1802263.6899999494
158,2022-01-29,3.15,3.21,3.07,3.15,1222715.8399999978
159,2022-01-30,3.14,3.2,2.97,3.02,1471872.1599999948
160,2022-01-31,3.03,3.18,2.91,3.17,1939208.069999964
161,2022-02-01,3.16,3.32,3.15,3.22,902272.5700000077
162,2022-02-02,3.22,3.24,2.99,3.02,786413.9700000013
163,2022-02-03,3.03,3.06,2.91,3.04,868510.5900000016
164,2022-02-04,3.05,3.25,2.99,3.24,851276.6500000076
165,2022-02-05,3.25,3.4,3.17,3.23,1299102.8199999975
166,2022-02-06,3.24,3.43,3.24,3.36,575502.1099999954
167,2022-02-07,3.37,3.58,3.3,3.52,841306.1900000005
168,2022-02-08,3.52,3.65,3.2,3.32,1355432.8499999922
169,2022-02-09,3.32,3.52,3.22,3.44,826448.5200000022
170,2022-02-10,3.46,3.47,3.11,3.13,975979.0800000117
171,2022-02-11,3.14,3.28,2.97,3.07,884548.100000011
172,2022-02-12,3.07,3.12,2.94,3.05,595312.3899999937
173,2022-02-13,3.05,3.08,2.9,2.93,444936.90999999555
174,2022-02-14,2.93,2.99,2.81,2.9,599077.2399999945
175,2022-02-15,2.91,3.19,2.9,3.17,626961.0300000008
176,2022-02-16,3.16,3.18,2.94,3.01,883286.2600000123
177,2022-02-17,3.01,3.06,2.79,2.84,838110.9800000066
178,2022-02-18,2.83,2.91,2.7,2.74,619898.7499999997
179,2022-02-19,2.74,2.8,2.62,2.71,488609.22999999597
180,2022-02-20,2.72,2.73,2.49,2.56,622919.9300000016
181,2022-02-21,2.57,2.71,2.3876,2.41,1011618.7100000103
182,2022-02-22,2.4,2.55,2.34,2.53,578254.8999999966
183,2022-02-23,2.53,2.62,2.37,2.38,564745.2899999936
184,2022-02-24,2.37,2.41,2.06,2.28,1537211.9499999771
185,2022-02-25,2.28,2.44,2.24,2.41,483885.5399999926
186,2022-02-26,2.4,2.5,2.36,2.42,535975.849999992
187,2022-02-27,2.42,2.52,2.29,2.37,446503.5699999967
188,2022-02-28,2.36,2.66,2.33,2.66,436735.16999999725
189,2022-03-01,2.64,2.75,2.55,2.67,515890.47999999253
190,2022-03-02,2.67,2.74,2.52,2.59,801664.9700000045
191,2022-03-03,2.59,2.67,2.5,2.56,330924.14000000025
192,2022-03-04,2.55,2.85,2.43,2.66,1674221.2999999917
193,2022-03-05,2.67,2.9,2.52,2.86,699777.7999999983
194,2022-03-06,2.85,2.88,2.53,2.56,403626.4899999937
195,2022-03-07,2.56,2.83,2.51,2.79,668992.0700000002
196,2022-03-08,2.79,3.0,2.69,2.73,963989.3700000151
197,2022-03-09,2.73,2.94,2.72,2.88,651942.9299999997
198,2022-03-10,2.88,2.96,2.64,2.7,601674.6900000017
199,2022-03-11,2.69,2.73,2.53,2.58,386115.0499999977
200,2022-03-12,2.58,2.64,2.53,2.55,238381.63000000056
201,2022-03-13,2.56,2.66,2.5,2.53,424476.19999999914
202,2022-03-14,2.54,2.54,2.41,2.49,525486.669999999
203,2022-03-15,2.48,2.51,2.36,2.41,566562.8999999987
204,2022-03-16,2.4,2.58,2.39,2.57,741175.3399999961
205,2022-03-17,2.57,3.89,2.53,2.92,8657552.130000165
206,2022-03-18,2.93,3.15,2.81,3.09,1752228.2199999955
207,2022-03-19,3.08,3.15,3.0,3.05,789623.3600000028
208,2022-03-20,3.05,3.05,2.86,2.87,517074.28999999876
209,2022-03-21,2.87,3.0,2.77,2.88,431429.69999999733
210,2022-03-22,2.89,2.98,2.85,2.92,712533.7099999983
211,2022-03-23,2.92,3.21,2.92,3.14,1031066.6800000091
212,2022-03-24,3.14,3.17,3.0,3.12,547920.0899999975
213,2022-03-25,3.12,3.23,3.0,3.09,636149.1099999932
214,2022-03-26,3.09,3.21,3.08,3.13,414942.7599999964
215,2022-03-27,3.13,3.33,3.08,3.31,599679.2600000015
216,2022-03-28,3.31,3.51,3.18,3.24,1111164.4700000035
217,2022-03-29,3.23,3.81,3.22,3.46,1442021.0199999602
218,2022-03-30,3.46,3.54,3.31,3.44,768126.2499999991
219,2022-03-31,3.45,3.55,3.23,3.31,648269.9200000003
220,2022-04-01,3.32,3.46,3.18,3.42,1202827.6899999857
221,2022-04-02,3.41,3.56,3.35,3.46,610165.130000006
222,2022-04-03,3.47,3.9,3.45,3.83,1352766.9900000112
223,2022-04-04,3.81,4.9,3.66,4.88,3630263.0500000454
224,2022-04-05,4.89,5.22,4.22,4.26,3631968.9400000214
225,2022-04-06,4.25,4.57,3.72,3.74,1897885.8799999806
