,date,open,high,low,close,volume
0,2021-07-15,0.51,2.8,0.51,1.45,2495900.3499999815
1,2021-07-16,1.45,1.45,0.42,0.88,32069089.460002452
2,2021-07-17,0.88,2.29,0.78,1.67,55290436.22001345
3,2021-07-18,1.67,1.72,1.25,1.35,19473504.90000027
4,2021-07-19,1.35,1.56,1.04,1.13,17057406.749999482
5,2021-07-20,1.13,1.45,0.98,1.2,18002450.96999984
6,2021-07-21,1.19,1.37,1.18,1.22,11395015.999999728
7,2021-07-22,1.23,1.24,1.12,1.18,5842886.440000346
8,2021-07-23,1.18,1.19,1.05,1.12,6352981.650000177
9,2021-07-24,1.11,1.17,1.08,1.16,4367642.469999638
10,2021-07-25,1.16,1.35,1.11,1.21,7746307.219999869
11,2021-07-26,1.21,1.28,1.13,1.13,8448450.029999858
12,2021-07-27,1.13,1.17,1.07,1.1,5379914.930001052
13,2021-07-28,1.11,1.31,1.06,1.2,6050107.369999467
14,2021-07-29,1.2,1.7,1.2,1.28,24033348.58999264
15,2021-07-30,1.28,1.29,1.15,1.21,11854981.460000172
16,2021-07-31,1.2,1.24,1.16,1.19,5668596.829999401
17,2021-08-01,1.2,1.21,1.09,1.12,5011979.6600000635
18,2021-08-02,1.11,1.14,1.06,1.09,7070783.229999943
19,2021-08-03,1.08,1.11,0.94,1.01,8863723.720000362
20,2021-08-04,1.01,1.2,0.99,1.13,9864545.420000052
21,2021-08-05,1.14,1.15,1.02,1.05,7149182.639999991
22,2021-08-06,1.05,1.08,1.02,1.05,7413979.740000073
23,2021-08-07,1.05,1.1,1.02,1.05,5711107.54999984
24,2021-08-08,1.05,1.06,1.0,1.02,5406897.060000221
25,2021-08-09,1.02,1.17,1.0,1.07,9059898.960000213
26,2021-08-10,1.07,1.35,1.05,1.23,13640156.349999921
27,2021-08-11,1.23,1.39,1.17,1.23,11401894.460000377
28,2021-08-12,1.24,1.98,1.22,1.53,34276044.0599991
29,2021-08-13,1.53,1.64,1.44,1.45,10085530.280000035
30,2021-08-14,1.45,1.65,1.43,1.51,6623524.78000016
31,2021-08-15,1.51,1.59,1.44,1.54,5172986.720000105
32,2021-08-16,1.54,2.05,1.54,1.92,16891385.200000513
33,2021-08-17,1.92,1.99,1.55,1.56,9755311.540000627
34,2021-08-18,1.55,1.67,1.51,1.56,5684485.020000425
35,2021-08-19,1.57,1.73,1.53,1.67,4033422.3499997756
36,2021-08-20,1.66,1.71,1.58,1.61,3412400.639999825
37,2021-08-21,1.61,1.68,1.55,1.55,2894833.320000047
38,2021-08-22,1.55,1.57,1.47,1.51,3097443.9399998314
39,2021-08-23,1.51,1.63,1.46,1.53,5996594.450000432
40,2021-08-24,1.54,1.56,1.39,1.42,3939072.5999997556
41,2021-08-25,1.42,1.64,1.34,1.58,6746029.310000205
42,2021-08-26,1.58,1.65,1.44,1.48,4676713.040000134
43,2021-08-27,1.48,1.69,1.42,1.62,6267368.350000026
44,2021-08-28,1.62,1.75,1.55,1.73,5276603.29999977
45,2021-08-29,1.72,1.75,1.56,1.61,5183491.349999762
46,2021-08-30,1.61,1.93,1.55,1.69,11299320.039999971
47,2021-08-31,1.7,2.18,1.66,1.76,13930756.409999624
48,2021-09-01,1.76,1.9,1.7,1.78,5010561.340000495
49,2021-09-02,1.78,1.81,1.68,1.75,3242932.31999985
50,2021-09-03,1.75,1.87,1.7,1.79,4725105.710000157
51,2021-09-04,1.79,1.81,1.71,1.71,2382381.2799998517
52,2021-09-05,1.71,1.78,1.68,1.7,2213256.5699998555
53,2021-09-06,1.71,1.78,1.64,1.65,3127083.409999724
54,2021-09-07,1.65,1.7,1.04,1.35,6188962.830000046
55,2021-09-08,1.35,1.39,1.18,1.28,4095052.779999869
56,2021-09-09,1.28,1.49,1.26,1.39,6465841.340000109
57,2021-09-10,1.4,1.5,1.23,1.27,4228295.449999915
58,2021-09-11,1.27,1.69,1.24,1.54,7801199.070000045
59,2021-09-12,1.54,1.65,1.49,1.53,4941684.760000124
60,2021-09-13,1.53,1.59,1.32,1.41,3967848.7599999555
61,2021-09-14,1.41,1.5,1.38,1.45,2646377.1100000325
62,2021-09-15,1.45,1.48,1.39,1.43,2292312.720000061
63,2021-09-16,1.43,1.44,1.32,1.36,3026694.8600001447
64,2021-09-17,1.37,1.37,1.26,1.31,2588040.3899999904
65,2021-09-18,1.3,1.4,1.28,1.33,2538591.190000029
66,2021-09-19,1.33,1.38,1.28,1.3,1286315.7700000776
67,2021-09-20,1.3,1.33,1.12,1.18,6495505.970000041
68,2021-09-21,1.19,1.25,1.13,1.15,3538280.459999942
69,2021-09-22,1.15,1.28,1.13,1.24,2631940.1000000313
70,2021-09-23,1.24,1.28,1.18,1.22,2546960.2899999754
71,2021-09-24,1.22,1.32,1.06,1.15,4783515.259999877
72,2021-09-25,1.15,1.18,1.08,1.12,1922181.1999999387
73,2021-09-26,1.13,1.13,0.95,1.04,5436483.740000156
74,2021-09-27,1.04,1.13,1.03,1.03,2679774.6299998895
75,2021-09-28,1.04,1.07,0.99,1.01,2128665.449999943
76,2021-09-29,1.01,1.06,0.95,0.99,2772310.3899998483
77,2021-09-30,0.99,1.23,0.98,1.11,6632421.790000112
78,2021-10-01,1.11,1.22,1.1,1.15,5636543.149999971
79,2021-10-02,1.16,1.2,1.13,1.13,2716660.2600001106
80,2021-10-03,1.13,1.16,1.11,1.15,2124103.4399998565
81,2021-10-04,1.15,1.16,1.06,1.09,3732985.1499997047
82,2021-10-05,1.09,1.13,1.07,1.12,2775887.990000036
83,2021-10-06,1.11,1.18,1.04,1.06,4445967.959999893
84,2021-10-07,1.06,1.37,1.02,1.24,14322710.2300002
85,2021-10-08,1.23,1.27,1.15,1.18,4413467.089999616
86,2021-10-09,1.18,1.28,1.16,1.26,4001472.680000068
