,date,open,high,low,close,volume
0,2020-10-12,115.77,120.84,112.28,117.09,23909.340739489973
1,2020-10-13,116.78,119.09,111.76,114.0,11435.688715970013
2,2020-10-14,113.99,115.47,105.5,107.22,13802.344086020126
3,2020-10-15,107.25,109.81,104.68,106.95,10757.14949665035
4,2020-10-16,106.84,107.14,99.54,103.55,21508.732429980362
5,2020-10-17,103.55,105.9,101.56,103.13,12190.341278398719
6,2020-10-18,103.09,107.95,102.64,104.91,18214.940292744788
7,2020-10-19,104.91,105.91,101.53,102.83,13398.476994711888
8,2020-10-20,102.98,102.98,92.83,94.81,32413.982487995432
9,2020-10-21,95.05,100.0,92.71,95.58,43064.32841436912
10,2020-10-22,95.48,103.02,95.44,102.51,33066.666511181
11,2020-10-23,102.51,106.52,99.53,103.18,30778.13940849679
12,2020-10-24,103.18,107.86,101.1,105.19,12435.713431460068
13,2020-10-25,105.27,105.56,101.24,101.32,13812.505864719787
14,2020-10-26,101.17,104.57,97.94,100.18,21143.53608220562
15,2020-10-27,100.18,113.82,99.67,108.73,49807.954958191
16,2020-10-28,108.61,120.37,104.75,107.7,58027.467561469355
17,2020-10-29,107.59,111.79,94.19,97.07,39239.96603728896
18,2020-10-30,96.91,98.96,88.44,92.23,41287.308360759926
19,2020-10-31,92.18,95.16,89.02,90.89,25998.988882470247
20,2020-11-01,90.88,96.21,89.5,94.0,12392.355726130058
21,2020-11-02,94.04,99.12,90.33,91.15,17379.843555800202
22,2020-11-03,91.14,91.17,80.75,87.55,53254.146343030225
23,2020-11-04,87.65,89.01,81.37,88.79,21247.00618287949
24,2020-11-05,88.8,93.7,83.299,90.93,25979.22017760934
25,2020-11-06,90.93,100.17,88.676,95.73,33879.23011584729
26,2020-11-07,95.84,111.89,89.03,92.56,86556.60496408335
27,2020-11-08,92.52,101.07,91.25,97.24,28626.813564577005
28,2020-11-09,97.22,100.4,93.17,94.77,22049.74152018958
29,2020-11-10,94.794,105.5,93.961,102.48,25871.1030194487
30,2020-11-11,102.59,115.0,101.84,103.11,41402.830380317086
31,2020-11-12,103.22,108.53,99.47,104.4,22525.307279359466
32,2020-11-13,104.28,117.99,103.39,116.7,32299.200418057695
33,2020-11-14,116.64,124.57,107.44,121.63,72587.3770605489
34,2020-11-15,121.64,130.57,113.13,120.11,58990.49015319751
35,2020-11-16,120.29,124.94,114.54,120.12,26856.145218689962
36,2020-11-17,120.4,127.77,118.24,122.74,33648.61894582899
37,2020-11-18,122.74,126.23,107.15,114.19,51869.9026799336
38,2020-11-19,114.41,118.63,108.74,113.46,31870.92455747762
39,2020-11-20,113.47,124.55,113.27,116.23,33990.59489340826
40,2020-11-21,116.19,128.45,112.96,127.49,52588.16427992178
41,2020-11-22,127.5,129.15,112.72,116.98,48829.300176608354
42,2020-11-23,117.07,129.63,115.61,125.72,40156.56798714974
43,2020-11-24,125.69,133.53,121.5,127.78,60126.81920464596
44,2020-11-25,127.74,139.8,118.99,122.6,56101.56776919303
45,2020-11-26,122.67,125.72,96.94,106.89,69557.94160282338
46,2020-11-27,107.0,110.27,99.9,104.52,35432.88586314903
47,2020-11-28,104.56,109.88,102.11,108.27,22747.529965649133
48,2020-11-29,108.15,111.68,106.0,110.58,13332.912750720889
49,2020-11-30,110.59,114.99,109.29,112.09,18851.51460247036
50,2020-12-01,112.12,118.01,103.02,105.05,37915.250531309925
51,2020-12-02,105.05,114.98,104.23,113.86,30142.09092950401
52,2020-12-03,113.85,138.0,112.6,131.79,89942.38997321897
53,2020-12-04,131.81,148.06,124.95,127.21,110074.89472739438
54,2020-12-05,127.2,145.49,125.14,143.5,40410.6210864388
55,2020-12-06,143.67,144.38,132.85,137.01,21096.340639189148
56,2020-12-07,137.14,151.22,134.57,149.94,38427.19327676995
57,2020-12-08,149.97,180.0,148.77,155.44,200544.3691795571
58,2020-12-09,155.34,171.53,145.43,164.69,104053.66818761732
