,date,open,high,low,close,volume
0,2021-11-23,0.727,0.93,0.7115,0.8868,582346241.4000559
1,2021-12-14,0.5307,0.5517,0.5202,0.5423,66153860.000001244
2,2021-12-15,0.5423,0.575,0.5126,0.5568,79075872.1000011
3,2021-12-16,0.557,0.571,0.5358,0.5381,50383767.50000089
4,2021-12-17,0.5384,0.544,0.51,0.5208,58082954.10000112
5,2021-12-18,0.5209,0.5377,0.511,0.526,43672143.90000095
6,2021-12-19,0.526,0.5411,0.513,0.5137,44808619.40000109
7,2021-12-20,0.5135,0.5196,0.4769,0.5003,76571417.10000278
8,2021-12-21,0.5006,0.5401,0.4949,0.5291,66555675.80000154
9,2021-12-22,0.5289,0.55,0.525,0.5366,74819540.0000012
10,2021-12-23,0.5369,0.6166,0.5298,0.5951,125224070.60000084
11,2021-12-24,0.5951,0.69,0.5916,0.6279,203014487.70000118
12,2021-12-25,0.6277,0.6639,0.6225,0.6434,98559296.50000098
13,2021-12-26,0.6434,0.6473,0.602,0.6233,97749234.70000058
14,2021-12-27,0.6231,0.652,0.6167,0.6234,69464751.20000213
15,2021-12-28,0.6234,0.6234,0.551,0.5654,101228092.6000017
16,2021-12-29,0.5656,0.582,0.5402,0.5464,61738433.00000064
17,2021-12-30,0.5462,0.5683,0.5387,0.5533,53170880.80000147
18,2021-12-31,0.5531,0.5857,0.5461,0.5561,59635760.099999875
19,2022-01-01,0.5563,0.5864,0.5561,0.5853,42311959.59999994
20,2022-01-02,0.5854,0.59,0.5723,0.5872,42072482.600000374
21,2022-01-03,0.5871,0.5875,0.5569,0.5668,51543357.80000157
22,2022-01-04,0.5671,0.5756,0.5462,0.5512,50250974.400000885
23,2022-01-05,0.5512,0.5597,0.481,0.502,98425381.79999998
24,2022-01-06,0.5025,0.5156,0.4842,0.5032,80348515.70000294
25,2022-01-07,0.503,0.5046,0.4611,0.4636,88273880.7
26,2022-01-08,0.4638,0.4837,0.4404,0.4533,72732362.60000013
27,2022-01-09,0.4534,0.4781,0.4478,0.4615,50018192.000001535
28,2022-01-10,0.4615,0.4718,0.4289,0.4445,58843786.70000031
29,2022-01-11,0.4444,0.466,0.4389,0.4587,44680687.000000894
30,2022-01-12,0.4585,0.4954,0.4579,0.4866,57534455.80000148
31,2022-01-13,0.4867,0.4937,0.4547,0.4564,45683462.200001016
32,2022-01-14,0.4563,0.4695,0.4455,0.4573,40671600.40000025
33,2022-01-15,0.4572,0.4745,0.4549,0.4672,29088621.900000162
34,2022-01-16,0.4671,0.4728,0.4601,0.464,24992679.200000152
35,2022-01-17,0.4642,0.4646,0.4363,0.4442,39147182.50000015
36,2022-01-18,0.4441,0.4527,0.4332,0.4442,40976165.0000005
37,2022-01-19,0.4447,0.4488,0.4302,0.4318,34379022.000000484
38,2022-01-20,0.4319,0.4749,0.4266,0.4349,52763267.80000025
39,2022-01-21,0.4347,0.4392,0.3525,0.3636,109747101.89999628
40,2022-01-22,0.3636,0.3719,0.3256,0.3376,102945090.99999994
41,2022-01-23,0.3378,0.3839,0.3358,0.3784,66289948.600000694
42,2022-01-24,0.3785,0.3788,0.3291,0.3745,76032970.10000242
43,2022-01-25,0.3747,0.3997,0.3653,0.392,51704760.6000001
44,2022-01-26,0.392,0.4299,0.3869,0.3996,73248734.09999943
45,2022-01-27,0.3992,0.4142,0.3804,0.4008,43494543.000000104
46,2022-01-28,0.4007,0.424,0.3893,0.421,37705535.1999993
47,2022-01-29,0.4207,0.4445,0.416,0.4328,42810485.200000234
48,2022-01-30,0.4327,0.4413,0.4164,0.4245,25035854.699999973
49,2022-01-31,0.4245,0.4317,0.4026,0.4283,32055471.1999998
50,2022-02-01,0.4285,0.4388,0.4219,0.4368,29679590.200000077
51,2022-02-02,0.4366,0.4377,0.399,0.4026,25960860.600000095
52,2022-02-03,0.4027,0.4067,0.3913,0.4037,23346096.399999913
53,2022-02-04,0.4035,0.4388,0.4004,0.4364,35281973.69999938
54,2022-02-05,0.4365,0.4628,0.4286,0.4478,42584740.600000635
55,2022-02-06,0.4478,0.4648,0.44,0.4645,28437259.89999994
56,2022-02-07,0.4645,0.5063,0.4563,0.4949,72544701.90000042
57,2022-02-08,0.4948,0.52,0.4751,0.4876,61878669.60000128
58,2022-02-09,0.4877,0.52,0.476,0.5157,40406340.80000033
59,2022-02-10,0.5159,0.549,0.4977,0.5077,80686514.29999983
60,2022-02-11,0.5076,0.5258,0.4692,0.4799,60076212.60000126
61,2022-02-12,0.4796,0.4992,0.4745,0.4874,39343347.99999985
62,2022-02-13,0.4874,0.5345,0.4832,0.5004,69135431.40000105
63,2022-02-14,0.5005,0.5067,0.4605,0.4693,68779022.90000148
64,2022-02-15,0.4695,0.503,0.4621,0.4959,43342670.4000009
65,2022-02-16,0.4963,0.4963,0.4728,0.4798,30539890.999999955
66,2022-02-17,0.4798,0.4839,0.4265,0.4303,48073227.199999936
67,2022-02-18,0.4304,0.4579,0.4266,0.4356,39817126.60000053
68,2022-02-19,0.4355,0.4499,0.434,0.4366,18526852.000000097
69,2022-02-20,0.4369,0.4397,0.4018,0.4038,27783634.500000015
70,2022-02-21,0.4038,0.43,0.3835,0.3857,44958673.299999684
71,2022-02-22,0.386,0.4062,0.3703,0.4037,39129482.10000014
72,2022-02-23,0.4033,0.4206,0.3957,0.3966,31106571.199999962
73,2022-02-24,0.3969,0.4091,0.3463,0.3952,80854136.89999852
74,2022-02-25,0.3952,0.422,0.394,0.4183,31473776.200000096
75,2022-02-26,0.4187,0.428,0.4112,0.4141,18602069.100000046
76,2022-02-27,0.4144,0.4217,0.3892,0.3942,26970248.200000267
77,2022-02-28,0.3942,0.4474,0.3909,0.4393,34169911.199999996
78,2022-03-01,0.4393,0.4519,0.428,0.4396,35324458.39999977
79,2022-03-02,0.4396,0.4545,0.4334,0.4456,24068978.499999803
80,2022-03-03,0.4459,0.4474,0.421,0.4305,16180743.70000015
81,2022-03-04,0.4305,0.4308,0.3914,0.3967,21210677.799999934
82,2022-03-05,0.3965,0.4104,0.391,0.4095,15368444.600000156
83,2022-03-06,0.4095,0.4119,0.3906,0.3916,15150753.10000002
84,2022-03-07,0.3914,0.401,0.3716,0.3779,27145982.49999981
85,2022-03-08,0.3778,0.4027,0.3768,0.3872,24162130.900000107
86,2022-03-09,0.3871,0.4173,0.3857,0.4082,28470044.199999787
87,2022-03-10,0.4082,0.4092,0.3803,0.3893,25429521.90000007
88,2022-03-11,0.3893,0.3974,0.3787,0.3814,20030796.69999994
89,2022-03-12,0.3815,0.3922,0.3808,0.3882,11606029.399999993
90,2022-03-13,0.388,0.3911,0.3747,0.3762,13007881.199999997
91,2022-03-14,0.3762,0.387,0.3727,0.3799,17313441.399999857
92,2022-03-15,0.3799,0.3894,0.3722,0.3843,19313042.799999926
93,2022-03-16,0.3843,0.4096,0.3813,0.4055,30455881.70000019
94,2022-03-17,0.4054,0.4087,0.3996,0.4009,19594161.200000063
95,2022-03-18,0.4007,0.4145,0.3911,0.4063,25085902.699999705
96,2022-03-19,0.4062,0.4196,0.4045,0.4182,18343452.800000027
97,2022-03-20,0.4182,0.4189,0.4035,0.4059,12567771.800000012
