,date,open,high,low,close,volume
0,2021-03-25,2.78,2.78,2.347,2.3891,3617332.159999988
1,2021-03-26,2.3853,2.6565,2.3783,2.6279,4294734.479999983
2,2021-03-27,2.6275,3.1957,2.561,3.1222,15285010.450000007
3,2021-03-28,3.1183,3.39,2.9116,3.0253,14522103.899999887
4,2021-03-29,3.0093,3.5892,2.9907,3.5276,10265807.229999967
5,2021-03-30,3.523,3.5285,3.05,3.2916,5496294.479999963
6,2021-03-31,3.2916,3.2998,2.958,3.1288,3671298.2600000077
7,2021-04-01,3.1386,3.5089,3.05,3.3077,5410873.039999937
8,2021-04-02,3.3228,3.54,3.196,3.3508,3098968.5699999915
9,2021-04-03,3.35,3.4085,2.9,2.9233,3049017.5799999954
10,2021-04-04,2.9203,3.119,2.8578,3.1051,3243081.0999999926
11,2021-04-05,3.11,3.501,2.9155,3.3233,4144185.7399999746
12,2021-04-06,3.3266,3.3976,3.0011,3.1809,2704814.439999997
13,2021-04-07,3.1842,3.3795,2.75,2.8943,3170517.389999994
14,2021-04-08,2.8927,3.0947,2.85,3.0752,1855230.7900000105
15,2021-04-09,3.0771,3.1411,2.9152,2.9808,2310518.390000017
16,2021-04-10,2.981,3.049,2.8602,2.9576,1575035.3600000043
17,2021-04-11,2.9613,3.208,2.8822,3.1091,1844679.490000013
18,2021-04-12,3.1068,3.1216,2.9292,3.0316,3129739.7999999933
19,2021-04-13,3.0403,3.194,2.98,3.1221,1916018.5500000007
20,2021-04-14,3.1248,3.2977,2.9759,3.1599,2916126.9200000027
21,2021-04-15,3.1561,4.1669,3.1415,4.0238,7510754.729999868
22,2021-04-16,4.0238,4.66,3.67,3.9146,8603230.609999815
23,2021-04-17,3.9118,4.34,3.7555,3.7837,3502286.52000002
24,2021-04-18,3.7891,3.8763,2.7,3.2282,8187178.149999977
25,2021-04-19,3.2315,3.4661,2.7852,2.8293,3364986.4999999856
26,2021-04-20,2.8318,3.1022,2.5861,3.0313,4245278.09999997
27,2021-04-21,3.0348,3.1627,2.8223,2.8858,2976392.7499999814
28,2021-04-22,2.8989,3.3402,2.6705,2.756,4812535.989999984
29,2021-04-23,2.7541,2.855,2.2548,2.6481,4326400.609999954
30,2021-04-24,2.65,2.65,2.3502,2.3739,2021967.9000000185
31,2021-04-25,2.3786,2.5521,2.201,2.3841,2048165.4700000044
32,2021-04-26,2.3841,2.8447,2.3518,2.779,3362576.97999997
33,2021-04-27,2.7761,3.2044,2.7139,3.13,3608566.53999997
34,2021-04-28,3.1358,3.22,2.8175,3.042,2980226.2500000075
