,date,open,high,low,close,volume
0,2022-01-03,1.7631,1.809,1.6401,1.6791,8119.140120609987
1,2022-01-04,1.6839,1.809,1.6409,1.6819,7000.850900779998
2,2022-01-05,1.6809,1.7799,1.45,1.5366,15659.157628369996
3,2022-01-06,1.5366,1.5523,1.455,1.5351,9793.338574259997
4,2022-01-07,1.5231,1.5331,1.412,1.5031,17888.006916249997
5,2022-01-08,1.507,1.5799,1.3481,1.3809,12241.407834039997
6,2022-01-09,1.378,1.52,1.3401,1.3603,7910.094989579994
7,2022-01-10,1.3595,1.399,1.2264,1.3279,10708.535649130006
8,2022-01-11,1.322,1.4301,1.3141,1.3959,7945.781075839993
9,2022-01-12,1.4049,1.497,1.4001,1.4919,7930.445512849997
10,2022-01-13,1.4899,1.5399,1.44,1.4471,6869.9219235899955
11,2022-01-14,1.449,1.5198,1.4136,1.5169,6396.558507439993
12,2022-01-15,1.5109,1.546,1.4751,1.5399,6293.9951800799945
13,2022-01-16,1.5341,1.5659,1.486,1.4899,6358.305763439988
14,2022-01-17,1.4899,1.495,1.37,1.3891,6537.4955672499955
15,2022-01-18,1.3921,1.4299,1.2361,1.3521,12920.69872391998
16,2022-01-19,1.35,1.3969,1.2801,1.296,12573.34536432
17,2022-01-20,1.2989,1.415,1.264,1.2662,9994.257966110003
18,2022-01-21,1.2729,1.2921,1.1398,1.2001,12084.879797359996
19,2022-01-22,1.2102,1.3119,1.101,1.1581,15746.366631120012
20,2022-01-23,1.151,1.209,1.097,1.1528,8557.833758429999
21,2022-01-24,1.1499,1.1911,1.0448,1.159,10973.441613110002
22,2022-01-25,1.1571,1.2889,1.1539,1.241,13965.682968069998
23,2022-01-26,1.248,1.3714,1.231,1.334,10697.443789590003
24,2022-01-27,1.3271,1.429,1.238,1.4259,15381.089240600011
25,2022-01-28,1.4132,1.4529,1.35,1.431,10581.575224099997
26,2022-01-29,1.4319,1.463,1.36,1.364,8087.843138479983
27,2022-01-30,1.3659,1.4899,1.3482,1.413,9112.057129220004
28,2022-01-31,1.4228,1.4228,1.3113,1.3631,17688.94474173
29,2022-02-01,1.359,1.3825,1.2961,1.3189,15332.486683639972
30,2022-02-02,1.3151,1.3458,1.2628,1.2789,7140.786917930011
31,2022-02-03,1.2829,1.2919,1.2251,1.2893,7727.5571980000095
32,2022-02-04,1.2881,1.458,1.2871,1.4508,7973.408915910013
33,2022-02-05,1.46,1.563,1.46,1.514,6703.802373370005
34,2022-02-06,1.518,1.5431,1.461,1.4896,2504.869314949998
35,2022-02-07,1.4919,1.5689,1.4616,1.493,2800.7359559599963
36,2022-02-08,1.5029,1.5389,1.3831,1.423,3476.2013704999877
37,2022-02-09,1.4209,1.442,1.382,1.4329,1989.6969165299995
38,2022-02-10,1.4219,1.432,1.3211,1.324,2946.9182910099958
39,2022-02-11,1.3181,1.394,1.238,1.254,3613.816275379998
40,2022-02-12,1.2519,1.308,1.217,1.2641,5135.7367551199995
41,2022-02-13,1.265,1.288,1.162,1.2491,27318.497898700003
42,2022-02-14,1.2459,1.2668,1.1891,1.262,6181.289664879999
43,2022-02-15,1.2601,1.3385,1.2389,1.3291,6640.800226670001
44,2022-02-16,1.3269,1.3299,1.2531,1.2741,5084.459489079997
45,2022-02-17,1.274,1.2831,1.137,1.137,6028.783850580009
46,2022-02-18,1.141,1.181,1.0988,1.1051,5385.991442980001
47,2022-02-19,1.1029,1.1669,1.0962,1.1339,7430.4029950500135
48,2022-02-20,1.1321,1.1321,1.04,1.0689,14618.781719710056
49,2022-02-21,1.0631,1.131,1.0011,1.002,9593.29197161003
50,2022-02-22,1.011,1.0781,0.99,1.0749,9492.00655510004
51,2022-02-23,1.0759,1.1199,1.034,1.0359,3483.2936788599977
52,2022-02-24,1.0339,1.1178,0.94,1.1017,10214.432242150013
53,2022-02-25,1.0986,1.15,1.0701,1.143,7348.267092220007
54,2022-02-26,1.151,1.1969,1.1342,1.142,5849.477266239997
55,2022-02-27,1.1461,1.2041,1.0792,1.0811,5605.8705887099995
56,2022-02-28,1.076,1.164,1.0571,1.162,6715.600351239997
57,2022-03-01,1.1641,1.22,1.148,1.219,10132.623104029997
58,2022-03-02,1.2199,1.26,1.1733,1.1969,12386.428241940002
59,2022-03-03,1.2001,1.235,1.155,1.173,5240.833577900003
60,2022-03-04,1.176,1.1921,1.107,1.1139,8210.036011310005
61,2022-03-05,1.1051,1.1681,1.103,1.1609,5791.951064249994
62,2022-03-06,1.1589,1.1663,1.09,1.09,3298.076901429999
63,2022-03-07,1.09,1.1669,1.06,1.087,7162.889501700001
64,2022-03-08,1.081,1.1399,1.079,1.132,5512.390241279999
65,2022-03-09,1.1318,1.2412,1.1298,1.1841,8081.613936820006
66,2022-03-10,1.1861,1.1891,1.0811,1.174,4961.300708499997
67,2022-03-11,1.1719,1.1739,1.1091,1.1131,7343.250764239997
68,2022-03-12,1.1132,1.1391,1.1112,1.1228,3768.882998269997
69,2022-03-13,1.1169,1.1433,1.0699,1.0758,4306.769654559992
70,2022-03-14,1.071,1.149,1.0639,1.143,4364.82397894
71,2022-03-15,1.143,1.158,1.0399,1.1341,6918.5874116700015
72,2022-03-16,1.1331,1.189,1.1119,1.177,8437.314010120002
73,2022-03-17,1.1771,1.2003,1.16,1.1759,4764.893366930003
74,2022-03-18,1.1658,1.2179,1.1461,1.215,5952.151100990002
75,2022-03-19,1.217,1.3281,1.209,1.283,7602.217808250001
76,2022-03-20,1.283,1.283,1.1821,1.1929,4070.3591967100024
77,2022-03-21,1.1921,1.266,1.1699,1.228,4583.867417839999
78,2022-03-22,1.225,1.3029,1.2212,1.259,4586.247578290002
79,2022-03-23,1.267,1.3271,1.247,1.3262,6823.29540187
80,2022-03-24,1.326,1.3541,1.2671,1.3509,3687.035291559995
81,2022-03-25,1.349,1.359,1.2672,1.283,4478.706875989999
82,2022-03-26,1.282,1.346,1.28,1.3432,3056.3902673400003
83,2022-03-27,1.344,1.4591,1.34,1.434,3971.1167983999985
84,2022-03-28,1.436,1.467,1.3499,1.362,3121.603290310001
85,2022-03-29,1.3628,1.447,1.351,1.3821,3932.061287389998
86,2022-03-30,1.3821,1.408,1.343,1.3839,3778.885420499995
87,2022-03-31,1.3839,1.7369,1.3839,1.508,10302.917493370001
88,2022-04-01,1.5083,1.6341,1.4738,1.5359,6376.632785120008
89,2022-04-02,1.5371,1.6239,1.491,1.4939,4177.519888229986
90,2022-04-03,1.494,1.5588,1.464,1.5203,2762.1056401799983
91,2022-04-04,1.523,1.523,1.4133,1.4962,2796.4762014399985
92,2022-04-05,1.5041,1.5679,1.4689,1.4715,1845.6201040199999
93,2022-04-06,1.5592,1.5592,1.28,1.2919,3218.882367099999
94,2022-04-07,1.289,1.694,1.2602,1.431,3898.919007959997
95,2022-04-08,1.434,1.478,1.297,1.312,1881.3100410100003
96,2022-04-09,1.321,1.345,1.276,1.332,1098.25933982
97,2022-04-10,1.3281,1.336,1.2741,1.2741,636.5965157800001
98,2022-04-11,1.277,1.2861,1.18,1.197,1265.2656709300018
99,2022-04-12,1.2099,1.2505,1.2099,1.2505,60.58737672
100,2022-04-13,1.289,1.317,1.238,1.317,1779.399622730001
101,2022-04-14,1.291,1.346,1.241,1.273,1711.2130516100035
102,2022-04-15,1.292,1.4297,1.271,1.334,1535.6398120800052
103,2022-04-16,1.333,1.45,1.312,1.359,1434.3183246300048
104,2022-04-17,1.363,1.369,1.2401,1.241,1233.8024924300023
105,2022-04-18,1.259,1.3366,1.198,1.2592,1686.9790034299974
106,2022-04-19,1.2641,1.3129,1.2471,1.2508,1267.0268292399996
107,2022-04-20,1.2508,1.3321,1.1983,1.2061,2098.1353695199973
108,2022-04-21,1.2041,1.2715,1.1399,1.1983,2120.4529167099977
109,2022-04-22,1.1982,1.3299,1.1476,1.1999,3630.5076002200067
110,2022-04-23,1.1996,1.2939,1.1924,1.2767,2966.193288540005
