,date,open,high,low,close,volume
0,2021-05-06,1.03,1.09,0.8017,0.8148,17000104.100000013
1,2021-05-07,0.8139,1.075,0.7449,0.9814,63553372.200002894
2,2021-05-08,0.9815,1.8,0.9,1.7807,182698442.200004
3,2021-05-09,1.7859,1.7949,1.168,1.4562,96095761.49999847
4,2021-05-10,1.456,1.55,1.02,1.1391,54610846.300000615
5,2021-05-11,1.1374,1.2348,1.0801,1.1344,25704588.799999814
6,2021-05-12,1.1322,1.1735,0.8781,0.9015,20325533.700000037
7,2021-05-13,0.9015,1.033,0.8182,0.8787,22487585.80000006
8,2021-05-14,0.8764,1.3951,0.8756,1.1253,65392163.40000144
9,2021-05-15,1.1257,1.22,1.0136,1.0136,21273184.59999998
10,2021-05-16,1.0139,1.2,0.9613,1.1428,28622941.70000023
11,2021-05-17,1.1447,1.3,1.0,1.1115,43505862.10000111
12,2021-05-18,1.1117,1.2167,1.0594,1.0943,20527573.899999924
13,2021-05-19,1.0943,1.125,0.5529,0.7072,35198918.40000088
14,2021-05-20,0.7094,1.0348,0.6212,0.933,30598703.000000294
15,2021-05-21,0.9331,0.95,0.6752,0.7873,22940120.3000002
16,2021-05-22,0.7835,0.7874,0.6692,0.6966,9875103.899999872
17,2021-05-23,0.697,0.7376,0.4403,0.5618,19327508.40000012
18,2021-05-24,0.5602,0.7664,0.5398,0.7374,16990364.600000005
19,2021-05-25,0.7369,0.7596,0.6291,0.6983,11326776.69999996
20,2021-05-26,0.6983,0.9321,0.6788,0.8678,22036506.00000006
21,2021-05-27,0.8664,0.868,0.7432,0.7781,11791501.900000142
22,2021-05-28,0.779,0.8062,0.6477,0.6865,11132127.300000014
23,2021-05-29,0.6859,0.727,0.5723,0.6142,7385120.099999959
24,2021-05-30,0.6153,0.6757,0.5745,0.6413,7232556.899999999
25,2021-05-31,0.6402,0.7291,0.6085,0.7168,8425270.599999981
26,2021-06-01,0.7162,0.7549,0.6674,0.6839,9402478.09999999
27,2021-06-02,0.6832,0.7698,0.6593,0.7127,13421816.299999943
28,2021-06-03,0.7116,0.8683,0.6973,0.8118,10702281.200000007
29,2021-06-04,0.8102,0.8198,0.6532,0.7072,20481283.400000002
30,2021-06-05,0.7078,0.749,0.652,0.6715,9490435.699999975
31,2021-06-06,0.673,0.7088,0.6702,0.6951,3379567.099999988
32,2021-06-07,0.6951,0.7238,0.6141,0.6457,8508137.999999959
33,2021-06-08,0.6445,0.6511,0.5357,0.6061,13826393.70000006
34,2021-06-09,0.6062,0.625,0.5673,0.6236,6491589.299999986
35,2021-06-10,0.625,0.7747,0.6019,0.6365,28684852.200000115
36,2021-06-11,0.6378,0.6524,0.5704,0.5763,10494174.700000012
37,2021-06-12,0.5749,0.585,0.5377,0.5514,10664974.300000006
38,2021-06-13,0.5518,0.6272,0.5319,0.5931,7042340.399999986
39,2021-06-14,0.5931,0.6132,0.5768,0.5944,5710494.799999981
40,2021-06-15,0.5944,0.6195,0.5774,0.5856,8555844.4
41,2021-06-16,0.5854,0.59,0.5468,0.5664,8379011.599999987
42,2021-06-17,0.5666,0.5842,0.5262,0.558,16160989.299999952
43,2021-06-18,0.5568,0.6138,0.5072,0.5389,22386117.900000017
44,2021-06-19,0.5387,0.5467,0.5056,0.5075,2720388.9999999995
45,2021-06-20,0.5073,0.5225,0.4666,0.5068,5021794.099999993
46,2021-06-21,0.5072,0.5095,0.3955,0.3981,14136539.899999976
47,2021-06-22,0.3962,0.4235,0.3112,0.3537,21047420.30000004
48,2021-06-23,0.3522,0.4131,0.3418,0.3784,7169118.000000026
49,2021-06-24,0.3776,0.3997,0.3554,0.3879,4705372.599999992
