,date,open,high,low,close,volume
0,2020-10-12,71.7136,76.5,70.0512,71.6971,93252.1316407507
1,2020-10-13,71.6598,73.481,70.428,71.204,55578.96925702052
2,2020-10-14,71.402,72.09,68.9361,70.0351,48425.30356073962
3,2020-10-15,70.0297,70.5,68.0537,69.293,46248.51576396975
4,2020-10-16,69.2758,70.0644,65.4126,66.1015,49147.884268199065
5,2020-10-17,66.0887,67.618,65.2607,67.3073,42388.50399554982
6,2020-10-18,67.284,67.604,66.5164,67.1925,26363.01895934005
7,2020-10-19,67.2289,82.3,65.876,74.871,116510.65795767789
8,2020-10-20,74.9378,77.055,70.2567,70.6183,123775.61227717354
9,2020-10-21,70.6031,77.139,70.401,75.0,100626.45946343911
10,2020-10-22,74.6849,78.154,74.0338,74.9684,88826.49905096949
11,2020-10-23,74.9915,75.501,70.7435,72.284,64324.175440680636
12,2020-10-24,72.299,73.786,71.4007,73.3142,64025.3665470107
13,2020-10-25,73.2857,73.791,70.3365,71.1056,55242.72788491023
14,2020-10-26,71.0979,72.4953,68.43,69.169,71429.62614101014
15,2020-10-27,69.169,72.208,69.059,70.7323,72561.68785163076
16,2020-10-28,70.6931,71.274,66.677,67.937,69319.11947087932
17,2020-10-29,67.9184,68.7871,65.6367,67.1004,59404.1592619093
18,2020-10-30,67.0221,72.645,64.001,69.7206,101197.90964404108
19,2020-10-31,69.754,73.0,68.5458,70.131,103043.68500570132
20,2020-11-01,70.219,70.677,68.2331,68.8299,61487.223389199666
21,2020-11-02,68.777,69.641,64.6834,64.9676,74607.33806888897
22,2020-11-03,64.9288,65.566,63.1026,64.275,82024.42734242755
23,2020-11-04,64.3187,65.319,62.199,64.6961,72909.67174467872
24,2020-11-05,64.7388,70.685,63.4278,67.7309,96644.01870509038
25,2020-11-06,67.7255,70.936,67.4175,70.248,94106.92398021105
26,2020-11-07,70.1035,72.315,64.734,66.5824,109937.12346903862
27,2020-11-08,66.5175,69.306,65.7039,68.0862,78051.1254278596
28,2020-11-09,68.0852,69.1005,66.45,68.1402,75609.39896594977
29,2020-11-10,68.0949,69.859,67.185,68.828,71326.12701398988
30,2020-11-11,68.9019,71.533,68.4846,69.439,60467.72940278961
31,2020-11-12,69.446,105.0,68.222,77.7409,308188.09868824465
32,2020-11-13,77.7426,79.868,75.681,77.802,127170.8035523493
33,2020-11-14,78.172,80.0,74.4437,77.289,111573.96532358998
34,2020-11-15,77.307,77.807,73.623,75.131,75933.90405868983
35,2020-11-16,75.131,82.933,74.5,80.5201,111645.09713334902
36,2020-11-17,80.831,84.017,80.0424,83.0552,112693.82111271427
37,2020-11-18,83.264,83.819,76.607,80.114,102122.49536208842
38,2020-11-19,80.0343,84.913,77.795,82.337,94208.68177207037
39,2020-11-20,82.291,85.127,82.023,83.488,82572.08955630822
40,2020-11-21,83.0797,96.69,82.7557,94.998,139221.3595947674
41,2020-11-22,94.737,95.625,85.129,90.4178,150737.82836320062
42,2020-11-23,90.4562,95.998,89.3891,94.1396,145884.8789604252
43,2020-11-24,94.353,123.875,92.2177,114.3094,420597.63486125076
44,2020-11-25,114.2547,116.384,97.1787,102.204,251532.84034328937
45,2020-11-26,102.14,104.207,83.3001,92.005,223175.12005295503
46,2020-11-27,91.5183,95.901,86.8,92.236,143953.34996902576
47,2020-11-28,92.237,114.915,90.98,109.1303,170769.47112733425
48,2020-11-29,109.209,115.178,104.132,108.0377,231890.71346575042
49,2020-11-30,108.0802,118.226,106.2527,113.197,189862.30946810415
50,2020-12-01,112.833,115.968,100.0,103.9249,189298.86924088348
51,2020-12-02,103.7923,107.8891,98.3533,105.294,128646.88250824237
52,2020-12-03,105.25,108.58,103.6827,107.4928,77796.1814966101
53,2020-12-04,107.4932,110.973,97.1342,98.827,84238.9610594285
54,2020-12-05,98.81,103.65,96.637,103.171,65439.089557111045
55,2020-12-06,103.0999,104.709,99.213,102.186,52765.398590690485
56,2020-12-07,102.2185,104.475,100.378,101.5368,55057.019671949936
57,2020-12-08,101.5141,101.815,92.916,95.0381,72584.641629571
58,2020-12-09,94.99,96.238,88.3342,95.4853,75432.01295767074
59,2020-12-10,95.791,96.142,90.51,92.779,48971.51622328
60,2020-12-11,92.951,95.15,87.75,93.1609,67775.45649397137
61,2020-12-12,93.2032,99.753,92.91,94.786,69152.90007592051
62,2020-12-13,94.823,99.816,93.0,97.5657,53627.067610059676
63,2020-12-14,97.435,97.7558,94.087,96.781,52290.03246470995
64,2020-12-15,96.6798,97.843,94.18,96.7994,46556.01692944
