,date,open,high,low,close,volume
0,2020-10-12,0.0425053,0.0441718,0.0424677,0.0427232,38228
1,2020-10-13,0.0427232,0.0427232,0.0405,0.0406934,10182
2,2020-10-14,0.0410149,0.0414313,0.0390502,0.0406065,39759
3,2020-10-15,0.0404813,0.0436316,0.0397145,0.0431466,38765
4,2020-10-16,0.0434703,0.0436,0.0416,0.041842,46989
5,2020-10-17,0.041634,0.0439378,0.0414709,0.0439378,13473
6,2020-10-18,0.0438277,0.05,0.0432073,0.0485597,26806
7,2020-10-19,0.0489831,0.055089,0.048777,0.048784,50313
8,2020-10-20,0.0466253,0.0467376,0.0441021,0.0449033,20745
9,2020-10-21,0.0440049,0.0444675,0.0431931,0.0431931,21464
10,2020-10-22,0.0430987,0.043871,0.0426818,0.0437158,3645
11,2020-10-23,0.0426275,0.0426275,0.0426275,0.0426275,75
12,2020-10-25,0.0416671,0.0416671,0.041,0.041,822
13,2020-10-26,0.0439671,0.0444444,0.0439671,0.0439672,591
14,2020-10-27,0.0405014,0.0408655,0.0396,0.0396,15774
15,2020-10-28,0.0392,0.0392,0.0370999,0.0377,1125
16,2020-10-29,0.0378,0.0381957,0.03599,0.03599,3430
17,2020-10-30,0.0367,0.0382,0.0346038,0.0382,5196
18,2020-11-01,0.0359996,0.0365,0.0349,0.0365,865
19,2020-11-02,0.0369,0.0369996,0.0345,0.035,1039
20,2020-11-03,0.034,0.03505,0.034,0.03505,9
21,2020-11-04,0.0351,0.039,0.0351,0.039,11370
22,2020-11-05,0.0375003,0.0375003,0.0352203,0.0352203,643
23,2020-11-06,0.04,0.04,0.04,0.04,2
24,2020-11-07,0.0369293,0.0369293,0.0369291,0.0369291,9528
25,2020-11-08,0.0365933,0.041,0.0365933,0.041,12
26,2020-11-09,0.0429781,0.044284,0.0429781,0.044284,14
27,2020-11-10,0.0449668,0.0470086,0.0449668,0.0470085,4741
28,2020-11-11,0.046991,0.046991,0.046991,0.046991,10
29,2020-11-12,0.0405707,0.04686,0.0391092,0.0391092,5034
30,2020-11-15,0.0384,0.0437849,0.0383999,0.0437849,930
31,2020-11-16,0.0436882,0.0436883,0.0436882,0.0436883,4105
32,2020-11-18,0.0422418,0.0422418,0.0422418,0.0422418,12
33,2020-11-19,0.0393052,0.0417273,0.0393052,0.0417273,22
34,2020-11-20,0.0419753,0.0419753,0.0385609,0.0385609,476
35,2020-11-21,0.0426912,0.045,0.0394059,0.0394512,546
36,2020-11-23,0.042,0.045,0.042,0.0421547,4010
37,2020-11-24,0.0470045,0.0483812,0.0390898,0.0479816,341
38,2020-11-25,0.049064,0.049064,0.049064,0.049064,1
39,2020-11-26,0.0416007,0.0416007,0.0365918,0.0365918,9277
40,2020-11-27,0.0383616,0.0383616,0.0383556,0.0383556,1416
41,2020-11-29,0.0384886,0.0384886,0.0384886,0.0384886,5
42,2020-11-30,0.0383217,0.0443292,0.0383217,0.0415,674
43,2020-12-01,0.0387958,0.0437894,0.0387958,0.0396469,40538
44,2020-12-02,0.0420001,0.0420001,0.0420001,0.0420001,10
45,2020-12-03,0.0446172,0.0446172,0.0446172,0.0446172,2625
46,2020-12-06,0.0446109,0.0446109,0.037024,0.0395,161
47,2020-12-08,0.0380613,0.0380613,0.0377496,0.0377496,4650
48,2020-12-09,0.0377,0.0377,0.0376,0.0376,602
49,2020-12-10,0.039,0.0395,0.039,0.0395,599
50,2020-12-11,0.0386475,0.0386481,0.0386475,0.038648,1056
51,2020-12-12,0.04,0.0418117,0.04,0.0418117,182
52,2020-12-13,0.0420705,0.0446364,0.041,0.041,101
53,2020-12-14,0.0405,0.0405,0.0405,0.0405,1
54,2020-12-15,0.0405196,0.040526,0.0405196,0.040526,12805
55,2020-12-16,0.04143,0.043,0.0405,0.04146,2752
56,2020-12-17,0.0391217,0.0405,0.0384487,0.0384487,20
57,2020-12-20,0.0399,0.0552099,0.0399,0.0428,9003
58,2020-12-21,0.05299,0.05515,0.0340441,0.0379801,26103
59,2020-12-22,0.0372008,0.043,0.0359053,0.04184,80833
60,2020-12-23,0.0417,0.0418,0.034995,0.034995,696
61,2020-12-24,0.034711,0.0375999,0.034711,0.0347403,2912
62,2020-12-25,0.0375,0.0375,0.0375,0.0375,1
63,2020-12-26,0.0375,0.0654763,0.0375,0.0654763,14486
64,2020-12-27,0.0609998,0.1123079,0.0401,0.0451278,108790
65,2020-12-28,0.0457999,0.0457999,0.0390002,0.039059,16526
66,2020-12-29,0.0391201,0.0391201,0.036824,0.0385,20572
67,2020-12-30,0.0377695,0.0385,0.0369184,0.037,14690
68,2020-12-31,0.037,0.0371,0.0362726,0.0366,75942
69,2021-01-01,0.0384555,0.0439989,0.0382242,0.038225,1624
70,2021-01-02,0.04,0.042,0.0375,0.042,6632
71,2021-01-03,0.0421,0.0421,0.0421,0.0421,23
72,2021-01-04,0.0422,0.0434,0.039,0.0402,13099
73,2021-01-05,0.0375613,0.0375613,0.0375613,0.0375613,4917
74,2021-01-06,0.0377082,0.044999,0.0377082,0.042,12348
75,2021-01-07,0.0459973,0.051,0.0377277,0.0479226,23184
76,2021-01-08,0.0479229,0.0575,0.0479229,0.0575,4232
77,2021-01-09,0.057755,0.0692345,0.0501195,0.0538,3128
78,2021-01-10,0.068,0.0684463,0.045091,0.045091,4171
79,2021-01-11,0.0443639,0.0598998,0.0377244,0.0598995,33072
80,2021-01-12,0.0598959,0.0598959,0.0388007,0.0388007,20
81,2021-01-13,0.0388045,0.0388045,0.0388045,0.0388045,1210
82,2021-01-16,0.0508382,0.0553015,0.0508382,0.0553015,15477
83,2021-01-17,0.0400819,0.0460193,0.0400819,0.0460193,1400
84,2021-01-20,0.0552344,0.0670081,0.0519947,0.0563807,72351
85,2021-01-21,0.0566773,0.057,0.0493193,0.0493193,7622
86,2021-01-22,0.0470509,0.0687,0.046,0.0613857,17249
87,2021-01-23,0.0598152,0.0722583,0.0598152,0.062,8295
88,2021-01-24,0.0615315,0.0741893,0.06,0.06,9307
89,2021-01-25,0.0678573,0.0678573,0.056,0.056,15192
90,2021-01-26,0.0551135,0.0551135,0.055,0.055,1577
91,2021-01-27,0.0535,0.0535384,0.0505978,0.0507561,3108
92,2021-01-28,0.0594359,0.0594359,0.0545024,0.0545024,8
93,2021-01-29,0.0545,0.0591019,0.0505452,0.0535003,273
94,2021-01-30,0.0589364,0.0686034,0.0575315,0.062421,59818
95,2021-01-31,0.06221,0.0659531,0.0540019,0.058777,9486
96,2021-02-01,0.0560076,0.0597982,0.0560076,0.0597982,1714
97,2021-02-02,0.0597995,0.0635,0.057989,0.062002,168444
98,2021-02-03,0.0620023,0.0760671,0.0589999,0.0760671,13266
99,2021-02-04,0.0688688,0.0760677,0.0678068,0.0710921,18535
100,2021-02-05,0.067728,0.08,0.067728,0.08,953
101,2021-02-06,0.08199,0.08199,0.0697094,0.0697094,187
102,2021-02-07,0.0697716,0.0816758,0.0678451,0.0678451,3129
103,2021-02-08,0.0632535,0.0786797,0.0632535,0.063591,20
104,2021-02-09,0.0772435,0.0787676,0.0720525,0.0787676,2707
105,2021-02-10,0.0720121,0.0979,0.0720121,0.0774107,14981
106,2021-02-11,0.0782847,0.105,0.0782847,0.095,19873
107,2021-02-12,0.1059992,0.1828571,0.0921975,0.1282813,92987
108,2021-02-13,0.15,0.1788499,0.1186831,0.127,9123
109,2021-02-14,0.125,0.1299996,0.1035155,0.1299996,14210
110,2021-02-15,0.103687,0.1274997,0.0999918,0.105,3990
111,2021-02-16,0.104,0.1239991,0.0971896,0.0971896,17574
112,2021-02-17,0.1099906,0.1239991,0.096,0.1212121,23868
113,2021-02-18,0.121212,0.1239991,0.1102601,0.1235,983
114,2021-02-19,0.1237,0.123999,0.1100082,0.119971,3898
115,2021-02-20,0.1103539,0.1238723,0.1052692,0.1052692,683
116,2021-02-21,0.1052692,0.1070805,0.1052692,0.1070805,3478
117,2021-02-22,0.11,0.1230468,0.0814878,0.0814893,25302
118,2021-02-23,0.0810001,0.0810001,0.0706667,0.0706667,6549
119,2021-02-24,0.0849364,0.0849364,0.0849364,0.0849364,91
120,2021-02-25,0.0967557,0.0967558,0.0802827,0.0842417,453
121,2021-02-26,0.075,0.0775286,0.073694,0.0775286,1828
122,2021-02-27,0.0872334,0.1023824,0.0857058,0.0857058,5173
123,2021-02-28,0.077077,0.081962,0.0761741,0.0812138,6817
124,2021-03-01,0.0822517,0.0877866,0.0809832,0.0811829,9500
125,2021-03-02,0.0859053,0.0859053,0.0855464,0.0855464,249
126,2021-03-03,0.0906306,0.0909746,0.0882525,0.0909746,225
127,2021-03-04,0.0889528,0.090626,0.0793164,0.0793164,3275
128,2021-03-05,0.0843643,0.1111111,0.0843643,0.0993793,15284
129,2021-03-06,0.0979779,0.1093613,0.0922461,0.094,234
130,2021-03-07,0.096967,0.096967,0.0912061,0.0912061,4046
131,2021-03-08,0.0915703,0.0967426,0.0915703,0.0967426,8294
132,2021-03-09,0.1015,0.117047,0.1015,0.117047,9056
133,2021-03-10,0.1155955,0.1155955,0.1086739,0.1124684,2492
