,date,open,high,low,close,volume
0,2021-11-23,5.2,5.44,5.0,5.29,75399.73999999983
1,2021-12-14,7.39,7.5,4.36,4.95,2449157.7499996806
2,2021-12-15,4.94,5.18,4.5,4.72,692666.7600000068
3,2021-12-16,4.74,4.98,4.63,4.76,346613.0099999985
4,2021-12-17,4.76,4.77,4.5,4.54,198411.09000000078
5,2021-12-18,4.52,5.12,4.5,4.72,324902.4
6,2021-12-19,4.7,4.75,4.51,4.55,196565.2000000005
7,2021-12-20,4.54,4.59,4.29,4.32,164567.40999999925
8,2021-12-21,4.45,4.99,4.21,4.65,399539.8800000018
9,2021-12-22,4.64,4.67,4.47,4.52,113879.36999999914
10,2021-12-23,4.53,4.99,4.44,4.84,288020.25999999954
11,2021-12-24,4.84,4.88,4.51,4.52,210494.84999999806
12,2021-12-25,4.52,4.74,4.51,4.63,79106.18999999961
13,2021-12-26,4.65,4.77,4.62,4.68,144358.39999999947
14,2021-12-27,4.68,5.35,4.64,4.86,376123.71999999834
15,2021-12-28,4.86,5.24,4.45,4.55,562492.4799999992
16,2021-12-29,4.55,5.04,4.47,4.5,381789.4799999985
17,2021-12-30,4.53,4.68,4.45,4.47,181584.8299999983
18,2021-12-31,4.48,4.61,4.3,4.33,146933.75999999925
19,2022-01-01,4.3,4.88,4.29,4.63,180858.07999999973
20,2022-01-02,4.65,4.77,4.53,4.57,92741.62999999928
21,2022-01-03,4.6,4.71,4.38,4.42,95646.39999999948
22,2022-01-04,4.42,4.55,4.39,4.43,59176.02000000001
23,2022-01-05,4.43,4.54,4.01,4.14,151486.43999999994
24,2022-01-06,4.13,4.21,3.8,3.96,114327.8700000001
25,2022-01-07,3.96,3.98,3.56,3.64,130599.3899999998
26,2022-01-08,3.64,3.82,3.41,3.53,150983.31999999908
27,2022-01-09,3.53,4.94,3.43,3.74,916510.61000003
28,2022-01-10,3.77,3.78,3.43,3.47,265062.43000000005
29,2022-01-11,3.47,3.83,3.42,3.51,219738.1299999993
30,2022-01-12,3.51,3.7,3.47,3.63,154171.85000000187
31,2022-01-13,3.63,3.68,3.42,3.52,132330.8199999996
32,2022-01-14,3.5,3.6,3.4,3.46,155074.39999999988
33,2022-01-15,3.47,3.56,3.44,3.56,79191.49999999977
34,2022-01-16,3.56,3.59,3.48,3.5,25973.390000000032
35,2022-01-17,3.5,3.57,3.35,3.37,40620.63
36,2022-01-18,3.35,3.4,2.8,3.16,280291.2500000005
37,2022-01-19,3.16,3.76,2.94,3.28,471492.6099999951
38,2022-01-20,3.3,3.6,3.04,3.1,596912.809999999
39,2022-01-21,3.1,3.18,2.62,2.68,184962.71000000005
40,2022-01-22,2.67,2.68,2.21,2.32,98113.13999999934
41,2022-01-23,2.32,3.18,2.28,2.51,522570.7799999925
42,2022-01-24,2.51,2.68,2.33,2.45,140683.06999999983
43,2022-01-25,2.43,2.94,2.41,2.53,265743.7300000006
44,2022-01-26,2.54,2.69,2.42,2.47,92083.70999999986
