,date,open,high,low,close,volume
0,2020-10-12,4.2503,4.46,4.2054,4.317,160201.33568903015
1,2020-10-13,4.3214,4.3479,4.142,4.2491,106995.46771463993
2,2020-10-14,4.2575,4.3868,4.0907,4.2042,95551.53989061982
3,2020-10-15,4.1936,4.1936,4.0242,4.0993,182556.89189237
4,2020-10-16,4.0882,4.1551,3.811,3.9095,180976.08510433993
5,2020-10-17,3.9211,3.9831,3.875,3.9716,48564.33637693999
6,2020-10-18,3.9672,4.1274,3.96,4.1114,58207.84131684004
7,2020-10-19,4.1149,4.1276,3.9591,3.9886,71101.26552606997
8,2020-10-20,3.9885,4.1466,3.8724,3.9158,243713.83032363988
9,2020-10-21,3.9098,4.2479,3.8993,4.1418,181907.0589407102
10,2020-10-22,4.1433,4.338,4.1336,4.2686,84509.02443335003
11,2020-10-23,4.2659,4.4848,4.1857,4.2606,133027.91201616995
12,2020-10-24,4.268,4.4315,4.2422,4.3543,64359.35063272997
13,2020-10-25,4.3534,4.4476,4.2615,4.329,78873.05911374996
14,2020-10-26,4.3279,4.751,4.2976,4.7038,240850.71404701084
15,2020-10-27,4.7101,4.9304,4.6561,4.6857,163222.85547541972
16,2020-10-28,4.6623,4.7691,4.26,4.3625,155652.76810943006
17,2020-10-29,4.3595,4.4,3.852,4.0557,124582.67300174001
18,2020-10-30,4.0575,4.1556,3.92,4.0845,129423.13876172996
19,2020-10-31,4.0819,4.2763,4.0645,4.1824,47465.403405289966
20,2020-11-01,4.1809,4.2211,4.107,4.2197,27576.48507596
21,2020-11-02,4.2248,4.2615,3.97,4.0301,63558.566748949925
22,2020-11-03,4.0323,4.0652,3.89,4.0279,58367.519394359966
23,2020-11-04,4.034,4.1534,3.8966,4.0927,48701.6548281
24,2020-11-05,4.0969,4.2975,4.0232,4.2207,83295.6933015001
25,2020-11-06,4.2114,4.6383,4.21,4.5817,107256.91709124982
26,2020-11-07,4.5944,4.846,4.1,4.2369,197980.7181217802
27,2020-11-08,4.2355,4.42,4.1457,4.3776,50002.509238250015
28,2020-11-09,4.3813,4.4624,4.2446,4.3465,49361.07823922
29,2020-11-10,4.3381,4.5004,4.3087,4.4249,39382.06815905007
30,2020-11-11,4.4332,4.6319,4.4249,4.4515,68313.02278975995
31,2020-11-12,4.4554,4.475,4.319,4.3978,35256.46550153
32,2020-11-13,4.3947,4.5845,4.3735,4.5368,36061.50316075997
33,2020-11-14,4.5505,4.5505,4.3597,4.4633,36915.15126765001
34,2020-11-15,4.4565,4.497,4.3121,4.369,47813.64322396005
35,2020-11-16,4.369,4.5976,4.348,4.4926,71650.66746703998
36,2020-11-17,4.4971,4.924,4.4971,4.8606,159827.8726295097
37,2020-11-18,4.868,4.949,4.5033,4.6826,181887.47551328034
38,2020-11-19,4.6893,4.8493,4.5427,4.7542,67739.81728627003
