,date,open,high,low,close,volume
0,2020-10-12,71.8,74.632,70.186,71.912,3432.169388330011
1,2020-10-13,71.864,73.474,70.604,71.464,4633.902473000005
2,2020-10-14,71.472,72.138,69.058,70.092,1204.8675188299987
3,2020-10-15,69.996,70.516,68.115,69.259,1159.080409699999
4,2020-10-16,69.238,70.121,65.453,66.134,3149.7830925900007
5,2020-10-17,66.066,67.556,65.158,67.326,4092.5426707599995
6,2020-10-18,67.366,67.366,66.506,67.33,954.7475505199984
7,2020-10-19,67.349,78.0,66.209,74.911,15739.951546689914
8,2020-10-20,74.983,77.047,70.532,70.869,6593.591866930003
9,2020-10-21,70.645,77.07,70.621,74.886,5118.921713410003
10,2020-10-22,74.833,77.909,74.226,74.998,2566.0534233700027
11,2020-10-23,74.963,75.197,71.036,72.098,3881.668882650001
12,2020-10-24,72.254,73.854,71.463,73.445,3723.567800450006
13,2020-10-25,73.357,73.81,70.444,70.963,2766.546541970001
14,2020-10-26,71.023,72.609,68.384,69.192,5603.956605240008
15,2020-10-27,69.098,72.275,68.974,70.682,2026.944847269999
16,2020-10-28,70.591,71.124,66.9,67.99,2353.855690070006
17,2020-10-29,67.961,68.717,65.7,66.976,2433.7645976100084
18,2020-10-30,67.005,72.543,63.375,69.8,11308.648713199927
19,2020-10-31,69.747,73.334,68.703,70.155,6596.8624917499565
20,2020-11-01,70.136,70.584,68.325,68.802,3304.4327358700034
21,2020-11-02,68.963,69.577,64.831,65.01,2005.3588518799986
22,2020-11-03,64.993,65.441,62.787,64.348,4049.838657730006
23,2020-11-04,64.396,65.341,62.334,64.761,2579.3222947600084
24,2020-11-05,64.893,70.327,63.594,67.739,5581.9779022400035
25,2020-11-06,67.776,70.68,67.448,70.088,4176.637689050003
26,2020-11-07,70.08,72.121,65.291,66.75,6154.940181539993
27,2020-11-08,66.709,69.257,65.848,68.111,1413.6492180199975
28,2020-11-09,68.207,69.094,66.5,68.021,2758.098209390007
29,2020-11-10,67.984,69.677,67.5,68.974,1594.405585579998
30,2020-11-11,68.982,71.681,68.863,69.433,2244.426423130006
31,2020-11-12,69.38,80.197,68.416,77.871,27032.816623619965
32,2020-11-13,77.832,79.316,75.745,77.808,3330.3766707400014
33,2020-11-14,77.675,79.899,74.421,77.259,3674.2088221400118
34,2020-11-15,77.196,77.603,73.559,74.999,1929.9288563099988
35,2020-11-16,74.975,82.648,74.544,80.784,2678.671426950004
36,2020-11-17,80.532,83.753,80.053,83.259,4622.898737590011
37,2020-11-18,83.269,83.805,77.033,80.067,3191.6842835200036
38,2020-11-19,80.08,84.875,77.786,82.103,3249.1147806899903
39,2020-11-20,82.238,85.101,82.111,83.283,2224.220441990004
40,2020-11-21,83.328,94.249,82.883,94.249,6610.060528710023
41,2020-11-22,94.391,95.608,85.766,90.309,5515.569934370032
42,2020-11-23,90.302,95.211,89.113,94.104,6896.703775359999
43,2020-11-24,94.22,122.19,92.147,114.19,48196.70709209224
44,2020-11-25,114.06,116.0,98.47,102.48,13846.794152959774
45,2020-11-26,102.15,104.33,83.929,92.113,22904.568497789936
46,2020-11-27,92.028,95.997,87.095,92.464,4353.562053450009
47,2020-11-28,92.674,113.76,91.265,109.21,12689.708569019811
48,2020-11-29,109.22,114.64,103.83,108.4,23069.557475709877
49,2020-11-30,108.35,118.18,106.81,112.92,26730.51357651979
50,2020-12-01,112.77,116.35,101.31,104.25,9959.727095679966
51,2020-12-02,103.86,108.02,100.32,105.39,3799.561676000005
52,2020-12-03,105.28,109.0,103.76,107.8,4015.4025518300086
53,2020-12-04,107.31,111.17,97.516,98.775,5424.169621320014
54,2020-12-05,98.774,103.55,96.724,103.15,5647.257796129999
55,2020-12-06,103.5,104.77,99.369,102.41,5030.049018060007
56,2020-12-07,102.28,104.49,100.38,101.74,2143.321326410006
57,2020-12-08,101.59,101.83,93.407,94.944,3977.6529521800103
58,2020-12-09,94.894,96.153,89.324,95.8,7902.083271740011
59,2020-12-10,95.838,95.938,91.0,92.86,2002.138876710029
60,2020-12-11,93.125,95.22,88.0,93.189,5232.888985890018
61,2020-12-12,93.19,97.364,93.19,94.77,2189.1427644499936
62,2020-12-13,94.781,99.457,93.754,97.588,5564.294596200008
63,2020-12-14,97.52,97.985,94.216,96.829,1888.4474234900015
64,2020-12-15,96.838,97.613,94.242,97.035,1319.5642526899985
65,2020-12-16,97.142,105.62,94.641,105.26,6073.443581089989
66,2020-12-17,105.29,115.58,100.69,108.28,12364.009824269848
