,date,open,high,low,close,volume
0,2022-01-03,6.9718,6.9718,6.8406,6.8406,1404.8008864799847
1,2022-01-04,6.854,6.9812,6.8415,6.8802,7634.185219
2,2022-01-05,6.8967,6.8967,6.7522,6.7522,6831.83293251997
3,2022-01-06,6.6673,6.6934,6.3426,6.4577,59920.154080000124
4,2022-01-07,6.4427,6.9444,6.3093,6.691,33285.33071000425
5,2022-01-08,6.6898,6.7089,6.3485,6.4957,9299.4804058
6,2022-01-09,6.5011,6.5127,6.3395,6.4271,11835.293529999994
7,2022-01-10,6.4053,6.4124,6.2595,6.3395,15644.776390000005
8,2022-01-11,6.3376,6.4462,6.2738,6.4462,7714.3259719999705
9,2022-01-12,6.4543,6.5786,6.454,6.5403,4259.410679999955
10,2022-01-13,6.547,6.5529,6.2595,6.2774,6110.205089999933
11,2022-01-14,6.2637,6.3674,6.2595,6.3674,4990.484070000001
12,2022-01-15,6.3774,6.4836,6.3636,6.4631,5548.340239999999
13,2022-01-16,6.4702,6.4702,6.2595,6.3281,10603.643128519998
14,2022-01-17,6.2874,6.2874,6.199,6.199,12379.035598000008
15,2022-01-18,6.2082,6.2243,6.1736,6.2182,4575.364997999999
16,2022-01-19,6.1907,6.2188,6.1681,6.1681,6246.058130000001
17,2022-01-20,6.175,6.2477,6.0438,6.0438,7409.395158909999
18,2022-01-21,6.0438,6.044,5.7917,5.8139,33225.57942300001
19,2022-01-22,5.8305,5.8885,5.7057,5.7523,19624.719250000002
20,2022-01-23,5.7626,5.8751,5.7522,5.8751,16013.583080000002
21,2022-01-24,5.8579,5.8684,5.6893,5.8682,27355.570528000015
22,2022-01-25,5.8551,5.886,5.8238,5.8756,3855.1815099999994
23,2022-01-26,5.885,6.015,5.7464,5.7611,11132.688170000001
24,2022-01-27,5.7612,5.8244,5.6893,5.7576,3260.1737090000006
25,2022-01-28,5.7615,5.917,5.7615,5.917,6445.3691225
26,2022-01-29,5.9212,5.9585,5.7887,5.8755,8727.863827
27,2022-01-30,5.8567,5.9029,5.8567,5.9003,2859.49327
28,2022-01-31,5.8673,5.8794,5.6029,5.8794,14067.50576
29,2022-02-01,5.8785,5.9375,5.8727,5.9124,4730.64102172
30,2022-02-02,5.8739,5.9158,5.7094,5.7572,2982.1417599999995
31,2022-02-03,5.7535,5.7674,5.6769,5.7674,3559.072596
32,2022-02-04,5.7718,5.9907,5.7596,5.9907,6727.255757
33,2022-02-05,5.9499,5.9499,5.8806,5.8809,1388.9478999999997
34,2022-02-06,5.8759,5.9204,5.8539,5.8539,3361.200988
35,2022-02-07,5.8404,5.8404,5.604,5.6608,14460.517917000003
36,2022-02-08,5.6701,5.7075,5.6029,5.6758,4722.161229999999
37,2022-02-09,5.6672,5.7927,5.6672,5.7439,1995.8171349999998
38,2022-02-10,5.7545,5.7865,5.6627,5.7638,2445.4963347499993
39,2022-02-11,5.6029,5.663,5.5638,5.5936,5897.525753000001
40,2022-02-12,5.5791,5.5839,5.5442,5.5703,173.04528778
41,2022-02-13,5.5568,5.5825,5.5352,5.5735,5558.161569999998
42,2022-02-14,5.5528,5.6059,5.5267,5.5879,3667.105972
43,2022-02-15,5.5926,5.7491,5.5926,5.7491,11895.562933000001
44,2022-02-16,5.7422,5.7444,5.664,5.7214,2234.944009
45,2022-02-17,5.6247,5.6247,5.5267,5.5375,10387.911845999999
46,2022-02-18,5.5533,5.5533,5.4518,5.4518,11677.090492999998
47,2022-02-19,5.4183,5.4183,5.3654,5.3959,1025.7388099999998
48,2022-02-20,5.3654,5.3947,5.3434,5.3947,9368.075399999998
49,2022-02-21,5.351,5.45,5.3434,5.3434,8178.501082000002
50,2022-02-22,5.3434,5.4052,5.3434,5.3935,5443.687369999999
51,2022-02-23,5.3854,5.9386,5.3799,5.7446,30013.215595979997
52,2022-02-24,5.6983,5.8935,5.5663,5.7301,9952.281977459998
53,2022-02-25,5.7343,5.8707,5.7343,5.8487,8160.745558580001
54,2022-02-26,5.8667,5.9302,5.818,5.8539,3520.2019000000005
55,2022-02-27,5.7993,5.8497,5.6085,5.6969,7191.382015999999
56,2022-02-28,5.7011,5.9795,5.6655,5.925,4945.542790999998
57,2022-03-01,5.9299,5.9707,5.8774,5.935,4775.698103000001
58,2022-03-02,5.9152,5.9953,5.9115,5.934,2131.306599989999
59,2022-03-03,5.8388,5.8514,5.7199,5.7614,3273.9727630099997
60,2022-03-04,5.7368,5.7368,5.6064,5.61,4051.2417899899997
61,2022-03-05,5.5844,5.6657,5.5844,5.6563,540.030842
62,2022-03-06,5.6403,5.6403,5.5923,5.6073,9539.46996
63,2022-03-07,5.4835,5.4923,5.3434,5.3701,4894.410629010003
64,2022-03-08,5.3612,5.3665,5.1753,5.2608,25028.625051000003
65,2022-03-09,5.2068,5.3311,5.1555,5.1728,26000.844129999994
66,2022-03-10,5.1555,5.1555,5.1016,5.1273,11632.987509999999
67,2022-03-11,5.0718,5.1794,5.0718,5.091,2463.414657
68,2022-03-12,5.1039,5.1212,5.1039,5.1212,118.1562
69,2022-03-13,5.1107,5.1298,5.0718,5.0718,11852.4777
70,2022-03-14,5.0718,5.1457,5.0672,5.1457,13967.296466999996
71,2022-03-15,5.1497,5.1852,5.0823,5.1542,2022.831113
72,2022-03-16,5.1454,5.2339,5.1406,5.2177,4286.205980000001
73,2022-03-17,5.2232,5.2635,5.2232,5.2607,1023.358
74,2022-03-18,5.2437,5.2437,5.1055,5.216,6015.482670000001
75,2022-03-19,5.2143,5.3325,5.0433,5.0523,2912.03214266
76,2022-03-20,5.0568,5.0613,4.9326,4.9624,3845.7839727299997
77,2022-03-21,4.9286,4.9896,4.9286,4.9896,1202.2877560000002
78,2022-03-22,4.9852,5.0042,4.7423,4.8867,62095.35573342001
79,2022-03-23,4.8656,4.8722,4.7582,4.8559,8623.251509999996
80,2022-03-24,4.8604,4.888,4.792,4.8239,8271.53577
81,2022-03-25,4.8474,4.9012,4.8452,4.8512,1719.528
82,2022-03-26,4.8516,4.8606,4.8516,4.8606,182.37252900000001
83,2022-03-27,4.8616,4.9177,4.8283,4.911,1452.589777
84,2022-03-28,4.9108,4.9822,4.9108,4.9822,2344.682089
85,2022-03-29,4.9356,5.04,4.9356,4.984,2973.6917750000002
86,2022-03-30,4.9877,4.9899,4.8317,4.8632,14085.26852
87,2022-03-31,4.8605,4.8789,4.789,4.8223,3761.9332099999997
88,2022-04-01,4.8285,4.9955,4.8092,4.9955,7212.463090000001
89,2022-04-02,4.9659,4.9955,4.9659,4.9955,1315.15
90,2022-04-03,4.95,5.0596,4.95,5.0526,3075.2489109999997
91,2022-04-04,5.03,5.0995,5.0088,5.0995,7195.5114699999995
92,2022-04-05,5.0887,5.0995,5.0312,5.0312,6913.026240000001
93,2022-04-06,5.0278,5.0505,4.9293,4.9293,8845.77583
94,2022-04-07,4.9197,5.0581,4.9197,5.0521,12666.032400000002
95,2022-04-08,5.0492,5.083,5.0008,5.0008,10587.361587000001
96,2022-04-09,5.0077,5.0464,5.0077,5.0464,758.4800000000001
97,2022-04-10,5.0703,5.0787,5.0639,5.0639,319.881
98,2022-04-11,4.999,4.999,4.8478,4.8725,4636.572400000001
99,2022-04-12,4.8653,4.9549,4.8593,4.9083,3369.7369999999996
100,2022-04-13,4.9174,4.9834,4.9174,4.9834,1527.2559999999999
101,2022-04-14,4.9882,4.9953,4.9048,4.9139,1873.501
102,2022-04-15,4.9185,4.9277,4.9114,4.9114,284.06293
103,2022-04-16,4.9256,4.9574,4.9228,4.9574,458.7929999999999
104,2022-04-17,4.9474,4.9582,4.9341,4.9582,718.0179999999999
105,2022-04-18,4.8999,4.9386,4.8144,4.9386,2847.58682
106,2022-04-19,4.9423,4.9755,4.9343,4.9755,1351.808
107,2022-04-20,4.9499,4.978,4.8409,4.8603,1979.1033999999997
108,2022-04-21,4.864,4.9061,4.7629,4.7629,1887.24406
109,2022-04-22,4.7673,4.8169,4.7673,4.7899,2139.84173
110,2022-04-23,4.7561,4.7714,4.7518,4.7564,679.348
111,2022-04-24,4.7455,4.7715,4.6621,4.6621,7351.33472
112,2022-04-25,4.5811,4.6937,4.5503,4.6937,4353.363907999999
113,2022-04-26,4.6982,4.7071,4.3912,4.4046,30557.725471999995
114,2022-04-27,4.4086,4.4545,4.2638,4.2959,14561.429324200002
115,2022-04-28,4.2959,4.3147,4.2431,4.3147,12791.226789999999
116,2022-04-29,4.2394,4.2435,4.1752,4.1928,13882.697900009996
117,2022-04-30,4.1967,4.2066,4.1048,4.1048,11499.989440000001
118,2022-05-01,4.1061,4.1696,4.1048,4.1641,6120.432470000002
119,2022-05-02,4.1667,4.1718,4.0914,4.1222,10291.354569999998
120,2022-05-03,4.0959,4.0959,3.9999,4.0256,14424.80155414
121,2022-05-04,4.0301,4.0301,3.8318,3.8537,19395.140389999997
122,2022-05-05,3.8576,3.8959,3.701,3.7207,13616.316830760003
123,2022-05-06,3.7121,3.7121,3.6291,3.6563,6631.6707111999995
124,2022-05-07,3.6527,3.6569,3.5863,3.601,9535.03030326
125,2022-05-08,3.576,3.5801,3.4828,3.4909,12611.820523109998
126,2022-05-09,3.4616,3.4903,3.1102,3.1201,73071.24636309996
127,2022-05-10,3.1151,3.2325,3.0965,3.1766,12477.57742786
128,2022-05-11,3.1738,3.2254,2.8545,2.8545,52722.57447959999
129,2022-05-12,2.8484,2.9518,2.436,2.5231,155235.16079253002
130,2022-05-13,2.5169,2.6811,2.5159,2.5159,18278.278598099998
131,2022-05-14,2.5147,2.5484,2.4906,2.5484,7373.813400009999
132,2022-05-15,2.5506,2.5989,2.528,2.5989,3617.5439300000003
133,2022-05-16,2.5949,2.5949,2.4713,2.5047,12828.70156
134,2022-05-17,2.5088,2.5088,2.4125,2.4125,14458.286430000002
135,2022-05-18,2.3984,2.4029,1.8291,2.0905,135574.30841466997
136,2022-05-19,2.0955,2.0955,1.9963,2.0695,29881.351771000005
137,2022-05-20,2.0682,2.0682,2.0407,2.0407,5109.69675
138,2022-05-21,2.0292,2.0292,2.0292,2.0292,200.0
139,2022-05-22,2.0319,2.0369,2.0319,2.0328,539.36433947
140,2022-05-23,2.0336,2.0359,2.0336,2.0359,101.1702
141,2022-05-24,2.0351,2.0351,2.0336,2.0336,211.1628
142,2022-05-25,2.0336,2.0336,2.0315,2.0315,1000.0
143,2022-05-26,2.0309,2.0392,2.0309,2.0392,2621.8041999999996
144,2022-05-27,2.1427,2.4165,2.0611,2.1964,69889.56080000002
145,2022-05-28,2.1957,2.1971,2.1954,2.1954,249.07093
146,2022-05-29,2.1971,2.1972,2.1954,2.1954,127.1883
147,2022-05-30,2.1954,2.1954,2.1954,2.1954,60.1231
148,2022-05-31,2.1954,2.1954,2.1954,2.1954,33.979
149,2022-06-01,2.1954,2.1954,2.1954,2.1954,10.3727
150,2022-06-02,2.1954,2.1983,2.1954,2.1983,39.77117
151,2022-06-03,2.2007,2.2007,2.1487,2.1487,20261.060358
152,2022-06-04,2.1573,2.159,2.1573,2.159,488.00800000000004
153,2022-06-05,2.1642,2.1642,2.1642,2.1642,149.762
154,2022-06-06,2.16,2.161,2.1142,2.1195,20107.74504199999
155,2022-06-07,2.119,2.119,2.0801,2.0801,21403.162102
156,2022-06-08,2.0832,2.0853,2.0815,2.0853,119.55887
157,2022-06-09,2.087,2.087,2.0839,2.0839,39.268
158,2022-06-10,2.081,2.081,2.0088,2.0088,28439.83303
159,2022-06-11,2.0066,2.0066,1.9681,1.9917,20213.7475
160,2022-06-12,1.993,1.993,1.9844,1.9844,739.0263451500001
161,2022-06-13,1.9867,1.9867,1.4272,1.513,269663.85845719994
162,2022-06-14,1.5097,1.5097,1.5097,1.5097,142.226
163,2022-06-15,1.5113,1.5113,1.3626,1.3955,70400.47825
164,2022-06-16,1.3926,1.3938,1.3834,1.3927,7071.0143259999995
165,2022-06-17,1.3943,1.396,1.3943,1.3943,1090.711
166,2022-06-18,1.3943,1.4039,1.3834,1.3957,40055.924148
167,2022-06-19,1.3943,1.4039,1.3834,1.3957,53407.898864
168,2022-06-20,1.398,1.4009,1.3951,1.3951,2528.5589999999997
169,2022-06-21,1.3951,1.4026,1.3834,1.4026,62195.92663
170,2022-06-22,1.3992,1.3992,1.3973,1.3973,339.96
171,2022-06-23,1.3989,1.3989,1.3989,1.3989,565.127
172,2022-06-24,1.3989,1.4009,1.3834,1.3938,11595.371326
173,2022-06-25,1.3989,1.4009,1.3834,1.3938,34786.113978
174,2022-06-26,1.4008,1.4134,1.3973,1.3978,13699.68618518
175,2022-06-27,1.3978,1.4134,1.3951,1.399,157512.5918518
176,2022-06-28,1.3978,1.4134,1.3951,1.399,31502.51837036
177,2022-06-29,1.3969,1.3969,1.3969,1.3969,2.077569
178,2022-06-30,1.3969,1.4134,1.3951,1.3963,91296.91652508
179,2022-07-02,1.3969,1.4134,1.3951,1.3963,45648.45826254
180,2022-07-03,1.3963,1.3963,1.3933,1.3962,2589.1479999999997
181,2022-07-04,1.3969,1.3979,1.3961,1.3961,837.1579999999999
182,2022-07-05,1.3971,1.3971,1.3971,1.3971,488.69475
183,2022-07-06,1.3971,1.4134,1.3933,1.4067,207688.530728
184,2022-07-07,1.3974,1.3974,1.3921,1.3944,4618.874
185,2022-07-08,1.3944,1.4105,1.3921,1.4105,509905.8420800068
186,2022-07-09,1.3944,1.4105,1.3921,1.4105,89233.522364
187,2022-07-10,1.388,1.388,1.388,1.388,11.0
188,2022-07-11,1.3877,1.3877,1.3877,1.3877,10.721
189,2022-07-12,1.3885,1.3885,1.3885,1.3885,125.792
190,2022-07-13,1.3885,1.4,1.3877,1.4,9079.781052
191,2022-07-14,1.391,1.3929,1.3314,1.34,44161.916999999994
192,2022-07-15,1.35,1.4003,1.2,1.306,1649.24934164
193,2022-07-16,1.306,1.306,1.2817,1.2962,8479.615612000001
194,2022-07-18,1.2962,1.2962,1.2962,1.2962,34.022000000000006
195,2022-07-19,1.2968,1.2971,1.2682,1.2682,12580.99404
196,2022-07-20,1.2604,1.2612,1.2575,1.2589,2043.667155
197,2022-07-21,1.256,1.2566,1.1659,1.1856,40997.34317
198,2022-07-22,1.1837,1.1837,1.1437,1.1539,28023.40014357
199,2022-07-23,1.1077,1.1292,1.1063,1.1292,13893.018420000002
200,2022-07-24,1.1454,1.1454,1.1454,1.1454,79.425
201,2022-07-25,1.1465,1.148,1.1438,1.1439,23503.45800000001
202,2022-07-26,1.1462,1.1647,1.1383,1.1383,18802.899139999998
203,2022-07-27,1.1385,1.1404,1.1385,1.1404,358.467
204,2022-07-28,1.1417,1.1417,1.1417,1.1417,586.933
205,2022-07-29,1.1417,1.1647,1.1383,1.1466,61096.96842
206,2022-07-30,1.1438,1.2272,1.1438,1.1915,70433.66743999999
207,2022-07-31,1.1783,1.1797,1.1782,1.1797,1520.4279999999999
208,2022-08-01,1.1809,1.184,1.1809,1.184,620.541
209,2022-08-02,1.1828,1.1828,1.1823,1.1823,259.221
210,2022-08-03,1.1823,1.1823,1.1823,1.1823,37.365
211,2022-08-04,1.1829,1.183,1.1829,1.183,68.193157
212,2022-08-05,1.1824,1.1824,1.1798,1.1798,1362.07432
213,2022-08-06,1.1793,1.1793,1.1344,1.1369,20477.460886000008
214,2022-08-08,1.1373,1.1373,1.0977,1.0993,22779.560840530004
215,2022-08-09,1.0957,1.0972,1.0957,1.0972,232.32291005
216,2022-08-10,1.0975,1.0975,1.097,1.097,609.8299999999999
217,2022-08-11,1.098,1.0988,1.098,1.0988,1058.106
218,2022-08-12,1.0988,1.0989,1.0988,1.0988,30.296999999999997
219,2022-08-13,1.099,1.0991,1.0969,1.0972,897.49816147
220,2022-08-14,1.0972,1.0973,1.0972,1.0973,60.38131626
221,2022-08-15,1.0967,1.0967,1.0967,1.0967,24.05094436
222,2022-08-16,1.097,1.0973,1.0967,1.0973,26.600020450000002
223,2022-08-17,1.0969,1.0969,1.0447,1.0447,35571.52236581001
224,2022-08-18,1.0422,1.0423,1.0418,1.0423,155.74581426999998
225,2022-08-19,1.0419,1.0424,1.0185,1.0185,11188.617743240002
226,2022-08-20,1.0181,1.0182,1.0179,1.0179,281.08838033999996
227,2022-08-21,1.0179,1.0179,1.0179,1.0179,2.968391
228,2022-08-22,1.0179,1.0179,1.0179,1.0179,66.31700000000001
