,date,open,high,low,close,volume
0,2020-10-12,0.41831,0.4427,0.41621,0.41621,50974.023332430006
1,2020-10-13,0.41621,0.4395,0.3888,0.41637,29320.194065240008
2,2020-10-14,0.41348,0.42131,0.3733,0.40388,43537.827160950044
3,2020-10-15,0.43,0.50985,0.39756,0.4371,28425.07092583001
4,2020-10-16,0.43704,0.46447,0.38961,0.4,12174.267968389999
5,2020-10-17,0.39678,0.4239,0.3745,0.37477,11278.641303589982
6,2020-10-18,0.39437,0.47485,0.37477,0.41,8469.585596149998
7,2020-10-19,0.42576,0.459,0.38301,0.40457,18074.07919359
8,2020-10-20,0.40931,0.43587,0.37516,0.39786,20081.639674330014
9,2020-10-21,0.40049,0.43587,0.40049,0.40606,4088.0649249600006
10,2020-10-22,0.406,0.444,0.40414,0.42232,13928.30444938
11,2020-10-23,0.41011,0.43224,0.4091,0.43224,2292.4170338000004
12,2020-10-24,0.424,0.424,0.40911,0.40913,5648.6937957400005
13,2020-10-25,0.4091,0.44394,0.38386,0.41363,42305.040172389716
14,2020-10-26,0.41365,0.45394,0.41365,0.43569,51355.69609627999
15,2020-10-27,0.44822,0.5,0.42605,0.44052,78423.17011977007
16,2020-10-28,0.47259,0.47259,0.415,0.415,40253.26761224
17,2020-10-29,0.42052,0.44682,0.415,0.41621,58394.895313719964
18,2020-10-30,0.41787,0.43074,0.39719,0.4183,103722.67126825001
19,2020-10-31,0.4004,0.424,0.39603,0.39605,16385.479280700005
20,2020-11-01,0.39605,0.40946,0.38793,0.40548,34098.10020568002
21,2020-11-02,0.38793,0.41062,0.38445,0.38973,20788.011820000003
22,2020-11-03,0.38445,0.38498,0.33695,0.33695,260073.4647321897
23,2020-11-04,0.33695,0.33695,0.3,0.3015,68012.09124854997
24,2020-11-05,0.30308,0.31205,0.28032,0.293,89684.61516781003
25,2020-11-06,0.293,0.38406,0.293,0.37759,58853.81500581997
26,2020-11-07,0.38406,0.3848,0.298,0.3099,59182.00769047998
27,2020-11-08,0.3436,0.3456,0.30399,0.33031,25195.234653570005
28,2020-11-09,0.32926,0.33031,0.30201,0.30991,9759.206089270005
29,2020-11-10,0.3085,0.3385,0.303,0.32865,1361.4131674600003
30,2020-11-11,0.33609,0.37499,0.32949,0.3314,19239.06269009
31,2020-11-12,0.3314,0.34693,0.308,0.31522,33422.51569358
32,2020-11-13,0.30937,0.3282,0.30259,0.32299,6596.97402645
33,2020-11-14,0.32399,0.32399,0.30259,0.30259,2671.67464917
34,2020-11-15,0.3,0.35,0.3,0.3136,16908.046012969997
35,2020-11-16,0.32038,0.33438,0.3136,0.3273,8202.81617342
36,2020-11-17,0.32769,0.37001,0.32089,0.34899,32148.817399499996
37,2020-11-18,0.34437,0.3501,0.30713,0.31711,13029.954405759992
38,2020-11-19,0.31882,0.34727,0.30696,0.32219,12187.62248321
39,2020-11-20,0.3188,0.34975,0.3188,0.32629,12151.644311299993
40,2020-11-21,0.32651,0.3648,0.3215,0.3567,63817.274163099995
41,2020-11-22,0.3597,0.36483,0.32863,0.34675,22104.636829230007
42,2020-11-23,0.35229,0.41999,0.341,0.40059,55625.550237340016
43,2020-11-24,0.4,0.435,0.3711,0.39314,59475.63809978004
44,2020-11-25,0.41998,0.437,0.38942,0.39966,38055.74434507001
45,2020-11-26,0.39966,0.39966,0.31953,0.34264,84842.96592736992
46,2020-11-27,0.3476,0.35751,0.32895,0.34188,25045.53641732
47,2020-11-28,0.34624,0.38405,0.34377,0.37336,10175.35149481
48,2020-11-29,0.36797,0.37803,0.34916,0.35025,6383.8608366200015
49,2020-11-30,0.3601,0.38406,0.35255,0.36827,15059.336549029984
50,2020-12-01,0.365,0.38118,0.34059,0.356,13137.1502366
51,2020-12-02,0.356,0.37063,0.34155,0.37,21075.97334697001
52,2020-12-03,0.37177,0.41,0.37177,0.40023,13163.899317029998
53,2020-12-04,0.40144,0.45,0.36169,0.38519,96804.81333469998
54,2020-12-05,0.38346,0.43585,0.363,0.40278,16347.720114250003
55,2020-12-06,0.4178,0.56003,0.39485,0.4722,221167.1692207801
56,2020-12-07,0.4772,0.56056,0.47511,0.48225,24258.993424410022
57,2020-12-08,0.48538,0.51132,0.399,0.42049,64867.086831319946
58,2020-12-09,0.4096,0.52,0.39297,0.4808,104906.99399866986
59,2020-12-10,0.46446,0.47808,0.4204,0.43722,14981.99564468
60,2020-12-11,0.43722,0.43722,0.36189,0.40397,19775.04409487001
61,2020-12-12,0.38337,0.46998,0.37561,0.39429,21197.45537489999
62,2020-12-13,0.394,0.43413,0.37462,0.40431,21593.49805733
63,2020-12-14,0.39715,0.43387,0.38997,0.41882,8845.511588549998
64,2020-12-15,0.41352,0.43782,0.40161,0.40516,1219.7821005999997
65,2020-12-16,0.405,0.43761,0.38609,0.41872,5440.600434169999
66,2020-12-17,0.41,0.42854,0.39,0.40042,40741.44580738998
67,2020-12-18,0.41,0.41766,0.39545,0.40994,2189.91522783
68,2020-12-19,0.41046,0.43504,0.39934,0.418,14000.352057040001
69,2020-12-20,0.4113,0.44395,0.4022,0.43078,20417.132102659998
70,2020-12-21,0.42339,0.45,0.37694,0.38996,26730.180666139997
71,2020-12-22,0.378,0.518,0.378,0.43372,61668.19929223999
72,2020-12-23,0.43592,0.45605,0.35666,0.37789,64575.99279029999
73,2020-12-24,0.36876,0.41739,0.36,0.40434,14238.223284189999
74,2020-12-25,0.40198,0.41717,0.38347,0.384,10731.331012430004
75,2020-12-26,0.39971,0.469,0.36948,0.39043,30765.01334321001
76,2020-12-27,0.39346,0.39391,0.35819,0.38407,25319.81950365999
77,2020-12-28,0.38695,0.40221,0.38,0.38695,10705.131180280001
78,2020-12-29,0.39043,0.39043,0.35938,0.36178,15775.416347339997
79,2020-12-30,0.37,0.37,0.35656,0.35834,29633.31301063
80,2020-12-31,0.36018,0.36833,0.3458,0.34628,83087.07925015005
81,2021-01-01,0.34614,0.36486,0.3458,0.35524,89824.16075435001
82,2021-01-02,0.35522,0.39391,0.33599,0.33599,94829.35632428995
83,2021-01-03,0.33735,0.35363,0.33163,0.3428,171933.92353874995
84,2021-01-04,0.35275,0.38431,0.33529,0.3366,183306.39079554004
85,2021-01-05,0.33751,0.38738,0.33106,0.35701,145648.82370371002
86,2021-01-06,0.35878,0.3857,0.34851,0.35828,254811.4880233901
87,2021-01-07,0.378,0.4312,0.3583,0.4053,233659.43082031977
88,2021-01-08,0.40527,0.41873,0.36751,0.40206,165336.44584161992
89,2021-01-09,0.40173,0.44772,0.39937,0.41822,134201.20238991006
90,2021-01-10,0.41813,0.475,0.36892,0.39711,144948.59172892003
91,2021-01-11,0.39913,0.4099,0.3458,0.38488,29598.17754906998
92,2021-01-12,0.37671,0.39472,0.35976,0.36785,4577.08772455
93,2021-01-13,0.36178,0.38734,0.35,0.37401,8022.463111110002
94,2021-01-14,0.39738,0.4025,0.367,0.37405,53645.91755443999
95,2021-01-15,0.37415,0.3922,0.36,0.3698,20367.909920860002
96,2021-01-16,0.38,0.4312,0.36865,0.408,19989.441119740004
97,2021-01-17,0.408,0.43119,0.38,0.41033,45066.56102456996
98,2021-01-18,0.42044,0.47342,0.41191,0.45217,27846.01337238002
99,2021-01-19,0.45193,0.45978,0.42012,0.4295,14767.342661860002
100,2021-01-20,0.42173,0.43989,0.39,0.42934,32372.953402009996
101,2021-01-21,0.43695,0.46,0.4,0.40741,86724.19622811003
102,2021-01-22,0.39696,0.44999,0.37867,0.42173,42725.090080900016
103,2021-01-23,0.41715,0.47999,0.41342,0.45041,29373.75139647999
104,2021-01-24,0.45041,0.47499,0.43512,0.44825,24475.830637030005
105,2021-01-25,0.45978,0.48763,0.42,0.42536,19511.546721949988
106,2021-01-26,0.43001,0.45998,0.4275,0.45114,3173.242319780001
107,2021-01-27,0.44795,0.46815,0.40959,0.40959,12173.032738829996
108,2021-01-28,0.40959,0.42775,0.40194,0.40394,8059.387289189997
109,2021-01-29,0.41427,0.51082,0.40197,0.4951,132714.65709993
110,2021-01-30,0.49511,0.65,0.48417,0.52134,283550.10291060025
111,2021-01-31,0.5354,1.13,0.5,0.959,1263987.3775665704
112,2021-02-01,0.951,1.0892,0.6696,0.94495,348138.78094007936
113,2021-02-02,0.92767,1.0542,0.85876,0.88001,17636.456807309994
114,2021-02-03,0.88001,1.0161,0.78453,0.81395,36178.70702147998
115,2021-02-04,0.80837,0.86248,0.76,0.767,18644.125050030016
116,2021-02-05,0.76043,0.88251,0.71,0.82769,47488.99674109999
117,2021-02-06,0.82793,0.87422,0.75,0.80608,26477.745159560014
118,2021-02-07,0.80608,1.1076,0.7686,0.817,182387.26433628012
119,2021-02-08,0.82505,0.88582,0.81111,0.82596,11093.704932779998
120,2021-02-09,0.83153,1.22,0.79103,1.1137,259390.45583950018
121,2021-02-10,1.0979,2.35,1.0231,1.8668,1134121.8586545796
122,2021-02-11,1.8277,2.1507,1.6999,1.9611,295715.1348271
123,2021-02-12,1.9333,1.9699,1.7006,1.8899,70731.08193859005
124,2021-02-13,1.8808,2.0,1.5101,1.7394,89061.71771043025
125,2021-02-14,1.7383,2.1254,1.53,1.9873,49175.37476496006
126,2021-02-15,2.0077,2.2,1.51,1.9334,114710.09816404013
127,2021-02-16,1.9334,2.2091,1.8063,1.8971,36719.175048180026
128,2021-02-17,1.8971,2.2114,1.8097,1.8794,18421.539312089993
129,2021-02-18,1.9153,2.0923,1.8501,2.023,13780.773601599994
130,2021-02-19,1.9871,2.1487,1.8853,1.8946,13618.25047759
131,2021-02-20,1.8946,2.0988,1.7669,1.774,21476.954939089992
132,2021-02-21,1.8615,1.91,1.61,1.7683,41738.54149418003
133,2021-02-22,1.8262,1.8262,1.3972,1.5871,71622.52454480994
134,2021-02-23,1.5829,1.6179,1.11,1.2556,112177.94724244
135,2021-02-24,1.2556,1.6,1.16,1.3516,34907.23562164995
136,2021-02-25,1.3893,1.5614,1.3,1.3,12035.473559699996
137,2021-02-26,1.3,1.3769,1.1003,1.2062,33590.50533159999
138,2021-02-27,1.2399,1.4,1.0634,1.2575,16241.355185359997
139,2021-02-28,1.2741,1.2741,1.062,1.0829,14664.707687170005
140,2021-03-01,1.1817,1.3781,1.1332,1.3077,38560.027952929995
141,2021-03-02,1.3275,1.3918,1.2106,1.3211,11704.551931099995
142,2021-03-03,1.3036,1.58,1.3036,1.4355,10295.393574699996
143,2021-03-04,1.4375,1.4917,1.2688,1.3111,2876.3414846299997
144,2021-03-05,1.2946,1.3929,1.25,1.3481,1471.6044760599998
145,2021-03-06,1.3545,1.75,1.2262,1.7021,15508.331084780002
146,2021-03-07,1.735,1.9113,1.63,1.8166,28079.80544261996
147,2021-03-08,1.8233,1.93,1.623,1.6818,5687.407510790001
148,2021-03-09,1.742,1.8211,1.6401,1.7722,3975.6661113200007
149,2021-03-10,1.7789,1.92,1.6509,1.8312,7676.5641673300015
150,2021-03-11,1.8312,1.8393,1.6338,1.7496,1829.2267937400002
151,2021-03-12,1.7187,2.0674,1.6824,1.9015,16577.582867670015
152,2021-03-13,1.94,2.1609,1.8243,2.068,9455.838455560004
153,2021-03-14,2.0677,2.46,1.9963,2.046,72047.38722552998
154,2021-03-15,2.045,2.1635,1.8306,2.0968,6462.680041219997
155,2021-03-16,2.0224,2.0962,1.802,1.8591,6055.627210269999
156,2021-03-17,1.859,2.1497,1.8042,2.041,6952.538247320001
157,2021-03-18,2.0423,2.1641,1.9404,1.9435,1678.52952509
158,2021-03-19,1.97,2.0999,1.89,1.9647,10351.665863920003
159,2021-03-20,2.0299,2.39,1.9895,2.2566,15974.401100249996
160,2021-03-21,2.1988,2.3504,1.968,2.3401,8391.902620949995
161,2021-03-22,2.334,2.74,2.21,2.35,63119.99872063997
162,2021-03-23,2.3244,2.4239,2.0784,2.243,15359.560928050008
163,2021-03-24,2.2353,2.5288,2.0236,2.1266,44562.88220538998
164,2021-03-25,2.0701,2.0952,1.8356,1.9161,19244.862869849996
165,2021-03-26,1.9388,2.2163,1.9385,2.1913,9408.66396780001
166,2021-03-27,2.1638,2.2215,2.0145,2.12,7281.382529659997
167,2021-03-28,2.0828,2.2117,2.0343,2.0934,4942.879091870006
168,2021-03-29,2.0928,2.4854,2.0567,2.4523,8496.004661369998
169,2021-03-30,2.4172,2.6612,2.3667,2.4594,19379.65023135
170,2021-03-31,2.4382,2.6997,2.2106,2.6439,17421.454400569997
171,2021-04-01,2.6743,2.7399,2.4646,2.5116,6116.667095000002
172,2021-04-02,2.5192,2.8623,2.4377,2.7978,11217.255016949994
173,2021-04-03,2.7978,2.8638,2.5036,2.5411,4883.216685640003
174,2021-04-04,2.5714,2.78,2.5424,2.6843,3608.5018644499996
175,2021-04-05,2.7108,3.091,2.552,2.9334,104571.18125843993
176,2021-04-06,3.009,3.1972,2.7427,2.9403,151281.5761909001
177,2021-04-07,2.966,2.966,2.4535,2.6351,25213.37062088
178,2021-04-08,2.61,2.7884,2.5204,2.6716,3528.688969369999
179,2021-04-09,2.6686,2.7492,2.5232,2.5232,3891.94122848
180,2021-04-10,2.5647,2.7475,2.4368,2.5,48805.306407799966
181,2021-04-11,2.5,2.7021,2.4368,2.5629,9357.363035470002
182,2021-04-12,2.5714,2.68,2.4376,2.4878,4867.49768669
183,2021-04-13,2.4564,2.5348,2.2791,2.2895,75243.84384757004
184,2021-04-14,2.28,2.4606,2.1664,2.2975,115307.35078538026
185,2021-04-15,2.2652,2.4258,2.2381,2.306,4754.686944129997
186,2021-04-16,2.306,2.319,2.1045,2.225,50045.809552870036
187,2021-04-17,2.225,2.4,2.193,2.321,13872.633080810003
188,2021-04-18,2.3339,2.3541,1.7437,1.93,77964.15300262994
189,2021-04-19,1.93,1.9859,1.73,1.76,34850.34364172999
190,2021-04-20,1.75,1.8069,1.4931,1.7471,84415.52208124001
191,2021-04-21,1.7432,1.9413,1.6618,1.6914,14187.22345394999
192,2021-04-22,1.6588,1.7948,1.4841,1.4841,29297.635616560015
193,2021-04-23,1.5043,1.5351,1.19,1.3657,26931.360034440004
194,2021-04-24,1.3834,1.4233,1.214,1.24,5685.916068450004
195,2021-04-25,1.2216,1.9275,1.2191,1.8559,72665.21591082998
196,2021-04-26,1.8488,1.85,1.6326,1.7208,14547.96319966
197,2021-04-27,1.7097,1.8538,1.6761,1.8418,8680.394184499999
198,2021-04-28,1.8387,1.9,1.6333,1.7331,23858.69143860001
199,2021-04-29,1.7055,2.1245,1.6742,1.9733,32036.54132281997
200,2021-04-30,1.945,2.0843,1.9001,1.9091,39045.197136710005
201,2021-05-01,1.9265,1.9544,1.8177,1.8684,15104.416758070014
202,2021-05-02,1.8527,2.0737,1.7203,1.8915,10561.797813130008
203,2021-05-03,1.9066,2.0237,1.8749,1.8749,18000.103806120005
204,2021-05-04,1.8706,1.8939,1.6653,1.7176,28502.222561669958
205,2021-05-05,1.721,3.2352,1.7035,2.98,256089.29694790705
206,2021-05-06,2.9588,3.2807,2.4412,2.4657,185685.88514041877
207,2021-05-07,2.4827,2.5677,2.2175,2.3005,39991.095069339965
208,2021-05-08,2.2679,2.6538,2.2319,2.5712,33549.88216090997
209,2021-05-09,2.6432,2.9,2.3,2.3605,41584.64837830005
210,2021-05-10,2.4024,2.4805,2.1239,2.1239,200580.8142469298
211,2021-05-11,2.1214,2.37,2.0455,2.2704,38797.935624109916
212,2021-05-12,2.2705,2.4351,2.0025,2.0025,36995.78628030004
213,2021-05-13,2.0025,2.1625,1.75,1.8562,32000.00246820996
214,2021-05-14,1.8668,2.0999,1.8455,1.9699,14765.15186676001
215,2021-05-15,1.9674,2.035,1.7569,1.7569,4662.577697129999
216,2021-05-16,1.739,1.9934,1.5924,1.7731,17052.530539490024
217,2021-05-17,1.7465,1.9118,1.5328,1.7114,39875.573976549975
218,2021-05-18,1.7379,1.8465,1.6665,1.7073,13279.025709580008
219,2021-05-19,1.696,1.7289,0.90315,1.1244,81005.82560139008
220,2021-05-20,1.1309,1.3967,1.02,1.3155,10761.263443000009
221,2021-05-21,1.3396,1.3959,0.95,1.0863,22456.636620340018
222,2021-05-22,1.08,1.1267,0.95001,1.0143,17047.905105100006
223,2021-05-23,1.0144,1.0746,0.72894,0.82162,51296.226474929994
224,2021-05-24,0.82761,1.0432,0.80931,1.0266,40667.68861753003
225,2021-05-25,1.02,1.0581,0.89446,1.0134,7630.821184649994
226,2021-05-26,1.0188,1.2203,0.99009,1.1703,24411.283282479977
227,2021-05-27,1.1701,1.2216,1.0275,1.1283,37677.64420626003
228,2021-05-28,1.1168,1.1487,0.92257,0.96941,14928.501093779996
229,2021-05-29,0.9548,1.0194,0.83087,0.89016,13021.06242294999
230,2021-05-30,0.88716,0.98814,0.83086,0.9371,4513.849955850004
231,2021-05-31,0.9371,1.3899,0.90531,1.2956,65692.92457924991
232,2021-06-01,1.2957,1.2981,1.1082,1.1433,15040.400698369993
233,2021-06-02,1.1433,1.201,1.1035,1.1446,5478.957669719994
234,2021-06-03,1.153,1.2257,1.1214,1.1635,4730.565464800002
235,2021-06-04,1.159,1.1666,1.007,1.0648,8532.32740433
236,2021-06-05,1.0617,1.1609,1.0039,1.0196,9243.396338319995
237,2021-06-06,1.0209,1.2009,1.0166,1.0917,5792.048977880001
238,2021-06-07,1.0973,1.2359,0.99,0.99,11116.86088362
239,2021-06-08,0.99557,1.05,0.87816,1.0054,23836.201843950013
240,2021-06-09,1.003,1.1432,0.95596,1.0884,8878.531209409999
241,2021-06-10,1.1105,1.25,1.0519,1.2123,26170.599411269985
242,2021-06-11,1.1749,1.1992,1.0136,1.0449,2851.6433644399967
243,2021-06-12,1.0293,1.0884,0.97989,1.0106,7545.634318560001
244,2021-06-13,1.0181,1.1116,1.0036,1.0919,1656.1282460199993
245,2021-06-14,1.0868,1.1641,1.0633,1.1225,3911.8055888599997
246,2021-06-15,1.1268,1.2,1.1006,1.1198,3609.636576850001
247,2021-06-16,1.1137,1.1444,1.0274,1.0274,2676.4331206800007
248,2021-06-17,1.039,1.0819,1.0,1.0136,3170.3099021000007
249,2021-06-18,1.0113,1.0315,0.90237,0.94013,20205.724654569996
250,2021-06-19,0.93743,0.99652,0.91587,0.92473,1564.2572041800004
251,2021-06-20,0.92001,0.99782,0.88049,0.97567,12598.05072886
252,2021-06-21,0.95915,0.97459,0.75017,0.75017,8019.359887030002
253,2021-06-22,0.75,0.82322,0.6,0.69296,28460.843759999985
254,2021-06-23,0.69769,0.82139,0.66996,0.74311,3863.9622245299984
255,2021-06-24,0.74735,0.8,0.7,0.76374,1596.708659980001
256,2021-06-25,0.77005,0.78889,0.65851,0.65997,2936.261657480002
257,2021-06-26,0.66597,0.68587,0.6107,0.63789,29366.92145462001
258,2021-06-27,0.64675,0.68472,0.62314,0.67542,5306.209460200001
259,2021-06-28,0.68588,0.7417,0.64511,0.703,15462.082033719998
260,2021-06-29,0.703,0.78769,0.69478,0.7317,22206.347951279997
261,2021-06-30,0.74404,0.75711,0.68289,0.72026,30546.038705099993
262,2021-07-01,0.71826,0.725,0.65154,0.71537,5822.597686849999
263,2021-07-02,0.71381,0.74,0.67057,0.71161,7209.079758619997
264,2021-07-03,0.71161,0.77,0.69381,0.74028,6378.376984039999
265,2021-07-04,0.74044,0.75457,0.70061,0.71846,7709.377727840001
266,2021-07-05,0.72262,0.72262,0.6593,0.67207,1833.6619960499997
267,2021-07-06,0.66608,0.72,0.66608,0.69675,22374.17151377002
268,2021-07-07,0.69653,0.76379,0.69471,0.71338,3850.6516034399983
269,2021-07-08,0.71162,0.71162,0.65322,0.66161,2339.3415148000013
270,2021-07-09,0.65757,0.70318,0.6428,0.6796,2884.5545203199986
271,2021-07-10,0.67793,0.69385,0.65404,0.6631,2900.967384130001
272,2021-07-11,0.6631,0.73497,0.65899,0.71497,2534.7436007699994
273,2021-07-12,0.71369,0.7443,0.6693,0.70191,4415.137582239999
274,2021-07-13,0.6886,0.70685,0.6624,0.66757,3676.2892029999975
275,2021-07-14,0.67477,0.70997,0.62939,0.69766,4312.135529950003
276,2021-07-15,0.68536,1.169,0.67878,0.71701,47909.11846261996
277,2021-07-16,0.72511,0.76715,0.66337,0.67267,5424.108039099995
278,2021-07-17,0.68792,0.70494,0.65686,0.69427,1636.8993182600009
279,2021-07-18,0.70762,0.71222,0.65,0.65,2500.58252458
280,2021-07-19,0.65,0.679,0.60095,0.61018,31018.78797549
281,2021-07-20,0.60095,0.62232,0.54,0.55455,6838.3312216
282,2021-07-21,0.55596,0.61,0.54024,0.58855,3112.2445269299997
283,2021-07-22,0.58537,0.6146,0.57205,0.59592,2010.455125700001
284,2021-07-23,0.59691,0.67841,0.59412,0.6526,8475.467657410005
285,2021-07-24,0.65564,0.69349,0.63865,0.65903,9095.943772769999
286,2021-07-25,0.66445,0.68588,0.63357,0.67406,2556.2354048800007
287,2021-07-26,0.67084,0.77293,0.67084,0.69739,37940.70140008999
288,2021-07-27,0.70519,0.76041,0.66151,0.71887,15129.377396439997
289,2021-07-28,0.72842,0.73478,0.69053,0.69408,11511.008444449999
290,2021-07-29,0.7009,0.73744,0.68547,0.71311,1388.2408788200003
291,2021-07-30,0.71688,0.76041,0.68,0.74013,4749.683419449996
292,2021-07-31,0.73705,0.74771,0.70634,0.73413,1511.1610108500004
293,2021-08-01,0.72732,0.76063,0.7088,0.71511,53358.16671395001
294,2021-08-02,0.71706,0.7381,0.70266,0.72117,3530.129019530002
295,2021-08-03,0.72306,0.75,0.69369,0.73013,2249.497172419999
296,2021-08-04,0.72363,0.84401,0.71841,0.81721,16421.646169869993
297,2021-08-05,0.81641,0.9093,0.78207,0.839,21935.94474874001
298,2021-08-06,0.83795,1.1343,0.81709,0.94736,55104.070976219984
299,2021-08-07,0.94594,1.0438,0.93237,0.9582,5441.272199119998
