,date,open,high,low,close,volume
0,2021-11-11,312.14,333.79,303.6,316.98,1056.6273648899985
1,2021-11-12,316.92,325.77,304.54,325.77,1222.399801979997
2,2021-11-13,325.91,330.49,319.37,321.93,1125.2841065199973
3,2021-11-14,322.17,325.32,312.06,319.77,347.43606434
4,2021-11-15,319.89,325.75,311.79,315.44,1481.3742094699985
5,2021-11-16,314.72,315.14,283.38,303.18,3221.058778849993
6,2021-11-17,303.4,310.56,287.45,310.02,1003.7967547699993
7,2021-11-18,310.56,325.8,293.84,308.31,1868.6961966299816
8,2021-11-19,308.18,370.22,302.71,347.33,6398.667127050025
9,2021-11-20,348.18,394.0,333.89,394.0,3378.8240939899697
10,2021-11-21,393.8,458.4,381.52,432.96,6396.79238095
11,2021-11-22,435.15,494.88,419.93,492.19,3991.235210049997
12,2021-11-23,491.08,549.23,469.94,469.94,5873.653532850001
13,2021-11-24,469.02,494.81,440.41,457.51,3569.026417449996
14,2021-11-25,457.68,464.41,424.35,439.27,4710.516396720006
15,2021-11-26,439.04,440.21,390.0,397.53,1169.8397083500022
16,2021-11-27,399.37,440.16,396.76,429.93,1081.5314089700007
17,2021-11-28,429.35,436.67,389.28,412.96,1455.0053796999975
18,2021-11-29,413.37,417.66,396.0,396.37,1252.54403265
19,2021-11-30,399.72,401.19,377.14,378.31,1273.6127650299986
20,2021-12-01,376.98,427.0,370.9,407.44,1879.594319799997
21,2021-12-02,408.85,418.12,353.56,356.9,2630.616139770002
22,2021-12-03,357.08,357.99,322.5,347.37,2870.8799612799985
23,2021-12-04,345.19,349.4,228.79,309.54,14105.543004469979
24,2021-12-05,310.91,329.2,278.55,288.68,5311.655418210001
25,2021-12-06,288.2,293.05,262.6,288.21,5034.965608180004
26,2021-12-07,287.66,314.27,282.62,286.29,5280.162506980001
27,2021-12-08,286.58,304.36,272.2,297.15,3516.2538191800036
28,2021-12-09,296.9,313.05,266.2,267.08,9285.739311710002
29,2021-12-10,266.48,280.8,256.67,256.67,2813.6477724999863
30,2021-12-11,257.84,262.83,249.0,256.11,786.8932313799999
31,2021-12-12,256.11,269.16,249.38,264.12,1555.3201152199942
32,2021-12-13,263.9,263.9,227.4,234.6,2260.5213198600013
33,2021-12-14,233.64,259.62,230.12,254.36,2027.1399129199979
34,2021-12-15,254.31,299.15,254.31,296.57,4254.274720409994
35,2021-12-16,296.71,344.66,253.72,268.41,12623.929456810003
36,2021-12-17,268.43,279.44,252.3,256.4,5437.642026840005
37,2021-12-18,254.43,265.29,245.2,253.64,2886.7023425199936
38,2021-12-19,253.97,258.93,241.43,246.08,1276.4146253399974
39,2021-12-20,244.88,247.7,225.74,236.48,1994.1177298299997
40,2021-12-21,235.77,248.03,232.31,240.49,1712.4982061300016
41,2021-12-22,240.05,253.75,237.21,246.84,3657.987130760002
42,2021-12-23,247.64,268.62,241.16,260.93,1541.4775061499997
43,2021-12-24,260.13,270.61,247.55,250.15,1916.27770084
44,2021-12-25,249.95,260.59,249.95,256.69,1222.0272634599992
45,2021-12-26,255.89,262.18,243.34,259.8,1043.090703090001
46,2021-12-27,259.99,283.69,258.85,266.99,2380.883089239998
47,2021-12-28,265.48,269.33,237.2,240.79,2278.166221939998
48,2021-12-29,241.31,245.61,231.64,237.86,944.3368416099999
49,2021-12-30,238.1,250.56,233.64,239.57,2402.495381169999
50,2021-12-31,240.08,248.37,233.18,238.45,496.02704935000025
51,2022-01-01,240.28,245.3,236.25,245.3,619.95930271
52,2022-01-02,244.98,245.19,237.13,239.54,1129.3158652699988
53,2022-01-03,239.26,244.59,233.94,236.87,916.2536783500003
54,2022-01-04,236.72,242.93,230.16,236.23,1219.2941794700012
55,2022-01-05,235.79,254.36,199.14,213.13,4615.412701850002
56,2022-01-06,213.18,215.16,201.12,212.35,1742.7053997999997
57,2022-01-07,213.22,213.22,192.37,195.31,4092.246152559999
58,2022-01-08,195.62,201.0,181.5,190.49,2204.1088845199997
59,2022-01-09,190.11,202.59,188.61,197.83,2074.5527472100007
60,2022-01-10,197.96,200.01,180.54,191.17,2680.30114717
61,2022-01-11,190.99,208.03,188.73,205.39,5882.599638809992
62,2022-01-12,206.2,219.62,204.95,214.71,1940.7439676399997
63,2022-01-13,214.18,214.87,194.52,195.17,4295.211073260002
64,2022-01-14,195.7,201.43,190.99,199.49,3177.947562769998
65,2022-01-15,198.99,206.98,197.69,200.45,1914.37215556
