,date,open,high,low,close,volume
0,2022-06-22,1.52,1.625,1.486,1.516,81871.72000000015
1,2022-06-23,1.515,1.762,1.486,1.594,114521.48999999979
2,2022-06-24,1.585,1.753,1.484,1.657,100629.11000000018
3,2022-06-25,1.657,1.659,1.524,1.557,30926.89000000004
4,2022-06-26,1.56,1.563,1.482,1.511,40358.42999999995
5,2022-06-27,1.511,1.519,1.464,1.472,38625.170000000006
6,2022-06-28,1.498,1.52,1.463,1.492,485083.2900000001
7,2022-06-29,1.494,1.508,1.482,1.498,528729.2500000002
8,2022-06-30,1.501,1.521,1.403,1.432,387853.81999999995
9,2022-07-01,1.433,1.488,1.391,1.393,186992.85000000015
10,2022-07-02,1.395,1.397,1.359,1.381,182982.36000000007
11,2022-07-03,1.381,1.399,1.367,1.393,36485.24
12,2022-07-04,1.394,1.426,1.374,1.392,95764.5599999999
13,2022-07-05,1.392,1.434,1.362,1.41,50313.81000000001
14,2022-07-06,1.409,1.505,1.394,1.467,152740.7700000001
15,2022-07-07,1.468,1.58,1.467,1.56,113978.87999999995
16,2022-07-08,1.561,1.569,1.515,1.532,145131.56999999975
17,2022-07-09,1.527,1.624,1.509,1.611,133290.02
18,2022-07-10,1.611,1.612,1.528,1.53,82242.77000000005
19,2022-07-11,1.533,1.534,1.481,1.483,158417.02999999997
20,2022-07-12,1.481,1.484,1.443,1.445,55713.0400000001
21,2022-07-13,1.446,1.45,1.412,1.432,46946.080000000016
22,2022-07-14,1.438,1.473,1.426,1.458,261730.57999999935
23,2022-07-15,1.456,1.554,1.413,1.488,189310.39999999985
24,2022-07-16,1.487,1.618,1.47,1.556,355338.7000000002
25,2022-07-17,1.563,1.613,1.519,1.529,108334.69000000024
26,2022-07-18,1.529,1.633,1.527,1.594,98268.41999999993
27,2022-07-19,1.596,1.654,1.586,1.65,109691.64000000001
28,2022-07-20,1.65,1.797,1.63,1.635,261441.3099999988
29,2022-07-21,1.638,1.645,1.577,1.604,150677.1300000001
30,2022-07-22,1.606,1.682,1.604,1.681,117127.34999999996
31,2022-07-23,1.677,1.689,1.607,1.613,251704.14000000025
32,2022-07-24,1.613,1.621,1.591,1.608,190150.96000000014
33,2022-07-25,1.607,1.609,1.557,1.557,233582.44000000006
34,2022-07-26,1.558,1.56,1.543,1.545,117106.0199999999
35,2022-07-27,1.546,1.593,1.541,1.592,184761.91999999993
