,date,open,high,low,close,volume
0,2020-10-12,5.37487,6.2,5.35194,5.784,1111903.596490327
1,2020-10-13,5.4219,6.088,5.28,5.32436,1211367.675632607
2,2020-10-14,5.3259,5.8387,5.25001,5.30775,707978.4603942325
3,2020-10-15,5.721,5.75,5.22235,5.26187,791473.6510001838
4,2020-10-16,5.26074,5.6627,5.0752,5.1216,891557.7023627734
5,2020-10-17,5.12323,5.6942,5.08954,5.12763,727395.1105935243
6,2020-10-18,5.12789,5.652,5.11462,5.14558,396823.77021846914
7,2020-10-19,5.14483,5.636,5.07659,5.552,556882.9728132315
8,2020-10-20,5.17602,5.6,4.96959,5.471,697011.2486902497
9,2020-10-21,5.427,5.8,4.97146,5.6537,935502.3404493199
10,2020-10-22,5.619,6.057,5.25895,5.855,1295440.1236487194
11,2020-10-23,5.57184,6.0,5.26001,5.798,1030830.1133316306
12,2020-10-24,5.79,5.86,5.29178,5.42832,505163.78868444194
13,2020-10-25,5.817,5.83,5.353,5.77,675038.0416678076
14,2020-10-26,5.769,5.809,5.37821,5.41127,786460.8533072417
15,2020-10-27,5.63,5.79,5.39801,5.577,716645.9773976372
16,2020-10-28,5.43462,5.7283,5.21614,5.27126,888051.8341592334
17,2020-10-29,5.518,6.0,5.20787,5.419,1182445.2599221743
18,2020-10-30,5.401,5.4699,5.15629,5.259,1213462.3773284804
19,2020-10-31,5.2668,5.3484,5.2,5.25699,849084.8357132822
20,2020-11-01,5.25591,5.318,5.155,5.21815,628315.8003289324
21,2020-11-02,5.2232,5.3193,4.88412,5.032,1067650.4137826434
22,2020-11-03,5.029,5.036,4.64806,4.87108,1468453.8204812966
23,2020-11-04,4.87107,5.228,4.60299,4.901,1192905.6292573954
24,2020-11-05,4.901,5.4,4.7635,5.148,1123945.18402568
25,2020-11-06,5.1134,5.5,5.04367,5.369,1432519.5977740304
26,2020-11-07,5.3942,5.7001,4.90225,5.06248,1816715.4225997278
27,2020-11-08,5.06325,5.3,5.03349,5.16867,1395303.9653044557
28,2020-11-09,5.16658,5.3,4.89714,5.02561,1109372.0237889388
29,2020-11-10,5.02756,5.265,5.00239,5.1435,1305763.3404119825
30,2020-11-11,5.158,5.38,5.066,5.08793,1091978.6440278722
31,2020-11-12,5.08796,5.35,4.96579,5.03976,1081827.3541389136
32,2020-11-13,5.0397,5.28,4.98271,5.1275,1057996.1596233302
33,2020-11-14,5.16,5.199,4.9,5.02453,1256607.3797118587
34,2020-11-15,5.02644,5.142,4.93527,5.072,990722.8732735807
35,2020-11-16,5.02538,5.5146,4.97897,5.415,1473269.8347020026
36,2020-11-17,5.399,6.0,5.32011,5.6539,2489301.595081694
37,2020-11-18,5.65343,8.0,5.18715,6.375,6068251.2665009545
38,2020-11-19,5.96729,6.95,5.65094,5.81575,4555455.328796731
39,2020-11-20,6.462,6.73,5.77071,5.98359,3881342.816064143
40,2020-11-21,5.98457,6.8,5.7615,6.35058,4520110.388805728
41,2020-11-22,6.499,6.84,5.57199,6.438,5732532.240028018
42,2020-11-23,6.0116,6.649,5.82499,6.646,3579689.449035635
43,2020-11-24,6.5326,7.48,5.8,7.289,4527714.862578723
44,2020-11-25,6.35605,7.956,5.89,6.69168,3950410.712002705
45,2020-11-26,6.9251,7.168,5.59281,6.10504,7935162.734594832
46,2020-11-27,6.179,6.4648,5.9106,6.13937,4120283.3415706055
47,2020-11-28,6.14177,6.946,6.05427,6.475,2466925.1175747453
48,2020-11-29,6.482,6.798,6.09463,6.29986,1738716.4643809623
49,2020-11-30,6.3914,6.879,6.26597,6.6714,2349200.7822222114
50,2020-12-01,6.844,7.066,5.95,6.313,3764894.2481342833
51,2020-12-02,6.319,6.8,6.025,6.17613,2801492.4299818506
52,2020-12-03,6.581,6.76,6.14443,6.45586,2267217.038990185
53,2020-12-04,6.45881,6.603,5.865,5.9581,2634195.031742995
54,2020-12-05,5.968,6.225,5.893,6.1368,1612350.2573733486
55,2020-12-06,6.13843,6.298,6.015,6.178,1202164.0434831541
56,2020-12-07,6.178,6.22,6.0325,6.1444,857605.6000215026
57,2020-12-08,6.158,6.162,5.6765,5.804,1340700.4627498263
58,2020-12-09,5.775,6.252,5.6,6.03772,2271333.9628923
59,2020-12-10,6.03766,6.12,5.8,5.88113,1414225.7245692562
60,2020-12-11,5.902,5.9694,5.579,5.79042,1225783.3277031477
61,2020-12-12,5.79234,6.052,5.776,5.968,1172493.1561361253
62,2020-12-13,5.95254,6.2898,5.90833,6.113,1162810.003754057
63,2020-12-14,6.05051,6.16,5.92717,6.00013,1045853.5813444299
64,2020-12-15,6.038,6.1373,5.86,6.051,1080296.3087620542
65,2020-12-16,6.053,6.48,5.93944,6.4443,1849395.0092694664
66,2020-12-17,6.4443,6.856,6.25417,6.42055,3347793.163197947
67,2020-12-18,6.488,6.628,6.26406,6.36768,2641539.479375168
68,2020-12-19,6.402,6.561,6.35169,6.427,1658895.6343680357
69,2020-12-20,6.437,6.845,6.2277,6.494,2799628.384522448
70,2020-12-21,6.49,7.067,5.5187,6.112,3656766.8639324578
71,2020-12-22,6.116,6.1968,5.753,6.142,3660619.2992002596
72,2020-12-23,6.1317,6.198,4.683,5.135,4125865.3154835356
73,2020-12-24,5.135,5.67,5.00501,5.60678,4980946.229230203
74,2020-12-25,5.6044,5.883,5.485,5.75628,3491174.926765511
75,2020-12-26,5.74519,5.898,5.564,5.852,2592712.4793638205
76,2020-12-27,5.855,6.123,5.4504,5.8,3101287.072401934
77,2020-12-28,5.826,6.1555,5.75,5.92055,3049063.226141525
78,2020-12-29,5.91594,6.02,5.412,5.71986,2295078.2997805756
79,2020-12-30,5.72153,5.806,5.59344,5.697,2520898.796833515
80,2020-12-31,5.697,5.829,5.5492,5.65968,2091537.3916008393
81,2021-01-01,5.682,5.888,5.6,5.6897,1538037.7107026654
82,2021-01-02,5.69295,5.974,5.56164,5.794,2084741.488987205
83,2021-01-03,5.793,6.7,5.75685,6.5501,4527565.3961181
84,2021-01-04,6.561,7.698,5.5,7.052,6769140.1981358295
85,2021-01-05,6.93537,7.479,6.627,7.1987,5601971.48776595
86,2021-01-06,7.19937,7.8,6.16,7.628,3717519.8103045304
87,2021-01-07,7.583,7.805,6.453,7.17043,4422349.638508151
88,2021-01-08,7.17546,7.375,6.24,6.90788,4645902.666027636
89,2021-01-09,6.90836,8.144,6.70271,7.7735,5136921.0307638515
90,2021-01-10,7.7865,15.0,7.51802,8.878,13104547.512406705
91,2021-01-11,8.88,12.63,6.15,10.514,14584121.581649782
92,2021-01-12,7.20094,10.61,6.8105,9.079,8656566.903524462
93,2021-01-13,9.068,9.989,6.86738,9.657,3831664.733192572
94,2021-01-14,9.543,9.95,6.88,7.8016,3651882.4458015226
95,2021-01-15,7.8016,9.545,6.90002,7.52032,3185973.3812442715
96,2021-01-16,7.52409,9.484,7.35132,7.793,3095547.351061283
97,2021-01-17,7.71385,9.46,7.3514,7.67294,3716874.3213872504
98,2021-01-18,8.96,9.1,7.4404,8.951,2531062.600242401
