,date,open,high,low,close,volume
0,2020-10-12,374.38,395.81,364.956,387.0,553490.3895762471
1,2020-10-13,387.39,388.31,374.1,381.37,491870.4047180487
2,2020-10-14,381.74,388.47,372.825,379.08,442147.05401514546
3,2020-10-15,379.01,382.79,369.758,377.88,443673.41744978755
4,2020-10-16,377.89,380.20325028,360.613,365.21,362936.47620032256
5,2020-10-17,365.82,371.0,362.787,368.48,121775.98633212296
6,2020-10-18,368.48,379.05,367.295,378.58,134566.15003694608
7,2020-10-19,378.56,384.98,372.279,379.63,376395.02321005485
8,2020-10-20,379.53,381.11877378,363.01,368.81,495252.02736394305
9,2020-10-21,368.79,402.62,367.027,390.198,783102.6428123373
10,2020-10-22,391.28,421.52,390.0,414.31,697020.4098657268
11,2020-10-23,414.3,419.77,401.422,409.52,445972.7813788994
12,2020-10-24,409.58359673,417.0,406.93,412.58,286060.3499707101
13,2020-10-25,412.54,418.13,402.92,406.09,282815.87353963434
14,2020-10-26,405.97,411.56,382.2,392.621,676968.9847066121
15,2020-10-27,393.48,411.77,389.867,403.286,458601.29581345274
16,2020-10-28,403.22,409.52,380.36,388.186,701335.9351191453
17,2020-10-29,388.47,394.11,380.5,387.34,499219.499170607
18,2020-10-30,386.9,392.22233091,372.945,382.77,533901.5241566583
19,2020-10-31,382.77,394.28,380.317,386.78,442252.0853308028
20,2020-11-01,386.32658693,398.13,384.642,396.611,317292.7181885358
21,2020-11-02,396.66,404.91,377.86,383.33,625862.6344143484
22,2020-11-03,383.09,390.63,370.296,388.42,507354.90363625943
23,2020-11-04,388.17353075,409.0,375.05,403.18,729166.7666658701
24,2020-11-05,402.78,421.64,395.1350624,417.19,805809.212615918
25,2020-11-06,417.04,458.92,414.56,456.65,1102819.9509975796
26,2020-11-07,456.69,468.98,423.0,435.194,1201669.8523946307
27,2020-11-08,435.95507314,460.89,432.087,454.61,537599.2114852107
28,2020-11-09,455.09,460.0,433.83,444.81,766915.5690551645
29,2020-11-10,444.84,455.51,438.757,450.89,530636.2477420721
30,2020-11-11,450.89,477.0,449.615,463.81,704500.5370851676
31,2020-11-12,463.81,471.15,451.1,462.98,665597.140166851
32,2020-11-13,462.45,478.51,457.002,477.06,613032.7582143104
33,2020-11-14,477.15,478.35,451.8,461.16,436558.4733867655
34,2020-11-15,461.21,463.46,439.77,448.401,345200.09855366504
35,2020-11-16,448.41720943,466.49,445.547,460.85,373170.87495044415
36,2020-11-17,460.87,485.36,459.806,482.308,607311.7358909283
37,2020-11-18,482.76,496.0,454.56,478.96,1103952.8635260786
38,2020-11-19,479.0,481.99,463.34,471.163,479585.1775164282
39,2020-11-20,471.39,514.77,470.657,510.3,959180.6694896185
40,2020-11-21,510.6,554.28,502.2,553.07,932931.7853769982
41,2020-11-22,553.06,581.92,511.16,560.132,1210916.4292785
42,2020-11-23,558.0,611.67,549.6,609.26,1248826.2017753778
43,2020-11-24,609.25,623.65,587.25,604.822,1283945.6574723131
44,2020-11-25,605.45,606.63,554.0,569.62,796485.887559815
45,2020-11-26,569.37,577.43,478.38,521.5,1853167.439207689
46,2020-11-27,520.35,533.08,492.075,519.55,781533.2674627556
47,2020-11-28,518.438,548.83,505.01,538.14,484285.0278056708
48,2020-11-29,538.09,577.55,530.536,576.22,505281.2695439421
49,2020-11-30,576.37,617.37,570.04,615.99,959858.1500418346
50,2020-12-01,616.0,636.93,555.71,585.27,1438882.7454027035
51,2020-12-02,585.87,606.26,574.288,597.74,602500.7634069647
52,2020-12-03,597.88119355,624.57,586.0,616.66,651345.3079624858
53,2020-12-04,615.987,620.92,565.0,567.66,711872.4483999433
54,2020-12-05,567.6,598.0,558.86,597.29,254532.6139026865
55,2020-12-06,597.29,607.68,582.77,601.294,255289.79423973872
56,2020-12-07,601.97,603.8,584.078,591.65,250209.4646283541
57,2020-12-08,591.53,595.71,548.12,555.03,538093.1324591831
58,2020-12-09,554.8,589.0,530.0,573.132,772368.652763856
59,2020-12-10,573.116,575.62,547.83,559.02,450614.71948555554
60,2020-12-11,559.17,560.7,535.03,544.93,578262.3710813567
61,2020-12-12,544.51,574.52,543.07,567.947,291348.12956609664
62,2020-12-13,568.07,595.84,563.158,591.1,318696.12506769865
63,2020-12-14,590.45,592.07,575.58,586.39,290579.1573852359
64,2020-12-15,586.4,598.12,576.72,588.636,327158.865850505
65,2020-12-16,589.08,639.92,580.961,637.155,883570.9178085147
66,2020-12-17,636.16,677.05,625.82,641.74,1294463.3216124452
67,2020-12-18,643.26,664.71,628.38,654.19,706678.9307155733
68,2020-12-19,654.66,672.06,645.21,658.96,640539.0540513267
69,2020-12-20,658.8,661.4,620.4,638.089,624206.3885682627
70,2020-12-21,638.19,648.35,593.62,608.07,872545.4646547175
71,2020-12-22,608.29,638.5,586.43,637.46,655797.6868751883
72,2020-12-23,637.46,638.8,547.8,585.5,888830.3318213669
73,2020-12-24,585.37,615.14,565.12,612.27,574655.315632387
74,2020-12-25,612.25,634.6,580.0,626.75,482817.4942827717
75,2020-12-26,626.71,652.73,615.01,637.217,580705.0496891706
76,2020-12-27,636.85,715.192,622.14,684.12,1173889.2927932125
77,2020-12-28,684.34,747.47,680.39,729.7,1179082.6018787625
78,2020-12-29,729.65,740.473,686.76,731.84,848577.9271856772
79,2020-12-30,731.79,759.0,716.23,752.5,729521.5829805768
80,2020-12-31,752.54,756.11,713.42,737.67,618078.2199104482
81,2021-01-01,737.89,750.34,715.275,730.85,584887.7661182125
82,2021-01-02,730.97,789.21,714.89,775.3,934587.5615475716
83,2021-01-03,774.82,1015.14,769.0,980.44,2216275.678333157
84,2021-01-04,976.32,1169.97,860.0,1042.38,2971224.6331142383
85,2021-01-05,1042.24,1136.93,968.29,1098.732,2092352.132690292
86,2021-01-06,1102.97,1215.98,1055.742,1208.093,2441853.6834556144
87,2021-01-07,1209.4,1291.94,1140.0,1227.07,1561789.0447362475
