,date,open,high,low,close,volume
0,2021-07-29,107.0,150.0,101.05,144.0,46789.72900000014
1,2021-07-30,144.0,300.0,142.83,252.0,380802.638999999
2,2021-07-31,252.0,297.11,237.37,240.91,159439.61799999955
3,2021-08-01,240.04,259.89,217.22,222.86,97026.50699999818
4,2021-08-02,222.5,240.0,189.12,216.92,87169.6469999995
5,2021-08-03,216.9,221.12,183.0,187.0,49732.380000000056
6,2021-08-04,186.44,197.99,166.01,177.95,51788.39500000083
7,2021-08-05,177.92,188.4,167.4,172.8,47621.37399999982
8,2021-08-06,172.54,180.0,160.51,167.46,49782.65299999962
9,2021-08-07,167.46,170.4,147.68,151.66,44475.84099999972
10,2021-08-08,151.0,296.19,145.73,252.36,338823.4760000067
11,2021-08-09,252.33,269.0,186.0,194.0,260218.42299998042
12,2021-08-10,193.99,223.45,186.01,195.99,108085.36999999847
13,2021-08-11,196.1,355.0,192.0,287.46,392496.24899996317
14,2021-08-12,287.46,329.0,271.27,291.11,115329.76900000717
15,2021-08-13,291.11,309.25,280.0,296.42,62996.67799999896
16,2021-08-14,297.34,306.85,267.53,274.1,57402.28500000297
17,2021-08-15,274.1,284.5,253.14,268.2,58003.94400000177
18,2021-08-16,268.2,274.5,253.01,253.75,38792.35800000196
19,2021-08-17,253.52,288.22,240.4,267.85,75066.6639999976
20,2021-08-18,268.81,284.0,255.08,257.88,55767.99400000029
21,2021-08-19,257.73,269.99,250.91,264.98,32850.71100000048
22,2021-08-20,264.63,270.97,255.03,260.79,36901.58399999897
23,2021-08-21,260.69,268.49,255.42,258.57,28425.822000000087
24,2021-08-22,258.1,260.3,235.53,244.22,52233.46399999918
25,2021-08-23,244.02,248.0,236.41,242.16,36901.31500000004
26,2021-08-24,242.6,263.0,212.0,224.38,62683.437999999325
27,2021-08-25,224.81,258.99,220.19,231.19,41584.266999999934
28,2021-08-26,230.83,234.26,215.24,216.04,33156.9509999996
29,2021-08-27,215.94,242.35,213.34,239.25,51649.214999987846
30,2021-08-28,239.54,304.09,230.27,283.67,146653.0670000197
31,2021-08-29,284.2,291.3,265.0,273.27,46545.20999998269
32,2021-08-30,273.55,280.96,250.0,252.71,34487.512999996325
33,2021-08-31,252.83,272.72,243.53,246.41,40386.805999992976
34,2021-09-01,246.16,262.23,238.0,258.24,37296.38299998985
35,2021-09-02,258.29,277.12,252.04,258.76,38639.438999989994
36,2021-09-03,259.59,259.99,244.03,247.07,35650.182999993165
37,2021-09-04,246.96,253.5,239.63,246.05,31138.23299999747
38,2021-09-05,245.93,273.55,244.0,261.22,55558.44799998359
39,2021-09-06,260.87,270.31,246.85,253.75,42271.73399998846
40,2021-09-07,253.89,255.07,180.08,215.11,52363.86699998746
41,2021-09-08,215.12,225.0,195.99,210.24,32711.967999992732
42,2021-09-09,209.79,216.44,202.48,205.66,38753.88499999033
43,2021-09-10,205.47,211.76,185.98,192.49,46218.36899998293
44,2021-09-11,192.53,242.35,189.87,210.54,65326.655000003564
45,2021-09-12,211.05,225.34,203.07,208.0,42763.29900000011
46,2021-09-13,207.77,213.88,190.01,199.86,39414.560000001606
47,2021-09-14,199.5,217.0,194.21,205.61,34980.99999999897
48,2021-09-15,205.16,218.01,203.83,212.03,22319.909999999327
49,2021-09-16,212.01,231.21,206.21,207.73,35130.96099999812
50,2021-09-17,207.52,215.33,202.16,204.49,27973.07399999872
51,2021-09-18,204.37,213.25,202.97,206.82,15683.82400000003
52,2021-09-19,206.86,208.5,193.41,195.02,20576.780999999766
53,2021-09-20,194.9,199.65,170.0,179.06,40200.19099999944
54,2021-09-21,179.21,191.44,152.53,166.0,27655.06499999844
55,2021-09-22,165.98,184.96,158.96,179.23,24527.242999999216
56,2021-09-23,179.24,199.91,175.06,181.44,25768.13799999906
57,2021-09-24,181.57,186.54,153.89,169.3,29637.955999998296
58,2021-09-25,169.53,175.24,164.34,168.05,17863.392
59,2021-09-26,168.07,179.99,155.69,165.86,21893.113
60,2021-09-27,166.04,177.03,160.08,160.13,14957.470000000187
61,2021-09-28,160.53,163.74,155.01,158.75,16473.672000000195
62,2021-09-29,158.28,167.12,154.98,156.61,11716.609000000179
63,2021-09-30,156.8,175.0,156.4,162.16,13903.112
64,2021-10-01,162.86,193.41,162.23,181.81,31939.73399999863
65,2021-10-02,181.64,191.83,176.0,178.89,20681.365
66,2021-10-03,178.65,180.72,157.85,179.09,17289.26100000014
67,2021-10-04,178.98,179.13,167.96,169.71,12241.75600000014
68,2021-10-05,169.71,178.33,167.0,172.08,11054.320999999984
69,2021-10-06,171.97,210.77,162.18,187.65,53033.75700000227
70,2021-10-07,187.0,188.71,170.37,176.35,26529.534999999127
71,2021-10-08,175.99,180.85,170.57,172.1,11665.014000000092
72,2021-10-09,172.08,179.96,171.22,175.02,13572.860000000017
73,2021-10-10,174.87,178.6,167.53,170.72,14625.508
74,2021-10-11,170.75,175.46,165.51,167.17,19346.468
75,2021-10-12,167.15,180.63,161.34,166.09,20573.43199999955
76,2021-10-13,166.07,170.95,161.5,166.85,6856.0739999999805
77,2021-10-14,166.85,177.64,165.82,171.12,12458.237999999948
78,2021-10-15,170.79,195.87,167.66,182.93,42882.87000000461
