,date,open,high,low,close,volume
0,2020-10-12,0.053863,0.058515,0.053125,0.054446,620826.1312258894
1,2020-10-13,0.054454,0.05788,0.052459,0.053641,349291.51256094023
2,2020-10-14,0.05318,0.054389,0.05,0.051916,179756.10717364997
3,2020-10-15,0.05222,0.05223,0.048712,0.050326,74614.12062402006
4,2020-10-16,0.050428,0.052093,0.043561,0.043989,674216.4583041705
5,2020-10-17,0.043925,0.04772,0.043533,0.047427,84534.38903077999
6,2020-10-18,0.047267,0.050567,0.046324,0.04937,106333.54841273003
7,2020-10-19,0.048953,0.050092,0.046753,0.049867,29903.300296299996
8,2020-10-20,0.05017,0.052123,0.044437,0.045313,80510.94167841005
9,2020-10-21,0.045048,0.048612,0.044991,0.045642,48259.86890525002
10,2020-10-22,0.045954,0.051191,0.045715,0.0494,390636.8215900001
11,2020-10-23,0.0494,0.053546,0.048259,0.05322,226203.81018445996
12,2020-10-24,0.053013,0.05759,0.05179,0.056542,110788.4763402
13,2020-10-25,0.056392,0.05779,0.050851,0.05137,211797.81421551976
14,2020-10-26,0.051048,0.053431,0.046671,0.047784,114470.35902413
15,2020-10-27,0.047742,0.048783,0.045798,0.04734,63003.04940329005
16,2020-10-28,0.046621,0.04739,0.043623,0.045314,87701.99072441005
17,2020-10-29,0.045082,0.047815,0.043872,0.046111,117061.25857601994
18,2020-10-30,0.045799,0.046291,0.043544,0.045245,222778.1801426801
19,2020-10-31,0.04528,0.046998,0.044,0.044061,230595.84822705985
20,2020-11-01,0.044456,0.045995,0.043819,0.045601,82105.68405254003
21,2020-11-02,0.045275,0.046718,0.040402,0.040619,236080.44257666983
22,2020-11-03,0.040467,0.04101,0.037218,0.037218,65644.12461769997
23,2020-11-04,0.037285,0.039916,0.0369,0.039576,137865.59642630015
24,2020-11-05,0.039582,0.040716,0.037201,0.039802,117620.88773240999
25,2020-11-06,0.039668,0.045176,0.039641,0.043665,256861.86122670994
26,2020-11-07,0.043854,0.049,0.039122,0.040623,313789.9923299301
27,2020-11-08,0.040137,0.04439,0.039904,0.042035,170501.88469008997
28,2020-11-09,0.042357,0.043204,0.03932,0.042639,129384.84837158001
29,2020-11-10,0.042867,0.047925,0.042218,0.046127,273109.89064078004
30,2020-11-11,0.045746,0.049163,0.044397,0.04496,191570.11225555005
