,date,open,high,low,close,volume
0,2020-10-15,47.147,77.386,47.072,62.541,3065.0780575799995
1,2020-10-16,64.259,76.804,39.191,44.807,7007.513947780003
2,2020-10-17,43.708,50.649,40.668,42.253,2837.790723810005
3,2020-10-18,42.0,42.283,31.983,32.446,2369.90889193
4,2020-10-19,32.466,34.922,29.96,33.723,23323.89140594999
5,2020-10-20,33.818,34.054,30.2,31.174,2394.939490439998
6,2020-10-21,30.73,31.887,26.659,26.659,3583.805809110001
7,2020-10-22,26.541,26.87,22.72,23.748,5926.828278270004
8,2020-10-23,23.517,25.519,20.616,23.953,14100.544149369995
9,2020-10-24,23.917,26.815,22.311,25.733,13382.215637250003
10,2020-10-25,25.707,39.533,25.555,38.863,16124.686576570015
11,2020-10-26,38.437,40.556,31.977,33.77,10293.225387319992
12,2020-10-27,33.335,37.705,32.897,35.317,4563.377752459997
13,2020-10-28,35.259,36.46,32.76,33.559,1957.685537039999
14,2020-10-29,33.609,34.144,31.835,32.64,2581.8130699999983
15,2020-10-30,32.272,32.48,28.561,29.141,2924.7414693800024
16,2020-10-31,28.86,32.397,28.37,31.08,2747.087977389995
17,2020-11-01,31.21,31.76,30.62,31.694,393.86950269999994
18,2020-11-02,31.662,31.953,29.36,29.553,887.3498264
19,2020-11-03,29.62,29.651,27.921,28.748,1090.6656424000003
20,2020-11-04,28.828,29.441,28.226,28.724,1074.9607110800002
21,2020-11-05,28.95,30.196,28.394,29.515,672.7688424600009
22,2020-11-06,29.304,33.182,29.065,31.62,8546.879769509955
23,2020-11-07,31.82,33.294,29.46,29.956,4005.2628571399987
24,2020-11-08,29.86,31.156,29.679,30.789,548.1761164700002
25,2020-11-09,30.87,32.36,30.36,31.26,1439.4580028799994
26,2020-11-10,31.08,31.296,30.3,30.4,879.3631467199997
27,2020-11-11,30.429,31.014,29.863,30.04,1691.8995460800002
28,2020-11-12,30.028,30.37,28.754,29.475,2698.8350851200003
29,2020-11-13,29.45,30.04,29.114,29.114,444.2293120600003
30,2020-11-14,29.23,29.484,28.487,29.318,4274.849384619995
31,2020-11-15,29.305,29.305,27.521,27.7,3068.10351933
32,2020-11-16,27.521,28.01,27.23,27.49,966.4416663200004
33,2020-11-17,27.5,29.932,27.31,29.026,2090.5512830599982
34,2020-11-18,29.251,29.71,27.682,28.96,1551.9279498200003
35,2020-11-19,28.82,29.299,28.34,28.75,349.4138324599996
36,2020-11-20,28.908,29.932,28.671,29.089,2041.3422730600003
37,2020-11-21,29.08,30.8,28.79,29.946,8988.704062800001
38,2020-11-22,29.931,30.127,28.707,28.99,2427.4344359800025
39,2020-11-23,29.023,29.4,28.73,29.09,1748.7904891000007
40,2020-11-24,29.23,30.79,29.001,29.739,6556.9282829899985
41,2020-11-25,29.83,35.595,29.52,31.17,18815.559643530032
42,2020-11-26,30.98,31.946,28.892,30.019,12844.94863224998
