,date,open,high,low,close,volume
0,2022-04-12,5.579,5.718,5.486,5.69,39339.5761203
1,2022-04-13,5.693,5.974,5.575,5.925,133062.49455006
2,2022-04-14,5.897,6.221,5.696,5.791,230146.4146807903
3,2022-04-15,5.794,5.987,5.737,5.898,115769.38445843
4,2022-04-16,5.896,5.954,5.718,5.828,93227.36679957
5,2022-04-17,5.831,5.847,5.556,5.587,125251.3186797
6,2022-04-18,5.581,5.798,5.289,5.779,358393.4929629006
7,2022-04-19,5.782,6.055,5.749,6.038,273189.4658779622
8,2022-04-20,6.013,6.036,5.746,5.832,106710.89394677
9,2022-04-21,5.839,5.991,5.547,5.674,281063.8978146232
10,2022-04-22,5.666,5.789,5.53,5.634,203595.6628454
11,2022-04-23,5.64,5.687,5.48,5.544,87134.61879593
12,2022-04-24,5.553,5.697,5.408,5.473,102459.83856013
13,2022-04-25,5.476,5.504,5.128,5.493,282385.1531766709
14,2022-04-26,5.494,5.613,5.087,5.174,135920.2110777
15,2022-04-27,5.168,5.32,5.111,5.272,108738.14200601
16,2022-04-28,5.27,5.392,5.137,5.23,267708.6910216811
17,2022-04-29,5.232,5.316,4.816,4.924,168844.97544398
18,2022-04-30,4.928,4.957,4.31,4.489,254373.5376728602
19,2022-05-01,4.479,4.844,4.359,4.759,153763.60608734
20,2022-05-02,4.75,4.788,4.407,4.638,133379.0005078
21,2022-05-03,4.629,4.711,4.489,4.574,118037.73839525
22,2022-05-04,4.575,5.18,4.555,5.12,523864.3624187958
23,2022-05-05,5.126,5.206,4.442,4.565,404872.4118873641
24,2022-05-06,4.548,4.573,4.265,4.501,264135.8684145116
25,2022-05-07,4.488,4.574,4.247,4.394,243185.3940923803
26,2022-05-08,4.281,4.336,4.247,4.275,12189.87281525
27,2022-05-09,4.276,4.374,3.391,3.403,563031.835673898
28,2022-05-10,3.423,4.582,3.21,3.861,1269389.9972587533
29,2022-05-11,3.863,4.384,2.788,3.017,2623164.8524788436
30,2022-05-12,3.028,3.233,2.203,2.709,1428340.1376744371
31,2022-05-13,2.702,3.15,2.639,2.893,1467378.9908443692
32,2022-05-14,2.898,3.064,2.679,2.994,1339375.482239544
