,date,open,high,low,close,volume
0,2021-05-14,30.206,33.272,30.035,30.76,302577.6189999894
1,2021-05-15,30.656,30.936,28.352,29.235,241100.23500000362
2,2021-05-16,29.235,35.987,27.946,29.674,550141.158000002
3,2021-05-17,29.69,49.0,28.101,30.494,613122.8554463316
4,2021-05-18,30.447,49.0,28.621,28.926,300168.001916862
5,2021-05-19,28.989,35.0,14.004,19.526,669313.3475338994
6,2021-05-20,19.435,28.5,17.188,21.367,528991.4080859728
7,2021-05-21,21.375,22.643,17.598,19.483,268208.35500000004
8,2021-05-22,19.46,26.7,18.032,19.046,198838.43400000004
9,2021-05-23,19.041,19.208,13.621,15.881,234079.13999999914
10,2021-05-24,15.88,19.911,15.108,18.98,268302.22752403456
11,2021-05-25,18.98,19.929,16.715,18.099,192319.02099999625
12,2021-05-26,18.06,27.375,18.0,19.699,426666.30219086225
13,2021-05-27,19.693,27.0,18.077,23.4,724166.2962056128
14,2021-05-28,23.318,101.68,18.386,19.45,503116.0646964205
15,2021-05-29,19.45,27.091,19.002,22.809,768991.0219000358
16,2021-05-30,22.86,47.881,20.301,21.993,406235.5316827935
17,2021-05-31,21.987,25.5,20.501,23.536,266515.0550718172
18,2021-06-01,23.48,24.908,21.621,22.0,137764.18418781954
19,2021-06-02,21.945,24.265,21.5,21.9,128227.10251409981
20,2021-06-03,21.9,24.196,21.635,22.19,152218.42473189958
21,2021-06-04,22.19,22.582,19.625,20.58,177398.73132170888
22,2021-06-05,20.583,23.117,19.779,19.937,131461.09491231097
23,2021-06-06,19.93,22.349,19.851,19.968,73953.00186428
24,2021-06-07,19.969,22.867,16.376,17.548,136151.07138254
25,2021-06-08,17.548,20.223,16.059,17.851,192571.91441871115
26,2021-06-09,17.852,24.266,16.501,17.657,140630.31023233078
27,2021-06-10,17.736,24.0,16.117,16.419,265609.88622173923
28,2021-06-11,16.42,19.999,14.542,14.757,241771.67884227776
29,2021-06-12,14.806,18.247,14.0,15.705,311400.4960936121
30,2021-06-13,15.717,18.179,15.5,16.378,104754.51212112121
31,2021-06-14,16.348,18.379,16.232,16.599,79276.24094275008
32,2021-06-15,16.569,17.126,16.265,16.427,96862.42099999968
33,2021-06-16,16.402,19.654,15.84,15.979,250881.82637371033
34,2021-06-17,15.981,21.0,15.824,16.16,99078.45116079999
35,2021-06-18,16.134,17.543,14.545,14.908,103866.45400700122
36,2021-06-19,14.837,16.998,14.323,15.078,195781.9723740017
