,date,open,high,low,close,volume
0,2022-01-03,2.4824,2.8711,2.3727,2.8686,1979005.9325665077
1,2022-01-04,2.8722,3.0637,2.8073,2.8843,2639108.8826875696
2,2022-01-05,2.8847,3.1581,2.5977,2.9305,4477930.384092036
3,2022-01-06,2.935,3.0274,2.6494,2.8996,3912589.416467867
4,2022-01-07,2.8889,2.8896,2.5655,2.6006,3764140.0488767154
5,2022-01-08,2.6098,2.6872,2.1796,2.284,1797607.6334068673
6,2022-01-09,2.2859,2.5203,2.2377,2.4001,2053264.3232485717
7,2022-01-10,2.3894,2.5602,2.1076,2.2271,2258960.482371285
8,2022-01-11,2.2321,2.5981,2.1917,2.5884,2417534.5886167707
9,2022-01-12,2.5958,3.0191,2.5958,2.9364,2130018.3632773
10,2022-01-13,2.9399,3.1488,2.7928,3.0124,1973477.114200405
11,2022-01-14,3.0115,3.0615,2.8119,2.9624,1926209.8855832655
12,2022-01-15,2.9686,3.0387,2.8372,3.0062,1414533.138621961
13,2022-01-16,3.0191,3.31931,2.9396,3.3105,813185.0961006212
14,2022-01-17,3.3111,3.3783,2.8845,2.9232,1585134.237736474
15,2022-01-18,2.9368,3.0143,2.7121,2.9603,1778345.5400797874
16,2022-01-19,2.954,3.0489,2.761,2.7721,1702893.490169385
17,2022-01-20,2.7725,3.039,2.6767,2.6937,545896.87285617
18,2022-01-21,2.6899,2.7771,2.13,2.2778,1356689.6150564875
19,2022-01-22,2.2772,2.3879,1.7775,1.97,3791175.414260227
20,2022-01-23,1.969,2.3641,1.9522,2.2816,2917738.4188939277
21,2022-01-24,2.2781,2.33158,1.90537,2.2523,3078114.5957442108
22,2022-01-25,2.2402,2.4729,2.16277,2.3834,995864.6421057798
23,2022-01-26,2.3838,2.5889,2.1808,2.2428,683968.8464468502
24,2022-01-27,2.2407,2.276,1.996,2.0771,4401031.930813278
25,2022-01-28,2.077,2.16176,1.9867,2.1236,298627.06548229046
26,2022-01-29,2.1238,2.1922,2.0776,2.0996,172668.5186434703
27,2022-01-30,2.0976,2.2,2.00139,2.0302,227718.8528191801
