,date,open,high,low,close,volume
0,2022-01-03,39.935,41.53327,39.49146,40.25,1546.4566044200003
1,2022-01-04,40.089,43.763,39.56121,42.018,2963.4169567300014
2,2022-01-05,41.236,42.596,37.223,38.304,4940.11816733
3,2022-01-06,38.155,39.32212,36.48026,38.891,8201.668887249994
4,2022-01-07,38.246,38.25045,34.796,35.44,6258.261625520001
5,2022-01-08,35.867,36.311,33.99377,35.262,3931.1320205700013
6,2022-01-09,35.512,37.648,35.486,37.176,4517.748451870003
7,2022-01-10,37.375,38.25,35.351,38.143,4940.102509289996
8,2022-01-11,38.064,39.709,37.742,39.709,7117.928564650001
9,2022-01-12,39.83799,41.5,39.601,41.5,2775.0622538299986
10,2022-01-13,41.4,42.189,40.692,40.867,5072.425385300002
11,2022-01-14,41.062,44.569,41.062,44.569,5793.41659514
12,2022-01-15,44.792,47.374,44.571,46.164,7865.810779110002
13,2022-01-16,45.891,46.569,45.224,46.49245,1423.31416249
14,2022-01-17,46.59023,46.593,43.905,44.14,3657.25415151
15,2022-01-18,44.482,45.111,42.92005,45.09,3403.4611507700006
16,2022-01-19,45.112,46.915,43.357,46.73261,1760.0338681100009
17,2022-01-20,47.358,49.94822,45.227,45.227,4090.7405654699974
18,2022-01-21,45.04894,45.64299,37.647,38.526,7847.916958979999
19,2022-01-22,38.382,38.922,31.709,33.411,15129.87490823997
20,2022-01-23,33.488,36.4,33.44361,35.841,8836.638419809999
21,2022-01-24,34.85231,36.264,31.462,35.40179,11388.759485639997
22,2022-01-25,35.54368,37.143,34.574,36.569,12866.234200010003
23,2022-01-26,36.02,38.8757,35.48,36.47006,10810.955359139998
24,2022-01-27,36.224,39.944,35.219,38.08,13550.162183540004
25,2022-01-28,38.553,40.124,37.791,39.9,3173.22360792
26,2022-01-29,40.182,41.933,40.182,41.55,1113.7502145899994
27,2022-01-30,41.611,41.8,40.59397,40.908,857.23167897
28,2022-01-31,40.545,44.08803,39.708,43.92541,2762.8217917899988
29,2022-02-01,43.57526,50.77,42.8,45.28287,20027.13802064004
30,2022-02-02,45.352,46.18,42.438,42.838,1335.70025291
31,2022-02-03,42.784,42.87,40.928,42.717,2088.4133246399992
32,2022-02-04,43.302,45.41,42.739,45.41,973.1230552899997
33,2022-02-05,45.919,46.935,45.105,46.495,1201.22773527
34,2022-02-06,46.112,46.442,45.158,45.627,249.28512110000003
35,2022-02-07,46.736,48.478,46.507,47.276,636.4689045099997
36,2022-02-08,47.658,48.551,45.436,45.84,599.51221332
37,2022-02-09,45.92,48.227,45.92,47.911,581.37207251
38,2022-02-10,47.937,48.299,44.5,44.887,823.82735279
39,2022-02-11,44.5,44.963,43.085,43.085,598.59397146
40,2022-02-12,43.193,44.583,43.0,44.266,390.0917281900001
41,2022-02-13,44.744,45.438,43.964,44.703,376.42033831
42,2022-02-14,44.358,44.639,43.483,44.639,315.91095786
43,2022-02-15,45.735,47.323,45.735,47.323,181.84651025999997
44,2022-02-16,46.906,46.906,46.075,46.488,122.47021945000002
45,2022-02-17,46.229,46.229,43.702,43.702,321.39769407
46,2022-02-18,43.702,43.828,42.848,42.848,233.65142462
47,2022-02-19,42.5,42.5,42.0,42.0,145.63083781999998
48,2022-02-20,42.217,42.217,40.5,40.604,432.7262004600001
49,2022-02-21,41.415,41.748,40.0,40.0,259.7518208
50,2022-02-22,39.6,41.546,39.5,40.908,387.97086157999996
51,2022-02-23,41.664,43.4,40.895,40.895,698.1515879700003
52,2022-02-24,40.535,42.211,37.571,41.513,1614.6970376300005
53,2022-02-25,41.393,43.4,41.356,43.072,921.4834887000001
54,2022-02-26,44.07,44.101,43.326,43.359,300.93671493
55,2022-02-27,42.647,44.28,41.389,41.389,487.61174026
56,2022-02-28,42.157,46.39,42.157,46.166,826.5136743899997
57,2022-03-01,46.336,47.678,45.506,46.274,964.5769338299999
58,2022-03-02,46.84,47.409,45.902,45.928,449.5636485899999
59,2022-03-03,45.697,45.697,44.186,44.749,120.09627766000001
60,2022-03-04,43.67,43.856,40.402,40.402,289.9575316699999
61,2022-03-05,40.008,40.862,39.854,40.862,198.65833549999996
62,2022-03-06,40.876,40.904,40.737,40.737,67.151
63,2022-03-07,39.755,40.825,38.76,39.742,454.1574894699999
64,2022-03-08,40.197,41.224,40.197,40.327,415.3919660099999
65,2022-03-09,41.078,43.354,41.078,43.136,262.3604430699999
66,2022-03-10,42.429,42.429,40.306,40.364,254.1418546
