,date,open,high,low,close,volume
0,2022-04-12,0.5031,0.5147,0.4982,0.5057,278994.8
1,2022-04-13,0.5031,0.5761,0.5024,0.5294,1237463.0000000019
2,2022-04-14,0.5285,0.5364,0.502,0.5081,266571.19999999943
3,2022-04-15,0.5064,0.5358,0.5047,0.521,595428.7000000015
4,2022-04-16,0.521,0.54,0.5143,0.5238,721957.0000000002
5,2022-04-17,0.5234,0.5364,0.5168,0.5168,299146.89999999985
6,2022-04-18,0.5168,0.5168,0.4862,0.5093,497403.70000000077
7,2022-04-19,0.5075,0.5345,0.5075,0.5193,309899.0999999995
8,2022-04-20,0.5198,0.534,0.5125,0.5135,344034.39999999997
9,2022-04-21,0.5135,0.5336,0.5072,0.5076,438359.69999999925
10,2022-04-22,0.5072,0.508,0.5,0.5015,125372.00000000019
11,2022-04-23,0.5009,0.5027,0.4983,0.4989,103629.70000000004
12,2022-04-24,0.4988,0.5326,0.4876,0.4891,1174371.5000000037
13,2022-04-25,0.4892,0.5197,0.4665,0.4906,663532.7999999991
14,2022-04-26,0.4905,0.519,0.4622,0.4629,541448.899999998
15,2022-04-27,0.4626,0.4698,0.455,0.4647,401437.59999999916
16,2022-04-28,0.4647,0.5,0.4551,0.4609,459378.1999999982
17,2022-04-29,0.46,0.4753,0.4466,0.4468,321433.99999999977
18,2022-04-30,0.4484,0.4684,0.4439,0.4518,376636.49999999994
19,2022-05-01,0.4488,0.5159,0.4328,0.4574,1275115.8000000056
20,2022-05-02,0.4574,0.5,0.4412,0.4555,609443.9999999983
21,2022-05-03,0.4575,0.484,0.4433,0.4509,564398.8000000009
22,2022-05-04,0.4518,0.508,0.3539,0.4672,991660.7000000087
23,2022-05-05,0.4658,0.493,0.4095,0.4299,573773.7
24,2022-05-06,0.4299,0.4354,0.399,0.4052,415789.6999999996
25,2022-05-07,0.4045,0.4126,0.3966,0.3991,172475.60000000027
26,2022-05-08,0.4008,0.426,0.3654,0.3709,2809081.399999973
27,2022-05-09,0.371,0.3823,0.3036,0.3076,1218182.100000005
28,2022-05-10,0.3072,0.3986,0.302,0.326,2149296.7000000374
29,2022-05-11,0.3221,0.38,0.236,0.2617,1346590.3000000196
30,2022-05-12,0.2575,0.279,0.1871,0.209,541184.499999998
31,2022-05-13,0.2144,0.33,0.2085,0.2339,1438397.8000000117
32,2022-05-14,0.234,0.2835,0.2268,0.2464,731010.9000000154
33,2022-05-15,0.2449,0.2986,0.2373,0.256,932554.2000000076
34,2022-05-16,0.2563,0.2664,0.2392,0.2445,1501189.700000003
35,2022-05-17,0.2445,0.2678,0.243,0.2582,656591.3000000003
36,2022-05-18,0.2596,0.2927,0.2443,0.2562,2532071.399999988
37,2022-05-19,0.2577,0.3297,0.2519,0.2872,4008022.799999932
38,2022-05-20,0.2834,0.2983,0.2621,0.2687,2613941.099999984
39,2022-05-21,0.2669,0.2822,0.2627,0.265,568580.7999999984
40,2022-05-22,0.265,0.2757,0.264,0.2741,164914.19999999992
41,2022-05-23,0.2757,0.2769,0.269,0.269,282294.99999999936
42,2022-05-24,0.2677,0.2755,0.2554,0.2638,327028.8999999996
43,2022-05-25,0.2652,0.2715,0.2609,0.2631,244642.70000000007
44,2022-05-26,0.264,0.2758,0.2293,0.2387,1472745.5000000102
45,2022-05-27,0.2391,0.2714,0.2377,0.2454,652244.3999999985
46,2022-05-28,0.2432,0.2519,0.241,0.2449,130205.69999999998
47,2022-05-29,0.2456,0.2601,0.2408,0.2469,442656.6999999996
48,2022-05-30,0.2485,0.2745,0.2442,0.2744,660746.4999999984
49,2022-05-31,0.2743,0.3339,0.2711,0.2872,1954276.400000015
50,2022-06-01,0.2868,0.2897,0.255,0.2594,779058.7999999989
51,2022-06-02,0.26,0.2652,0.2544,0.2605,207493.7000000001
52,2022-06-03,0.2606,0.2721,0.25,0.2559,947185.0999999995
53,2022-06-04,0.2561,0.2755,0.25,0.2549,653087.8000000019
54,2022-06-05,0.2548,0.2569,0.2502,0.2559,139104.59999999995
55,2022-06-06,0.2563,0.2784,0.2554,0.2666,250358.20000000033
56,2022-06-07,0.2666,0.275,0.251,0.2654,622753.8999999987
57,2022-06-08,0.2654,0.2658,0.2554,0.2557,350097.19999999966
58,2022-06-09,0.2579,0.2597,0.2519,0.252,90857.39999999992
59,2022-06-10,0.2516,0.2532,0.2441,0.2441,468163.49999999994
60,2022-06-11,0.2444,0.2455,0.2236,0.2268,753642.2999999999
61,2022-06-12,0.2269,0.2284,0.2076,0.2076,657865.5000000002
62,2022-06-13,0.2075,0.2077,0.1635,0.1712,897355.400000001
63,2022-06-14,0.1713,0.1822,0.1498,0.1695,1817842.1999999883
