,date,open,high,low,close,volume
0,2021-11-23,0.39285,0.4091,0.35928,0.37735,310516978.0
1,2021-12-14,0.50611,0.52,0.4688,0.50409,105102303.582928
2,2021-12-15,0.50445,0.51187,0.4587,0.50102,93721486.8855615
3,2021-12-16,0.50115,0.51854,0.46503,0.46672,65108422.769220464
4,2021-12-17,0.46708,0.48135,0.43454,0.45279,72733467.22223258
5,2021-12-18,0.45299,0.47459,0.43757,0.46516,61542869.96739482
6,2021-12-19,0.46535,0.50595,0.44105,0.44401,48146001.55361786
7,2021-12-20,0.44389,0.455,0.40883,0.43028,64267147.03496161
8,2021-12-21,0.43085,0.47,0.42424,0.44133,59999307.36913481
9,2021-12-22,0.44131,0.47,0.4312,0.43798,57247040.45157334
10,2021-12-23,0.43779,0.52869,0.4275,0.51296,115786694.11923714
11,2021-12-24,0.51364,0.52185,0.46586,0.4726,90561224.58125237
12,2021-12-25,0.47246,0.511,0.46823,0.49787,56859340.34155893
13,2021-12-26,0.49765,0.5288,0.48047,0.51132,61363474.99324931
14,2021-12-27,0.51175,0.55426,0.50855,0.53669,94239176.134318
15,2021-12-28,0.53694,0.53694,0.45933,0.46656,116135070.29346493
16,2021-12-29,0.46635,0.48768,0.44191,0.45008,75996372.72343633
17,2021-12-30,0.44986,0.47993,0.44097,0.46207,76788593.2910726
18,2021-12-31,0.46212,0.47587,0.44418,0.45015,62319336.737927094
19,2022-01-01,0.45039,0.46492,0.45039,0.46179,40968709.53408397
20,2022-01-02,0.46168,0.46413,0.45104,0.45679,36121015.37805078
21,2022-01-03,0.45679,0.4582,0.43151,0.44115,47543341.88295564
22,2022-01-04,0.44112,0.44406,0.4206,0.42571,39700088.71309168
23,2022-01-05,0.42556,0.44079,0.34188,0.37667,101647221.45708959
24,2022-01-06,0.37743,0.40093,0.35562,0.38262,130399801.80213305
25,2022-01-07,0.38305,0.38524,0.33826,0.34437,171093396.91351023
26,2022-01-08,0.34455,0.35477,0.30449,0.31473,119402616.74840032
27,2022-01-09,0.31455,0.34638,0.31095,0.32798,104047010.8980714
28,2022-01-10,0.32788,0.3336,0.29001,0.30678,119006861.96280086
29,2022-01-11,0.30688,0.3256,0.30237,0.32086,70848115.91644791
30,2022-01-12,0.32108,0.36704,0.32006,0.35956,116407099.78547452
31,2022-01-13,0.35967,0.3646,0.32423,0.32682,81666126.96893996
32,2022-01-14,0.32688,0.33565,0.31777,0.32486,56304953.00494161
33,2022-01-15,0.32478,0.35,0.32177,0.33582,61543026.24089163
34,2022-01-16,0.33566,0.34145,0.3232,0.32897,50341937.748140514
35,2022-01-17,0.32896,0.32993,0.29929,0.30431,76070667.20766729
36,2022-01-18,0.30425,0.31428,0.29042,0.29999,135826342.81550682
37,2022-01-19,0.30009,0.30192,0.27339,0.27798,110526307.11741039
38,2022-01-20,0.27805,0.29441,0.25818,0.26169,104520521.43624753
39,2022-01-21,0.26128,0.26614,0.20206,0.21578,283564714.42995083
40,2022-01-22,0.21558,0.22272,0.15424,0.18137,458634153.8417034
41,2022-01-23,0.18148,0.20135,0.17949,0.19621,255620186.80355945
42,2022-01-24,0.1963,0.19674,0.16054,0.18488,322235389.85415983
43,2022-01-25,0.1851,0.19788,0.17479,0.18686,168470984.63660812
44,2022-01-26,0.18725,0.23277,0.18423,0.2102,379392487.28307396
45,2022-01-27,0.21028,0.21426,0.17855,0.18847,288241823.98983425
46,2022-01-28,0.18811,0.19382,0.1804,0.19011,188231802.50241446
47,2022-01-29,0.1901,0.20008,0.18739,0.19241,133031537.93502201
48,2022-01-30,0.19237,0.21067,0.18637,0.1897,229739556.45626965
49,2022-01-31,0.18964,0.20088,0.17947,0.19782,166854697.2568724
50,2022-02-01,0.19793,0.20999,0.1961,0.20576,177173202.16698638
51,2022-02-02,0.20573,0.20779,0.18129,0.18647,150736714.59839338
52,2022-02-03,0.18652,0.1882,0.17784,0.18733,204451243.8294017
53,2022-02-04,0.18721,0.20522,0.18468,0.20194,132723996.0
54,2022-02-05,0.20194,0.29723,0.20096,0.29262,520567037.0
55,2022-02-06,0.29259,0.35826,0.28958,0.32025,627043657.0
56,2022-02-07,0.32028,0.38429,0.30272,0.34781,490922601.0
57,2022-02-08,0.34824,0.3823,0.31975,0.38111,437196880.0
58,2022-02-09,0.38136,0.39639,0.35,0.35904,323547270.0
59,2022-02-10,0.35874,0.37084,0.32313,0.32738,245934633.0
60,2022-02-11,0.32759,0.349,0.299,0.3067,237143813.0
61,2022-02-12,0.3067,0.32211,0.29163,0.30958,189477158.0
62,2022-02-13,0.30958,0.3154,0.27651,0.28082,166951895.0
63,2022-02-14,0.28077,0.30612,0.2748,0.29491,212951270.0
64,2022-02-15,0.29504,0.36026,0.2945,0.35603,273014763.0
65,2022-02-16,0.35614,0.35658,0.323,0.33222,181069631.0
66,2022-02-17,0.33225,0.34081,0.29441,0.30179,215398030.0
67,2022-02-18,0.30194,0.31228,0.28694,0.28988,162750537.0
68,2022-02-19,0.28977,0.30187,0.2765,0.28157,106047018.0
69,2022-02-20,0.2817,0.28214,0.24547,0.25037,164086341.0
70,2022-02-21,0.25024,0.27511,0.2228,0.22452,317595620.0
71,2022-02-22,0.2245,0.2444,0.21468,0.2423,277463252.0
72,2022-02-23,0.2423,0.2524,0.2169,0.218,439038592.0
73,2022-02-24,0.2181,0.2439,0.1924,0.2277,576111165.0
74,2022-02-25,0.2277,0.2672,0.2253,0.2591,415824448.0
75,2022-02-26,0.2591,0.2691,0.2443,0.2493,204242455.0
76,2022-02-27,0.2492,0.2541,0.2291,0.232,187450845.0
77,2022-02-28,0.2321,0.2629,0.2235,0.2607,276313856.0
78,2022-03-01,0.2607,0.27693,0.248,0.2588,385244135.0
79,2022-03-02,0.2588,0.27,0.2494,0.2543,183103595.0
80,2022-03-03,0.2546,0.26,0.2404,0.2435,144276250.0
81,2022-03-04,0.2436,0.2443,0.2185,0.223,183326619.0
82,2022-03-05,0.2232,0.233,0.2128,0.2317,87755619.0
83,2022-03-06,0.2319,0.2374,0.215,0.2162,112553832.0
84,2022-03-07,0.2162,0.2298,0.2096,0.2148,170173763.0
85,2022-03-08,0.2147,0.2305,0.2129,0.2196,181463697.0
86,2022-03-09,0.2195,0.2403,0.2177,0.2329,192819168.0
87,2022-03-10,0.2329,0.2337,0.2118,0.2173,136468766.0
88,2022-03-11,0.2174,0.2229,0.2103,0.2116,131118293.0
89,2022-03-12,0.2116,0.2188,0.2109,0.2139,71006929.0
90,2022-03-13,0.214,0.2422,0.2115,0.2169,218043933.0
91,2022-03-14,0.217,0.2245,0.2139,0.2199,153652909.0
92,2022-03-15,0.2199,0.2235,0.2126,0.2146,113634764.0
93,2022-03-16,0.2147,0.24,0.2138,0.2389,246553865.0
94,2022-03-17,0.2388,0.3,0.2247,0.2271,218003959.32611477
95,2022-03-18,0.227,0.2332,0.2178,0.22938,176638766.28651926
96,2022-03-19,0.23,0.2579,0.2274,0.2489,257325131.58052337
97,2022-03-20,0.249,0.2574,0.22861,0.23416,209753991.3723539
98,2022-03-21,0.23424,0.2392,0.2243,0.2359,153799729.45552012
99,2022-03-22,0.2358,0.25507,0.2352,0.2412,250042493.13918522
100,2022-03-23,0.241,0.252,0.2364,0.2493,175036154.5597204
101,2022-03-24,0.2494,0.2626,0.2454,0.2531,295393508.3763495
102,2022-03-25,0.2532,0.2666,0.2431,0.245,294588053.0969444
103,2022-03-26,0.245,0.2539,0.2423,0.2516,119044064.97722581
104,2022-03-27,0.2518,0.2644,0.2457,0.2635,119246105.5725492
105,2022-03-28,0.2636,0.2919,0.2591,0.2628,371262870.3160918
106,2022-03-29,0.2627,0.2823,0.26205,0.27078,249881644.59572497
107,2022-03-30,0.27103,0.2842,0.2555,0.2723,202298928.57555932
108,2022-03-31,0.2722,0.2878,0.2491,0.2545,306747508.5252851
109,2022-04-01,0.2544,0.2678,0.2412,0.2618,231407208.7776126
110,2022-04-02,0.2617,0.2776,0.2536,0.2547,152317367.07177106
111,2022-04-03,0.2547,0.2693,0.2501,0.2665,127543188.2737275
112,2022-04-04,0.2666,0.2666,0.24451,0.2567,150988849.52685535
113,2022-04-05,0.2566,0.2631,0.2476,0.2483,122817674.46323362
