,date,open,high,low,close,volume
0,2022-04-12,0.4012,0.456,0.395,0.4197,930609.0999999982
1,2022-04-13,0.4169,0.4891,0.4143,0.4461,1768794.899999998
2,2022-04-14,0.4467,0.4546,0.4267,0.434,440618.09999999957
3,2022-04-15,0.4351,0.45,0.4248,0.4376,1039786.0000000019
4,2022-04-16,0.4375,0.4375,0.4256,0.4295,425871.4999999996
5,2022-04-17,0.4317,0.4402,0.4194,0.4195,395251.7999999993
6,2022-04-18,0.4194,0.4236,0.3963,0.4208,444396.3000000005
7,2022-04-19,0.4218,0.436,0.4173,0.4338,427438.59999999974
8,2022-04-20,0.4339,0.4393,0.4223,0.4391,397869.1
9,2022-04-21,0.4396,0.4689,0.4242,0.4331,816827.6999999987
10,2022-04-22,0.4316,0.4428,0.4215,0.4332,392292.6999999992
11,2022-04-23,0.4335,0.4947,0.4333,0.4448,1818807.4999999974
12,2022-04-24,0.4423,0.4493,0.4134,0.4171,666534.6000000002
13,2022-04-25,0.418,0.418,0.39,0.4121,695240.3000000004
14,2022-04-26,0.4124,0.4284,0.387,0.3932,784473.8000000003
15,2022-04-27,0.3939,0.3996,0.3802,0.3986,398941.4000000003
16,2022-04-28,0.3987,0.4015,0.3896,0.3952,480975.5000000002
17,2022-04-29,0.3964,0.3981,0.3733,0.3746,394038.40000000014
18,2022-04-30,0.375,0.3922,0.3434,0.3441,579333.8000000003
19,2022-05-01,0.344,0.362,0.3223,0.3546,429674.50000000035
20,2022-05-02,0.3523,0.3591,0.336,0.3505,218319.69999999992
21,2022-05-03,0.35,0.3567,0.3406,0.3424,270160.80000000016
22,2022-05-04,0.3448,0.372,0.3382,0.372,261351.5
23,2022-05-05,0.3713,0.4179,0.3492,0.3743,2188166.8999999957
24,2022-05-06,0.3756,0.3835,0.3363,0.3521,839442.1999999998
25,2022-05-07,0.3537,0.3537,0.3239,0.3315,444980.3000000001
26,2022-05-08,0.3323,0.3323,0.3094,0.3144,295983.69999999984
27,2022-05-09,0.3152,0.3198,0.2647,0.2667,574768.0999999996
28,2022-05-10,0.2659,0.2964,0.25,0.2734,650893.5000000006
29,2022-05-11,0.2726,0.2779,0.2044,0.2133,747918.0999999988
30,2022-05-12,0.2129,0.2206,0.1529,0.2085,1049798.2000000002
31,2022-05-13,0.2075,0.2491,0.2009,0.2333,460504.99999999953
32,2022-05-14,0.2352,0.2583,0.2279,0.2563,720421.5999999993
33,2022-05-15,0.2557,0.2757,0.2446,0.2757,222974.60000000003
34,2022-05-16,0.2743,0.2743,0.2479,0.254,188830.30000000013
35,2022-05-17,0.253,0.2728,0.2528,0.2705,209224.90000000008
36,2022-05-18,0.2734,0.3358,0.2581,0.2581,2172671.700000001
37,2022-05-19,0.2605,0.2689,0.234,0.2674,610848.9999999995
38,2022-05-20,0.2678,0.268,0.2417,0.2512,178654.00000000017
39,2022-05-21,0.2504,0.255,0.2433,0.2542,99444.90000000008
40,2022-05-22,0.2533,0.2719,0.2511,0.2686,363032.9999999997
41,2022-05-23,0.2687,0.2889,0.25,0.2569,900308.8999999999
42,2022-05-24,0.2567,0.263,0.24,0.2606,240795.30000000005
43,2022-05-25,0.2606,0.2606,0.2481,0.2574,120013.39999999995
44,2022-05-26,0.2599,0.2701,0.2362,0.2475,541555.900000001
45,2022-05-27,0.2474,0.2645,0.2364,0.2474,410823.8
46,2022-05-28,0.2462,0.2526,0.2422,0.2526,110114.80000000006
47,2022-05-29,0.2514,0.2573,0.2445,0.2563,156326.79999999987
48,2022-05-30,0.2547,0.2854,0.2531,0.2807,445037.70000000065
49,2022-05-31,0.2823,0.2872,0.2645,0.2741,188557.20000000027
50,2022-06-01,0.2738,0.342,0.2629,0.2722,957765.4999999979
51,2022-06-02,0.2712,0.399,0.267,0.3354,3319993.5000000386
