,date,open,high,low,close,volume
0,2020-12-17,0.13,0.165,0.1003,0.1226,159110983.55999997
1,2020-12-18,0.1227,0.289,0.1219,0.2617,804509043.929992
2,2020-12-19,0.2621,0.598,0.2559,0.4785,873927689.2900176
3,2020-12-20,0.4785,0.8105,0.4543,0.7453,725680575.4900081
4,2020-12-21,0.749,0.775,0.45,0.4722,464972272.1100184
5,2020-12-22,0.4722,0.63,0.425,0.5462,381136754.3900009
6,2020-12-23,0.5461,0.582,0.335,0.4112,304229389.8500084
7,2020-12-24,0.4107,0.4567,0.355,0.4101,220978772.38000208
8,2020-12-25,0.4113,0.4209,0.3342,0.3592,155419318.7299992
9,2020-12-26,0.3585,0.4991,0.32,0.4854,338902717.1000032
10,2020-12-27,0.4848,0.4961,0.3778,0.396,262468420.83000094
11,2020-12-28,0.3965,0.438,0.3745,0.3804,187062640.10999915
12,2020-12-29,0.3804,0.3859,0.3395,0.3728,148233722.23000094
13,2020-12-30,0.3726,0.405,0.35,0.3747,119786527.5000009
14,2020-12-31,0.3747,0.3805,0.3415,0.3512,67321231.01999985
15,2021-01-01,0.3509,0.3795,0.3462,0.3622,78189270.45000042
16,2021-01-02,0.3623,0.3624,0.311,0.3278,84131551.55999999
17,2021-01-03,0.3271,0.3375,0.282,0.299,168968503.30999762
18,2021-01-04,0.2987,0.355,0.2914,0.309,163038917.75000012
19,2021-01-05,0.3097,0.348,0.2853,0.3388,152009294.69999886
20,2021-01-06,0.3395,0.4,0.3154,0.3706,205305933.7299906
21,2021-01-07,0.3706,0.4159,0.328,0.3463,135257874.26000154
22,2021-01-08,0.3466,0.3515,0.3106,0.3292,122075054.55999993
23,2021-01-09,0.3292,0.3651,0.3171,0.3493,95202001.72000083
24,2021-01-10,0.349,0.3789,0.3078,0.3266,94366751.27000135
25,2021-01-12,0.2911,0.31,0.2646,0.2772,60185879.430000044
26,2021-01-13,0.2771,0.3498,0.267,0.3247,89047991.51000056
27,2021-01-14,0.3247,0.3616,0.3158,0.3332,96784475.88000141
28,2021-01-15,0.3331,0.392,0.311,0.3378,108201522.15
29,2021-01-16,0.3374,0.4783,0.337,0.4658,210278103.5899994
30,2021-01-17,0.4663,0.575,0.41,0.5193,242109402.66999885
31,2021-01-18,0.5196,0.6619,0.4949,0.6181,229073329.16999722
32,2021-01-19,0.6185,0.644,0.525,0.5398,165149768.92000327
33,2021-01-20,0.5392,0.5759,0.4768,0.5217,111179338.64000094
34,2021-01-21,0.522,0.5598,0.4342,0.4356,111654153.78000118
35,2021-01-22,0.4354,0.5567,0.385,0.5106,144229909.96000147
36,2021-01-23,0.5108,0.5931,0.489,0.5848,93860054.52000135
37,2021-01-24,0.5848,0.594,0.518,0.5564,75111994.9600002
38,2021-01-25,0.5563,0.594,0.5255,0.5295,60264692.89999993
39,2021-01-26,0.5294,0.551,0.4806,0.5371,53582757.58000017
40,2021-01-27,0.5371,0.5459,0.454,0.4852,55808714.089999825
41,2021-01-28,0.4849,0.5837,0.469,0.5586,73291167.46999967
