,date,open,high,low,close,volume
0,2021-06-10,13.0,17.49,10.211,14.019,1557283.060000001
1,2021-06-11,14.019,18.99,11.938,12.087,3184039.06000008
2,2021-06-12,12.091,12.256,10.032,11.097,1377178.8700000087
3,2021-06-13,11.099,11.236,9.567,10.296,898638.0099999921
4,2021-06-14,10.321,11.768,10.039,10.378,802463.4399999942
5,2021-06-15,10.413,11.59,10.25,10.751,777756.7000000025
6,2021-06-16,10.818,11.25,8.963,9.14,818145.0499999997
7,2021-06-17,9.14,9.805,8.23,8.391,551369.9199999985
8,2021-06-18,8.391,8.914,7.543,7.943,431719.0399999998
9,2021-06-19,7.964,8.371,7.786,7.923,325118.6500000002
10,2021-06-20,7.885,8.052,6.701,7.484,348476.5999999993
11,2021-06-21,7.429,7.669,5.625,5.644,489380.82000000123
12,2021-06-22,5.647,6.124,4.614,5.277,470608.81000000035
13,2021-06-23,5.276,6.249,5.086,5.724,408477.9700000001
14,2021-06-24,5.732,6.103,5.255,5.672,214867.4100000009
15,2021-06-25,5.708,6.956,5.59,5.754,515878.0300000018
16,2021-06-26,5.777,6.203,5.3,5.75,268624.98999999993
17,2021-06-27,5.778,7.545,5.567,7.171,921916.8199999987
18,2021-06-28,7.217,8.595,7.149,7.363,1449726.9700000088
19,2021-06-29,7.394,8.999,7.358,8.472,615862.020000001
20,2021-06-30,8.418,8.761,7.293,7.777,379663.50999999634
21,2021-07-01,7.777,7.817,6.677,7.084,279931.38000000076
22,2021-07-02,7.08,7.474,6.429,6.872,261519.4900000003
23,2021-07-03,6.896,7.8,6.693,7.35,253517.05000000095
24,2021-07-04,7.378,7.75,6.95,7.237,160309.15999999963
25,2021-07-05,7.182,7.282,6.614,6.832,306048.44000000076
26,2021-07-06,6.828,7.428,6.828,7.13,293940.8899999997
27,2021-07-07,7.088,7.48,6.954,6.975,256873.7500000011
28,2021-07-08,6.974,6.98,6.255,6.482,208724.59000000046
29,2021-07-09,6.493,6.67,6.164,6.46,95233.86000000023
30,2021-07-10,6.479,6.75,6.181,6.323,111903.36000000419
31,2021-07-11,6.31,6.663,6.255,6.358,96516.22999999972
32,2021-07-12,6.352,6.442,5.852,6.117,96246.49000000054
33,2021-07-13,6.114,6.285,5.6,5.737,220415.85000000335
34,2021-07-14,5.737,5.958,5.385,5.755,253499.31000000596
35,2021-07-15,5.753,5.955,5.213,5.381,248122.90000000104
36,2021-07-16,5.397,5.561,5.003,5.043,146787.90000000154
37,2021-07-17,5.033,6.41,4.764,6.033,751144.6299999596
38,2021-07-18,6.061,6.835,5.695,5.814,775975.4399999664
39,2021-07-19,5.814,5.861,4.985,5.03,418395.8799999957
40,2021-07-20,5.042,5.545,4.777,5.403,568427.3899999856
41,2021-07-21,5.422,5.939,5.23,5.888,344663.869999985
42,2021-07-22,5.921,6.039,5.582,5.872,159684.98000000542
