,date,open,high,low,close,volume
0,2021-02-18,0.9982,0.9982,0.9982,0.9982,0.0
1,2021-03-04,1.0,1.0,1.0,1.0,0.0
2,2021-03-05,1.0,1.0,1.0,1.0,5.0
3,2021-03-08,1.0,1.0,1.0,1.0,0.0
4,2021-03-10,1.0,1.6,1.0,1.10001,2601.9339299999997
5,2021-03-11,1.1,1.9,1.00006,1.20001,26912.911319999985
6,2021-03-12,1.2,1.235,1.0001,1.0512,31470.67914999999
7,2021-03-13,1.08501,1.08501,1.0003,1.02451,24576.12408000002
8,2021-03-14,1.02,1.02,1.00041,1.00045,5474.139110000001
9,2021-03-15,1.0003,1.005,1.0,1.00299,19552.36223000003
10,2021-03-16,1.00001,1.001,0.9961,0.998,25459.73060999999
11,2021-03-17,1.0005,1.2,1.00001,1.03997,55577.55876999998
12,2021-03-18,1.01999,1.03799,1.00001,1.005,44993.81414
13,2021-03-19,1.01888,1.04999,1.00114,1.04211,16614.76955
14,2021-03-20,1.01522,1.04011,1.0036,1.005,10980.046400000001
15,2021-03-21,1.02489,1.02489,1.02246,1.024,502.89312000000007
16,2021-03-22,1.02399,1.024,1.00441,1.00447,6989.129159999999
17,2021-03-23,1.005,1.01999,1.00448,1.014,919.1677299999999
18,2021-03-24,1.00442,1.00452,0.999,1.00001,22777.107610000003
19,2021-03-25,0.9995,1.00001,0.995,0.9999,34429.37671
20,2021-03-26,0.995,1.00048,0.995,1.0,10233.398260000009
21,2021-03-27,1.00001,1.00001,1.0,1.0,917.4236000000001
22,2021-03-28,1.0,1.0,1.0,1.0,1219.14997
23,2021-03-29,0.99505,1.0,0.99505,1.0,846.5299299999999
24,2021-03-30,1.0,1.0,0.995,1.0,226.84000000000003
25,2021-03-31,1.0,1.00001,0.99505,0.99506,2861.8058100000003
26,2021-04-01,0.99998,0.99999,0.995,0.99505,4729.434660000001
27,2021-04-02,0.995,0.9999,0.995,0.9999,235.5
28,2021-04-03,0.99985,0.99986,0.99501,0.99501,1015.9132199999999
29,2021-04-04,0.995,0.995,0.995,0.995,709.17787
30,2021-04-05,0.995,0.9999,0.995,0.99989,4683.11044
31,2021-04-06,0.99989,0.99999,0.995,0.99501,14152.33553
32,2021-04-07,0.99988,0.9999,0.99501,0.999,4168.77872
33,2021-04-08,0.999,0.999,0.995,0.995,2078.11512
34,2021-04-09,0.999,0.9999,0.99502,0.999,6263.79768
35,2021-04-10,0.999,0.999,0.995,0.999,6535.1617400000005
36,2021-04-11,0.99501,0.99899,0.99501,0.99898,2055.14924
37,2021-04-12,0.99896,0.999,0.99501,0.999,4971.027959999999
38,2021-04-13,0.9995,0.9999,0.99501,0.99501,16624.661010000003
39,2021-04-14,0.99999,0.99999,0.99504,0.99998,761.9443799999999
40,2021-04-15,0.99504,1.00034,0.99504,1.00034,6144.6007500000005
41,2021-04-16,1.00034,1.005,0.99752,1.005,17766.011150000006
42,2021-04-17,1.005,1.005,0.99753,0.99754,2324.12124
43,2021-04-18,1.00007,1.0045,0.99515,1.0,2597.2219800000003
44,2021-04-19,0.99999,1.00498,0.99602,1.00498,716.81529
45,2021-04-20,0.99601,1.0049,0.99601,1.0049,1070.00116
46,2021-04-21,1.00498,1.00498,0.99603,1.0047,4091.82388
47,2021-04-22,1.0049,1.0049,1.0049,1.0049,292.63606999999996
48,2021-04-23,1.0047,1.00494,1.0,1.0,2170.4775600000003
49,2021-04-24,1.00005,1.00005,1.00005,1.00005,26.0
50,2021-04-25,1.0,1.0,1.0,1.0,570.0
51,2021-04-26,1.0,1.00494,1.0,1.00494,108.50929
52,2021-04-27,1.00011,1.00495,1.00011,1.00495,118.69416
