,date,open,high,low,close,volume
0,2022-02-10,0.25481,0.26179,0.2435,0.25031,359077.3702062201
1,2022-02-11,0.24416,0.25351,0.2312,0.23388,285648.1919890201
2,2022-02-12,0.23243,0.24,0.225,0.2321,160689.34031193
3,2022-02-13,0.23094,0.23404,0.2253,0.22867,26693.81555901
4,2022-02-14,0.22515,0.24368,0.2208,0.24189,498762.1188168904
5,2022-02-15,0.24626,0.26336,0.24626,0.25549,430644.582488571
6,2022-02-16,0.2593,0.2601,0.24817,0.2601,84956.75598581
7,2022-02-17,0.26127,0.262,0.23261,0.23589,543101.2527416204
8,2022-02-18,0.23468,0.24208,0.22671,0.22914,375297.8889303404
9,2022-02-19,0.22874,0.23502,0.22282,0.22982,326045.6770284204
10,2022-02-20,0.21809,0.21915,0.21391,0.21657,51180.88202117
11,2022-02-21,0.21455,0.22455,0.19796,0.19796,535779.166109371
12,2022-02-22,0.20181,0.23657,0.195,0.23584,654198.4216610432
13,2022-02-23,0.23556,0.23768,0.21816,0.21816,364787.7528155002
14,2022-02-24,0.21783,0.21986,0.1875,0.21426,866222.9991820722
15,2022-02-25,0.21977,0.24,0.20978,0.22146,250958.98681647
16,2022-02-26,0.2287,0.23021,0.22052,0.22135,82124.68206443
17,2022-02-27,0.22516,0.22516,0.20701,0.21038,186514.8793364
18,2022-02-28,0.208,0.2305,0.208,0.22721,409598.5003788702
19,2022-03-01,0.22982,0.23461,0.22345,0.22345,213836.64037934
20,2022-03-02,0.22258,0.22778,0.21912,0.22293,76501.91782361
21,2022-03-03,0.22505,0.22925,0.21497,0.22195,120649.27649682
22,2022-03-04,0.21878,0.2193,0.20376,0.20583,192457.6899163
23,2022-03-05,0.20443,0.21189,0.202,0.20988,81492.54611637
24,2022-03-06,0.21079,0.21079,0.2015,0.2017,151353.56884987
25,2022-03-07,0.201,0.21136,0.1985,0.20629,292728.8501198802
26,2022-03-08,0.20687,0.213,0.2017,0.20439,236978.88329352
27,2022-03-09,0.2063,0.21575,0.20465,0.21335,326900.3308630002
28,2022-03-10,0.21268,0.2198,0.20288,0.2185,73893.56510302
29,2022-03-11,0.21258,0.21472,0.2058,0.20689,101157.26490551
30,2022-03-12,0.20742,0.21199,0.20227,0.20673,324061.8306977306
31,2022-03-13,0.20872,0.20939,0.1985,0.1985,177054.23946965
32,2022-03-14,0.20068,0.2055,0.19874,0.19903,94567.87122326
33,2022-03-15,0.20347,0.20347,0.19594,0.20125,238190.4648457101
34,2022-03-16,0.19894,0.20551,0.19488,0.20367,390269.7948347106
35,2022-03-17,0.20462,0.20712,0.20436,0.20626,104849.98205146
36,2022-03-18,0.20443,0.20843,0.2,0.2084,129058.11060311
37,2022-03-19,0.20891,0.21327,0.20749,0.21032,308095.7193286104
38,2022-03-20,0.208,0.21295,0.20634,0.20868,788687.5623331612
39,2022-03-21,0.20907,0.21547,0.20671,0.21145,501639.7744585202
40,2022-03-22,0.21117,0.22017,0.21021,0.21488,348825.1240001503
41,2022-03-23,0.21452,0.219,0.211,0.219,197416.46885157
42,2022-03-24,0.2195,0.228,0.2183,0.22098,191095.98563965
43,2022-03-25,0.21966,0.23047,0.21966,0.22154,334794.92521079
44,2022-03-26,0.227,0.227,0.227,0.227,100.0
45,2022-03-27,0.228,0.2475,0.228,0.24289,1210584.779913751
46,2022-03-28,0.24195,0.251,0.23757,0.23757,601415.2437138808
47,2022-03-29,0.23756,0.2671,0.23756,0.25031,543379.6818119008
48,2022-03-30,0.25383,0.25851,0.24622,0.2533,587360.1927930706
49,2022-03-31,0.25788,0.26062,0.23241,0.2354,422351.1544784006
50,2022-04-01,0.23701,0.24833,0.23126,0.24655,459357.1594312106
51,2022-04-02,0.24746,0.25284,0.24341,0.24637,109554.81299136
52,2022-04-03,0.24453,0.24948,0.24453,0.24948,172199.39292089
53,2022-04-04,0.2454,0.24684,0.23015,0.23832,228554.9028215501
54,2022-04-05,0.23898,0.24001,0.22617,0.22617,467349.4235484806
55,2022-04-06,0.225,0.225,0.2085,0.2126,530532.3080345402
56,2022-04-07,0.21325,0.22901,0.20718,0.22356,183872.21731314
57,2022-04-08,0.22314,0.22409,0.20623,0.20767,57783.35039954
58,2022-04-09,0.20896,0.21191,0.208,0.21139,141640.51145537
59,2022-04-10,0.21445,0.21916,0.208,0.208,324462.7614561402
60,2022-04-11,0.20774,0.20774,0.19233,0.19673,679402.2277351818
61,2022-04-12,0.19432,0.20291,0.19235,0.19598,282941.7865523402
62,2022-04-13,0.19867,0.2043,0.19605,0.20348,57556.8380348
63,2022-04-14,0.20435,0.20435,0.19285,0.19467,51271.41156303
64,2022-04-15,0.19685,0.20022,0.1949,0.19951,331053.81614666
65,2022-04-16,0.2,0.20134,0.19732,0.19971,57141.09780913
66,2022-04-17,0.19705,0.19861,0.191,0.19188,193880.85552359
67,2022-04-18,0.19275,0.19445,0.182,0.19445,392158.1350723504
68,2022-04-19,0.19476,0.2002,0.19275,0.19951,277441.5055490901
69,2022-04-20,0.19905,0.20255,0.19254,0.19451,210231.73594692
70,2022-04-21,0.19808,0.2005,0.18988,0.18988,65215.63627455
71,2022-04-22,0.19041,0.19381,0.18868,0.18954,59213.37000006
72,2022-04-23,0.18818,0.19057,0.1868,0.18724,143017.862349
73,2022-04-24,0.18825,0.18958,0.18602,0.18685,34574.24601212
74,2022-04-25,0.18414,0.18414,0.1729,0.18267,362441.0968244003
75,2022-04-26,0.18185,0.18194,0.16605,0.16699,119317.37533957
76,2022-04-27,0.16795,0.17398,0.165,0.16856,442398.1297770402
77,2022-04-28,0.1689,0.17044,0.16636,0.1683,170152.60327234
78,2022-04-29,0.171,0.1712,0.156,0.15928,341194.5370816503
79,2022-04-30,0.16078,0.16188,0.13068,0.14035,462772.9302701706
80,2022-05-01,0.14264,0.14996,0.1399,0.14538,311025.7075812501
81,2022-05-02,0.14649,0.14729,0.1344,0.14006,342248.6115324004
82,2022-05-03,0.13984,0.1451,0.13751,0.13937,474548.0519449602
83,2022-05-04,0.13892,0.15071,0.13772,0.15052,225787.56320254
84,2022-05-05,0.15218,0.15475,0.13333,0.13496,491056.9057174804
85,2022-05-06,0.1346,0.13686,0.12872,0.13362,137009.08668073
86,2022-05-07,0.13419,0.13595,0.1261,0.13028,107180.79482054
87,2022-05-08,0.1276,0.12766,0.1276,0.12766,9442.2301836
88,2022-05-09,0.131,0.131,0.10597,0.10597,567279.7735491008
89,2022-05-10,0.10372,0.12158,0.1,0.11221,481105.0389184106
90,2022-05-11,0.11986,0.11986,0.0831,0.09012,1322241.7198319917
91,2022-05-12,0.09431,0.114,0.075,0.08717,1479151.132353271
92,2022-05-13,0.08716,0.10569,0.08644,0.09657,788224.7106357518
93,2022-05-14,0.1003,0.10335,0.09202,0.10016,327364.0211542101
94,2022-05-15,0.10095,0.10746,0.09728,0.10746,209298.57930545
