,date,open,high,low,close,volume
0,2022-01-03,9.117,9.1204,8.7408,8.7408,3182.4985239600005
1,2022-01-04,8.7408,8.8199,8.4793,8.7408,126.89277869
2,2022-01-05,8.7934,8.7934,8.3773,8.4276,3694.248399230001
3,2022-01-06,8.4276,8.4277,8.2512,8.2905,1270.9228532100003
4,2022-01-07,8.2512,8.2931,8.1267,8.1267,1163.3485267699998
5,2022-01-08,8.1267,8.6455,7.4373,8.0289,1340.23118896
6,2022-01-09,8.0399,8.0399,8.0102,8.0399,52.57774181000001
7,2022-01-10,8.0102,8.0399,7.9301,7.9483,386.2850353299999
8,2022-01-11,8.0057,8.2856,7.9483,8.2856,5070.425524669999
9,2022-01-12,8.3104,8.5147,8.2442,8.4645,4154.966423650001
10,2022-01-13,8.4641,8.75,8.064,8.1779,6781.320302209999
11,2022-01-14,8.1371,8.2878,7.9918,8.2878,256.24201083
12,2022-01-15,8.3117,8.3847,8.2673,8.3616,1282.2148616499999
13,2022-01-16,8.3616,8.3616,8.2783,8.2783,964.71324495
14,2022-01-17,8.3281,8.5436,8.1248,8.1248,6835.60953436
15,2022-01-18,8.0581,8.1736,7.9047,7.9047,2769.7855602500003
16,2022-01-19,7.9047,7.953,7.8446,7.8919,848.7658572399996
17,2022-01-20,7.8919,7.9158,7.8402,7.8683,893.2855392100003
18,2022-01-21,7.8919,7.9668,7.6624,7.7088,3344.0715503199986
19,2022-01-22,7.7088,7.7089,6.7561,7.5587,3407.3342500400004
20,2022-01-23,7.5587,7.8952,7.3696,7.5585,2034.5148619100012
21,2022-01-24,7.5585,7.7857,6.51,7.4904,1543.8122883900019
22,2022-01-25,7.4904,7.5356,7.3951,7.4905,469.9128045599998
23,2022-01-26,7.5129,7.5254,7.436,7.468,261.2580700000001
24,2022-01-27,7.4681,7.5129,7.376,7.376,2791.2952278400003
25,2022-01-28,7.3761,7.3999,7.3442,7.3659,193.79599968000005
26,2022-01-29,7.3999,7.3999,7.3165,7.3165,371.98473824
27,2022-01-30,7.323,7.323,7.2213,7.2213,260.56782982
28,2022-01-31,7.2607,7.4,7.2213,7.3963,1562.89572741
